machine,working_set_bytes,footprint_bytes,node_spacing_bytes,traversal_order,N_per_batch,unit,n_samples,median,mean,sd,q1,q3,iqr,p5,p95,min,max,n_outliers,outlier_fraction,num_nodes,warmup_steps,warmup_laps,seed,migrated_excluded,logical_cpu,source_raw_file
artemisia,4096,4096,64,randomized,1000,TSC_ticks_per_access,1000000,5.092,5.687778133999996,1.4378103134356686,5.084,5.1,0.016000000000000014,5.076,9.704,5.064,56.312,198849,0.198849,64,10000,156.250,20260904,0,4131,capacity_ws4096_sp64_rand_artemisia_20260910-152220.csv.gz
artemisia,5760,5760,64,randomized,1000,TSC_ticks_per_access,1000000,5.494,6.878229137999998,19.43250017349005,5.09,9.63,4.540000000000001,5.078,10.124,5.064,4034.342,1503,0.001503,90,10000,111.111,20260904,0,4131,capacity_ws5760_sp64_rand_artemisia_20260910-152220.csv.gz
artemisia,8192,8192,64,randomized,1000,TSC_ticks_per_access,1000000,5.448,6.751787372000003,17.41092562750323,5.088,9.598,4.510000000000001,5.078,10.118,5.064,4029.348,1783,0.001783,128,10000,78.125,20260904,0,4131,capacity_ws8192_sp64_rand_artemisia_20260910-152220.csv.gz
artemisia,11584,11584,64,randomized,1000,TSC_ticks_per_access,1000000,6.446,8.986048109999999,11.20098965460725,5.272,10.152,4.879999999999999,5.082,17.722,5.064,6018.45,83221,0.083221,181,10000,55.249,20260904,0,4131,capacity_ws11584_sp64_rand_artemisia_20260910-152220.csv.gz
artemisia,16384,16384,64,randomized,1000,TSC_ticks_per_access,1000000,5.092,5.725748187999999,1.4370893362183426,5.084,5.102,0.018000000000000682,5.076,9.69,5.062,73.152,214347,0.214347,256,10000,39.062,20260904,0,4131,capacity_ws16384_sp64_rand_artemisia_20260910-152220.csv.gz
artemisia,23168,23168,64,randomized,1000,TSC_ticks_per_access,1000000,5.092,5.775534568000002,1.5251831971133298,5.084,5.102,0.018000000000000682,5.076,9.816,5.064,57.256,225584,0.225584,362,10000,27.624,20260904,0,4131,capacity_ws23168_sp64_rand_artemisia_20260910-152220.csv.gz
artemisia,32768,32768,64,randomized,1000,TSC_ticks_per_access,1000000,5.09,5.632026375999997,1.395868920543168,5.084,5.1,0.016000000000000014,5.076,9.704,5.064,46.272,183403,0.183403,512,10000,19.531,20260904,0,4131,capacity_ws32768_sp64_rand_artemisia_20260910-152220.csv.gz
artemisia,46336,46336,64,randomized,1000,TSC_ticks_per_access,1000000,5.584,6.013973954,1.241902344401942,5.55,5.692,0.14200000000000035,5.52,9.682,5.47,63.558,148303,0.148303,724,10000,13.812,20260904,0,4131,capacity_ws46336_sp64_rand_artemisia_20260910-152220.csv.gz
artemisia,65536,65536,64,randomized,1000,TSC_ticks_per_access,1000000,16.096,16.696451476,36.13958476523697,16.076,16.116,0.03999999999999915,16.064,16.132,16.034,22066.216,35876,0.035876,1024,10000,9.766,20260904,0,4131,capacity_ws65536_sp64_rand_artemisia_20260910-152220.csv.gz
artemisia,92672,92672,64,randomized,1000,TSC_ticks_per_access,1000000,16.092,16.239337296,0.8758147736199282,16.074,16.11,0.03599999999999781,16.058,16.132,16.04,64.334,32846,0.032846,1448,10000,6.906,20260904,0,4131,capacity_ws92672_sp64_rand_artemisia_20260910-152220.csv.gz
