ece592_transition_analysis_format_version=1
source_processed_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/artemisia/capacity/phase1_capacity_coarse_randomized_v3.tsv
source_processed_sha256=b36a234a1eb854a782b99fb5efc05f93ded987555b529f86a44146a97a6ab886
source_hostname=artemisia.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/artemisia/capacity/phase1_capacity_coarse_randomized_v3.tsv --output data_processed/artemisia/capacity/phase1_capacity_coarse_transition_candidates_v3.tsv
analysis_working_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
50	0	512	688	0	1	5.33984375	5.3359375	1.34375	-0.00073152889539140897	-0.0024767689665251363	0.00073152889539136799
44	1	688	856	1	2	5.3359375	5.3359375	1.2441860465116279	0	0	0
38	2	856	1024	2	3	5.3359375	5.34375	1.1962616822429906	0.0014641288433381305	0.0081643213237067233	0
41	3	1024	1368	3	4	5.34375	5.3515625	1.3359375	0.0014619883040936088	0.0050440356032481985	0.0014598540145985401
55	4	1368	1712	4	5	5.3515625	5.3359375	1.2514619883040936	-0.0029197080291970545	-0.013035293316911471	0.0014598540145985401
39	5	1712	2048	5	6	5.3359375	5.34375	1.1962616822429906	0.0014641288433381305	0.0081643213237067233	0.0014619883040935672
45	6	2048	2736	6	7	5.34375	5.34375	1.3359375	0	0	0.0014619883040935672
54	7	2736	3416	7	8	5.34375	5.3359375	1.2485380116959064	-0.0014619883040936088	-0.0065911450109254685	0
40	8	3416	4096	8	9	5.3359375	5.34375	1.1990632318501171	0.0014641288433381305	0.0080591226236718348	0.0014619883040935672
51	9	4096	5464	9	10	5.34375	5.33984375	1.333984375	-0.0007309941520468044	-0.0025376023298716143	0.0014619883040935672
43	10	5464	6832	10	11	5.33984375	5.34375	1.2503660322108345	0.00073152889539129795	0.0032727956314991813	0.0014619883040935672
46	11	6832	8192	11	12	5.34375	5.34375	1.1990632318501171	0	0	0.0014619883040935672
53	12	8192	10928	12	13	5.34375	5.3359375	1.333984375	-0.0014619883040936088	-0.0050770616685659724	0.0014619883040935672
47	13	10928	13656	13	14	5.3359375	5.3359375	1.2496339677891655	0	0	0
42	14	13656	16384	14	15	5.3359375	5.33984375	1.1997656707674282	0.00073206442166906527	0.0040180728451432567	0.00073152889539136799
48	15	16384	21848	15	16	5.33984375	5.33984375	1.33349609375	0	0	0.00073152889539136799
52	16	21848	27312	16	17	5.33984375	5.3359375	1.2500915415598681	-0.00073152889539140897	-0.003278412075689748	0.00073152889539136799
49	17	27312	32768	17	18	5.3359375	5.3359375	1.1997656707674282	0	0	0
35	18	32768	43696	18	19	5.3359375	5.43359375	1.33349609375	0.018301610541727742	0.063015605293167118	0.0021567217828900071
4	19	43696	54616	19	20	5.43359375	7.01171875	1.2499084584401319	0.29043853342918768	1.1430571053763128	0.0072423398328690805
3	20	54616	65536	20	21	7.01171875	8.75	1.1999414091108833	0.24791086350974934	1.2150519943141682	0.0072423398328690805
8	21	65536	87384	21	22	8.75	10.7265625	1.3333740234375	0.22589285714285712	0.70789200356957549	0.0062500000000000003
12	22	87384	109232	22	23	10.7265625	11.89453125	1.2500228874851231	0.10888565185724697	0.46314183476765325	0.0016420361247947454
18	23	109232	131072	23	24	11.89453125	12.73046875	1.1999414091108833	0.07027914614121511	0.37262567332675522	0.010739490641301013
23	24	131072	174768	24	25	12.73046875	13.65625	1.3333740234375	0.072721693771095497	0.24399021969870119	0.010739490641301013
28	25	174768	218456	25	26	13.65625	14.19140625	1.2499771125148769	0.039187643020595075	0.17227676817825066	0.0013762730525736307
30	26	218456	262144	26	27	14.19140625	14.5859375	1.1999853517413117	0.027800715661987274	0.15041078203038585	0.0013762730525736307
32	27	262144	349528	27	28	14.5859375	15.046875	1.333343505859375	0.03160149973219073	0.10814585513428092	0.0010712372790573112
20	28	349528	436912	28	29	15.046875	16.1640625	1.2500057220022429	0.074247144340602311	0.32095310742127542	0.0009666505558240696
15	29	436912	524288	29	30	16.1640625	17.3984375	1.1999853517413117	0.076365393910101442	0.40365450031792416	0.0009666505558240696
22	30	524288	699056	30	31	17.3984375	18.890625	1.333343505859375	0.085765603951504232	0.28602123537133972	0.00044903457566232598
26	31	699056	873816	31	32	18.890625	19.80078125	1.2499942779977571	0.048180314309346661	0.2108803583569473	0.00019727756954034326
29	32	873816	1048576	32	33	19.80078125	20.40625	1.1999963379018008	0.030578023278753141	0.16520447267367311	0.00038284839203675346
25	33	1048576	1398104	33	34	20.40625	21.73828125	1.3333358764648438	0.065275650842266497	0.21980227330575577	0.01096136567834681
16	34	1398104	1747632	34	35	21.73828125	23.78125	1.2500014305087461	0.093980233602875218	0.40253090283787518	0.01096136567834681
