ece592_transition_analysis_format_version=1
source_processed_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/artemisia/capacity/phase1_capacity_dense_transition_randomized_v3.tsv
source_processed_sha256=e2d16ca31e73cbcc811aca009b88d76fe6a04741de83b1c960f1736cea5fd76d
source_hostname=artemisia.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=4
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/artemisia/capacity/phase1_capacity_dense_transition_randomized_v3.tsv --output data_processed/artemisia/capacity/phase1_capacity_dense_transition_candidates_v3.tsv
analysis_working_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
41	0	34960	39328	0	1	5.34375	5.375	1.1249427917620138	0.0058479532163742132	0.049526987287645034	0.0014619883040935672
38	1	39328	43696	1	2	5.375	5.44140625	1.11106590724166	0.012354651162790775	0.11658730487306317	0.0021536252692031586
36	2	43696	48064	2	4	5.44140625	5.578125	1.0999633833760527	0.025125628140703515	0.26045317760058689	0.0028011204481792717
39	3	48064	49160	4	5	5.578125	5.58984375	1.0228029294274301	0.0021008403361344463	0.093079017818114174	0.0028011204481792717
9	4	49160	52440	5	6	5.58984375	6.4375	1.0667209113100082	0.15164220824598185	2.185946723696079	0.0036407766990291263
14	5	52440	54616	6	7	6.4375	6.85546875	1.0414950419527078	0.064927184466019527	1.5472386833673166	0.0039886039886039889
11	6	54616	56808	7	8	6.85546875	7.37109375	1.0401347590449685	0.075213675213675169	1.8429197469735226	0.0039886039886039889
16	7	56808	60080	8	9	7.37109375	7.9296875	1.0575975214758484	0.075781664016958183	1.3044236928048276	0.001589825119236884
23	8	60080	61176	9	10	7.9296875	8.0625	1.0182423435419441	0.016748768472906406	0.91880197369756111	0.00098522167487684722
18	9	61176	65544	10	11	8.0625	8.703125	1.0714005492349941	0.07945736434108519	1.1086285916369005	0.0071813285457809697
20	10	65544	68272	11	13	8.703125	9.078125	1.0416208958867326	0.043087971274685888	1.0345152157602027	0.0071813285457809697
26	11	68272	71000	13	14	9.078125	9.33984375	1.0399578157956411	0.028829604130808928	0.72541450337515845	0.00086058519793459555
24	12	71000	76464	14	15	9.33984375	9.921875	1.0769577464788733	0.062317022166457514	0.81537979746644207	0.0015748031496062992
28	13	76464	81920	15	16	9.921875	10.390625	1.0713538397154216	0.047244094488188892	0.66976135334438758	0.005263157894736842
35	14	81920	1677728	16	17	10.390625	23.5234375	20.480078124999999	1.2639097744360903	0.2706097466952529	0.013948854201262038
30	15	1677728	1887440	17	18	23.5234375	25.22265625	1.1249976158233039	0.072235137827964202	0.59216200488910264	0.013948854201262038
44	16	1887440	2097152	18	19	25.22265625	22.96875	1.1111092273131862	-0.089360384079293809	-0.88846905766513673	0.2445578231292517
4	17	2097152	2236968	19	20	22.96875	29.20703125	1.0666694641113281	0.27159863945578233	3.7228172013925138	0.2445578231292517
50	18	2236968	2306872	20	21	29.20703125	26.96484375	1.0312494412079207	-0.076768757523070774	-2.5957960120790169	0.13689700130378096
12	19	2306872	2516584	21	22	26.96484375	31.140625	1.0909075145911866	0.15486020570766335	1.6547456051192944	0.15203211239337683
1	20	2516584	2516592	22	23	31.140625	34.10546875	1.0000031789123669	0.095208228800802708	28608.732337952082	0.15203211239337683
49	21	2516592	2726296	23	24	34.10546875	30.73828125	1.0833285649799411	-0.098728667964723349	-1.2987396452022006	0.011567976176841141
15	22	2726296	2796208	24	25	30.73828125	31.8828125	1.0256435838221529	0.037234718515694487	1.4438314018043956	0.00024503798088703748
6	23	2796208	2936016	25	26	31.8828125	37.3203125	1.0499991416947523	0.17054643469737818	3.2275627472069699	0.075361105296211012
27	24	2936016	3075832	26	27	37.3203125	38.50390625	1.0476209938910415	0.031714465145488813	0.67112404140328275	0.075361105296211012
5	25	3075832	3145728	27	28	38.50390625	41.65625	1.0227242580218945	0.08187075175002545	3.5020935429535807	0.063812519022014819
42	26	3145728	3355448	28	29	41.65625	41.78125	1.066668192545573	0.0030007501875468634	0.046424839912725321	0.051047120418848166
2	27	3355448	3355456	29	30	41.78125	43.77734375	1.0000023841823804	0.047774869109947549	19574.340992986141	0.051047120418848166
25	28	3355456	3495264	30	31	43.77734375	45.21875	1.0416658719411014	0.03292584991523162	0.79359208438112128	0.0044920525224602624
43	29	3495264	3635072	31	32	45.21875	44.40234375	1.0399992675803602	-0.018054595715273014	-0.46454779420101855	0.048825547637899182
17	30	3635072	3914696	32	33	44.40234375	48.6328125	1.0769239233775838	0.095275798363684272	1.2280087331347354	0.048825547637899182
34	31	3914696	4194312	33	34	48.6328125	49.96875	1.0714272576976602	0.027469879518072338	0.39279180092645283	0.0061044176706827307
47	32	4194312	4369072	34	35	49.96875	47.6796875	1.0416659514122937	-0.045809881175734812	-1.148722171077827	0.067835490742257906
33	33	4369072	17895704	35	36	47.6796875	85.15234375	4.0959965869182291	0.78592495494019343	0.41129952316619733	0.067835490742257906
48	34	17895704	20132664	36	37	85.15234375	74.21875	1.1249998323620014	-0.12840038533877696	-1.1667664287363919	0.13989473684210527
8	35	20132664	22369624	37	38	74.21875	94.18359375	1.1111109786563764	0.26899999999999991	2.2610885756164132	0.13989473684210527
31	36	22369624	24606592	38	39	94.18359375	99.41796875	1.1000002503394781	0.055576292978308572	0.56748122833953762	0.033387250632491393
13	37	24606592	26843552	39	40	99.41796875	114.5390625	1.0909089726850432	0.15209618482574361	1.6271806492432788	0.11915967532910443
46	38	26843552	29080512	40	42	114.5390625	104.94921875	1.0833332339922823	-0.083725530318532138	-1.0924095712834696	0.11915967532910443
3	39	29080512	30198992	42	43	104.94921875	133.05078125	1.03846149613872	0.26776342725276359	6.2864987118605207	0.040309673577250904
21	40	30198992	31317480	43	44	133.05078125	138	1.0370372627006887	0.037197968350899835	1.0042607432884103	0.019021739130434784
19	41	31317480	33554432	44	45	138	148.46875	1.0714282247486069	0.075860507246376718	1.0598363944452176	0.065091559671648078
51	42	33554432	33554440	45	46	148.46875	147.80859375	1.0000002384185791	-0.0044464323300358322	-18691.27674313528	0.065091559671648078
32	43	33554440	34952544	46	47	147.80859375	150.578125	1.0416667362054024	0.018737281640635262	0.45475168658704357	0.010428556604752516
37	44	34952544	36909880	47	48	150.578125	152.66796875	1.055999815063533	0.013878800456573526	0.25296155629568595	0.069365197144538551
10	45	36909880	40265320	48	49	152.66796875	180.03125	1.0909089923890296	0.17923393802932219	1.8947544494998509	0.069365197144538551
22	46	40265320	43620760	49	50	180.03125	194.2421875	1.0833332505491078	0.078935948620031171	0.94918572169166526	0.0653581627317701
29	47	43620760	46976208	50	51	194.2421875	203.98828125	1.0769231897839469	0.050174958774082068	0.66061325169051965	0.0653581627317701
40	48	46976208	50331648	51	52	203.98828125	205.296875	1.0714284984432971	0.0064150437563432749	0.092684376178270897	0.026713391164474062
45	49	50331648	53687096	52	53	205.296875	192.39453125	1.0666667620340984	-0.062847248649060106	-1.0057388555997584	0.080502710494792198
7	50	53687096	55924064	53	54	192.39453125	214.7890625	1.0416667722165491	0.11639900107607648	2.6972727788605169	0.080502710494792198
data_end
