machine,working_set_bytes,footprint_bytes,node_spacing_bytes,traversal_order,N_per_batch,unit,n_samples,median,mean,sd,q1,q3,iqr,p5,p95,min,max,n_outliers,outlier_fraction,num_nodes,warmup_steps,warmup_laps,seed,migrated_excluded,logical_cpu,source_raw_file
charnwood,4096,4096,64,randomized,1000,TSC_ticks_per_access,1000000,15.966,31.962778819999997,407.9559908724633,15.91,15.994,0.08399999999999963,15.11,16.114,12.452,20576.172,296264,0.296264,64,10000,156.250,20260904,0,6,capacity_ws4096_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,5760,5760,64,randomized,1000,TSC_ticks_per_access,1000000,11.066,22.637810534000003,345.2385460940619,11.05,11.086,0.03599999999999959,11.028,11.71,10.602,30728.144,147478,0.147478,90,10000,111.111,20260904,0,6,capacity_ws5760_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,8192,8192,64,randomized,1000,TSC_ticks_per_access,1000000,11.064,22.353846864,341.60991561712535,11.048,11.082,0.034000000000000696,11.028,11.286,10.61,20512.828,112112,0.112112,128,10000,78.125,20260904,0,6,capacity_ws8192_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,11584,11584,64,randomized,1000,TSC_ticks_per_access,1000000,11.064,22.41536715400001,342.5324598432908,11.048,11.084,0.03599999999999959,11.028,11.316,10.33,20520.51,138085,0.138085,181,10000,55.249,20260904,0,6,capacity_ws11584_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,16384,16384,64,randomized,1000,TSC_ticks_per_access,1000000,11.064,22.41950996,342.96918325193064,11.05,11.086,0.03599999999999959,11.028,11.314,10.488,20519.344,152124,0.152124,256,10000,39.062,20260904,0,6,capacity_ws16384_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,23168,23168,64,randomized,1000,TSC_ticks_per_access,1000000,11.16,22.760667534000007,344.97446967690536,11.062,11.296,0.23399999999999999,11.034,11.568,10.602,20541.45,44305,0.044305,362,10000,27.624,20260904,0,6,capacity_ws23168_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,23168,23168,64,randomized,1000,TSC_ticks_per_access,1000000,11.06,23.83423739799999,353.0503948441375,10.852,11.292,0.4399999999999995,10.648,15.8,9.242,30723.27,189898,0.189898,362,10000,27.624,20260904,0,6,capacity_ws23168_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,25280,25280,64,randomized,1000,TSC_ticks_per_access,1000000,11.234,22.553739171999993,342.2358221809093,10.914,11.324,0.41000000000000014,10.826,11.378,10.114,20498.814,12918,0.012918,395,10000,25.316,20260904,0,6,capacity_ws25280_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,27520,27520,64,randomized,1000,TSC_ticks_per_access,1000000,11.282,22.811829565999993,347.5617564015035,11.236,11.32,0.08399999999999963,10.882,11.374,10.442,44367.994,109767,0.109767,430,10000,23.256,20260904,0,6,capacity_ws27520_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,30016,30016,64,randomized,1000,TSC_ticks_per_access,1000000,11.436,22.930007516,347.396877511026,11.072,11.492,0.4200000000000017,11.006,11.568,10.554,47784.172,11378,0.011378,469,10000,21.322,20260904,0,6,capacity_ws30016_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,32768,32768,64,randomized,1000,TSC_ticks_per_access,1000000,11.622,23.685021709999994,352.67440436256175,11.536,11.666,0.13000000000000078,11.358,11.932,10.872,30828.674,120671,0.120671,512,10000,19.531,20260904,0,6,capacity_ws32768_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,32768,32768,64,randomized,1000,TSC_ticks_per_access,1000000,11.294,23.10031483999999,347.6336841902539,11.24,11.518,0.27800000000000047,10.988,11.74,10.872,20504.572,11036,0.011036,512,10000,19.531,20260904,0,6,capacity_ws32768_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,35712,35712,64,randomized,1000,TSC_ticks_per_access,1000000,18.418,34.86118549400001,425.93707195631856,15.258,18.51,3.2520000000000024,15.158,18.604,11.88,27319.89,5833,0.005833,558,10000,17.921,20260904,0,6,capacity_ws35712_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,38912,38912,64,randomized,1000,TSC_ticks_per_access,1000000,19.718,39.886095658000016,464.14716759584417,18.828,20.202,1.3740000000000023,18.092,20.576,14.698,23913.476,10876,0.010876,608,10000,16.447,20260904,0,6,capacity_ws38912_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,42432,42432,64,randomized,1000,TSC_ticks_per_access,1000000,20.502,41.08144436799998,462.6742044253966,20.198,20.564,0.36599999999999966,19.568,20.64,15.986,30725.568,70479,0.070479,663,10000,15.083,20260904,0,6,capacity_ws42432_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,46336,46336,64,randomized,1000,TSC_ticks_per_access,1000000,20.888,43.301694541999986,475.73429527708873,20.526,22.244,1.718,20.366,22.786,19.664,20602.208,14728,0.014728,724,10000,13.812,20260904,0,6,capacity_ws46336_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,46336,46336,64,randomized,1000,TSC_ticks_per_access,1000000,20.514,41.56831112600001,472.91452038189533,20.432,20.562,0.13000000000000256,19.728,20.63,16.202,20552.902,168552,0.168552,724,10000,13.812,20260904,0,6,capacity_ws46336_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,65536,65536,64,randomized,1000,TSC_ticks_per_access,1000000,20.616,42.84166560999998,473.47495017590717,20.532,20.94,0.40800000000000125,19.834,23.976,18.692,20592.332,260725,0.260725,1024,10000,9.766,20260904,0,6,capacity_ws65536_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,92672,92672,64,randomized,1000,TSC_ticks_per_access,1000000,29.744,60.56956942800001,562.7064270079302,29.646,29.934,0.28800000000000026,28.17,30.51,19.766,20628.042,179157,0.179157,1448,10000,6.906,20260904,0,6,capacity_ws92672_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,131072,131072,64,randomized,1000,TSC_ticks_per_access,1000000,20.626,42.302012200000036,469.7992636527616,20.556,20.798,0.24199999999999733,20.498,21.28,19.654,20602.218,65139,0.065139,2048,10000,4.883,20260904,0,6,capacity_ws131072_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,131072,131072,64,randomized,1000,TSC_ticks_per_access,1000000,23.61,48.087536592000006,500.86320396022046,23.094,23.884,0.7899999999999991,22.54,24.82,17.202,27414.786,61061,0.061061,2048,10000,4.883,20260904,0,6,capacity_ws131072_sp64_rand_charnwood_20260910-183600.csv.gz
charnwood,142912,142912,64,randomized,1000,TSC_ticks_per_access,1000000,24.926,50.718225643999986,522.5422782701108,24.702,25.122,0.41999999999999815,23.98,25.446,19.922,27325.232,92602,0.092602,2233,10000,4.478,20260904,0,6,capacity_ws142912_sp64_rand_charnwood_20260910-183600.csv.gz
