ece592_transition_analysis_format_version=1
source_processed_file=/home/rrsood/ECE592_HW1/data_processed/charnwood/capacity/phase1_capacity_coarse_randomized_v1.tsv
source_processed_sha256=fb76f8419257ca5e7976be935bb3f1a2e4bc467c52afc1fd182d3c14d8595972
source_hostname=charnwood.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/rrsood/ECE592_HW1/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/charnwood/capacity/phase1_capacity_coarse_randomized_v1.tsv --output data_processed/charnwood/capacity/phase1_capacity_coarse_transition_candidates_v1.tsv
analysis_working_directory=/home/rrsood/ECE592_HW1
python_version=3.12.3
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
40	0	512	688	0	1	7.81640625	7.90234375	1.34375	0.01099450274862579	0.037007874750439117	0.011369253583786456
54	1	688	856	1	2	7.90234375	7.81640625	1.2441860465116279	-0.010874938210578389	-0.05004771878520111	0.011369253583786456
38	2	856	1024	2	3	7.81640625	7.875	1.1962616822429906	0.007496251874062887	0.041675418718064183	0.0079365079365079361
50	3	1024	1368	3	4	7.875	7.86328125	1.3359375	-0.0014880952380952328	-0.0051416863654953132	0.0079365079365079361
53	4	1368	1712	4	5	7.86328125	7.8125	1.2514619883040936	-0.0064580228514654614	-0.028883665849325901	0.0064580228514654744
41	5	1712	2048	5	6	7.8125	7.8515625	1.1962616822429906	0.0049999999999998934	0.027832040883445961	0.0039800995024875619
43	6	2048	2736	6	7	7.8515625	7.875	1.3359375	0.0029850746268655914	0.010291041169872155	0.0039800995024875619
49	7	2736	3416	7	8	7.875	7.8671875	1.2485380116959064	-0.00099206349206348854	-0.0044715108498433413	0
47	8	3416	4096	8	9	7.8671875	7.86328125	1.1990632318501171	-0.00049652432969216065	-0.0027357384871738739	0.00049677098857426726
37	9	4096	5464	9	10	7.86328125	7.9765625	1.333984375	0.014406358668653807	0.049635844965336677	0.014691478942213516
55	10	5464	6832	10	11	7.9765625	7.859375	1.2503660322108345	-0.014691478942213565	-0.066240200175121527	0.014691478942213516
48	11	6832	8192	11	12	7.859375	7.85546875	1.1990632318501171	-0.00049701789264411378	-0.0027384585852098238	0.00099403578528827028
45	12	8192	10928	12	13	7.85546875	7.859375	1.333984375	0.00049726504226743629	0.0017251658478409544	0.00099403578528827028
44	13	10928	13656	13	14	7.859375	7.86328125	1.2496339677891655	0.0004970178926442248	0.0022297190846464281	0.00099403578528827028
46	14	13656	16384	14	15	7.86328125	7.86328125	1.1997656707674282	0	0	0.00049677098857426726
35	15	16384	21848	15	16	7.86328125	8.00390625	1.33349609375	0.017883755588673722	0.061589534075840745	0.014153245485602733
52	16	21848	27312	16	17	8.00390625	7.95703125	1.2500915415598681	-0.0058565153733528552	-0.026314025149030699	0.014153245485602733
10	17	27312	32768	17	18	7.95703125	8.87109375	1.1997656707674282	0.11487481590574378	0.59706998798326705	0.065609863496257151
15	18	32768	43696	18	19	8.87109375	9.87109375	1.33349609375	0.11272567151034796	0.37112936256453516	0.065609863496257151
12	19	43696	54616	19	20	9.87109375	10.93359375	1.2499084584401319	0.10763751483973083	0.45828321868371297	0.0067881386209360482
18	20	54616	65536	20	21	10.93359375	11.62890625	1.1999414091108833	0.063594140764558826	0.33825066178213709	0.01645952300974135
13	21	65536	87384	21	22	11.62890625	13.20703125	1.3333740234375	0.13570708767215311	0.44230056767707038	0.075421472937000883
22	22	87384	109232	22	23	13.20703125	14.09765625	1.2500228874851231	0.067435669920141939	0.29242990537490349	0.091715156553061797
57	23	109232	131072	23	24	14.09765625	12.9609375	1.1999414091108833	-0.080631753948462226	-0.46122387016700134	0.091715156553061797
19	24	131072	174768	24	25	12.9609375	14.2421875	1.3333740234375	0.098854731766124138	0.32764810407146183	0.02029621503017005
8	25	174768	218456	25	26	14.2421875	17.22265625	1.2499771125148769	0.20927043335161821	0.85161691762324576	0.056475391245180313
21	26	218456	262144	26	27	17.22265625	18.19140625	1.1999853517413117	0.056248582444998974	0.30016868401595537	0.056475391245180313
7	27	262144	349528	27	28	18.19140625	23.30859375	1.333343505859375	0.2812969722997638	0.86159783605044526	0.042399865929277691
6	28	349528	436912	28	29	23.30859375	28.69921875	1.2500057220022429	0.2312719959778784	0.93233037228950177	0.042399865929277691
9	29	436912	524288	29	30	28.69921875	32.23828125	1.1999853517413117	0.12331563903634146	0.63784278796584737	0.067005937234944871
27	30	524288	699056	30	31	32.23828125	33.8828125	1.333343505859375	0.051011753301829721	0.17294075696265102	0.067005937234944871
23	31	699056	873816	31	32	33.8828125	36.125	1.2499942779977571	0.066174775190223745	0.28716304217854649	0
25	32	873816	1048576	32	33	36.125	37.890625	1.1999963379018008	0.048875432525951501	0.2617319266008522	0.0084536082474226809
29	33	1048576	1398104	33	34	37.890625	39.50390625	1.3333358764648438	0.042577319587628892	0.14493625762507586	0.0084536082474226809
30	34	1398104	1747632	34	35	39.50390625	40.62109375	1.2500014305087461	0.028280431128250738	0.12497685713751798	0.00049441313161277566
32	35	1747632	2097152	35	36	40.62109375	41.359375	1.1999963379018008	0.018174824502356079	0.098792147745664152	0.00018889308651303362
34	36	2097152	2796208	36	37	41.359375	42.3984375	1.3333358764648438	0.025122780506233511	0.086248776500273808	0.0023954302561267735
36	37	2796208	3495256	37	38	42.3984375	42.921875	1.2499985694912539	0.012345679012345734	0.054987721795761405	0.0023954302561267735
39	38	3495256	4194304	38	39	42.921875	43.234375	1.1999990844733548	0.0072806698216236754	0.039788624974009992	0.0021842009464870769
16	39	4194304	5592408	39	40	43.234375	48.05859375	1.3333339691162109	0.11158294181423933	0.36771459866043932	0.062342518085019914
1	40	5592408	6990512	40	41	48.05859375	74.00390625	1.2500003576276981	0.53986832479882962	1.9346127340595123	0.10762734230667723
2	41	6990512	8388608	41	42	74.00390625	96.3984375	1.1999990844733548	0.30261282660332545	1.4500381904673707	0.10762734230667723
3	42	8388608	11184816	42	43	96.3984375	141.80859375	1.3333339691162109	0.47106734743496226	1.3417158077953537	0.021962881919118243
4	43	11184816	13981016	43	44	141.80859375	183.90234375	1.2499996423723019	0.29683497231633749	1.1648420533494916	0.010990827204363276
5	44	13981016	16777216	44	45	183.90234375	221.24609375	1.1999997711182078	0.20306293676586162	1.0139829254995014	0.0078803712908090649
11	45	16777216	22369624	45	46	221.24609375	261.7578125	1.3333334922790527	0.18310704638146857	0.58447854263014543	0.0019400089538874794
17	46	22369624	27962032	46	47	261.7578125	282.57421875	1.2500000894069565	0.079525443963587517	0.34292506260662659	0.0054604017196809469
20	47	27962032	33554432	47	48	282.57421875	298.95703125	1.1999997711182078	0.057977024841371794	0.30911691135075403	0.02280062195392837
24	48	33554432	44739248	48	49	298.95703125	322.98046875	1.3333334922790527	0.080357492846223177	0.2686714732397873	0.02280062195392837
