ece592_transition_analysis_format_version=1
source_processed_file=/home/rrsood/ECE592_HW1/data_processed/charnwood/capacity/phase1_capacity_dense_transition_randomized_v1.tsv
source_processed_sha256=0dea9d68d5e5ebb52873e5ee0a067fac0454d392cd54526456e90e2a9b9b6578
source_hostname=charnwood.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=4
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/rrsood/ECE592_HW1/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/charnwood/capacity/phase1_capacity_dense_transition_randomized_v1.tsv --output data_processed/charnwood/capacity/phase1_capacity_dense_transition_candidates_v1.tsv
analysis_working_directory=/home/rrsood/ECE592_HW1
python_version=3.12.3
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
20	0	279624	314576	0	1	20.62890625	23.76953125	1.1249964237690613	0.15224389320204512	1.2031875109182317	0.10961380443714051
26	1	314576	349528	1	2	23.76953125	26.41796875	1.1111082854381771	0.11142152834839769	1.002675446361968	0.10961380443714051
36	2	349528	384480	2	3	26.41796875	25.94921875	1.0999977111991028	-0.017743604909064015	-0.1878424822615016	0.091823155404406331
21	3	384480	419440	3	4	25.94921875	28.625	1.0909280066583438	0.10311606202017165	1.127661798174256	0.046670305676855893
24	4	419440	454392	4	5	28.625	31.26171875	1.0833301544917033	0.092112445414847199	1.1008757311630744	0.10083718605522929
33	5	454392	489344	5	6	31.26171875	31.8671875	1.0769203683163435	0.019367737098588078	0.25885501935956684	0.10083718605522929
38	6	489344	524296	6	7	31.8671875	31.34765625	1.071426235940361	-0.016303015444962043	-0.23825492215409169	0.026722235842118167
15	7	524296	546144	7	8	31.34765625	33.41015625	1.0416711170789019	0.065794392523364387	1.5607704159656033	0.015550099380334385
35	8	546144	4473928	8	9	33.41015625	43.6484375	8.1918468389289263	0.3064421840289957	0.12709930498895936	0.015550099380334385
30	9	4473928	5033168	9	10	43.6484375	47.515625	1.1249997764827686	0.088598532307141653	0.72074269018181736	0.061657349556067081
