ece592_inclusion_policy_processed_version=1
summary_purpose=8.2.7_inclusion_exclusion_behavior
source_run_directory=/home/rrsood/ECE592_HW1/data_raw/charnwood/inclusion_policy/raw/charnwood_inclusion_policy_20260914T142543Z
processing_script=process_inclusion_policy_run.py
processing_command=/home/rrsood/ECE592_HW1/scripts/process_inclusion_policy_run.py --run-directory /home/rrsood/ECE592_HW1/data_raw/charnwood/inclusion_policy/raw/charnwood_inclusion_policy_20260914T142543Z --output /home/rrsood/ECE592_HW1/data_processed/charnwood/inclusion_policy/charnwood_inclusion_policy_20260914T142543Z.tsv
processing_working_directory=/home/rrsood/ECE592_HW1
python_version=3.12.3
standard_deviation_definition=population
quantile_method=linear interpolation at (n-1)*p
outlier_definition=outside q1-1.5*iqr and q3+1.5*iqr
timer_overhead_subtracted=false
eviction_threshold_rule=quantile of the same point's baseline distribution at 1-false_positive_rate
eviction_probability=fraction of after-pressure samples above that threshold
cache_policy_labels_assigned=false
processed_point_count=84
row_order=trial then series_index then pressure_bytes
data_begin
global_execution_index	trial	trial_execution_index	series_index	plot_index	target_bytes	target_line_spacing_bytes	pressure_source	pressure_bytes	pressure_line_spacing_bytes	pressure_order	pressure_passes	helper_cpu	accesses_per_sample	point_seed	raw_filename	raw_sha256	raw_experiment_name	raw_hostname	raw_kernel_release	raw_isa	raw_cpu_model	raw_page_size_bytes	raw_logical_cpu	raw_affinity_cpu_list	raw_physical_core_id	raw_physical_package_id	raw_numa_node	raw_thread_siblings_list	raw_compiler_version	raw_compiler_flags	raw_git_commit	raw_smt_siblings_idle	raw_timer_name	raw_timer_unit	raw_timer_frequency_hz_valid	raw_target_bytes	raw_target_line_spacing_bytes	raw_target_node_count	raw_pressure_source	raw_pressure_bytes	raw_pressure_node_count	raw_pressure_order	raw_pressure_passes_per_round	raw_pressure_pass_count	raw_helper_pass_count	raw_measuring_logical_cpu	raw_measuring_physical_core_id	raw_measuring_physical_package_id	raw_helper_used	raw_helper_logical_cpu	raw_helper_physical_core_id	raw_helper_physical_package_id	raw_helper_same_package	raw_helper_is_smt_sibling	raw_timed_sample_count	raw_round_count	raw_samples_per_round	raw_accesses_per_sample	raw_warmup_round_count	raw_random_seed	baseline_ticks_count	baseline_ticks_mean	baseline_ticks_population_stddev	baseline_ticks_minimum	baseline_ticks_p05	baseline_ticks_q1	baseline_ticks_median	baseline_ticks_q3	baseline_ticks_p95	baseline_ticks_maximum	baseline_ticks_lower_outlier_fence	baseline_ticks_upper_outlier_fence	baseline_ticks_outlier_count	after_pressure_ticks_count	after_pressure_ticks_mean	after_pressure_ticks_population_stddev	after_pressure_ticks_minimum	after_pressure_ticks_p05	after_pressure_ticks_q1	after_pressure_ticks_median	after_pressure_ticks_q3	after_pressure_ticks_p95	after_pressure_ticks_maximum	after_pressure_ticks_lower_outlier_fence	after_pressure_ticks_upper_outlier_fence	after_pressure_ticks_outlier_count	overhead_ticks_count	overhead_ticks_mean	overhead_ticks_population_stddev	overhead_ticks_minimum	overhead_ticks_p05	overhead_ticks_q1	overhead_ticks_median	overhead_ticks_q3	overhead_ticks_p95	overhead_ticks_maximum	overhead_ticks_lower_outlier_fence	overhead_ticks_upper_outlier_fence	overhead_ticks_outlier_count	requested_false_positive_rate	eviction_threshold_ticks	after_pressure_above_threshold_count	eviction_probability	baseline_above_threshold_fraction	threshold_is_confident	tukey_fence_threshold_ticks	eviction_probability_tukey_fence	delta_median_ticks	baseline_median_ticks_per_access	after_pressure_median_ticks_per_access	delta_median_ticks_per_access	separation_ratio_median
29	0	29	0	0	8192	64	none	0	64	sequential	0	-1	1	13434040110859652870	charnwood_inclusionpolicy_trial000_exec0029_series00_plot0000_target0000008192_none_pressure000000000000_helper999_seed13434040110859652870.tsv.gz	287ff1f8cb8e768280b936d8bf0f99596d6f67c7eca75abfd280aa73d5cc146c	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	none	0	0	sequential-dependent-single-cycle	1	0	0	4	0	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	13434040110859652870	1000064	74.129613704719119	61.639154784491176	64	72	72	74	74	76	40784	69	77	27747	1000064	74.252775822348625	42.747395318857492	62	72	74	74	74	76	15200	74	74	402093	1000064	55.288677524639589	36.170440095556124	48	54	54	56	56	58	21656	51	59	10558	0.001	86	1168	0.0011679252527838219	0.00028398182516318956	true	77	0.044933124280046075	0	74	74	0	1
38	0	38	1	1	8192	64	self	65536	64	sequential	1	-1	1	4486159773690201395	charnwood_inclusionpolicy_trial000_exec0038_series01_plot0001_target0000008192_self_pressure000000065536_helper999_seed04486159773690201395.tsv.gz	be388b7b656831a059daf9c0fbb4e2982ad694619f7cfc788e8461d65b9cdf07	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	65536	1024	sequential-dependent-single-cycle	1	7815	0	4	0	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	4486159773690201395	1000064	74.363718721997699	66.110962585826684	64	72	74	74	74	76	41044	74	74	442462	1000064	80.536695651480613	103.78163074081532	68	76	78	80	82	84	45302	72	88	6500	1000064	55.710800508767825	106.91217657796184	48	54	54	56	56	58	78746	51	59	16681	0.001	88	6356	0.00635559324203251	0.00085694515551004735	true	74	0.98689383879431714	6	74	80	6	1.0810810810810811
30	0	30	1	2	8192	64	self	524288	64	sequential	1	-1	1	5454329148859750283	charnwood_inclusionpolicy_trial000_exec0030_series01_plot0002_target0000008192_self_pressure000000524288_helper999_seed05454329148859750283.tsv.gz	e6703f4a0c3a530afd4c69aab25e8955468df434c602b1c75df42d6ca4a3681b	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	524288	8192	sequential-dependent-single-cycle	1	7815	0	4	0	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	5454329148859750283	1000064	74.069959522590153	77.480200191666569	64	72	72	74	74	76	45278	69	77	23682	1000064	86.908585850502703	59.084622122798663	70	78	80	82	96	104	42716	56	120	3501	1000064	55.206880759631638	71.691222985796145	48	54	54	56	56	56	49544	51	59	6765	0.001	83.874000000068918	365448	0.36542461282477923	0.0010009359400998336	true	77	0.96343833994624339	8	74	82	8	1.1081081081081081
21	0	21	1	3	8192	64	self	15728640	64	sequential	1	-1	1	2553261902913031682	charnwood_inclusionpolicy_trial000_exec0021_series01_plot0003_target0000008192_self_pressure000015728640_helper999_seed02553261902913031682.tsv.gz	c46c8826c81c8aa19f3af3f4e62c81708427378eb57fb669cb6dd1797b0d8ca9	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	15728640	245760	sequential-dependent-single-cycle	1	7815	0	4	0	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	2553261902913031682	1000064	77.178908549852139	65.806889811710633	66	74	76	76	78	82	41748	73	81	81520	1000064	97.78366184564095	103.99750822004407	70	80	82	86	102	112	41980	52	132	36326	1000064	57.645338698324807	43.185451350952846	50	54	56	58	58	62	18136	53	61	55973	0.001	92	375372	0.3753479777294253	0.0006659573787277614	true	81	0.8764959042621272	10	76	86	10	1.131578947368421
22	0	22	1	4	8192	64	self	62914560	64	sequential	1	-1	1	15822016635197211724	charnwood_inclusionpolicy_trial000_exec0022_series01_plot0004_target0000008192_self_pressure000062914560_helper999_seed15822016635197211724.tsv.gz	8059162c57ba93e66290d769ff3baad37826cece498b12d9f6cb1e03ddfa7dc5	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	62914560	983040	sequential-dependent-single-cycle	1	7815	0	4	0	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	15822016635197211724	1000064	82.891432948296512	83.086180802710615	66	78	80	82	84	88	41214	74	90	25691	1000064	114.01117328490956	158.15834542371067	74	84	88	90	108	294	42166	58	138	81284	1000064	61.839450275183864	59.987516418002294	50	58	60	62	62	66	41710	57	65	108511	0.001	108	244802	0.24478633367464483	0.00090894182772302578	true	90	0.49248748080122873	8	82	90	8	1.0975609756097562
5	0	5	2	5	8192	64	helper	3932160	64	sequential	1	5	1	9659343732093274974	charnwood_inclusionpolicy_trial000_exec0005_series02_plot0005_target0000008192_helper_pressure000003932160_helper005_seed09659343732093274974.tsv.gz	af6e65d0ca0c6626c541e6e325d4475b683fafb35b3c5b8abd2fec5ede27a769	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	3932160	61440	sequential-dependent-single-cycle	1	7815	7815	4	0	0	true	5	1	0	true	false	1000064	7813	128	1	2	9659343732093274974	1000064	74.193061644055078	77.311629986541874	64	72	72	74	74	76	57008	69	77	25765	1000064	76.085784509789079	63.354971943713934	64	72	74	74	76	82	43942	71	79	202781	1000064	55.351847481761453	56.544739806105447	48	54	54	56	56	58	43622	51	59	10774	0.001	88	23624	0.023622488160757713	0.00088594329962882374	true	77	0.23149918405222067	0	74	74	0	1
13	0	13	2	6	8192	64	helper	15728640	64	sequential	1	5	1	4048844278262796615	charnwood_inclusionpolicy_trial000_exec0013_series02_plot0006_target0000008192_helper_pressure000015728640_helper005_seed04048844278262796615.tsv.gz	18ad314505898fc4e19c16db1c75c844078169ade42a1c701d26b273a3dabedf	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	15728640	245760	sequential-dependent-single-cycle	1	7815	7815	4	0	0	true	5	1	0	true	false	1000064	7813	128	1	2	4048844278262796615	1000064	76.143320827466766	57.811933921679099	66	74	74	76	76	78	20264	71	79	23051	1000064	106.83427460642558	106.82758844410387	66	74	80	82	84	294	30022	74	90	186081	1000064	57.092742064507782	148.26649925472759	50	54	56	56	58	58	139118	53	61	12940	0.001	94	176053	0.17604173332906695	0.00092394086778446174	true	79	0.78184496192243691	6	76	82	6	1.0789473684210527
41	0	41	2	7	8192	64	helper	23592960	64	sequential	1	5	1	4716487249944504408	charnwood_inclusionpolicy_trial000_exec0041_series02_plot0007_target0000008192_helper_pressure000023592960_helper005_seed04716487249944504408.tsv.gz	ed7fef7bdfb3e5f2f1e05b4a6733f6020328cc673bec893c7daf65babec5f018	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	23592960	368640	sequential-dependent-single-cycle	1	7815	7815	4	0	0	true	5	1	0	true	false	1000064	7813	128	1	2	4716487249944504408	1000064	77.290631399590282	59.875047545863744	66	74	74	76	76	86	14318	71	79	94754	1000064	117.44921525022463	131.79262175802697	68	76	80	82	98	296	42518	53	125	144754	1000064	57.701317115704967	45.878733154949749	48	54	56	56	58	64	18024	53	61	70024	0.001	128	143273	0.14326383111480864	0.00097293773198515294	true	79	0.89590866184564188	6	76	82	6	1.0789473684210527
34	0	34	2	8	8192	64	helper	31457280	64	sequential	1	5	1	6408941002793262312	charnwood_inclusionpolicy_trial000_exec0034_series02_plot0008_target0000008192_helper_pressure000031457280_helper005_seed06408941002793262312.tsv.gz	ee0a0619741cb2c6feb77480529f2d1bf6e6954cca540c3f2a0a6c8d58803f18	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	31457280	491520	sequential-dependent-single-cycle	1	7815	7815	4	0	0	true	5	1	0	true	false	1000064	7813	128	1	2	6408941002793262312	1000064	76.123888071161772	49.272097371946423	66	74	74	76	76	78	13856	71	79	33810	1000064	116.57835298540937	126.71257120574619	68	78	82	82	88	296	47054	73	97	223247	1000064	56.93623008127441	42.289374316743775	50	54	56	56	58	58	13130	53	61	11134	0.001	92	235709	0.23569391558940228	0.00087994368360424938	true	79	0.92030810028158194	6	76	82	6	1.0789473684210527
32	0	32	2	9	8192	64	helper	39321600	64	sequential	1	5	1	3766617846658164448	charnwood_inclusionpolicy_trial000_exec0032_series02_plot0009_target0000008192_helper_pressure000039321600_helper005_seed03766617846658164448.tsv.gz	6422a91465af2f0824c5dd7bcc80ef677e9338343a6e47524944c293d2481f20	inclusion-policy-phase1	charnwood.ece.ncsu.edu	6.8.0-101-generic	x86_64	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	4096	4	4	0	0	0	0,4	13.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	39321600	614400	sequential-dependent-single-cycle	1	7815	7815	4	0	0	true	5	1	0	true	false	1000064	7813	128	1	2	3766617846658164448	1000064	76.915567403688101	82.405254047441417	66	74	74	76	76	80	48592	71	79	69033	1000064	115.70686076091485	119.65116200961158	70	78	82	84	100	294	30782	55	127	139158	1000064	57.543417221297418	64.366193287987386	50	54	56	56	58	60	15284	53	61	44595	0.001	114	144021	0.14401178324587227	0.00097793741200563155	true	79	0.94597445763471133	8	76	84	8	1.1052631578947369
