ece592_transition_analysis_format_version=1
source_processed_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/crux/capacity/phase1_capacity_coarse_randomized_v1.tsv
source_processed_sha256=ed511c1b3d65731f892559c9b62384026adce95fe119bf3b068b9257b0c754ad
source_hostname=crux.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/crux/capacity/phase1_capacity_coarse_randomized_v1.tsv --output data_processed/crux/capacity/phase1_capacity_coarse_transition_candidates_v1.tsv
analysis_working_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
45	0	512	688	0	1	5.81640625	5.828125	1.34375	0.002014775016789816	0.0068121552183391014	0.0020147750167897917
47	1	688	856	1	2	5.828125	5.828125	1.2441860465116279	0	0	0
40	2	856	1024	2	3	5.828125	5.859375	1.1962616822429906	0.0053619302949061698	0.029841315121078536	0.0053333333333333332
52	3	1024	1368	3	4	5.859375	5.84375	1.3359375	-0.002666666666666706	-0.0092193426110132766	0.0053333333333333332
49	4	1368	1712	4	5	5.84375	5.8359375	1.2514619883040936	-0.0013368983957219305	-0.0059639703050443083	0.0026737967914438501
44	5	1712	2048	5	6	5.8359375	5.84375	1.1962616822429906	0.0013386880856760541	0.0074653022897657991	0.0026737967914438501
56	6	2048	2736	6	7	5.84375	5.8046875	1.3359375	-0.0066844919786096524	-0.023156637819166166	0.0080753701211305519
38	7	2736	3416	7	8	5.8046875	5.8515625	1.2485380116959064	0.0080753701211304652	0.036233815792513294	0.0080753701211305519
48	8	3416	4096	8	9	5.8515625	5.84765625	1.1990632318501171	-0.00066755674232310547	-0.0036784036964251673	0.0006680026720106881
53	9	4096	5464	9	10	5.84765625	5.83203125	1.333984375	-0.0026720106880427918	-0.009284744084655152	0.00066979236436704619
42	10	5464	6832	10	11	5.83203125	5.85546875	1.2503660322108345	0.0040187541862022336	0.017950082189847019	0.00066979236436704619
51	11	6832	8192	11	12	5.85546875	5.84765625	1.1990632318501171	-0.0013342228152101177	-0.0073543526688130611	0.0006680026720106881
50	12	8192	10928	12	13	5.84765625	5.8359375	1.333984375	-0.0020040080160320661	-0.0069612280745393216	0.0006680026720106881
46	13	10928	13656	13	14	5.8359375	5.83984375	1.2496339677891655	0.00066934404283802706	0.0030025491689156525	0.00066889632107023408
55	14	13656	16384	14	15	5.83984375	5.822265625	1.1997656707674282	-0.0030100334448160959	-0.01655210320007439	0.0043609527004360949
41	15	16384	21848	15	16	5.822265625	5.859375	1.33349609375	0.006373700100637425	0.022075686873772048	0.0043609527004360949
39	16	21848	27312	16	17	5.859375	5.90234375	1.2500915415598681	0.0073333333333334139	0.032733090768882686	0.0026666666666666666
25	17	27312	32768	17	18	5.90234375	6.0390625	1.1997656707674282	0.023163467902051593	0.12573291985209439	0.00129366106080207
10	18	32768	43696	18	19	6.0390625	7.2578125	1.33349609375	0.20181112548512292	0.63873192796781353	0.0016146393972012918
14	19	43696	54616	19	20	7.2578125	7.9921875	1.2499084584401319	0.10118406889128084	0.43208809281321819	0.0016146393972012918
9	20	54616	65536	20	21	7.9921875	9.025390625	1.1999414091108833	0.12927663734115358	0.66700753256648748	0.063838995888335859
43	21	65536	87384	21	22	9.025390625	9.05859375	1.3333740234375	0.0036788573901753718	0.012763108318520705	0.063838995888335859
24	22	87384	109232	22	23	9.05859375	9.3203125	1.2500228874851231	0.028891763691246242	0.12763052457758536	0.00043122035360068997
2	23	109232	131072	23	24	9.3203125	12.35546875	1.1999414091108833	0.32564962279966481	1.5465978968041518	0.22699968384445146
57	24	131072	174768	24	25	12.35546875	11.890625	1.3333740234375	-0.037622510275055365	-0.13328754359394535	0.22699968384445146
6	25	174768	218456	25	26	11.890625	14.330078125	1.2499771125148769	0.20515768725361361	0.83634831363577911	0.055199672890827313
11	26	218456	262144	26	27	14.330078125	16.021484375	1.1999853517413117	0.11803189314433693	0.61198123622502187	0.16737778861392175
13	27	262144	349528	27	28	16.021484375	18.330078125	1.333343505859375	0.14409362428379868	0.46790944607182794	0.16737778861392175
3	28	349528	436912	28	29	18.330078125	25.373046875	1.2500057220022429	0.38423015450186471	1.457077599394877	0.12785774767146485
54	29	436912	524288	29	30	25.373046875	25.30078125	1.1999853517413117	-0.0028481256254330178	-0.015644777711166968	0.12785774767146485
18	30	524288	699056	30	31	25.30078125	27.44140625	1.333343505859375	0.084607071174926718	0.2823103312562556	0.065771190365910143
17	31	699056	873816	31	32	27.44140625	29.326171875	1.2499942779977571	0.068683274021352325	0.29769477090214763	0.029637029637029636
19	32	873816	1048576	32	33	29.326171875	30.732421875	1.1999963379018008	0.047952047952047883	0.25690112515235514	0.029637029637029636
28	33	1048576	1398104	33	34	30.732421875	31.552734375	1.3333358764648438	0.026692087702573808	0.091565991191213322	0.023196695265332062
26	34	1398104	1747632	34	35	31.552734375	32.2734375	1.2500014305087461	0.022841225626740957	0.10120908402115562	0.009842154131847726
23	35	1747632	2097152	35	36	32.2734375	33.08984375	1.1999963379018008	0.025296538368433819	0.13702326304864521	0.0060518034374243525
15	36	2097152	2796208	36	37	33.08984375	36.904296875	1.3333358764648438	0.11527564632274823	0.37924110639902248	0.072770574225985707
5	37	2796208	3495256	37	38	36.904296875	45.673828125	1.2499985694912539	0.23762900238158235	0.95543226109268709	0.1693820825315373
4	38	3495256	4194304	38	39	45.673828125	57.109375	1.1999990844733548	0.25037417147744279	1.2255477775161885	0.17975376196990425
1	39	4194304	5592408	39	40	57.109375	110.154296875	1.3333339691162109	0.92883036935704522	2.2834676437369543	0.17975376196990425
8	40	5592408	6990512	40	41	110.154296875	128.689453125	1.2500003576276981	0.16826539477650315	0.6969499223059139	0.055976169790244508
7	41	6990512	8388608	41	42	128.689453125	149.046875	1.1999990844733548	0.15819028972969695	0.80549611888562744	0.042389473204935572
12	42	8388608	11184816	42	43	149.046875	173.86328125	1.3333339691162109	0.166500681413146	0.53534146235758595	0.036062480343851559
16	43	11184816	13981016	43	44	173.86328125	188.03515625	1.2499996423723019	0.08151160439461691	0.35116316948281079	0.022399964052214158
20	44	13981016	16777216	44	45	188.03515625	196.419921875	1.1999997711182078	0.044591478488480885	0.23928012525755935	0.012194361925338097
21	45	16777216	22369624	45	46	196.419921875	208.501953125	1.3333334922790527	0.061511231318424509	0.2074983591142307	0.013311101327363165
31	46	22369624	27962032	46	47	208.501953125	211.83984375	1.2500000894069565	0.016008917782170062	0.071174458226974158	0.013311101327363165
22	47	27962032	33554432	47	48	211.83984375	217.31640625	1.1999997711182078	0.02585237225940884	0.13999373886264324	0.0067489074514576535
29	48	33554432	44739248	48	49	217.31640625	222.810546875	1.3333334922790527	0.025281757230420698	0.086788340199552574	0.0035770136429816835
34	49	44739248	55924056	49	50	222.810546875	225.546875	1.2499999105930435	0.012280963192173866	0.054700966199553891	0.001025605063157987
27	50	55924056	67108864	50	51	225.546875	229.556640625	1.1999999427795438	0.017777970211291905	0.096652284790911494	0.00038287119362221674
33	51	67108864	89478488	51	52	229.556640625	233.76953125	1.3333333730697632	0.018352292547624938	0.063215339174801335	0.00040103600969170356
32	52	89478488	111848112	52	53	233.76953125	237.185546875	1.2500000223517411	0.014612749603141406	0.065012011151960314	0.00040103600969170356
