ece592_transition_analysis_format_version=1
source_processed_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/crux/capacity/phase1_capacity_dense_transition_randomized_v1.tsv
source_processed_sha256=99e617f0697a1ac54ddca0be73ad4b6d93d9851fbd8ad7b112f758de761d889a
source_hostname=crux.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=4
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/crux/capacity/phase1_capacity_dense_transition_randomized_v1.tsv --output data_processed/crux/capacity/phase1_capacity_dense_transition_candidates_v1.tsv
analysis_working_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
37	0	87392	98312	0	1	8.982421875	9.203125	1.1249542292200658	0.024570558817134103	0.20615825873359375	0.0021222410865874364
24	1	98312	109232	1	2	9.203125	10.130859375	1.1110749450728294	0.10080645161290325	0.91184756477061113	0.0021222410865874364
43	2	109232	120160	2	3	10.130859375	9.48046875	1.1000439431668376	-0.064198958935801076	-0.69588148349632828	0.004944375772558714
9	3	120160	131080	3	4	9.48046875	11.71484375	1.090878828229028	0.23568191182529863	2.4329055809187805	0.12270756918972991
44	4	131080	139816	4	5	11.71484375	11.166015625	1.066646322856271	-0.046848949649883287	-0.74368099947013167	0.12270756918972991
48	5	139816	142000	5	6	11.166015625	10.001953125	1.0156205298392174	-0.1042504810215148	-7.102966836435999	0.038469049013864477
16	6	142000	152928	6	7	10.001953125	11.0234375	1.0769577464788733	0.10212849052919348	1.3116143156642288	0.038469049013864477
47	7	152928	157296	7	8	11.0234375	9.7734375	1.0285624607658506	-0.11339475549255851	-4.2736583044524252	0.017363571934798015
15	8	157296	163840	8	9	9.7734375	10.3359375	1.0416030922591801	0.05755395683453246	1.3728492156255105	0.054421768707482991
21	9	163840	174768	9	10	10.3359375	11.140625	1.06669921875	0.07785336356764927	1.1611050573334829	0.054421768707482991
