phase2_eight_counter_summary_version=1
normalization=raw counts divided by timed_samples * batch
last_cache_mapping=LLC-loads/LLC-load-misses on x86; l2d_cache_rd/l2d_cache_refill_rd on Thunderbird Arm
timed_access_definition=one dependent pointer-chase load in the benchmark timed batch
data_begin
machine	workload	source_file	source_sha256	events_recorded	nodes	spacing_bytes	working_set_bytes	timed_samples	batch	timed_dependent_accesses	cycles	instructions	cache_references	cache_misses	l1_dcache_loads	l1_dcache_load_misses	last_cache_load_event	last_cache_miss_event	last_cache_loads	last_cache_load_misses	seconds_elapsed	cycles_per_timed_access	instructions_per_timed_access	cache_misses_per_timed_access	l1_misses_per_timed_access	last_cache_misses_per_timed_access	l1_miss_rate_percent	last_cache_miss_rate_percent	ipc
thunderbird	l1_resident	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/thunderbird/phase2_eight_counter_v1/perf_stat_l1_resident_v1.txt	3a5e669938589a5e78149f1abc3588701aaf5571d2510304696a8f60948f1010	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,l2d_cache_rd,l2d_cache_refill_rd	4096	8	32768	1000000	256	256000000	3448202751	4126730979	2283130304	314148	2282543023	313531	l2d_cache_rd	l2d_cache_refill_rd	675226	80266	1.201636526	13.46954199609375	16.12004288671875	0.001227140625	0.00122473046875	0.0003135390625	0.013736039007401439	11.887279222067871	1.1967773582348726
thunderbird	last_cache_sized	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/thunderbird/phase2_eight_counter_v1/perf_stat_last_cache_sized_v1.txt	8d7e0a8d54f4bd688629c285260cb7f35fa03ba351dad77fbd267b704a19ee76	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,l2d_cache_rd,l2d_cache_refill_rd	131072	8	1048576	1000000	256	256000000	10692596910	4146742756	2295629729	243530413	2301107205	243353556	l2d_cache_rd	l2d_cache_refill_rd	243685619	50072650	3.592900979	41.7679566796875	16.198213890625	0.95129067578125	0.950599828125	0.1955962890625	10.575498415337846	20.548052940292713	0.38781437202798286
thunderbird	larger_than_last_cache	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/thunderbird/phase2_eight_counter_v1/perf_stat_larger_than_last_cache_v1.txt	5eac3f9e094b426325e35dc8362ecfee799592d7a9a7939450ce54426da5a8e3	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,l2d_cache_rd,l2d_cache_refill_rd	4194304	8	33554432	1000000	256	256000000	30548497381	4846922143	2676454311	265366891	2681008059	265631411	l2d_cache_rd	l2d_cache_refill_rd	266906652	258385616	10.221862119	119.33006789453125	18.93328962109375	1.03658941796875	1.03762269921875	1.0093188125	9.907893044494575	96.8074845882822	0.15866319323498382
artemisia	l1_resident	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/artemisia/phase2_eight_counter_v1/perf_stat_l1_resident_v1.txt	d9eac62d496789d975530c082580cbcf1568f96ce67d7d50a88cba0e2038bd9a	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	4096	8	32768	1000000	256	256000000	2129511637	3552999164	1130866	828483	1653605329	1476675	LLC-loads	LLC-load-misses	464471	313284	3.727260665	8.31840483203125	13.878902984375	0.00323626171875	0.00576826171875	0.001223765625	0.08930032905088685	67.4496362528554	1.6684572661013357
artemisia	last_cache_sized	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/artemisia/phase2_eight_counter_v1/perf_stat_last_cache_sized_v2.txt	6e65d91f7b4056ace166d2402cf77d39b840b747ef752c0aff6ca8b341e6d2e5	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	4194304	8	33554432	1000000	256	256000000	63436373885	4574972611	269365460	211655692	2056765211	425038332	LLC-loads	LLC-load-misses	260192728	207829767	102.754107781	247.79833548828125	17.87098676171875	0.826780046875	1.660305984375	0.81183502734375	20.66537929204599	79.87531726866709	0.07211907507975934
artemisia	larger_than_last_cache	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/artemisia/phase2_eight_counter_v1/perf_stat_larger_than_last_cache_v1.txt	9087fdbdde95219db93ee08286d7b9c70d1ebccf81a0551c53cde5bae200279c	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	8388608	8	67108864	1000000	256	256000000	72796434808	5384813295	288826354	256795803	2400708225	486328449	LLC-loads	LLC-load-misses	273902277	248493897	127.810645759	284.36107346875	21.03442693359375	1.00310860546875	1.89972050390625	0.97067928515625	20.257707452141545	90.7235601403927	0.07397083812143275
crux	l1_resident	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/crux/phase2_eight_counter_v1/perf_stat_l1_resident_v1.txt	70339e7c13635edd8b22f9788e05a600877c6f850d1ae92e9b4f7d3693741235	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	2048	8	16384	1000000	256	256000000	2981340180	3417954824	2815289	1560766	1639748076	1966042	LLC-loads	LLC-load-misses	147694	75603	0.675666476	11.645860078125	13.35138603125	0.0060967421875	0.0076798515625	0.00029532421875	0.11989902770893691	51.18894471000853	1.1464491194024025
crux	last_cache_sized	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/crux/phase2_eight_counter_v1/perf_stat_last_cache_sized_v1.txt	cfdb387655d5e121333da1a823963f634d8d81725b832a658e0b050596e3db09	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	1048576	8	8388608	1000000	256	256000000	46160249705	3678879970	786053120	343813482	1735671338	309652251	LLC-loads	LLC-load-misses	258525460	114652646	10.129529538	180.31347541015626	14.3706248828125	1.3430214140625	1.20957910546875	0.4478618984375	17.840488819548625	44.34868658583955	0.07969800842740046
crux	larger_than_last_cache	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/crux/phase2_eight_counter_v1/perf_stat_larger_than_last_cache_v1.txt	068bcabbee8a731961fcdf88d92e3072b8a581b67712749e04485b9c4b0d8f48	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	2097152	8	16777216	1000000	256	256000000	69687598114	3899240229	839581744	591837066	1823951045	382883132	LLC-loads	LLC-load-misses	280005861	195605491	15.281791683	272.2171801328125	15.23140714453125	2.3118635390625	1.495637234375	0.76408394921875	20.991963191643666	69.85764165843658	0.05595314423983076
upgrade	l1_resident	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/upgrade/phase2_eight_counter_v1/perf_stat_l1_resident_v1.txt	a33e7623718d6cc6ec2fe75c68f6e6429e1203e9b98cabcc148a18cd76561d03	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	2048	8	16384	1000000	256	256000000	3039081204	3556635847	2913311	1221233	1649695848	2079884	LLC-loads	LLC-load-misses	139412	30021	0.72846623	11.871410953125	13.89310877734375	0.00477044140625	0.008124546875	0.00011726953125	0.12607681607015842	21.534014288583478	1.1702997084509625
upgrade	last_cache_sized	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/upgrade/phase2_eight_counter_v1/perf_stat_last_cache_sized_v1.txt	edebea785c772f9a04e96e0260db8274bdbfae96b0ae6b5738ba1b53299fe168	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	1048576	8	8388608	1000000	256	256000000	47999756275	3787073369	774532792	392044959	1745729492	310266233	LLC-loads	LLC-load-misses	252591894	131416994	10.896908103	187.49904794921875	14.79325534765625	1.53142562109375	1.21197747265625	0.5133476328125	17.77286999055865	52.02739958076406	0.07889776246577411
upgrade	larger_than_last_cache	/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/pmu/upgrade/phase2_eight_counter_v1/perf_stat_larger_than_last_cache_v1.txt	c20745444e34c8d81724150bdd6d30087ed444bff890127b5b987c6d3d9fe428	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	2097152	8	16777216	1000000	256	256000000	65354559956	4035495578	830316590	582309387	1827217968	383928700	LLC-loads	LLC-load-misses	273244474	193553471	14.820527905	255.291249828125	15.7636546015625	2.27464604296875	1.499721484375	0.75606824609375	21.01165305528563	70.83527368974349	0.06174772779002567
data_end
