software_hit_rate_pmu_comparison_version=2
software_metric=timing-derived hit-like fraction
pmu_comparison_metric=bounded cache-resident proxy
pmu_proxy=max(0,min(1,1-last_cache_misses_per_timed_access))
l1_not_miss_proxy_retained_as_context=true
software_runs=batch8 timing only, no PMU counters
missing_value_token=NA
missing_event_policy=PMU quantities whose counters were unavailable are reported as NA; the software estimate and every independent field are still produced
data_begin
machine	workload	software_estimate_file	software_estimate_sha256	software_estimated_hit_rate	software_wilson_95_low	software_wilson_95_high	software_balanced_calibration_accuracy	software_threshold_ticks_per_access	pmu_source_file	pmu_events_recorded	pmu_missing_events	pmu_last_cache_load_event	pmu_last_cache_miss_event	pmu_l1_miss_rate_percent	pmu_l1_misses_per_timed_access	pmu_l1_not_miss_proxy	pmu_last_cache_miss_rate_percent	pmu_last_cache_misses_per_timed_access	pmu_cache_resident_proxy	absolute_error_vs_pmu_cache_resident_proxy	relative_error_vs_pmu_cache_resident_proxy	comparison_note
sunbird	l1_resident	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/sunbird/software_hit_rate_batch8/phase2_sw_hit_rate_l1_resident_v1.tsv	4aba9fbd1928f816eb07499cd701388ea7a9365a4b9999dd9a02c2836db58bc9	0.99993500000000002	0.99991716205776071	0.99994899699756323	0.99993449999999995	86.625	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/sunbird/phase2_eight_counter_v1/perf_stat_l1_resident_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses		LLC-loads	LLC-load-misses	0.05138399505285993	0.0032716640625	0.99672833593749999	49.74260151410874	0.0001411640625	0.99985883593750002	7.6164062499994856e-05	7.6174815646431695e-05	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity
sunbird	last_cache_sized	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/sunbird/software_hit_rate_batch8/phase2_sw_hit_rate_last_cache_sized_v1.tsv	94d5a9324950d17b2e66571b8c747950f591909076d29d0ef05b901d5498255a	0.99981900000000001	0.99979064397454287	0.99984351597199606	0.99993449999999995	86.625	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/sunbird/phase2_eight_counter_v1/perf_stat_last_cache_sized_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses		LLC-loads	LLC-load-misses	15.40657179313882	1.0070414609375	0	0.06280974539835643	0.0005986484375	0.99940135156249998	0.00041764843750002889	0.00041789861185104692	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity
sunbird	larger_than_last_cache	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/sunbird/software_hit_rate_batch8/phase2_sw_hit_rate_larger_than_last_cache_v1.tsv	7cf2c8855e304a79d851c58bbb53893e97948f3ac0bb445429c05d870d10084e	6.6000000000000005e-05	5.188280114331441e-05	8.3958135850014097e-05	0.99993449999999995	86.625	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/sunbird/phase2_eight_counter_v1/perf_stat_larger_than_last_cache_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses		LLC-loads	LLC-load-misses	10.83043531030368	1.23597064453125	0	80.48666309456236	0.922145671875	0.077854328125000039	0.077788328125000042	0.99915226293014781	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity
skylark	l1_resident	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/skylark/software_hit_rate_batch8/phase2_sw_hit_rate_l1_resident_v1.tsv	34d13f649436d849e46d72fa8099bb60f5cc5104c180f435a0a55c72d3ffc086	0.99996399999999996	0.99995016406273229	0.99997399476978777	0.99995499999999993	108	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/skylark/phase2_eight_counter_v1/perf_stat_l1_resident_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	LLC-loads,LLC-load-misses	NA	NA	0.04003903709681984	0.0033085625	0.9966914375	NA	NA	NA	NA	not_defined	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity; last-cache counters unavailable on this machine, so the cache-resident proxy and its errors are NA
skylark	last_cache_sized	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/skylark/software_hit_rate_batch8/phase2_sw_hit_rate_last_cache_sized_v1.tsv	98e80c605de7b032d4019135c124d259b6b9a9a427009a7cc7006533ddc4c572	0.99983	0.99980245531124956	0.99985370455077749	0.99995499999999993	108	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/skylark/phase2_eight_counter_v1/perf_stat_last_cache_sized_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	LLC-loads,LLC-load-misses	NA	NA	12.31041607896687	1.04899743359375	0	NA	NA	NA	NA	not_defined	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity; last-cache counters unavailable on this machine, so the cache-resident proxy and its errors are NA
skylark	larger_than_last_cache	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/skylark/software_hit_rate_batch8/phase2_sw_hit_rate_larger_than_last_cache_v1.tsv	3d911ce80fd5124ab5fd0a186f770841f5a5430272e924689319569321afd141	5.3999999999999998e-05	4.1390712320463053e-05	7.0450316867522988e-05	0.99995499999999993	108	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/skylark/phase2_eight_counter_v1/perf_stat_larger_than_last_cache_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses	LLC-loads,LLC-load-misses	NA	NA	7.993335391926422	1.2392373671875	0	NA	NA	NA	NA	not_defined	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity; last-cache counters unavailable on this machine, so the cache-resident proxy and its errors are NA
charnwood	l1_resident	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/charnwood/software_hit_rate_batch8/phase2_sw_hit_rate_l1_resident_v1.tsv	3c6be898f2adeb86479a8ccbd8e65b039f3c3c95f96e890d84f056882c5826d2	0.99995800000000001	0.99994323333376078	0.99996892554485672	0.99997899999999995	157.875	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/charnwood/phase2_eight_counter_v1/perf_stat_l1_resident_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses		LLC-loads	LLC-load-misses	0.14748906390882954	0.0094486171875	0.99055138281249999	36.41371537409736	0.00032560546875	0.99967439453124995	0.00028360546875005888	0.00028369784231899051	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity
charnwood	last_cache_sized	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/charnwood/software_hit_rate_batch8/phase2_sw_hit_rate_last_cache_sized_v1.tsv	5dcdd18982bb4bfcff89ce9a1814469d57de08e0ff299ac90d88962fc277cd70	0.58652199999999999	0.58555647135042799	0.58748686391072535	0.99997899999999995	157.875	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/charnwood/phase2_eight_counter_v1/perf_stat_last_cache_sized_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses		LLC-loads	LLC-load-misses	15.408366201119378	1.019987859375	0	22.995825839798474	0.22105827734375	0.77894172265625006	0.19241972265625007	0.2470271100642604	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity
charnwood	larger_than_last_cache	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/charnwood/software_hit_rate_batch8/phase2_sw_hit_rate_larger_than_last_cache_v1.tsv	338907a7fa143ed1688c42f5358ba3435915d6cfdeed7f950897b051edad5fa3	0	4.2351484671230661e-22	3.8414440639449411e-06	0.99997899999999995	157.875	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/charnwood/phase2_eight_counter_v1/perf_stat_larger_than_last_cache_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses		LLC-loads	LLC-load-misses	19.74842023471303	2.375697203125	0	59.03651518944423	1.1062038984375	0	0	not_defined	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity
ookay	l1_resident	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/ookay/software_hit_rate_batch8/phase2_sw_hit_rate_l1_resident_v1.tsv	56a48df3aacbb64ac5f4d171b2a81daf1d6738fef4a03d6649241195e87d187f	0.99988699999999997	0.99986415791400152	0.99990600151010101	0.99994349999999999	146.375	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/ookay/phase2_eight_counter_v1/perf_stat_l1_resident_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses		LLC-loads	LLC-load-misses	0.13034549212301422	0.0083460703125	0.99165392968749999	10.682988320702277	5.4953125e-05	0.99994504687499997	5.8046874999995168e-05	5.8050065032475161e-05	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity
ookay	last_cache_sized	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/ookay/software_hit_rate_batch8/phase2_sw_hit_rate_last_cache_sized_v1.tsv	7e0f9e6a49f09f6cabbb6293f075407a830fe6dfd4fcc953de53b0c54794405c	0.99964799999999998	0.99960926492262792	0.99968289633768481	0.99994349999999999	146.375	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/ookay/phase2_eight_counter_v1/perf_stat_last_cache_sized_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses		LLC-loads	LLC-load-misses	15.378889001937045	1.00319454296875	0	0.016879717009926607	0.000147546875	0.99985245312500004	0.00020445312500005919	0.00020448329587135469	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity
ookay	larger_than_last_cache	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/data_processed/ookay/software_hit_rate_batch8/phase2_sw_hit_rate_larger_than_last_cache_v1.tsv	6c45d25a110054a10b9e1a1ad09a46bd8e588eeee7137668780bdddf3c2a7de7	0	4.2351484671230661e-22	3.8414440639449411e-06	0.99994349999999999	146.375	/mnt/ncsudrive/r/rrsood/ECE592/ECE592_HW1/pmu/ookay/phase2_eight_counter_v1/perf_stat_larger_than_last_cache_v1.txt	cycles,instructions,cache-references,cache-misses,L1-dcache-loads,L1-dcache-load-misses,LLC-loads,LLC-load-misses		LLC-loads	LLC-load-misses	19.669577885569964	2.35592540234375	0	58.152270304721156	1.06954098046875	0	0	not_defined	primary PMU proxy = max(0, min(1, 1 - PMU last-cache misses per timed access)); L1D not-miss proxy is retained as context; PMU and software runs use different batch sizes, so compare trend more than exact identity
data_end
