ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_broadwell_capacity_830108/processed/capacity/coarse_randomized.tsv
source_processed_sha256=32aeeb1343cc90de196b95fd7b7c751a28e80d8bb476cdfd6bd330b164760f91
source_hostname=c202n08
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_broadwell_capacity_830108/processed/capacity/coarse_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_broadwell_capacity_830108/processed/capacity/coarse_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
60	0	4096	5120	0	1	8.62109375	8.46484375	1.25	-0.018124150430448571	-0.081966987675223105	0.016764839148164928
58	1	5120	6144	1	2	8.46484375	8.453125	1.2	-0.0013844023996307797	-0.0075984518470983116	0.0013844023996308261
52	2	6144	7168	2	3	8.453125	8.462890625	1.1666666666666667	0.0011552680221811329	0.0074900818788849544	0.00023078698361412417
56	3	7168	8192	3	4	8.462890625	8.462890625	1.1428571428571428	0	0	0.0011539349180706207
55	4	8192	10240	4	5	8.462890625	8.46484375	1.25	0.00023078698361422845	0.0010341341035220962	0.0011539349180706207
54	5	10240	12288	5	6	8.46484375	8.466796875	1.2	0.00023073373327187063	0.0012653858512115463	0.00069204152249134946
57	6	12288	14336	6	7	8.466796875	8.45703125	1.1666666666666667	-0.0011534025374856371	-0.0074866242523224822	0.00069204152249134946
53	7	14336	16384	7	8	8.45703125	8.458984375	1.1428571428571428	0.0002309468822170313	0.0017293328074575395	0.00069268067420918955
46	8	16384	20480	8	9	8.458984375	8.5	1.25	0.0048487647194643824	0.021676841175395947	0.00069268067420918955
50	9	20480	24576	9	10	8.5	8.515625	1.2	0.0018382352941177516	0.010073124865739672	0.001834862385321101
44	10	24576	28672	10	11	8.515625	8.599609375	1.1666666666666667	0.0098623853211008417	0.063665430627172198	0.0020440608675902795
42	11	28672	32768	11	12	8.599609375	8.689453125	1.1428571428571428	0.010447422212128021	0.077833570413757561	0.0020440608675902795
9	12	32768	40960	12	13	8.689453125	10.052734375	1.25	0.15688918858170386	0.6530982768195841	0.014183019234505536
12	13	40960	49152	13	14	10.052734375	11.169921875	1.2	0.11113269865941322	0.57798949348405193	0.014183019234505536
33	14	49152	57344	14	15	11.169921875	11.412109375	1.1666666666666667	0.021682112257387587	0.13915215076027004	0.013178161903131952
25	15	57344	65536	15	16	11.412109375	11.693359375	1.1428571428571428	0.024644874208454626	0.18232482933338331	0.013178161903131952
21	16	65536	81920	16	17	11.693359375	12.412109375	1.25	0.061466510773342309	0.2673232201732188	0.017466561762391818
43	17	81920	98304	17	18	12.412109375	12.55859375	1.2	0.011801730920534936	0.06435132419020459	0.017466561762391818
37	18	98304	114688	18	19	12.55859375	12.8125	1.1666666666666667	0.02021772939346822	0.12984739820090191	0.00091463414634146347
40	19	114688	131072	19	20	12.8125	12.98828125	1.1428571428571428	0.013719512195121908	0.1020453051821362	0.00091463414634146347
23	20	131072	163840	20	21	12.98828125	13.685546875	1.25	0.053684210526315779	0.23434598227308959	0.032396175253318109
6	21	163840	196608	21	22	13.685546875	15.955078125	1.2	0.16583416583416577	0.8415727447124508	0.032396175253318109
11	22	196608	229376	22	23	15.955078125	17.513671875	1.1666666666666667	0.097686375321336838	0.60463352944420168	0.074829931972789115
19	23	229376	262144	23	24	17.513671875	18.205078125	1.1428571428571428	0.039478086316493854	0.28995988395015826	0.074829931972789115
5	24	262144	327680	24	25	18.205078125	22.556640625	1.25	0.23903014697993785	0.96049799687974213	0.0125551995843796
3	25	327680	393216	25	26	22.556640625	27.49609375	1.2	0.21897999826824832	1.0860725716420341	0.0125551995843796
8	26	393216	458752	26	27	27.49609375	30.837890625	1.1666666666666667	0.12153715016337552	0.74407845610765455	0.0071032817161528622
10	27	458752	524288	27	28	30.837890625	33.51171875	1.1428571428571428	0.086705934511368765	0.62270781781505635	0.0013987644247581304
14	28	524288	655360	28	29	33.51171875	37.01953125	1.25	0.10467420445273334	0.44612740682365498	0.0013987644247581304
17	29	655360	786432	29	30	37.01953125	39.642578125	1.2	0.070855756040941298	0.37548001471297399	0.0088190372961521411
22	30	786432	917504	30	31	39.642578125	41.244140625	1.1666666666666667	0.040400059122037701	0.25692596012548596	0.0088190372961521411
30	31	917504	1048576	31	32	41.244140625	42.123046875	1.1428571428571428	0.021309845148458573	0.15791017349030143	0.0079083203106501878
26	32	1048576	1310720	32	33	42.123046875	43.86328125	1.25	0.041313117262484322	0.18141922203030203	0.00041730421477256921
35	33	1310720	1572864	33	34	43.86328125	44.97265625	1.2	0.02529165553477597	0.13699484877343873	0.00078172500651437502
38	34	1572864	1835008	34	35	44.97265625	45.875	1.1666666666666667	0.020064275167202217	0.12887157035501751	0.0017881471389645776
64	35	1835008	2097152	35	36	45.875	40.833984375	1.1428571428571428	-0.10988589918256131	-0.87174722752225775	0.0029176830726550915
31	36	2097152	2621440	36	37	40.833984375	42.271484375	1.25	0.035203520352035111	0.15504837672491373	0.0061451739592477935
32	37	2621440	3145728	37	38	42.271484375	43.427734375	1.2	0.027352954765975213	0.14801073391866928	0.0061451739592477935
29	38	3145728	3670016	38	39	43.427734375	44.52734375	1.1666666666666667	0.025320440746570805	0.16221264077426067	0.0020177208527063779
63	39	3670016	4194304	39	40	44.52734375	42.333984375	1.1428571428571428	-0.04925870690411438	-0.37828775058176595	0.0020177208527063779
34	40	4194304	5242880	40	41	42.333984375	43.662109375	1.25	0.031372549019607954	0.13843324997477266	0.00013840830449826991
62	41	5242880	6291456	41	42	43.662109375	42.904296875	1.2	-0.017356296130619508	-0.096031883238481414	0.00013656848909728228
28	42	6291456	7340032	42	43	42.904296875	44.037109375	1.1666666666666667	0.026403241225474661	0.16905985884415256	0.006431010777487027
61	43	7340032	8388608	43	44	44.037109375	43.513671875	1.1428571428571428	-0.011886281988734648	-0.089548146102331555	0.0081242425602585395
51	44	8388608	10485760	44	45	43.513671875	43.6015625	1.25	0.0020198393105614887	0.0090426192731838974	0.0081242425602585395
47	45	10485760	12582912	45	46	43.6015625	43.76171875	1.2	0.0036731768500268824	0.020109784464422673	0.0070516825850218687
59	46	12582912	14680064	46	47	43.76171875	43.52734375	1.1666666666666667	-0.0053557082924217125	-0.034836703397527431	0.0070516825850218687
48	47	14680064	16777216	47	48	43.52734375	43.591796875	1.1428571428571428	0.0014807502467917288	0.01108095248693108	0.00013441462431112506
45	48	16777216	20971520	48	49	43.591796875	43.982421875	1.25	0.0089609749540751071	0.039979034202931842	0.0068830765131666595
49	49	20971520	25165824	49	50	43.982421875	44.064453125	1.2	0.001865091700341992	0.010220155033655054	0.0068830765131666595
13	50	25165824	29360128	50	51	44.064453125	47.923828125	1.1666666666666667	0.087584770178626759	0.54465819175379382	0.021966825610302807
1	51	29360128	33554432	51	52	47.923828125	63.197265625	1.1428571428571428	0.31870236785263062	2.071783967714266	0.032357758753901782
2	52	33554432	41943040	52	53	63.197265625	90.16796875	1.25	0.42677009611521455	1.5927559343821467	0.032357758753901782
4	53	41943040	50331648	53	54	90.16796875	107.61328125	1.2	0.19347571806091057	0.97009824042648973	0.0039202874877491013
7	54	50331648	58720256	54	55	107.61328125	122.41796875	1.1666666666666667	0.13757305165341749	0.8361759491368399	0.023229841411659593
16	55	58720256	67108864	55	56	122.41796875	128.888671875	1.1428571428571428	0.052857461948371043	0.38573596219762329	0.023229841411659593
15	56	67108864	83886080	56	57	128.888671875	140.83984375	1.25	0.092724765498325423	0.39738706906259291	0.0093497598157324478
18	57	83886080	100663296	57	58	140.83984375	149.705078125	1.2	0.062945499930661564	0.33481410022525138	0.0029615520098109564
