ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_broadwell_capacity_830108/processed/capacity/dense_randomized.tsv
source_processed_sha256=06190b5f326ccca2dbc379d6f6ffb425b2388e231bec543b61005363953ff338
source_hostname=c202n08
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=4
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_broadwell_capacity_830108/processed/capacity/dense_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_broadwell_capacity_830108/processed/capacity/dense_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
36	0	131072	147456	0	1	12.98046875	13.619140625	1.125	0.04920252783629242	0.4077868942569402	0.035709163917969307
39	1	147456	163840	1	2	13.619140625	14.060546875	1.1111111111111112	0.032410727090204983	0.30273750132242022	0.06070287539936102
41	2	163840	180224	2	3	14.060546875	13.392578125	1.1000000000000001	-0.04750659813863034	-0.5106705210803707	0.06070287539936102
8	3	180224	196608	3	4	13.392578125	15.5234375	1.0909090909090908	0.15910748140586262	1.6969079388887325	0.047810770005032713
44	4	196608	209720	4	5	15.5234375	14.83984375	1.0666910807291667	-0.044036235530951151	-0.69755711005032595	0.067912608581205583
15	5	209720	212992	5	6	14.83984375	15.1171875	1.0156017547205798	0.018689128718083703	1.1960645742661318	0.10465116279069768
25	6	212992	229376	6	7	15.1171875	16.05078125	1.0769230769230769	0.061757105943152535	0.80861992465911492	0.10465116279069768
1	7	229376	235936	7	8	16.05078125	17.47265625	1.0285993303571428	0.088586030664395299	3.0101292471454069	0.039182282793867124
42	8	235936	245760	8	9	17.47265625	17.0859375	1.0416384104163841	-0.022132796780684139	-0.54863278667076287	0.089849108367626884
14	9	245760	262144	9	10	17.0859375	18.55078125	1.0666666666666667	0.085733882030178288	1.2745279232083793	0.16614024005053696
38	10	262144	288360	10	12	18.55078125	19.177734375	1.100006103515625	0.033796588755527379	0.34871510299919128	0.16614024005053696
3	11	288360	294912	12	13	19.177734375	20.15625	1.0227215980024968	0.051023525817293081	2.2149728663907626	0.025970058050717997
24	12	294912	314576	13	14	20.15625	21.265625	1.0666775173611112	0.055038759689922445	0.83003237242733585	0.013960323291697281
2	13	314576	327680	14	15	21.265625	23.341796875	1.0416560703931641	0.097630418809698805	2.2825173409481696	0.049284578696343402
16	14	327680	340792	15	16	23.341796875	24.39453125	1.0400146484374999	0.045100828382562019	1.1243429149651178	0.049284578696343402
23	15	340792	360448	16	17	24.39453125	25.7578125	1.0576774102678466	0.055884707766213015	0.96974821052797811	0.030785562632696391
