ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_cascadelake_capacity_830115/processed/capacity/coarse_randomized.tsv
source_processed_sha256=ebdfcc88755956180dcc69bae3636dd7cd76cc9c71865dc1493211179fddfb8b
source_hostname=c020n01
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_cascadelake_capacity_830115/processed/capacity/coarse_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_cascadelake_capacity_830115/processed/capacity/coarse_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
54	0	4096	5120	0	1	7.046875	7.0546875	1.25	0.0011086474501109667	0.0049655629653470737	0.0011074197120708748
59	1	5120	6144	1	2	7.0546875	7.046875	1.2	-0.0011074197120708451	-0.0060773579046055678	0.0011086474501108647
58	2	6144	7168	2	3	7.046875	7.04296875	1.1666666666666667	-0.00055432372505548333	-0.0035969832885141724	0.0016638935108153079
56	3	7168	8192	3	4	7.04296875	7.04296875	1.1428571428571428	0	0	0.0016638935108153079
53	4	8192	10240	4	5	7.04296875	7.05078125	1.25	0.0011092623405435376	0.0049683154952702606	0.0016620498614958448
60	5	10240	12288	5	6	7.05078125	7.04296875	1.2	-0.0011080332409971749	-0.0060807267289675173	0.0016620498614958448
57	6	12288	14336	6	7	7.04296875	7.04296875	1.1666666666666667	0	0	0.00055463117027176932
55	7	14336	16384	7	8	7.04296875	7.046875	1.1428571428571428	0.00055463117027176878	0.0041524124653655996	0.00055463117027176932
50	8	16384	20480	8	9	7.046875	7.08203125	1.25	0.0049889135254987949	0.022301832622868577	0.00055157198014340876
51	9	20480	24576	9	10	7.08203125	7.09765625	1.2	0.0022062879205735353	0.012087751333818725	0.003852504127682994
49	10	24576	28672	10	11	7.09765625	7.125	1.1666666666666667	0.0038525041276828986	0.02494379033822134	0.003852504127682994
33	11	28672	32768	11	12	7.125	7.30078125	1.1428571428571428	0.024671052631578982	0.18251615850226968	0.0010964912280701754
7	12	32768	40960	12	13	7.30078125	8.86328125	1.25	0.21401819154628154	0.86910724590556065	0.0013221683561040105
