ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_cascadelake_capacity_830115/processed/capacity/dense_randomized.tsv
source_processed_sha256=c916540a3ce1b26007197e2479c099fd848c734330c15fcf1e6b83b33fe95ab4
source_hostname=c020n01
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=4
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_cascadelake_capacity_830115/processed/capacity/dense_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_cascadelake_capacity_830115/processed/capacity/dense_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
35	0	629152	707792	0	1	18.34765625	19.34765625	1.1249936422358984	0.054502874175005322	0.45059114599219313	0.02604482132041187
39	1	707792	786432	1	2	19.34765625	19.328125	1.1111060876641725	-0.0010094891984655519	-0.0095865363923293354	0.02604482132041187
29	2	786432	838864	2	3	19.328125	20.1171875	1.0666707356770833	0.040824575586095424	0.61995370375667336	0.048932038834951459
9	3	838864	865080	3	4	20.1171875	21.1171875	1.0312517881325221	0.049708737864077701	1.5764505977735692	0.048932038834951459
27	4	865080	943720	4	5	21.1171875	22.5390625	1.0909048874092568	0.067332593414724418	0.74893101009278351	0.049220103986135182
15	5	943720	1022360	5	6	22.5390625	24.89453125	1.0833298012122239	0.10450606585788558	1.241865595388892	0.049220103986135182
41	6	1022360	1048576	6	7	24.89453125	24.2734375	1.0256426307758519	-0.02494900360897534	-0.99787247384673361	0.040326376902557665
17	7	1048576	1101008	7	9	24.2734375	25.6640625	1.0500030517578125	0.057289990344383757	1.1417404323857083	0.0331509494689411
16	8	1101008	1146880	9	10	25.6640625	26.890625	1.0416636391379537	0.047792998477929949	1.1437307406669985	0.027397260273972601
7	9	1146880	1153432	10	11	26.890625	27.15234375	1.0057128906249999	0.0097327135386402475	1.700241906415386	0.0093511724931664517
20	10	1153432	1179648	11	12	27.15234375	27.6875	1.0227286914183065	0.019709394331750785	0.86844656662422959	0.032449209932279913
14	11	1179648	1258296	12	13	27.6875	30.0078125	1.0666707356770833	0.083803611738148875	1.2468826172629481	0.032449209932279913
13	12	1258296	1310720	13	14	30.0078125	31.7265625	1.0416626930388397	0.057276750846133817	1.3645022774654896	0.0093725592293673523
23	13	1310720	1363152	14	15	31.7265625	32.75390625	1.0400024414062501	0.032381186899778314	0.81248034899989385	0.0089445438282647581
19	14	1363152	1441792	15	16	32.75390625	34.5625	1.0576898247590878	0.055217650566487864	0.95827794904537	0.0089445438282647581
6	15	1441792	1468008	16	17	34.5625	35.65234375	1.0181829279119319	0.031532549728752191	1.7228804553460402	0.0051495562616412837
24	16	1468008	1572864	17	18	35.65234375	37.671875	1.071427403665375	0.056645118878054124	0.7986300038513009	0.0060141020323517215
21	17	1572864	1638400	18	20	37.671875	39.0234375	1.0416666666666667	0.035877229365408603	0.86347158574154925	0.0060141020323517215
