ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_genoa_capacity_830122/processed/capacity/coarse_randomized.tsv
source_processed_sha256=9808352113c50e8af42a58f9750078443376583e0d39509e87a55a142bf04eb6
source_hostname=n0398
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_genoa_capacity_830122/processed/capacity/coarse_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_genoa_capacity_830122/processed/capacity/coarse_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
54	0	4096	5120	0	1	5.71875	5.71875	1.25	0	0	0
55	1	5120	6144	1	2	5.71875	5.71875	1.2	0	0	0
56	2	6144	7168	2	3	5.71875	5.71875	1.1666666666666667	0	0	0
57	3	7168	8192	3	4	5.71875	5.71875	1.1428571428571428	0	0	0
58	4	8192	10240	4	5	5.71875	5.71875	1.25	0	0	0
59	5	10240	12288	5	6	5.71875	5.71875	1.2	0	0	0
60	6	12288	14336	6	7	5.71875	5.71875	1.1666666666666667	0	0	0
61	7	14336	16384	7	8	5.71875	5.71875	1.1428571428571428	0	0	0
50	8	16384	20480	8	9	5.71875	5.859375	1.25	0.024590163934426146	0.10886576119261362	0.024
62	9	20480	24576	9	10	5.859375	5.8125	1.2	-0.0080000000000000071	-0.044054975388026066	0.024
43	10	24576	28672	10	11	5.8125	5.953125	1.1666666666666667	0.024193548387096753	0.15507891940757557	0.007874015748031496
34	11	28672	32768	11	12	5.953125	6.1875	1.1428571428571428	0.03937007874015741	0.28918170752821187	0.007874015748031496
2	12	32768	40960	12	13	6.1875	8.578125	1.25	0.38636363636363646	1.4640092816083408	0.0054644808743169399
5	13	40960	49152	13	14	8.578125	10.171875	1.2	0.18579234972677594	0.93467390085761426	0.0054644808743169399
9	14	49152	57344	14	15	10.171875	11.25	1.1666666666666667	0.10599078341013835	0.65352660081955583	0.004608294930875576
14	15	57344	65536	15	16	11.25	12.1875	1.1428571428571428	0.083333333333333259	0.59942988761158766	0
24	16	65536	81920	16	17	12.1875	13.3125	1.25	0.092307692307692202	0.39567626590899269	0.0070422535211267607
32	17	81920	98304	17	18	13.3125	14.0625	1.2	0.056338028169014009	0.3006130347874052	0.0070422535211267607
35	18	98304	114688	18	19	14.0625	14.625	1.1666666666666667	0.040000000000000036	0.25443100995228929	0.0066666666666666671
41	19	114688	131072	19	20	14.625	15	1.1428571428571428	0.02564102564102555	0.1896019167229164	0
44	20	131072	163840	20	21	15	15.515625	1.25	0.034375000000000044	0.15146025679093197	0.0030211480362537764
48	21	163840	196608	21	22	15.515625	15.84375	1.2	0.02114803625377637	0.11478357509642398	0.0030211480362537764
49	22	196608	229376	22	23	15.84375	16.125	1.1666666666666667	0.017751479289940919	0.11414650853371204	0
51	23	229376	262144	23	24	16.125	16.3125	1.1428571428571428	0.011627906976744207	0.08657756182910431	0
23	24	262144	327680	24	25	16.3125	17.90625	1.25	0.097701149425287293	0.41774959788481536	0
21	25	327680	393216	25	26	17.90625	19.40625	1.2	0.083769633507853491	0.44122794162871409	0
27	26	393216	458752	26	27	19.40625	20.484375	1.1666666666666667	0.05555555555555558	0.35074267159161188	0.0022883295194508009
8	27	458752	524288	27	28	20.484375	22.359375	1.1428571428571428	0.091533180778031964	0.65590041466149318	0.027253668763102725
45	28	524288	655360	28	29	22.359375	23.109375	1.25	0.033542976939203273	0.14785407402561063	0.027253668763102725
18	29	655360	786432	29	30	23.109375	25.40625	1.2	0.099391480730223192	0.51972366330791497	0.029520295202952029
17	30	786432	917504	30	31	25.40625	27.5625	1.1666666666666667	0.084870848708487046	0.52845012782471024	0.029520295202952029
7	31	917504	1048576	31	32	27.5625	30.609375	1.1428571428571428	0.11054421768707479	0.78520997435137019	0.0068027210884353739
4	32	1048576	1310720	32	33	30.609375	37.875	1.25	0.2373660030627871	0.95447494668917832	0.0099009900990099011
13	33	1310720	1572864	33	34	37.875	42.28125	1.2	0.11633663366336644	0.60361738609933524	0.0099009900990099011
10	34	1572864	1835008	34	35	42.28125	46.734375	1.1666666666666667	0.10532150776053206	0.64959979424954539	0.0022172949002217295
64	35	1835008	2097152	35	36	46.734375	40.78125	1.1428571428571428	-0.127382146439318	-1.0204159159513309	0.0022988505747126436
16	36	2097152	2621440	36	37	40.78125	45.890625	1.25	0.12528735632183907	0.52897979881870016	0.0022988505747126436
15	37	2621440	3145728	37	38	45.890625	50.90625	1.2	0.1092951991828397	0.56891165141043665	0.0073664825046040518
22	38	3145728	3670016	38	39	50.90625	54.375	1.1666666666666667	0.068139963167587414	0.42762564317198132	0.010344827586206896
63	39	3670016	4194304	39	40	54.375	51.609375	1.1428571428571428	-0.05086206896551726	-0.3909279035568437	0.010344827586206896
26	40	4194304	5242880	40	41	51.609375	56.109375	1.25	0.08719346049046317	0.37464478961158099	0.00090826521344232513
52	41	5242880	6291456	41	42	56.109375	56.90625	1.2	0.014202172096908994	0.077348319691059583	0.00083542188805346695
29	42	6291456	7340032	42	43	56.90625	59.90625	1.1666666666666667	0.052718286655683677	0.33328210667386104	0.0015649452269170579
53	43	7340032	8388608	43	44	59.90625	60.515625	1.1428571428571428	0.010172143974960912	0.075793082886666308	0.0023237800154918666
39	44	8388608	10485760	44	45	60.515625	63.515625	1.25	0.049573973663826543	0.21683056571519985	0.0023237800154918666
36	45	10485760	12582912	45	46	63.515625	66.375	1.2	0.045018450184501901	0.24152130836414593	0.0022140221402214021
40	46	12582912	14680064	46	47	66.375	68.4375	1.1666666666666667	0.031073446327683607	0.19850992861664946	0.0054794520547945206
31	47	14680064	16777216	47	48	68.4375	71.390625	1.1428571428571428	0.043150684931506866	0.31637233284588273	0.0054794520547945206
30	48	16777216	20971520	48	49	71.390625	76.734375	1.25	0.07485226526592248	0.32348335432885278	0.001969796454366382
25	49	20971520	25165824	49	50	76.734375	82.453125	1.2	0.07452657299938914	0.39424941641792011	0.00061087354917532073
19	50	25165824	29360128	50	51	82.453125	89.203125	1.1666666666666667	0.081864695849914737	0.51044940344581813	0.0015764582238570678
11	51	29360128	33554432	51	52	89.203125	97.078125	1.1428571428571428	0.088281660535995732	0.63355883913621458	0.0015764582238570678
1	52	33554432	41943040	52	53	97.078125	135.890625	1.25	0.39980685659101889	1.507255152771487	0.0014485755673587638
3	53	41943040	50331648	53	54	135.890625	164.90625	1.2	0.21352190410486371	1.0614586655518561	0.00034494653328734045
6	54	50331648	58720256	54	55	164.90625	188.53125	1.1666666666666667	0.14326321773735073	0.86854398037768987	0.0039781203381402284
12	55	58720256	67108864	55	56	188.53125	205.03125	1.1428571428571428	0.087518647439084996	0.62830641735333825	0.0039781203381402284
20	56	67108864	83886080	56	57	205.03125	229.546875	1.25	0.11957018747142212	0.50615332506995003	0.0038799264856034309
28	57	83886080	100663296	57	58	229.546875	244.359375	1.2	0.064529303655299186	0.34298046904271512	0.0038799264856034309
33	58	100663296	117440512	58	59	244.359375	255.609375	1.1666666666666667	0.046038749280644442	0.29198969611028852	0.00057548436600805678
37	59	117440512	134217728	59	60	255.609375	263.953125	1.1428571428571428	0.032642582064918324	0.24055115203417674	0.00018338529249954154
38	60	134217728	167772160	60	61	263.953125	277.875	1.25	0.052743740010655404	0.23034428473771121	0.0030364372469635628
42	61	167772160	201326592	61	62	277.875	286.171875	1.2	0.029858299595141746	0.1613699448723544	0.0030364372469635628
47	62	201326592	234881024	62	63	286.171875	292.59375	1.1666666666666667	0.022440622440622393	0.143966515819383	0.00016380016380016381
46	63	234881024	268435456	63	64	292.59375	298.3125	1.1428571428571428	0.019545017622556893	0.14495817235562941	0.0031426775612822125
data_end
