ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_genoa_capacity_830122/processed/capacity/dense_randomized.tsv
source_processed_sha256=c441f359830e10097b789e6a63c25197a9595401456047f6461f38b0a9399965
source_hostname=n0398
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=6
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_genoa_capacity_830122/processed/capacity/dense_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_genoa_capacity_830122/processed/capacity/dense_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
44	0	26216	29496	0	1	5.90625	6	1.1251144339334758	0.015873015873015817	0.13359113057638849	0
42	1	29496	32768	1	2	6	6.1875	1.1109302956333063	0.03125	0.29251246589972196	0
2	2	32768	36048	2	4	6.1875	7.21875	1.10009765625	0.16666666666666674	1.615852930487889	0
4	3	36048	36864	4	5	7.21875	7.453125	1.0226364846870839	0.032467532467532534	1.4274251089035761	0.0062893081761006293
5	4	36864	39328	5	6	7.453125	8.15625	1.0668402777777777	0.094339622641509413	1.3933435827267686	0.0062893081761006293
7	5	39328	40960	6	7	8.15625	8.578125	1.0414971521562246	0.051724137931034475	1.2403292465233955	0.0054644808743169399
15	6	40960	42600	7	8	8.578125	8.90625	1.0400390625	0.038251366120218622	0.95617858062715744	0.0054644808743169399
8	7	42600	45056	8	9	8.90625	9.515625	1.0576525821596243	0.068421052631578938	1.1807253332882073	0.0049261083743842365
37	8	45056	45880	9	10	9.515625	9.609375	1.0182883522727273	0.0098522167487684609	0.54096611143514561	0.0049261083743842365
18	9	45880	49152	10	11	9.609375	10.21875	1.0713164777680906	0.06341463414634152	0.89253374672295682	0.0091743119266055051
23	10	49152	51200	11	13	10.21875	10.546875	1.0416666666666667	0.032110091743119185	0.77422330257893202	0.0091743119266055051
30	11	51200	53248	13	14	10.546875	10.828125	1.04	0.026666666666666616	0.67100534899813691	0.0044444444444444444
33	12	53248	57344	14	15	10.828125	11.34375	1.0769230769230769	0.047619047619047672	0.62773294536243207	0.0082644628099173556
38	13	57344	61440	15	16	11.34375	11.765625	1.0714285714285714	0.037190082644628086	0.52926066400937632	0.0082644628099173556
41	14	61440	838864	16	17	11.765625	26.625	13.653385416666667	1.262948207171315	0.31242248766665376	0.03873239436619718
24	15	838864	943720	17	18	26.625	29.015625	1.1249976158233039	0.089788732394366244	0.73003213595043726	0.03873239436619718
22	16	943720	1048576	18	19	29.015625	31.5	1.1111092273131862	0.085621970920840118	0.7797455177722562	0.011308562197092083
21	17	1048576	1153432	19	20	31.5	33.9375	1.0999984741210938	0.077380952380952328	0.78201653590901232	0.002976190476190476
26	18	1153432	1258296	20	21	33.9375	36.046875	1.0909147656732257	0.062154696132596721	0.69296653490099214	0.011703511053315995
17	19	1258296	1363152	21	22	36.046875	38.71875	1.0833317438822025	0.074122236671001263	0.89333702951699356	0.011703511053315995
27	20	1363152	1468008	22	23	38.71875	40.734375	1.076921722595866	0.052058111380145267	0.68480099331636857	0.0096852300242130755
28	21	1468008	1572864	23	24	40.734375	42.703125	1.071427403665375	0.04833141542002295	0.68413615241856285	0.0054884742041712408
32	22	1572864	1638400	24	25	42.703125	43.828125	1.0416666666666667	0.026344676180021898	0.63700052715028532	0.0054884742041712408
43	23	1638400	26843552	25	26	43.828125	85.828125	16.384003906250001	0.9582887700534759	0.24034248705802214	0.0053475935828877002
40	24	26843552	30198992	26	27	85.828125	90.703125	1.1249998509884236	0.056799563080283999	0.46904142526351145	0.0016384489350081922
31	25	30198992	33554432	27	28	90.703125	97.21875	1.1111109933735537	0.071834625322997336	0.65842362920812014	0.0057859209257473485
1	26	33554432	36909880	28	30	97.21875	115.78125	1.1000001430511475	0.19093539054966246	1.8333697698188494	0.0057859209257473485
9	27	36909880	37748736	30	31	115.78125	118.875	1.02272713972519	0.026720647773279316	1.1734173310012326	0.0032388663967611335
3	28	37748736	40265320	31	32	118.875	131.484375	1.0666667090521917	0.10607255520504721	1.5620971560940764	0.0017825311942959001
20	29	40265320	41943040	32	34	131.484375	136.171875	1.0416666252745539	0.035650623885917998	0.85811303046893683	0.003098106712564544
10	30	41943040	43620760	34	35	136.171875	142.546875	1.0399999618530273	0.046815834767641951	1.166553524956857	0.003098106712564544
12	31	43620760	45298488	35	36	142.546875	148.40625	1.0384616865914302	0.041104899704044628	1.0673569273239456	0.0025268477574226151
16	32	45298488	46137344	36	37	148.40625	151.03125	1.0185184105924241	0.017687934301958252	0.9555448278081804	0.0055865921787709499
14	33	46137344	46976208	37	38	151.03125	153.703125	1.0181818875399502	0.017690875232774683	0.97322981692928234	0.0055865921787709499
11	34	46976208	50331648	38	39	153.703125	165.65625	1.0714284984432971	0.077767612076852677	1.0855027246280078	0.0067911714770797962
13	35	50331648	52428800	39	42	165.65625	172.6875	1.0416666666666667	0.042444821731748794	1.0182928341468003	0.0067911714770797962
29	36	52428800	54525952	42	43	172.6875	177.375	1.04	0.027144408251900121	0.68286705272034887	0.0010570824524312897
6	37	54525952	55364816	43	44	177.375	180.9375	1.0153846740722656	0.020084566596194398	1.3024721339524639	0.0020725388601036268
25	38	55364816	58720256	44	45	180.9375	188.765625	1.0606059993046848	0.043264248704663277	0.71981951173963243	0.0022349143282840824
19	39	58720256	60397984	45	46	188.765625	193.40625	1.0285715375627791	0.024584057611124921	0.8621187567241454	0.0022349143282840824
36	40	60397984	62914560	46	47	193.40625	197.765625	1.0416665562877065	0.022539990305380453	0.54602369663323247	0.0021332069210713441
39	41	62914560	65431144	47	48	197.765625	201.890625	1.0400000254313151	0.020858023228253142	0.5263407623003814	0.0021332069210713441
34	42	65431144	70464312	48	49	201.890625	210.984375	1.0769231239484365	0.04504295333178554	0.59451042847725155	0.00066651855143301487
35	43	70464312	73400320	49	50	210.984375	215.859375	1.041666595708761	0.023105976449677934	0.55957857481472073	0.0028230184581976114
data_end
