ece592_conflict_processed_format_version=1
source_run_directory=/share/ece592f26/djariwa/tmp/ece592_phase3_haswell_associativity_830105/raw/associativity/conflict_randomized
source_conflict_plan_sha256=c3fc000d21dc0c7df8b3b6860e8e27aae3624409a3ba3a2f2f82eaaf78cbb9d2
source_execution_manifest_sha256=f28fb835a7828b9f40355dfd1ade837dd06988c19b9e0d7460778fe60cdc9a32
source_build_command_sha256=8855ece00c7a36742d82be2b4ead55d4a6e050d2bea0435a3608324183176011
source_plan_ece592_conflict_plan_version=1
source_plan_generator=SplitMix64+Fisher-Yates
source_plan_sweep=conflict line count by conflict stride
source_plan_line_counts=2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
source_plan_conflict_stride_bytes_values=262144,524288,1048576
source_plan_unique_line_count_count=31
source_plan_unique_conflict_stride_count=3
source_plan_trial_count=2
source_plan_plan_seed=84592
source_plan_plan_row_count=186
source_raw_experiment_name=hazel-phase3-associativity
source_raw_hostname=c207n02
source_raw_kernel_release=5.14.0-611.5.1.el9_7.x86_64
source_raw_isa=x86_64
source_raw_cpu_model=Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz
source_raw_cpu_model_source=/proc/cpuinfo human-readable field
source_raw_page_size_bytes=4096
source_raw_logical_cpu=10
source_raw_affinity_cpu_list=10
source_raw_affinity_allowed_cpu_count=1
source_raw_physical_core_id=0
source_raw_physical_package_id=1
source_raw_topology_id_source=Linux sysfs physical topology IDs
source_raw_numa_node=1
source_raw_thread_siblings_list=10
source_raw_compiler_version=11.5.0 20240719 (Red Hat 11.5.0-11)
source_raw_compiler_flags=-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer
source_raw_git_commit=a1de1943beb9b1508f8e3885c9f5df54a7d53a32
source_raw_build_command=cd -- /home/djariwa/ECE-592---Cache-Reverse-Engineering && gcc -O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -DECE592_BUILD_FLAGS=\"-O0\ -g\ -std=c11\ -Wall\ -Wextra\ -Wpedantic\ -Werror\ -fno-omit-frame-pointer\" -DECE592_GIT_COMMIT=\"a1de1943beb9b1508f8e3885c9f5df54a7d53a32\" -I main_code/common main_code/common/cache_bench.c main_code/common/raw_output.c main_code/common/measurement.c main_code/common/pointer_chase.c main_code/common/spatial_chase.c main_code/common/conflict_chase.c main_code/common/eviction_layout.c main_code/common/eviction_measurement.c main_code/common/inclusion_chase.c main_code/common/inclusion_measurement.c main_code/common/metadata_linux.c main_code/common/affinity_linux.c main_code/x86_64/timer_x86_64.c -o /share/ece592f26/djariwa/tmp/ece592_phase3_haswell_associativity_830105/cache_bench
source_raw_environment_variables=Phase III Hazel timing-only held-out run; Slurm job 830105; constraint haswell; bound CPU 10
source_raw_locality_method=pin-before-allocation plus first-touch memset
source_raw_smt_siblings_idle=not-applicable
source_raw_timer_name=LFENCE+RDTSC / RDTSCP+LFENCE
source_raw_timer_unit=TSC ticks
source_raw_timer_frequency_hz=0
source_raw_timer_frequency_hz_valid=false
source_raw_traversal=randomized-conflict-dependent-cycle
source_raw_random_seed_applicable=true
source_raw_fixed_low_address_bits=true
source_raw_allocation_alignment_bytes=4096
source_raw_timed_sample_count=1000000
source_raw_dependent_accesses_per_sample=256
processing_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/process_conflict_run.py
processing_command=scripts/process_conflict_run.py --run-directory /share/ece592f26/djariwa/tmp/ece592_phase3_haswell_associativity_830105/raw/associativity/conflict_randomized --output /share/ece592f26/djariwa/tmp/ece592_phase3_haswell_associativity_830105/processed/associativity/conflict_randomized.tsv
processing_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
standard_deviation_definition=population
quantile_method=linear interpolation at (n-1)*p
outlier_rule=values outside Q1-1.5*IQR or Q3+1.5*IQR
timer_overhead_subtracted=false
processed_point_count=186
row_order=trial then conflict_stride then conflict_line_count
data_begin
global_execution_index	trial	trial_execution_index	plot_index	conflict_line_count	conflict_stride_bytes	point_seed	raw_filename	raw_sha256	traversal	timer_unit	timed_sample_count	warmup_batch_count	dependent_accesses_per_sample	elapsed_batch_raw_ticks_count	elapsed_batch_raw_ticks_mean	elapsed_batch_raw_ticks_population_stddev	elapsed_batch_raw_ticks_minimum	elapsed_batch_raw_ticks_p05	elapsed_batch_raw_ticks_q1	elapsed_batch_raw_ticks_median	elapsed_batch_raw_ticks_q3	elapsed_batch_raw_ticks_p95	elapsed_batch_raw_ticks_maximum	elapsed_batch_raw_ticks_lower_outlier_fence	elapsed_batch_raw_ticks_upper_outlier_fence	elapsed_batch_raw_ticks_outlier_count	elapsed_raw_ticks_per_access_unadjusted_count	elapsed_raw_ticks_per_access_unadjusted_mean	elapsed_raw_ticks_per_access_unadjusted_population_stddev	elapsed_raw_ticks_per_access_unadjusted_minimum	elapsed_raw_ticks_per_access_unadjusted_p05	elapsed_raw_ticks_per_access_unadjusted_q1	elapsed_raw_ticks_per_access_unadjusted_median	elapsed_raw_ticks_per_access_unadjusted_q3	elapsed_raw_ticks_per_access_unadjusted_p95	elapsed_raw_ticks_per_access_unadjusted_maximum	elapsed_raw_ticks_per_access_unadjusted_lower_outlier_fence	elapsed_raw_ticks_per_access_unadjusted_upper_outlier_fence	elapsed_raw_ticks_per_access_unadjusted_outlier_count	timer_overhead_raw_ticks_count	timer_overhead_raw_ticks_mean	timer_overhead_raw_ticks_population_stddev	timer_overhead_raw_ticks_minimum	timer_overhead_raw_ticks_p05	timer_overhead_raw_ticks_q1	timer_overhead_raw_ticks_median	timer_overhead_raw_ticks_q3	timer_overhead_raw_ticks_p95	timer_overhead_raw_ticks_maximum	timer_overhead_raw_ticks_lower_outlier_fence	timer_overhead_raw_ticks_upper_outlier_fence	timer_overhead_raw_ticks_outlier_count
28	0	28	0	2	262144	7115186062544153997	haswell_conflict_trial000_exec0028_plot0000_lines0002_stride00000000000000262144_seed07115186062544153997.tsv	f6092af567679d1a53386ab8a41c4fc385e62357fa2bb15217ba0468023fb5d7	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	2054.638365999986	533.6358586497546	2021	2027	2030	2030	2033	2173	63285	2025.5	2037.5	73385	1000000	8.0259311171874455	2.0845150728506039	7.89453125	7.91796875	7.9296875	7.9296875	7.94140625	8.48828125	247.20703125	7.912109375	7.958984375	73385	1000000	44.128579999999531	63.220672071588105	42	43	43	43	46	46	27093	38.5	50.5	5314
18	0	18	1	3	262144	3784707086835025548	haswell_conflict_trial000_exec0018_plot0001_lines0003_stride00000000000000262144_seed03784707086835025548.tsv	0157d4687e766a8be08439184c522785e258d42ea4ffa7d77f1fa832b782d385	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	2055.4692309999391	526.46161279172429	2021	2027	2030	2030	2033	2171	53821	2025.5	2037.5	65991	1000000	8.0291766835935121	2.056490674967673	7.89453125	7.91796875	7.9296875	7.9296875	7.94140625	8.48046875	210.23828125	7.912109375	7.958984375	65991	1000000	44.205822999999121	65.305145722926952	42	42	43	43	46	46	25606	38.5	50.5	8118
66	0	66	2	4	262144	4283802521334797806	haswell_conflict_trial000_exec0066_plot0002_lines0004_stride00000000000000262144_seed04283802521334797806.tsv	aed4d65f790c452c156046b1f0d017c732cfdb14b3ed1fee79d366b78a8161cd	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	2050.1868919999392	474.45031352859223	2020	2027	2030	2030	2033	2052	47711	2025.5	2037.5	99613	1000000	8.0085425468747626	1.8533215372210634	7.890625	7.91796875	7.9296875	7.9296875	7.94140625	8.015625	186.37109375	7.912109375	7.958984375	99613	1000000	43.939749999999187	47.942543361167836	42	42	43	43	46	46	30706	38.5	50.5	6209
27	0	27	3	5	262144	6583923041464881840	haswell_conflict_trial000_exec0027_plot0003_lines0005_stride00000000000000262144_seed06583923041464881840.tsv	d20c7ebfba3b2965e152e03ebc37bf91b853743aff996ea54e3abae99a324137	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	3635.8539299999675	722.7638112893809	3576	3591	3591	3591	3594	3847	54843	3586.5	3598.5	57515	1000000	14.202554414062373	2.8232961378491441	13.96875	14.02734375	14.02734375	14.02734375	14.0390625	15.02734375	214.23046875	14.009765625	14.056640625	57515	1000000	44.097932999999841	47.834010705014819	42	43	43	43	46	46	26959	38.5	50.5	6106
70	0	70	4	6	262144	3924337942082451380	haswell_conflict_trial000_exec0070_plot0004_lines0006_stride00000000000000262144_seed03924337942082451380.tsv	cb969dc16fa7c6ea762687e1c8867c0863afb4f61089129a5ca465a4f963e863	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	3627.6301380000964	629.26983981921501	3584	3591	3591	3594	3597	3606	59352	3582	3606	49098	1000000	14.170430226562877	2.4580853117938086	14	14.02734375	14.02734375	14.0390625	14.05078125	14.0859375	231.84375	13.9921875	14.0859375	49098	1000000	44.089385999999294	68.150548304052052	42	42	43	43	46	46	26493	38.5	50.5	6349
44	0	44	5	7	262144	16952694190159016137	haswell_conflict_trial000_exec0044_plot0005_lines0007_stride00000000000000262144_seed16952694190159016137.tsv	5ffcd2a536354f90d838bc197aac4cbbe56e0e956e89437fc3e78e5136230b14	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	3630.3477830000234	658.9895558125387	3588	3588	3591	3591	3594	3628	51223	3586.5	3598.5	64858	1000000	14.181046027343841	2.5741779523927293	14.015625	14.015625	14.02734375	14.02734375	14.0390625	14.171875	200.08984375	14.009765625	14.056640625	64858	1000000	44.03738300000051	45.670088761806419	42	43	43	43	46	46	26778	38.5	50.5	5199
64	0	64	6	8	262144	17989231767179655255	haswell_conflict_trial000_exec0064_plot0006_lines0008_stride00000000000000262144_seed17989231767179655255.tsv	f852ebe9bcceb5e07fb7471cc5968943e402e36b789bcc87fef4f1a822ebe322	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	3627.5417949998759	644.90071118366654	3585	3591	3591	3591	3594	3643	58851	3586.5	3598.5	57308	1000000	14.170085136718265	2.5191434030611974	14.00390625	14.02734375	14.02734375	14.02734375	14.0390625	14.23046875	229.88671875	14.009765625	14.056640625	57308	1000000	43.952377000000403	36.969680321174742	42	42	43	43	46	46	25646	38.5	50.5	6229
37	0	37	7	9	262144	6285015410494024906	haswell_conflict_trial000_exec0037_plot0007_lines0009_stride00000000000000262144_seed06285015410494024906.tsv	279617b7f90abbcab1ae707063ef020facdefbbadf7e3f40d891a0102c5a7a52	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	2479.5878280000024	558.570563150476	2290	2386	2392	2487	2491	2585	51441	2243.5	2639.5	32448	1000000	9.6858899531250096	2.1819162623065469	8.9453125	9.3203125	9.34375	9.71484375	9.73046875	10.09765625	200.94140625	8.763671875	10.310546875	32448	1000000	44.062748000001967	68.736835602815276	42	42	43	43	46	46	34744	38.5	50.5	6637
76	0	76	8	10	262144	17928289657587964966	haswell_conflict_trial000_exec0076_plot0008_lines0010_stride00000000000000262144_seed17928289657587964966.tsv	8cf2f88bf1e6d1484d31a8b88c87e0d4b1f38ccf9debcceecc991bd6b5e286ed	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	3447.2300130000676	654.43405624631305	3377	3392	3401	3410	3420	3450	53136	3372.5	3448.5	50537	1000000	13.465742238281514	2.5563830322121603	13.19140625	13.25	13.28515625	13.3203125	13.359375	13.4765625	207.5625	13.173828125	13.470703125	50537	1000000	44.174693999997722	78.787939597416994	42	43	43	43	46	46	29218	38.5	50.5	6153
4	0	4	9	11	262144	1028837388329082439	haswell_conflict_trial000_exec0004_plot0009_lines0011_stride00000000000000262144_seed01028837388329082439.tsv	a0b5f85fc1c8c868cf22c931b4b72619e6e12bcadb8ba8622057ad6ba340c72a	randomized-conflict-dependent-cycle	TSC ticks	1000000	1000	256	1000000	9770.4371950002951	1157.0289528656854	9228	9488	9550	9762	9832	9862	88513	9127	10255	14863	1000000	38.165770292969903	4.5196443471315835	36.046875	37.0625	37.3046875	38.1328125	38.40625	38.5234375	345.75390625	35.65234375	40.05859375	14863	1000000	44.274777000001698	74.806499654778108	42	42	43	43	46	46	27777	38.5	50.5	9195
