ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_haswell_capacity_830101/processed/capacity/coarse_randomized.tsv
source_processed_sha256=f71da704ebb1ca97578e0b27a2e2916fab12bd41c950ea0a004d79083bb4aea1
source_hostname=c207n02
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_haswell_capacity_830101/processed/capacity/coarse_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_haswell_capacity_830101/processed/capacity/coarse_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
58	0	4096	5120	0	1	7.953125	7.947265625	1.25	-0.00073673870333990088	-0.0033028524657248495	0.0007372818874416319
56	1	5120	6144	1	2	7.947265625	7.947265625	1.2	0	0	0.0007372818874416319
55	2	6144	7168	2	3	7.947265625	7.94921875	1.1666666666666667	0.00024576062914727359	0.0015940924504916152	0.00098280098280098278
59	3	7168	8192	3	4	7.94921875	7.9453125	1.1428571428571428	-0.00049140049140050657	-0.0036809416761811801	0.00098280098280098278
57	4	8192	10240	4	5	7.9453125	7.94140625	1.25	-0.00049164208456242697	-0.0022037965124349999	0
54	5	10240	12288	5	6	7.94140625	7.94921875	1.2	0.00098376783079201502	0.0053931321432278117	0.00049140049140049139
25	6	12288	14336	6	7	7.94921875	8.228515625	1.1666666666666667	0.03513513513513522	0.22401447454576634	0.033467837645383337
62	7	14336	16384	7	8	8.228515625	7.953125	1.1428571428571428	-0.033467837645383303	-0.2549265987540249	0.033467837645383337
50	8	16384	20480	8	9	7.953125	7.9765625	1.25	0.0029469548133596035	0.01318712119112085	0
46	9	20480	24576	9	10	7.9765625	8.04296875	1.2	0.0083251714005876387	0.0454730008286846	0.003885381253035454
47	10	24576	28672	10	11	8.04296875	8.080078125	1.1666666666666667	0.0046138902379795343	0.029862202870821742	0.003885381253035454
