ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_skylake_capacity_830272/processed/capacity/coarse_randomized.tsv
source_processed_sha256=5900bc293b84a00650228b573b6ed37649556a72a46ccaf6346faf8d25b922c2
source_hostname=c052n01
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_skylake_capacity_830272/processed/capacity/coarse_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_skylake_capacity_830272/processed/capacity/coarse_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
57	0	4096	5120	0	1	5.25	5.25390625	1.25	0.00074404761904767192	0.0033331501110573092	0.0022304832713754648
56	1	5120	6144	1	2	5.25390625	5.2578125	1.2	0.00074349442379184616	0.0040764141213075755	0.0022304832713754648
62	2	6144	7168	2	3	5.2578125	5.2421875	1.1666666666666667	-0.0029717682020802272	-0.019307035663943421	0
55	3	7168	8192	3	4	5.2421875	5.24609375	1.1428571428571428	0.00074515648286133107	0.0055783061718297994	0.00074460163812360388
58	4	8192	10240	4	5	5.24609375	5.24609375	1.25	0	0	0.00074460163812360388
54	5	10240	12288	5	6	5.24609375	5.25390625	1.2	0.0014892032762472418	0.0081619285117429542	0.00074460163812360388
59	6	12288	14336	6	7	5.25390625	5.25	1.1666666666666667	-0.00074349442379184616	-0.0048249605754455581	0.00074349442379182155
60	7	14336	16384	7	8	5.25	5.24609375	1.1428571428571428	-0.00074404761904767192	-0.0055741541013527842	0.00074460163812360388
51	8	16384	20480	8	9	5.24609375	5.2890625	1.25	0.0081906180193596079	0.036556095396619422	0.0029542097488921715
61	9	20480	24576	9	10	5.2890625	5.28125	1.2	-0.001477104874446078	-0.008107636284509329	0.0029542097488921715
48	10	24576	28672	10	11	5.28125	5.33203125	1.1666666666666667	0.0096153846153845812	0.062078552146991657	0.0014792899408284023
35	11	28672	32768	11	12	5.33203125	5.43359375	1.1428571428571428	0.01904761904761898	0.14130373340326868	0.0007326007326007326
7	12	32768	40960	12	13	5.43359375	6.57421875	1.25	0.20992092020129394	0.85395702069400792	0.0017825311942959001
10	13	40960	49152	13	14	6.57421875	7.31640625	1.2	0.11289364230540699	0.58667504893107181	0.0048051254671649763
18	14	49152	57344	14	15	7.31640625	7.77734375	1.1666666666666667	0.06300053390282967	0.39633689380138737	0.0048051254671649763
17	15	57344	65536	15	16	7.77734375	8.20703125	1.1428571428571428	0.055248618784530468	0.40272475051629436	0.0033317467872441696
24	16	65536	81920	16	17	8.20703125	8.70703125	1.25	0.060923369823893347	0.26502953902348508	0.0040376850605652759
30	17	81920	98304	17	18	8.70703125	9.03125	1.2	0.037236428891879836	0.20052426629790357	0.0040376850605652759
33	18	98304	114688	18	19	9.03125	9.2578125	1.1666666666666667	0.025086505190311525	0.16073237149958766	0.0034602076124567475
37	19	114688	131072	19	20	9.2578125	9.41015625	1.1428571428571428	0.016455696202531733	0.12223169522083711	0.0008438818565400844
38	20	131072	163840	20	21	9.41015625	9.66796875	1.25	0.027397260273972712	0.12112683619460812	0.0020202020202020202
45	21	163840	196608	21	22	9.66796875	9.80859375	1.2	0.014545454545454639	0.079204480307910857	0.0020202020202020202
44	22	196608	229376	22	23	9.80859375	9.9375	1.1666666666666667	0.0131421744324971	0.084700017651943266	0.0015723270440251573
36	23	229376	262144	23	24	9.9375	10.125	1.1428571428571428	0.018867924528301883	0.13998306049808845	0.0023148148148148147
13	24	262144	327680	24	25	10.125	11.27734375	1.25	0.11381172839506171	0.48304385923746757	0.0023148148148148147
19	25	327680	393216	25	26	11.27734375	12.06640625	1.2	0.069968825770696297	0.37093536521343007	0.00034638032559750607
23	26	393216	458752	26	27	12.06640625	12.63671875	1.1666666666666667	0.047264486888960899	0.29958683327358931	0.00032372936225315638
26	27	458752	524288	27	28	12.63671875	13.05078125	1.1428571428571428	0.032766615146831546	0.24145060414680808	0.00089793475007482785
21	28	524288	655360	28	29	13.05078125	14.02734375	1.25	0.074827895839568948	0.32338174885330456	0.029239766081871343
32	29	655360	786432	29	30	14.02734375	14.49609375	1.2	0.033416875522138678	0.18028952479636065	0.029239766081871343
4	30	786432	917504	30	31	14.49609375	17.0078125	1.1666666666666667	0.17326866073834557	1.0366063965008805	0.042259990813045475
12	31	917504	1048576	31	32	17.0078125	18.16015625	1.1428571428571428	0.067753789618741456	0.49094957079068691	0.042259990813045475
3	32	1048576	1310720	32	33	18.16015625	24.1640625	1.25	0.33060873306087335	1.2800572988650869	0.019574101957410196
6	33	1310720	1572864	33	34	24.1640625	28.50390625	1.2	0.17959909473003566	0.9059522824680164	0.014548981571290009
8	34	1572864	1835008	34	35	28.50390625	32.05078125	1.1666666666666667	0.12443469919144845	0.76081675338698351	0.0026038097848430863
64	35	1835008	2097152	35	36	32.05078125	30.30859375	1.1428571428571428	-0.054357099329677028	-0.41855524406459277	0.00064441293981183146
11	36	2097152	2621440	36	37	30.30859375	34.12109375	1.25	0.12578940585126941	0.53097874877579998	0.00064441293981183146
15	37	2621440	3145728	37	38	34.12109375	37.0859375	1.2	0.086891814539210133	0.45700617090095652	0.00011448196908986835
20	38	3145728	3670016	38	39	37.0859375	39.11328125	1.1666666666666667	0.054666104908363211	0.34527404391717681	0.0010985718565864376
63	39	3670016	4194304	39	40	39.11328125	38.65625	1.1428571428571428	-0.01168480974732844	-0.08802135141755732	0.0010985718565864376
25	40	4194304	5242880	40	41	38.65625	40.94140625	1.25	0.059114793856103409	0.25738345903163057	0.00040420371867421178
50	41	5242880	6291456	41	42	40.94140625	41.37109375	1.2	0.010495181757465888	0.057264153822967248	9.5410743249689913e-05
31	42	6291456	7340032	42	43	41.37109375	42.64453125	1.1666666666666667	0.030780851666509346	0.19666876247690387	0.00064120179536502698
53	43	7340032	8388608	43	44	42.64453125	42.76953125	1.1428571428571428	0.0029312082073829071	0.021919344474939543	0.00064120179536502698
41	44	8388608	10485760	44	45	42.76953125	43.68359375	1.25	0.021371814777605191	0.094766978611838332	9.1332541784637863e-05
42	45	10485760	12582912	45	46	43.68359375	44.3984375	1.2	0.016364124116963197	0.089027732728402365	0.00017596339961288053
47	46	12582912	14680064	46	47	44.3984375	44.84375	1.1666666666666667	0.010029913777934274	0.064741511537115812	0.0010452961672473868
43	47	14680064	16777216	47	48	44.84375	45.35546875	1.1428571428571428	0.011411149825784062	0.084972780785370683	0.0024976315562828351
27	48	16777216	20971520	48	49	45.35546875	47.83203125	1.25	0.054603393333907402	0.23825365082766944	0.0024976315562828351
1	49	20971520	25165824	49	50	47.83203125	72.9609375	1.2	0.52535728868926101	2.3158461221377382	0.025484527251311704
2	50	25165824	29360128	50	51	72.9609375	99.03515625	1.1666666666666667	0.35737230966912947	1.9821560688887634	0.025484527251311704
5	51	29360128	33554432	51	52	99.03515625	112.90234375	1.1428571428571428	0.14002287697708349	0.98140465064501181	0.0058471438950973946
9	52	33554432	41943040	52	53	112.90234375	130.99609375	1.25	0.16026018060408953	0.66613743806168602	0.0073057999105412257
14	53	41943040	50331648	53	54	130.99609375	142.52734375	1.2	0.088027434024153806	0.46273389002996224	0.0073057999105412257
22	54	50331648	58720256	54	55	142.52734375	149.30078125	1.1666666666666667	0.047523775591306494	0.30119276846828413	0.02420135527589545
16	55	58720256	67108864	55	56	149.30078125	158.31640625	1.1428571428571428	0.060385651866774914	0.43909273557347939	0.02420135527589545
29	56	67108864	83886080	56	57	158.31640625	165.76953125	1.25	0.0470774013669224	0.20615812418511203	0.0027570280651318425
28	57	83886080	100663296	57	58	165.76953125	172.375	1.2	0.039847303061008033	0.21431299228068712	0.0027570280651318425
34	58	100663296	117440512	58	59	172.375	176.53515625	1.1666666666666667	0.024134336475706952	0.15470386510269635	0.00063451776649746188
40	59	117440512	134217728	59	60	176.53515625	179.12109375	1.1428571428571428	0.01464828623901937	0.10890350303933309	0.00076327554247083193
39	60	134217728	167772160	60	61	179.12109375	183.875	1.25	0.026540181005342944	0.11738676853464361	0.0016145479265805575
46	61	167772160	201326592	61	62	183.875	186.43359375	1.2	0.013914853840924613	0.07579427970660893	0.0016145479265805575
52	62	201326592	234881024	62	63	186.43359375	187.44140625	1.1666666666666667	0.0054057451756868158	0.034973485581900575	0.0027716994894237783
49	63	234881024	268435456	63	64	187.44140625	188.98046875	1.1428571428571428	0.0082108992393457036	0.061239331364128555	0.0027716994894237783
data_end
