ece592_transition_analysis_format_version=1
source_processed_file=/share/ece592f26/djariwa/tmp/ece592_phase3_skylake_capacity_830272/processed/capacity/dense_randomized.tsv
source_processed_sha256=b27b19adddf34e43e3b0d87052de7b3752e8b0d4326c3360932036a29297255d
source_hostname=c052n01
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=4
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input /share/ece592f26/djariwa/tmp/ece592_phase3_skylake_capacity_830272/processed/capacity/dense_randomized.tsv --output /share/ece592f26/djariwa/tmp/ece592_phase3_skylake_capacity_830272/processed/capacity/dense_transitions.tsv
analysis_working_directory=/home/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.23
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
32	0	629152	707792	0	1	13.55078125	14.1640625	1.1249936422358984	0.045257999423464979	0.37582550003274484	0.023717595146166576
27	1	707792	786432	1	2	14.1640625	15.1796875	1.1111060876641725	0.071704357418643117	0.65729756452323274	0.023717595146166576
38	2	786432	838864	2	3	15.1796875	14.88671875	1.0666707356770833	-0.019300051466803914	-0.30195264571139263	0.030175806874836002
30	3	838864	865080	3	4	14.88671875	15.11328125	1.0312517881325221	0.015219102597743284	0.49082835997721375	0.030175806874836002
18	4	865080	943720	4	5	15.11328125	16.30859375	1.0909048874092568	0.079090204187128421	0.87484713140597492	0.023233532934131735
7	5	943720	1022360	5	6	16.30859375	18.9453125	1.0833298012122239	0.16167664670658688	1.8723810795550002	0.04536082474226804
42	6	1022360	1048576	6	7	18.9453125	18.5	1.0256426307758519	-0.023505154639175241	-0.93943113747452001	0.084459459459459457
20	7	1048576	1101008	7	9	18.5	19.26953125	1.0500030517578125	0.041596283783783772	0.83525025516384344	0.084459459459459457
10	8	1101008	1146880	9	10	19.26953125	20.16796875	1.0416636391379537	0.046624771944050236	1.1164013156576689	0.03385363875937563
1	9	1146880	1153432	10	11	20.16796875	21.6953125	1.0057128906249999	0.075731164051907829	12.814687342487929	0.027367662945624774
39	10	1153432	1179648	11	12	21.6953125	21.54296875	1.0227286914183065	-0.0070219661505221964	-0.31354720932006619	0.027367662945624774
31	11	1179648	1258296	12	13	21.54296875	22.18359375	1.0666707356770833	0.029737080689030027	0.45401995161936259	0.0074342701722574797
8	12	1258296	1310720	13	14	22.18359375	23.9140625	1.0416626930388397	0.07800669131889415	1.8402015949822168	0.027768703038222802
15	13	1310720	1363152	14	15	23.9140625	24.76171875	1.0400024414062501	0.035445932701731353	0.88805376724226892	0.027768703038222802
11	14	1363152	1441792	15	16	24.76171875	26.34765625	1.0576898247590878	0.064047957091023733	1.1068577473930863	0.014040069411579113
13	15	1441792	1468008	16	17	26.34765625	26.79296875	1.0181829279119319	0.016901408450704203	0.93010794476360759	0.0034099332839140103
14	16	1468008	1572864	17	18	26.79296875	28.53125	1.071427403665375	0.064878262137337828	0.91113004101832307	0.0038335158817086527
19	17	1572864	1638400	18	20	28.53125	29.53515625	1.0416666666666667	0.035186199342825741	0.84712453886364403	0.0038335158817086527
23	18	1638400	1703936	20	21	29.53515625	30.3984375	1.04	0.029228937971167879	0.73455874893541317	0.0028270367514777691
25	19	1703936	1835008	21	22	30.3984375	32.0390625	1.0769230769230769	0.053970701619121098	0.7092982155613583	0.0028270367514777691
28	20	1835008	1966080	22	23	32.0390625	33.3515625	1.0714285714285714	0.040965618141916682	0.58192622658844095	0.00073152889539136799
34	21	1966080	16777216	23	24	33.3515625	47.62890625	8.5333333333333332	0.42808620285781207	0.16620267810424355	0.045517920118100547
40	22	16777216	18874368	24	25	47.62890625	45.79296875	1.125	-0.038546707127040114	-0.33374324468182487	0.045517920118100547
