ece592_capacity_processed_format_version=1
source_run_directory=/home/rrsood/ece592-raw-archive-2026-09-11/skylark/capacity/phase1_capacity_coarse_sequential_control_v1
source_capacity_plan_sha256=b1522af2e7da793fac823ef98bfccd24eb0547d9f312da060d4c3e7854823e0d
source_execution_manifest_sha256=845c646582e3478786a49752cea2b37be80e1e2831b7483f21c9cbbacd6f93da
source_build_command_sha256=bf76def6dc117af86830e6ee07f10c59286a59c8172c3533aeb29294b38f3748
source_plan_ece592_capacity_plan_version=1
source_plan_generator=SplitMix64+Fisher-Yates
source_plan_size_generation=integer subdivisions within factor-of-two ranges
source_plan_min_bytes=512
source_plan_max_bytes=268435456
source_plan_points_per_octave=3
source_plan_trial_count=2
source_plan_plan_seed=30592
source_plan_node_spacing_bytes=8
source_plan_node_bytes=8
source_plan_unique_size_count=58
source_plan_plan_row_count=116
source_raw_experiment_name=phase1-capacity-coarse-sequential-control
source_raw_hostname=skylark.ece.ncsu.edu
source_raw_kernel_release=5.14.0-611.38.1.el9_7.x86_64
source_raw_isa=x86_64
source_raw_cpu_model=AMD EPYC 7532 32-Core Processor
source_raw_cpu_model_source=/proc/cpuinfo human-readable field
source_raw_page_size_bytes=4096
source_raw_logical_cpu=4
source_raw_affinity_cpu_list=4
source_raw_affinity_allowed_cpu_count=1
source_raw_physical_core_id=8
source_raw_physical_package_id=0
source_raw_topology_id_source=Linux sysfs physical topology IDs
source_raw_numa_node=0
source_raw_thread_siblings_list=4
source_raw_compiler_version=11.5.0 20240719 (Red Hat 11.5.0-14)
source_raw_compiler_flags=-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer
source_raw_git_commit=175deac99bce98ca3e56c8e0658b15d8b7d723d8
source_raw_build_command=cd -- /home/rrsood/ECE592_HW1 && gcc -O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -DECE592_BUILD_FLAGS=\"-O0\ -g\ -std=c11\ -Wall\ -Wextra\ -Wpedantic\ -Werror\ -fno-omit-frame-pointer\" -DECE592_GIT_COMMIT=\"175deac99bce98ca3e56c8e0658b15d8b7d723d8\" -I main_code/common main_code/common/cache_bench.c main_code/common/raw_output.c main_code/common/measurement.c main_code/common/pointer_chase.c main_code/common/spatial_chase.c main_code/common/conflict_chase.c main_code/common/eviction_layout.c main_code/common/eviction_measurement.c main_code/common/inclusion_chase.c main_code/common/inclusion_measurement.c main_code/common/metadata_linux.c main_code/common/affinity_linux.c main_code/x86_64/timer_x86_64.c -o /tmp/ece592_phase1_skylark_v1
source_raw_environment_variables=Phase-I sequential prefetcher control; No SMT sibling
source_raw_locality_method=pin-before-allocation plus first-touch memset
source_raw_smt_siblings_idle=not-applicable
source_raw_timer_name=LFENCE+RDTSC / RDTSCP+LFENCE
source_raw_timer_unit=TSC ticks
source_raw_timer_frequency_hz=0
source_raw_timer_frequency_hz_valid=false
source_raw_traversal=sequential-dependent-single-cycle
source_raw_random_seed_applicable=false
source_raw_node_spacing_bytes=8
source_raw_allocation_alignment_bytes=4096
source_raw_timed_sample_count=1000000
source_raw_dependent_accesses_per_sample=256
processing_script=/home/rrsood/ECE592_HW1/scripts/process_capacity_run.py
processing_command=scripts/process_capacity_run.py --run-directory /home/rrsood/ece592-raw-archive-2026-09-11/skylark/capacity/phase1_capacity_coarse_sequential_control_v1 --output data_processed/skylark/capacity/phase1_capacity_coarse_sequential_control_v1.tsv
processing_working_directory=/home/rrsood/ECE592_HW1
python_version=3.9.25
standard_deviation_definition=population
quantile_method=linear interpolation at (n-1)*p
outlier_rule=values outside Q1-1.5*IQR or Q3+1.5*IQR
timer_overhead_subtracted=false
processed_point_count=116
row_order=trial then plot_index
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	actual_span_bytes	node_count	point_seed	raw_filename	raw_sha256	traversal	timer_unit	timed_sample_count	warmup_batch_count	dependent_accesses_per_sample	elapsed_batch_raw_ticks_count	elapsed_batch_raw_ticks_mean	elapsed_batch_raw_ticks_population_stddev	elapsed_batch_raw_ticks_minimum	elapsed_batch_raw_ticks_p05	elapsed_batch_raw_ticks_q1	elapsed_batch_raw_ticks_median	elapsed_batch_raw_ticks_q3	elapsed_batch_raw_ticks_p95	elapsed_batch_raw_ticks_maximum	elapsed_batch_raw_ticks_lower_outlier_fence	elapsed_batch_raw_ticks_upper_outlier_fence	elapsed_batch_raw_ticks_outlier_count	elapsed_raw_ticks_per_access_unadjusted_count	elapsed_raw_ticks_per_access_unadjusted_mean	elapsed_raw_ticks_per_access_unadjusted_population_stddev	elapsed_raw_ticks_per_access_unadjusted_minimum	elapsed_raw_ticks_per_access_unadjusted_p05	elapsed_raw_ticks_per_access_unadjusted_q1	elapsed_raw_ticks_per_access_unadjusted_median	elapsed_raw_ticks_per_access_unadjusted_q3	elapsed_raw_ticks_per_access_unadjusted_p95	elapsed_raw_ticks_per_access_unadjusted_maximum	elapsed_raw_ticks_per_access_unadjusted_lower_outlier_fence	elapsed_raw_ticks_per_access_unadjusted_upper_outlier_fence	elapsed_raw_ticks_per_access_unadjusted_outlier_count	timer_overhead_raw_ticks_count	timer_overhead_raw_ticks_mean	timer_overhead_raw_ticks_population_stddev	timer_overhead_raw_ticks_minimum	timer_overhead_raw_ticks_p05	timer_overhead_raw_ticks_q1	timer_overhead_raw_ticks_median	timer_overhead_raw_ticks_q3	timer_overhead_raw_ticks_p95	timer_overhead_raw_ticks_maximum	timer_overhead_raw_ticks_lower_outlier_fence	timer_overhead_raw_ticks_upper_outlier_fence	timer_overhead_raw_ticks_outlier_count
48	0	48	0	512	512	64	7209864594120825416	skylark_capacity_trial000_exec0048_plot0000_span00000000000000000512_seed07209864594120825416.tsv	1a9d625c7c3042b68527ed3a0248b7132b10570b3afbac4c747ee83c523ba0d7	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1658.9535839999648	160.66692898525795	1344	1632	1656	1656	1656	1656	51816	1656	1656	224361	1000000	6.4802874374998627	0.62760519134866388	5.25	6.375	6.46875	6.46875	6.46875	6.46875	202.40625	6.46875	6.46875	224361	1000000	68.697839999998138	27.042590322200578	48	48	72	72	72	72	7008	72	72	155775
28	0	28	1	682	688	86	14651090581622414731	skylark_capacity_trial000_exec0028_plot0001_span00000000000000000688_seed14651090581622414731.tsv	d1e456a849ff1322dc83fb1af9782c654ca006303b74e873bfe7059357eba0f2	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1620.3278880000248	188.77139446817085	1320	1440	1632	1656	1656	1680	65856	1596	1692	262317	1000000	6.3294058125000969	0.7373882596412924	5.15625	5.625	6.375	6.46875	6.46875	6.5625	257.25	6.234375	6.609375	262317	1000000	68.621304000002183	25.989088736228879	48	48	72	72	72	72	7656	72	72	155056
11	0	11	2	853	856	107	12532749355707235364	skylark_capacity_trial000_exec0011_plot0002_span00000000000000000856_seed12532749355707235364.tsv	9ae914ec88bf4f98abe9c28584cd59f1fec49759f06d791cba2516063d074a57	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1640.5010639999509	150.35925407792433	1344	1440	1632	1656	1656	1728	11952	1596	1692	223556	1000000	6.4082072812498083	0.58734083624189193	5.25	5.625	6.375	6.46875	6.46875	6.75	46.6875	6.234375	6.609375	223556	1000000	68.790744000005276	53.223333265835812	48	48	72	72	72	72	42912	72	72	156865
52	0	52	3	1024	1024	128	13791482079082224217	skylark_capacity_trial000_exec0052_plot0003_span00000000000000001024_seed13791482079082224217.tsv	e3fe2a35fdb7ba4b1c2aabe1125374ffe7ca3a87200a654d7bf7faae923bc546	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1627.5451920000328	179.50888093262304	1344	1392	1632	1656	1656	1704	47880	1596	1692	237054	1000000	6.3575984062501281	0.70120656614305876	5.25	5.4375	6.375	6.46875	6.46875	6.65625	187.03125	6.234375	6.609375	237054	1000000	68.655696000002038	22.379851267503355	48	48	72	72	72	72	6624	72	72	157366
5	0	5	4	1365	1368	171	11030682325145241562	skylark_capacity_trial000_exec0005_plot0004_span00000000000000001368_seed11030682325145241562.tsv	a62d079fdd4e95cfb76f156b7e11f1ac1857b58cb7a56140d23d3113fb0b58f0	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1636.6594319999822	161.96054540979137	1272	1440	1632	1656	1656	1728	43656	1596	1692	288722	1000000	6.3932009062499304	0.63265838050699752	4.96875	5.625	6.375	6.46875	6.46875	6.75	170.53125	6.234375	6.609375	288722	1000000	68.685480000000311	26.93775234071342	48	48	72	72	72	72	7656	72	72	157223
24	0	24	5	1706	1712	214	2467581718762872060	skylark_capacity_trial000_exec0024_plot0005_span00000000000000001712_seed02467581718762872060.tsv	35ca861919d2826b2c75993a2cdc82a26a1629d90636da0710d1a22f3c7ce81c	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1629.6312720000101	170.6879357179738	1320	1440	1632	1656	1656	1680	47448	1596	1692	230610	1000000	6.3657471562500394	0.66674974889833516	5.15625	5.625	6.375	6.46875	6.46875	6.5625	185.34375	6.234375	6.609375	230610	1000000	68.775960000003323	23.968793004204787	48	48	72	72	72	72	6144	72	72	157939
2	0	2	6	2048	2048	256	4486187984284571714	skylark_capacity_trial000_exec0002_plot0006_span00000000000000002048_seed04486187984284571714.tsv	9a0d924e919bf568a03063d678e8c97ade4d06d5c029c9f879b648eedbb5a8b4	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1592.901000000069	170.33548987512174	1320	1440	1488	1632	1656	1656	42288	1236	1908	9327	1000000	6.2222695312502694	0.66537300732469429	5.15625	5.625	5.8125	6.375	6.46875	6.46875	165.1875	4.828125	7.453125	9327	1000000	68.704584000002029	31.044769887808148	48	48	72	72	72	72	7200	72	72	155344
50	0	50	7	2730	2736	342	7678066571294794041	skylark_capacity_trial000_exec0050_plot0007_span00000000000000002736_seed07678066571294794041.tsv	d21aacc36d965a9bdb977e27bb4cb3e3ae21f436180b99400bee27a66b815a26	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1621.4537519999844	177.94041361400321	1344	1440	1632	1656	1656	1680	58608	1596	1692	257706	1000000	6.3338037187499392	0.69507974067970002	5.25	5.625	6.375	6.46875	6.46875	6.5625	228.9375	6.234375	6.609375	257706	1000000	68.677415999996839	26.471609311920918	48	48	72	72	72	72	6768	72	72	155017
21	0	21	8	3413	3416	427	13844948008289152609	skylark_capacity_trial000_exec0021_plot0008_span00000000000000003416_seed13844948008289152609.tsv	a149a1f9a55b8cdcf3ab6ceccb48d5c5c265792227a2ed54936c16caeea8b0fd	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1640.231183999977	169.89241864767908	1344	1440	1632	1656	1656	1728	52656	1596	1692	236539	1000000	6.4071530624999102	0.6636422603424964	5.25	5.625	6.375	6.46875	6.46875	6.75	205.6875	6.234375	6.609375	236539	1000000	68.688720000000473	27.925918584026146	48	48	72	72	72	72	8520	72	72	155687
0	0	0	9	4096	4096	512	1542135668197070604	skylark_capacity_trial000_exec0000_plot0009_span00000000000000004096_seed01542135668197070604.tsv	2ca73e472cff0030e808b71ad22d4b1e37ae812dba66855ebf1cffc29c534b4d	sequential-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1597.0895520000104	189.43468188386305	1344	1368	1488	1656	1656	1704	46608	1236	1908	7664	1000000	6.2386310625000405	0.73997922610884004	5.25	5.34375	5.8125	6.46875	6.46875	6.65625	182.0625	4.828125	7.453125	7664	1000000	68.647056000000717	26.316437572985429	48	48	72	72	72	72	7560	72	72	155206
