ece592_transition_analysis_format_version=1
source_processed_file=/home/rrsood/ECE592_HW1/data_processed/skylark/capacity/phase1_capacity_coarse_randomized_v1.tsv
source_processed_sha256=479be4e97bd30ba456ac0467a316755e83fdfc6260c7e60b892d90f638e39d9a
source_hostname=skylark.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/rrsood/ECE592_HW1/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/skylark/capacity/phase1_capacity_coarse_randomized_v1.tsv --output data_processed/skylark/capacity/phase1_capacity_coarse_transition_candidates_v1.tsv
analysis_working_directory=/home/rrsood/ECE592_HW1
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
38	0	512	688	0	1	6.46875	6.46875	1.34375	0	0	0
39	1	688	856	1	2	6.46875	6.46875	1.2441860465116279	0	0	0
40	2	856	1024	2	3	6.46875	6.46875	1.1962616822429906	0	0	0
41	3	1024	1368	3	4	6.46875	6.46875	1.3359375	0	0	0
42	4	1368	1712	4	5	6.46875	6.46875	1.2514619883040936	0	0	0
56	5	1712	2048	5	6	6.46875	6.046875	1.1962616822429906	-0.065217391304347783	-0.37634343096268519	0.069767441860465115
19	6	2048	2736	6	7	6.046875	6.46875	1.3359375	0.069767441860465018	0.2328505821760665	0.069767441860465115
43	7	2736	3416	7	8	6.46875	6.46875	1.2485380116959064	0	0	0
44	8	3416	4096	8	9	6.46875	6.46875	1.1990632318501171	0	0	0
45	9	4096	5464	9	10	6.46875	6.46875	1.333984375	0	0	0
46	10	5464	6832	10	11	6.46875	6.46875	1.2503660322108345	0	0	0
47	11	6832	8192	11	12	6.46875	6.46875	1.1990632318501171	0	0	0
48	12	8192	10928	12	13	6.46875	6.46875	1.333984375	0	0	0
49	13	10928	13656	13	14	6.46875	6.46875	1.2496339677891655	0	0	0
53	14	13656	16384	14	15	6.46875	6.375	1.1997656707674282	-0.014492753623188359	-0.080157573934839396	0.014705882352941176
37	15	16384	21848	15	16	6.375	6.46875	1.33349609375	0.014705882352941124	0.050724772961338788	0.014705882352941176
51	16	21848	27312	16	17	6.46875	6.375	1.2500915415598681	-0.014492753623188359	-0.065401890028843487	0
54	17	27312	32768	17	18	6.375	6.234375	1.1997656707674282	-0.022058823529411797	-0.12247414020459194	0.0075187969924812026
3	18	32768	43696	18	19	6.234375	8.0625	1.33349609375	0.29323308270676685	0.8934734322384722	0.0075187969924812026
11	19	43696	54616	19	20	8.0625	8.953125	1.2499084584401319	0.11046511627906974	0.46971266012024604	0.005235602094240838
13	20	54616	65536	20	21	8.953125	9.609375	1.1999414091108833	0.073298429319371694	0.38808082342168304	0.014634146341463415
24	21	65536	87384	21	22	9.609375	10.125	1.3333740234375	0.053658536585365901	0.18166889611927772	0.014634146341463415
25	22	87384	109232	22	23	10.125	10.5	1.2500228874851231	0.037037037037036979	0.1629653202655727	0
29	23	109232	131072	23	24	10.5	10.734375	1.1999414091108833	0.022321428571428603	0.12111494525831562	0.0043668122270742356
31	24	131072	174768	24	25	10.734375	11.0625	1.3333740234375	0.030567685589519611	0.10465235990184586	0.0043668122270742356
33	25	174768	218456	25	26	11.0625	11.296875	1.2499771125148769	0.021186440677966045	0.093961258512002058	0.0041493775933609959
27	26	218456	262144	26	27	11.296875	11.625	1.1999853517413117	0.029045643153526868	0.15705070913748195	0.0041493775933609959
15	27	262144	349528	27	28	11.625	12.703125	1.333343505859375	0.092741935483870996	0.30828380075651929	0.01107011070110701
9	28	349528	436912	28	29	12.703125	14.34375	1.2500057220022429	0.12915129151291516	0.54433026917337257	0.019607843137254902
5	29	436912	524288	29	30	14.34375	16.03125	1.1999853517413117	0.11764705882352944	0.61009287351165231	0.019607843137254902
8	30	524288	699056	30	31	16.03125	18.9375	1.333343505859375	0.18128654970760238	0.57911054808768048	0.011695906432748537
7	31	699056	873816	31	32	18.9375	21.5625	1.2499942779977571	0.13861386138613851	0.58175230157412428	0.0099009900990099011
10	32	873816	1048576	32	33	21.5625	23.53125	1.1999963379018008	0.091304347826086873	0.47923621460715804	0
14	33	1048576	1398104	33	34	23.53125	25.96875	1.3333358764648438	0.10358565737051784	0.34261402781120726	0
17	34	1398104	1747632	34	35	25.96875	27.515625	1.2500014305087461	0.059566787003610067	0.25929423459508039	0.0017035775127768314
57	35	1747632	2097152	35	36	27.515625	24.609375	1.1999963379018008	-0.10562180579216351	-0.61226125790957531	0.0019047619047619048
21	36	2097152	2796208	36	37	24.609375	26.296875	1.3333358764648438	0.068571428571428505	0.23053992432079276	0.0019047619047619048
22	37	2796208	3495256	37	38	26.296875	27.65625	1.2499985694912539	0.051693404634581164	0.22587204322025081	0.0017825311942959001
55	38	3495256	4194304	38	39	27.65625	26.53125	1.1999990844733548	-0.04067796610169494	-0.22777686416644891	0
23	39	4194304	5592408	39	40	26.53125	27.984375	1.3333339691162109	0.054770318021201359	0.18535373564103197	0.0016750418760469012
52	40	5592408	6990512	40	41	27.984375	27.5625	1.2500003576276981	-0.015075376884422065	-0.068073425956345343	0.0016750418760469012
50	41	6990512	8388608	41	42	27.5625	27.46875	1.1999990844733548	-0.0034013605442176909	-0.018687711091955331	0
36	42	8388608	11184816	42	43	27.46875	27.9375	1.3333339691162109	0.017064846416382284	0.058817879395767846	0
34	43	11184816	13981016	43	44	27.9375	28.40625	1.2499996423723019	0.016778523489932917	0.074567874536368206	0
18	44	13981016	16777216	44	45	28.40625	29.71875	1.1999997711182078	0.046204620462046098	0.24774369205454144	0.0031545741324921135
1	45	16777216	22369624	45	46	29.71875	100.453125	1.3333334922790527	2.3801261829652995	4.23353643826258	0.0060662622491833877
2	46	22369624	27962032	46	47	100.453125	137.015625	1.2500000894069565	0.36397573495100333	1.3910492519902906	0.0060662622491833877
4	47	27962032	33554432	47	48	137.015625	159.328125	1.1999997711182078	0.16284639069449192	0.82749920015384759	0.0030790283954840918
6	48	33554432	44739248	48	49	159.328125	189.46875	1.3333334922790527	0.18917328626066499	0.60225607732986486	0.0014844136566056407
12	49	44739248	55924056	49	50	189.46875	207.515625	1.2499999105930435	0.095249876298862057	0.40773109236600619	0.001581206234470296
16	50	55924056	67108864	50	51	207.515625	219.421875	1.1999999427795438	0.057375197650779253	0.30599575903135229	0.001581206234470296
