ece592_transition_analysis_format_version=1
source_processed_file=/home/rrsood/ECE592_HW1/data_processed/skylark/capacity/phase1_capacity_dense_transition_randomized_v1.tsv
source_processed_sha256=56ddc511b586aee8b488d1d6c49572a68f0d88cd18a7c450c739fff6d2adb3af
source_hostname=skylark.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=4
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/rrsood/ECE592_HW1/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/skylark/capacity/phase1_capacity_dense_transition_randomized_v1.tsv --output data_processed/skylark/capacity/phase1_capacity_dense_transition_candidates_v1.tsv
analysis_working_directory=/home/rrsood/ECE592_HW1
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
45	0	26216	29496	0	1	6.375	6.28125	1.1251144339334758	-0.014705882352941124	-0.1256743204149619	0
44	1	29496	32768	1	2	6.28125	6.234375	1.1109302956333063	-0.0074626865671642006	-0.071205614311215387	0.0075187969924812026
13	2	32768	36048	2	3	6.234375	7.03125	1.10009765625	0.1278195488721805	1.2608750985936099	0.0075187969924812026
18	3	36048	39328	3	4	7.03125	7.59375	1.0909897913892588	0.080000000000000071	0.88374268929030231	0
28	4	39328	42600	4	5	7.59375	7.96875	1.0831977217249797	0.049382716049382713	0.60314811925092682	0
27	5	42600	45880	5	6	7.96875	8.34375	1.0769953051643193	0.04705882352941182	0.61995401513167703	0
34	6	45880	49152	6	7	8.34375	8.625	1.0713164777680906	0.033707865168539408	0.4812462153714871	0
37	7	49152	52432	7	8	8.625	8.8125	1.0667317708333333	0.021739130434782705	0.3329156897490842	0
31	8	52432	54624	8	9	8.8125	9	1.041806530363137	0.021276595744680771	0.51404625190668807	0
40	9	54624	349536	9	10	9	13.171875	6.3989455184534272	0.46354166666666674	0.20518963532532797	0.02491103202846975
