machine,working_set_bytes,footprint_bytes,node_spacing_bytes,traversal_order,N_per_batch,unit,n_samples,median,mean,sd,q1,q3,iqr,p5,p95,min,max,n_outliers,outlier_fraction,num_nodes,warmup_steps,warmup_laps,seed,migrated_excluded,logical_cpu,source_raw_file
sunbird,4096,4096,64,randomized,1000,TSC_ticks_per_access,1000000,10.096,10.143501713000001,0.49740464878250806,10.096,10.1,0.0039999999999995595,10.096,10.1,10.072,53.596,17072,0.017072,64,10000,156.250,20260904,0,4125,capacity_ws4096_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,5760,5760,64,randomized,1000,TSC_ticks_per_access,1000000,10.096,10.144672582000005,0.512772111960754,10.096,10.1,0.0039999999999995595,10.096,10.1,10.072,57.448,18597,0.018597,90,10000,111.111,20260904,0,4125,capacity_ws5760_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,8192,8192,64,randomized,1000,TSC_ticks_per_access,1000000,10.096,10.170207637,0.6955428836396641,10.096,10.1,0.0039999999999995595,10.096,10.1,10.068,75.428,20814,0.020814,128,10000,78.125,20260904,0,4125,capacity_ws8192_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,11584,11584,64,randomized,1000,TSC_ticks_per_access,1000000,10.096,10.143226655000005,0.5147797115336448,10.096,10.1,0.0039999999999995595,10.088,10.104,10.072,54.428,166451,0.166451,181,10000,55.249,20260904,0,4125,capacity_ws11584_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,16384,16384,64,randomized,1000,TSC_ticks_per_access,1000000,10.096,10.145057943,0.520230740329358,10.096,10.1,0.0039999999999995595,10.096,10.1,10.072,94.96,43580,0.04358,256,10000,39.062,20260904,0,4125,capacity_ws16384_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,23168,23168,64,randomized,1000,TSC_ticks_per_access,1000000,10.32,10.367462763000002,0.561144271292418,10.304,10.336,0.03200000000000003,10.264,10.356,10.076,64.917,39995,0.039995,362,10000,27.624,20260904,0,4125,capacity_ws23168_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,32768,32768,64,randomized,1000,TSC_ticks_per_access,1000000,10.648,10.705772897999998,0.6658451593204369,10.628,10.66,0.03200000000000003,10.596,10.676,10.532,63.832,35292,0.035292,512,10000,19.531,20260904,0,4125,capacity_ws32768_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,46336,46336,64,randomized,1000,TSC_ticks_per_access,1000000,17.092,17.160078408,0.6954428151824525,17.064,17.124,0.05999999999999872,17.032,17.152,16.692,108.936,17776,0.017776,724,10000,13.812,20260904,0,4125,capacity_ws46336_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,65536,65536,64,randomized,1000,TSC_ticks_per_access,1000000,17.144,17.208719217,0.679292798422457,17.12,17.164,0.04400000000000048,17.084,17.196,17.06,66.425,16433,0.016433,1024,10000,9.766,20260904,0,4125,capacity_ws65536_sp64_rand_sunbird_20260910-021306.csv.gz
sunbird,92672,92672,64,randomized,1000,TSC_ticks_per_access,1000000,17.148,17.267202572000002,0.8728972790920158,17.12,17.18,0.05999999999999872,17.084,17.332,17.06,65.94,70893,0.070893,1448,10000,6.906,20260904,0,4125,capacity_ws92672_sp64_rand_sunbird_20260910-021306.csv.gz
