ece592_transition_analysis_format_version=1
source_processed_file=/home/rrsood/ECE592_HW1/data_processed/sunbird/capacity/phase1_capacity_coarse_randomized_v1.tsv
source_processed_sha256=085526f5ab8c53104abbc11379d9e2038ed3981a642243b1b9d0e85c316a7e93
source_hostname=sunbird.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/rrsood/ECE592_HW1/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/sunbird/capacity/phase1_capacity_coarse_randomized_v1.tsv --output data_processed/sunbird/capacity/phase1_capacity_coarse_transition_candidates_v1.tsv
analysis_working_directory=/home/rrsood/ECE592_HW1
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
41	0	512	688	0	1	10.34375	10.34375	1.34375	0	0	0
37	1	688	856	1	2	10.34375	10.40625	1.2441860465116279	0.0060422960725075026	0.027572648255683643	0.006006006006006006
42	2	856	1024	2	3	10.40625	10.40625	1.1962616822429906	0	0	0.006006006006006006
52	3	1024	1368	3	4	10.40625	10.3828125	1.3359375	-0.0022522522522522292	-0.0077849903475533874	0.0045045045045045045
43	4	1368	1712	4	5	10.3828125	10.3828125	1.2514619883040936	0	0	0.0037622272385252069
49	5	1712	2048	5	6	10.3828125	10.375	1.1962616822429906	-0.00075244544770503019	-0.0042004613419882944	0.002257336343115124
38	6	2048	2736	6	7	10.375	10.390625	1.3359375	0.0015060240963855609	0.0051958501248223366	0.0015060240963855422
51	7	2736	3416	7	8	10.390625	10.375	1.2485380116959064	-0.0015037593984962294	-0.0067796052092988484	0
47	8	3416	4096	8	9	10.375	10.3671875	1.1990632318501171	-0.00075301204819278045	-0.0041494610856351736	0.00075357950263752827
44	9	4096	5464	9	10	10.3671875	10.3671875	1.333984375	0	0	0.00075357950263752827
40	10	5464	6832	10	11	10.3671875	10.375	1.2503660322108345	0.00075357950263743589	0.0033714109516195978	0.00075357950263752827
48	11	6832	8192	11	12	10.375	10.3671875	1.1990632318501171	-0.00075301204819278045	-0.0041494610856351736	0.00075357950263752827
45	12	8192	10928	12	13	10.3671875	10.3671875	1.333984375	0	0	0.00075357950263752827
46	13	10928	13656	13	14	10.3671875	10.3671875	1.2496339677891655	0	0	0.00075357950263752827
39	14	13656	16384	14	15	10.3671875	10.375	1.1997656707674282	0.00075357950263743589	0.0041361179340842838	0.00075357950263752827
34	15	16384	21848	15	16	10.375	10.515625	1.33349609375	0.013554216867469826	0.046778967069361112	0
50	16	21848	27312	16	17	10.515625	10.5	1.2500915415598681	-0.0014858841010401136	-0.0066616367687493874	0.001488095238095238
32	17	27312	32768	17	18	10.5	10.65625	1.1997656707674282	0.014880952380952328	0.081104817325070064	0.0029325513196480938
8	18	32768	43696	18	19	10.65625	12.5	1.33349609375	0.17302052785923761	0.55448150406243479	0.0029325513196480938
12	19	43696	54616	19	20	12.5	13.6328125	1.2499084584401319	0.090624999999999956	0.38889498254877258	0.0028653295128939827
17	20	54616	65536	20	21	13.6328125	14.359375	1.1999414091108833	0.053295128939828018	0.28486690421929139	0.0032644178454842221
20	21	65536	87384	21	22	14.359375	15.1171875	1.3333740234375	0.05277475516866148	0.17875235361142983	0.0032644178454842221
24	22	87384	109232	22	23	15.1171875	15.6484375	1.2500228874851231	0.035142118863049188	0.15476986088179007	0.0025839793281653748
30	23	109232	131072	23	24	15.6484375	15.9375	1.1999414091108833	0.018472291562656062	0.10041958106624786	0.0004992511233150275
18	24	131072	174768	24	25	15.9375	17.1953125	1.3333740234375	0.078921568627450922	0.26402040593095127	0.0013630168105406633
4	25	174768	218456	25	26	17.1953125	21.5546875	1.2499771125148769	0.25352112676056349	1.0126890687832675	0.038057267125770206
31	26	218456	262144	26	27	21.5546875	21.8984375	1.1999853517413117	0.01594780717651334	0.086786426267387196	0.038057267125770206
3	27	262144	349528	27	28	21.8984375	29.4765625	1.333343505859375	0.34605779521940772	1.0329885530221159	0.044791942751126426
6	28	349528	436912	28	29	29.4765625	34.59375	1.2500057220022429	0.17360190829578581	0.71736014390686764	0.044791942751126426
7	29	436912	524288	29	30	34.59375	38.3359375	1.1999853517413117	0.10817524841915094	0.56340907558001529	0.005871725383920506
11	30	524288	699056	30	31	38.3359375	42.984375	1.333343505859375	0.12125534950071337	0.39782065423855456	0.0014540167211922936
16	31	699056	873816	31	32	42.984375	45.890625	1.2499942779977571	0.067611777535441675	0.29319920759982088	0.0017024174327545114
19	32	873816	1048576	32	33	45.890625	47.8125	1.1999963379018008	0.041879468845760881	0.2250252311943077	0.0017024174327545114
22	33	1048576	1398104	33	34	47.8125	50.1015625	1.3333358764648438	0.047875816993464104	0.16255713535119706	0.00065359477124183002
27	34	1398104	1747632	34	35	50.1015625	51.515625	1.2500014305087461	0.028223920162170568	0.12473056728029577	0.00046779978169343521
57	35	1747632	2097152	35	36	51.515625	45.46875	1.1999963379018008	-0.11737943585077348	-0.68484481527671659	0.00034364261168384882
23	36	2097152	2796208	36	37	45.46875	47.640625	1.3333358764648438	0.047766323024055035	0.16219390059670105	0.00034364261168384882
21	37	2796208	3495256	37	38	47.640625	49.5390625	1.2499985694912539	0.039849130862577908	0.17511524005472726	0.00032797638570022957
56	38	3495256	4194304	38	39	49.5390625	47.2734375	1.1999990844733548	-0.045734111338905481	-0.25676137147029843	0.00016526194017517766
25	39	4194304	5592408	39	40	47.2734375	49.328125	1.3333339691162109	0.043463890266071781	0.14789163472303871	0.00016526194017517766
55	40	5592408	6990512	40	41	49.328125	48.484375	1.2500003576276981	-0.017104846373139027	-0.077317053920795589	0
53	41	6990512	8388608	41	42	48.484375	48.1640625	1.1999990844733548	-0.0066065098291975266	-0.036355860841413151	0.00016220600162206002
36	42	8388608	11184816	42	43	48.1640625	48.7109375	1.3333339691162109	0.011354420113544261	0.039246184878447096	0.00016220600162206002
35	43	11184816	13981016	43	44	48.7109375	49.1640625	1.2499996423723019	0.009302325581395321	0.041494980384011865	0.00016038492381716118
54	44	13981016	16777216	44	45	49.1640625	48.609375	1.1999997711182078	-0.011282377244557495	-0.062233551199219854	0.00015890672175433021
33	45	16777216	22369624	45	46	48.609375	49.3671875	1.3333334922790527	0.015589842494374784	0.053773121049142295	0.0045893337553410346
13	46	22369624	27962032	46	47	49.3671875	53.265625	1.2500000894069565	0.078968191169488833	0.34061114970320455	0.036960985626283367
2	47	27962032	33554432	47	48	53.265625	66.8828125	1.1999997711182078	0.25564681724846006	1.2486239927076441	0.036960985626283367
1	48	33554432	44739248	48	49	66.8828125	108.46875	1.3333334922790527	0.62177315734143201	1.6807439120488099	0.0012964563526361278
5	49	44739248	55924056	49	50	108.46875	131.8125	1.2499999105930435	0.21521175453759733	0.87351127338140155	0.0061640587956377432
9	50	55924056	67108864	50	51	131.8125	143.234375	1.1999999427795438	0.086652441915599843	0.45579820378111963	0.0061640587956377432
10	51	67108864	89478488	51	52	143.234375	162.34375	1.3333333730697632	0.13341333042434811	0.43531983794000978	0.005672520999236391
14	52	89478488	111848112	52	53	162.34375	174.046875	1.2500000223517411	0.072088546679499599	0.3119456187012023	0.0043989586138791633
15	53	111848112	134217728	53	54	174.046875	184.0078125	1.1999999427795438	0.057231349313223712	0.30524953820769091	0.015327134547616014
28	54	134217728	178956976	54	55	184.0078125	190.390625	1.3333333730697632	0.034687725555130999	0.11853245817415241	0.015327134547616014
26	55	178956976	223696216	55	56	190.390625	196.2265625	1.2499999776482589	0.030652441526467067	0.13530322664913164	0.0025082613369431061
29	56	223696216	268435456	56	57	196.2265625	199.890625	1.1999999856948855	0.01867261217502092	0.10147138228377919	0.0025082613369431061
data_end
