ece592_transition_analysis_format_version=1
source_processed_file=/home/rrsood/ECE592_HW1/data_processed/sunbird/capacity/phase1_capacity_dense_transition_randomized_v1.tsv
source_processed_sha256=e9a827340e940e7e4201c464f82b6901c9610c22d138270bd00918960ff52cc5
source_hostname=sunbird.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=4
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/home/rrsood/ECE592_HW1/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/sunbird/capacity/phase1_capacity_dense_transition_randomized_v1.tsv --output data_processed/sunbird/capacity/phase1_capacity_dense_transition_candidates_v1.tsv
analysis_working_directory=/home/rrsood/ECE592_HW1
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
40	0	139816	157296	0	1	16.015625	16.265625	1.1250214567717571	0.015609756097560989	0.13148471860415212	0.0019212295869356388
30	1	157296	174768	1	2	16.265625	17.1796875	1.1110772047604516	0.056195965417867422	0.51907093564529527	0.047748976807639835
42	2	174768	192248	2	3	17.1796875	17.203125	1.1000183099880985	0.0013642564802183177	0.014301606355796056	0.047748976807639835
33	3	192248	209720	3	4	17.203125	17.984375	1.0908826099621323	0.045413260672116262	0.5105615743719718	0.0018165304268846503
4	4	209720	209728	4	5	17.984375	18.859375	1.0000381460995613	0.048653344917463093	1245.4148396827945	0.06628003314001657
43	5	209728	227200	5	6	18.859375	18.71875	1.0833079035703388	-0.0074565037282519064	-0.093533042863031837	0.06628003314001657
9	6	227200	235936	6	7	18.71875	20.9375	1.0384507042253521	0.11853088480801333	2.9688954710209066	0.027545909849749584
37	7	235936	244680	7	8	20.9375	21.203125	1.0370608978706091	0.012686567164179152	0.34642871178686363	0.024626865671641792
11	8	244680	262144	8	9	21.203125	24.5234375	1.0713748569560242	0.15659543109801022	2.1101674137578859	0.1487734947435489
53	9	262144	262152	9	10	24.5234375	22.0390625	1.000030517578125	-0.10130614845492192	-3500.0967386350035	0.1487734947435489
26	10	262152	273072	10	11	22.0390625	22.8125	1.0416552229241052	0.035093938319744833	0.84516863356071725	0.039041095890410958
49	11	273072	279624	11	12	22.8125	21.578125	1.0239936719985938	-0.054109589041095862	-2.3461723907192975	0.039041095890410958
10	12	279624	288360	12	13	21.578125	23.234375	1.0312419534803881	0.076755973931933452	2.4038856887623918	0.018157363819771351
16	13	288360	314576	13	14	23.234375	26.0625	1.0909141351088916	0.12172158708809677	1.3200403990593008	0.025779376498800959
22	14	314576	340792	14	16	26.0625	28.5859375	1.0833375718427343	0.096822541966426812	1.1545447063653285	0.025779376498800959
38	15	340792	349528	16	17	28.5859375	28.796875	1.0256344045634873	0.0073790653183929411	0.29046149295556656	0.024416711882799782
28	16	349528	367008	17	18	28.796875	29.625	1.0500102996040375	0.028757460661964274	0.5809782925377277	0.024416711882799782
19	17	367008	384480	18	19	29.625	31.4453125	1.0476065916819253	0.061445147679324963	1.2821700604843178	0.011677018633540372
21	18	384480	393216	19	20	31.4453125	32.3125	1.0227215980024968	0.027577639751552807	1.2108360860956879	0.011677018633540372
29	19	393216	419432	20	21	32.3125	33.4453125	1.0666707356770833	0.035058027079303722	0.53387423177156079	0.0053191489361702126
52	20	419432	419440	21	22	33.4453125	33.4140625	1.0000190734135688	-0.00093436113057698833	-49.010987442403973	0.0030395136778115501
27	21	419440	436912	22	23	33.4140625	34.2890625	1.0416555407209613	0.026186579378068675	0.63339253774018944	0.0030395136778115501
23	22	436912	454392	23	24	34.2890625	35.59375	1.0400080565422785	0.038049669628617	0.95195261477548709	0.010535557506584723
31	23	454392	489344	24	25	35.59375	36.984375	1.0769203683163435	0.039069359086918443	0.51717467309753995	0.010535557506584723
32	24	489344	524296	25	26	36.984375	38.3203125	1.071426235940361	0.036121673003802313	0.51433868908155866	0.0038022813688212928
35	25	524296	546144	26	27	38.3203125	39.0234375	1.0416711170789019	0.018348623853210899	0.44535835531239309	0.001834862385321101
41	26	546144	22369632	27	28	39.0234375	51.65625	40.95921954649323	0.32372372372372382	0.075540190387911932	0.048396854204476709
45	27	22369632	25165832	28	29	51.65625	49.15625	1.1249998211861509	-0.048396854204476702	-0.42117492922660388	0.048396854204476709
39	28	25165832	26843552	29	30	49.15625	49.8203125	1.0666665818956433	0.013509218054672534	0.20791921513710285	0.0076287349014621739
7	29	26843552	27962032	30	31	49.8203125	76.3359375	1.0416666169961413	0.5322251842559198	10.453226283833436	0.33783645481526969
50	30	27962032	30198992	31	32	76.3359375	54.8203125	1.0799999084472831	-0.28185446730119745	-4.3019610764898637	0.33783645481526969
5	31	30198992	30758240	32	33	54.8203125	80.7890625	1.0185187638050965	0.473706712270201	21.133183279498486	0.31031815104922156
48	32	30758240	33554432	33	34	80.7890625	66.46875	1.090908712592138	-0.17725558456628954	-2.2423556923593768	0.31031815104922156
2	33	33554432	33554440	34	35	66.46875	70.2890625	1.0000002384185791	0.057475317348377963	234395.73362741788	0.046348782927642544
