ece592_inclusion_policy_processed_version=1
summary_purpose=8.2.7_inclusion_exclusion_behavior
source_run_directory=/home/rrsood/ECE592_HW1/data_raw/sunbird/inclusion_policy/raw/sunbird_inclusion_policy_20260914T141555Z
processing_script=process_inclusion_policy_run.py
processing_command=/home/rrsood/ECE592_HW1/scripts/process_inclusion_policy_run.py --run-directory /home/rrsood/ECE592_HW1/data_raw/sunbird/inclusion_policy/raw/sunbird_inclusion_policy_20260914T141555Z --output /home/rrsood/ECE592_HW1/data_processed/sunbird/inclusion_policy/sunbird_inclusion_policy_20260914T141555Z.tsv
processing_working_directory=/home/rrsood/ECE592_HW1
python_version=3.9.25
standard_deviation_definition=population
quantile_method=linear interpolation at (n-1)*p
outlier_definition=outside q1-1.5*iqr and q3+1.5*iqr
timer_overhead_subtracted=false
eviction_threshold_rule=quantile of the same point's baseline distribution at 1-false_positive_rate
eviction_probability=fraction of after-pressure samples above that threshold
cache_policy_labels_assigned=false
processed_point_count=84
row_order=trial then series_index then pressure_bytes
data_begin
global_execution_index	trial	trial_execution_index	series_index	plot_index	target_bytes	target_line_spacing_bytes	pressure_source	pressure_bytes	pressure_line_spacing_bytes	pressure_order	pressure_passes	helper_cpu	accesses_per_sample	point_seed	raw_filename	raw_sha256	raw_experiment_name	raw_hostname	raw_kernel_release	raw_isa	raw_cpu_model	raw_page_size_bytes	raw_logical_cpu	raw_affinity_cpu_list	raw_physical_core_id	raw_physical_package_id	raw_numa_node	raw_thread_siblings_list	raw_compiler_version	raw_compiler_flags	raw_git_commit	raw_smt_siblings_idle	raw_timer_name	raw_timer_unit	raw_timer_frequency_hz_valid	raw_target_bytes	raw_target_line_spacing_bytes	raw_target_node_count	raw_pressure_source	raw_pressure_bytes	raw_pressure_node_count	raw_pressure_order	raw_pressure_passes_per_round	raw_pressure_pass_count	raw_helper_pass_count	raw_measuring_logical_cpu	raw_measuring_physical_core_id	raw_measuring_physical_package_id	raw_helper_used	raw_helper_logical_cpu	raw_helper_physical_core_id	raw_helper_physical_package_id	raw_helper_same_package	raw_helper_is_smt_sibling	raw_timed_sample_count	raw_round_count	raw_samples_per_round	raw_accesses_per_sample	raw_warmup_round_count	raw_random_seed	baseline_ticks_count	baseline_ticks_mean	baseline_ticks_population_stddev	baseline_ticks_minimum	baseline_ticks_p05	baseline_ticks_q1	baseline_ticks_median	baseline_ticks_q3	baseline_ticks_p95	baseline_ticks_maximum	baseline_ticks_lower_outlier_fence	baseline_ticks_upper_outlier_fence	baseline_ticks_outlier_count	after_pressure_ticks_count	after_pressure_ticks_mean	after_pressure_ticks_population_stddev	after_pressure_ticks_minimum	after_pressure_ticks_p05	after_pressure_ticks_q1	after_pressure_ticks_median	after_pressure_ticks_q3	after_pressure_ticks_p95	after_pressure_ticks_maximum	after_pressure_ticks_lower_outlier_fence	after_pressure_ticks_upper_outlier_fence	after_pressure_ticks_outlier_count	overhead_ticks_count	overhead_ticks_mean	overhead_ticks_population_stddev	overhead_ticks_minimum	overhead_ticks_p05	overhead_ticks_q1	overhead_ticks_median	overhead_ticks_q3	overhead_ticks_p95	overhead_ticks_maximum	overhead_ticks_lower_outlier_fence	overhead_ticks_upper_outlier_fence	overhead_ticks_outlier_count	requested_false_positive_rate	eviction_threshold_ticks	after_pressure_above_threshold_count	eviction_probability	baseline_above_threshold_fraction	threshold_is_confident	tukey_fence_threshold_ticks	eviction_probability_tukey_fence	delta_median_ticks	baseline_median_ticks_per_access	after_pressure_median_ticks_per_access	delta_median_ticks_per_access	separation_ratio_median
29	0	29	0	0	8192	64	none	0	64	sequential	0	-1	1	13434040110859652870	sunbird_inclusionpolicy_trial000_exec0029_series00_plot0000_target0000008192_none_pressure000000000000_helper999_seed13434040110859652870.tsv.gz	2d89c65c9a40ba0ce84439030a09f84aff21744467434b4d67de66f559969f68	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	none	0	0	sequential-dependent-single-cycle	1	0	0	4	2	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	13434040110859652870	1000064	175.16052972610288	56310.000849526878	72	72	76	80	80	80	32512460	70	86	11874	1000064	143.04922484961196	45976.184621559849	72	72	76	80	80	80	32511300	70	86	23514	1000064	154.76908277870052	56310.486547335262	56	56	56	56	60	60	32512508	50	66	30	0.001	88	2800	0.0027998208114680661	0.00075495168309228208	true	86	0.023512495200307182	0	80	80	0	1
38	0	38	1	1	8192	64	self	65536	64	sequential	1	-1	1	4486159773690201395	sunbird_inclusionpolicy_trial000_exec0038_series01_plot0001_target0000008192_self_pressure000000065536_helper999_seed04486159773690201395.tsv.gz	f43919efcb17a2b5a209fa86057f76dcc54036878c84c3666876b9ed5ce8c1a8	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	65536	1024	sequential-dependent-single-cycle	1	7815	0	4	2	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	4486159773690201395	1000064	110.1672612952767	32510.712822451093	72	72	76	80	80	80	32511828	70	86	764	1000064	117.05285661717649	32509.735007399009	72	80	80	84	88	88	32510852	68	100	988	1000064	57.321967394085945	33.528187207857535	56	56	56	56	60	60	9380	50	66	26	0.001	84	355025	0.35500227985408933	0.00076395110712914368	true	86	0.35500227985408933	4	80	84	4	1.05
30	0	30	1	2	8192	64	self	524288	64	sequential	1	-1	1	5454329148859750283	sunbird_inclusionpolicy_trial000_exec0030_series01_plot0002_target0000008192_self_pressure000000524288_helper999_seed05454329148859750283.tsv.gz	982d9ef49f83ad7f3a018c14b496c8b8173ee439dc8ca005a792700a86c32401	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	524288	8192	sequential-dependent-single-cycle	1	7815	0	4	2	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	5454329148859750283	1000064	142.75903142198391	45975.400176202471	72	72	76	80	80	80	32511368	70	86	6729	1000064	161.11206082810415	45976.081164297837	72	80	84	88	108	128	32511428	48	144	48	1000064	89.655246064252708	32510.23727463977	56	56	56	56	60	60	32511336	50	66	19	0.001	88	360708	0.36068491616536541	0.00045797068987584794	true	86	0.59599985600921546	8	80	88	8	1.1000000000000001
21	0	21	1	3	8192	64	self	15728640	64	sequential	1	-1	1	2553261902913031682	sunbird_inclusionpolicy_trial000_exec0021_series01_plot0003_target0000008192_self_pressure000015728640_helper999_seed02553261902913031682.tsv.gz	4428ed127b6513d9903ce66c664c97e6a60eb33d5e5d3c467a1310ecbfb9db4a	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	15728640	245760	sequential-dependent-single-cycle	1	7815	0	4	2	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	2553261902913031682	1000064	142.57303932548871	45976.939538615756	72	72	76	80	80	80	32511872	70	86	9254	1000064	195.3874952003093	56311.172754543397	72	80	84	88	116	128	32512788	36	164	828	1000064	154.70656277998327	56310.283416044556	56	56	56	56	60	60	32512364	50	66	36	0.001	88	383354	0.38332946691411751	0.00042197299372840138	true	86	0.6304786493664406	8	80	88	8	1.1000000000000001
22	0	22	1	4	8192	64	self	62914560	64	sequential	1	-1	1	15822016635197211724	sunbird_inclusionpolicy_trial000_exec0022_series01_plot0004_target0000008192_self_pressure000062914560_helper999_seed15822016635197211724.tsv.gz	4af59df6eeb457e861c77e3d1163fd146f56e652744b11c886d4383702e1ca22	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	62914560	983040	sequential-dependent-single-cycle	1	7815	0	4	2	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	15822016635197211724	1000064	175.80054476513158	56313.263490028105	72	72	76	80	80	80	32514304	70	86	7740	1000064	315.60686116089482	72701.824864614056	76	80	84	88	252	280	32517556	-168	504	7732	1000064	154.95176308715719	56313.166397149071	56	56	56	56	60	60	32514008	50	66	409	0.001	88	360379	0.36035593722001791	0.00065395814667861256	true	86	0.54863588730321255	8	80	88	8	1.1000000000000001
5	0	5	2	5	8192	64	helper	3932160	64	sequential	1	6	1	9659343732093274974	sunbird_inclusionpolicy_trial000_exec0005_series02_plot0005_target0000008192_helper_pressure000003932160_helper006_seed09659343732093274974.tsv.gz	719b2e0eebbd04a50447e9d6444a273f8fde4569b37a135f6a01dcc551c0b89c	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	3932160	61440	sequential-dependent-single-cycle	1	7815	7815	4	2	0	true	6	3	0	true	false	1000064	7813	128	1	2	9659343732093274974	1000064	77.547144982721449	6.0320746438671584	72	72	76	80	80	80	3880	70	86	9306	1000064	79.465374216052666	19.914473717813792	72	72	76	80	80	88	13088	70	86	76726	1000064	57.066471745808059	6.8158045814072032	56	56	56	56	60	60	6000	50	66	141	0.001	88	43338	0.043335226545501086	0.00049596825803148599	true	86	0.076721089850249585	0	80	80	0	1
13	0	13	2	6	8192	64	helper	15728640	64	sequential	1	6	1	4048844278262796615	sunbird_inclusionpolicy_trial000_exec0013_series02_plot0006_target0000008192_helper_pressure000015728640_helper006_seed04048844278262796615.tsv.gz	fb7d2f3a85a03d9a91f698334bcc19cd4ac6d9052966bba9776bd1e5ed75fee4	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	15728640	245760	sequential-dependent-single-cycle	1	7815	7815	4	2	0	true	6	3	0	true	false	1000064	7813	128	1	2	4048844278262796615	1000064	77.306800364776763	9.5114493943470677	72	72	76	80	80	80	7132	70	86	388	1000064	83.611832842700792	23.240636060064219	72	72	76	80	80	120	6440	70	86	181029	1000064	57.029902086266375	6.6680878931414762	56	56	56	56	60	60	6196	50	66	28	0.001	84	181029	0.18101741488544734	0.00038797516958914631	true	86	0.18101741488544734	0	80	80	0	1
41	0	41	2	7	8192	64	helper	23592960	64	sequential	1	6	1	4716487249944504408	sunbird_inclusionpolicy_trial000_exec0041_series02_plot0007_target0000008192_helper_pressure000023592960_helper006_seed04716487249944504408.tsv.gz	d3e0185614407152e94a30548ce7cadeedd8f002f75da6978ce3768bf9f61812	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	23592960	368640	sequential-dependent-single-cycle	1	7815	7815	4	2	0	true	6	3	0	true	false	1000064	7813	128	1	2	4716487249944504408	1000064	77.38283549852909	4.3602948090811813	72	72	76	80	80	80	1284	70	86	9081	1000064	94.89853049404293	57.992574752306083	72	72	76	80	88	248	11132	58	106	123220	1000064	57.039409477794202	3.6499734473097658	56	56	56	56	60	60	784	50	66	76	0.001	88	157034	0.1570239504671701	0.00023798476897478563	true	86	0.25545365096633815	0	80	80	0	1
34	0	34	2	8	8192	64	helper	31457280	64	sequential	1	6	1	6408941002793262312	sunbird_inclusionpolicy_trial000_exec0034_series02_plot0008_target0000008192_helper_pressure000031457280_helper006_seed06408941002793262312.tsv.gz	90505b4be307cba688eccbaaa570d51a6a80de7c74b6657a81b1e88b6a4cbc26	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	31457280	491520	sequential-dependent-single-cycle	1	7815	7815	4	2	0	true	6	3	0	true	false	1000064	7813	128	1	2	6408941002793262312	1000064	120.10843706003315	42511.768946518299	72	72	76	80	80	80	42513224	70	86	7460	1000064	229.10659317803976	60123.934176345989	72	72	80	84	248	284	42516496	-172	500	9230	1000064	57.142618872391438	19.393251926104885	56	56	56	56	60	60	9396	50	66	242	0.001	216	303183	0.30316359752975808	0.0009989360680916421	true	86	0.45479489312683991	4	80	84	4	1.05
32	0	32	2	9	8192	64	helper	39321600	64	sequential	1	6	1	3766617846658164448	sunbird_inclusionpolicy_trial000_exec0032_series02_plot0009_target0000008192_helper_pressure000039321600_helper006_seed03766617846658164448.tsv.gz	4df6975d1263e9cb975af3453229819c58d14154ef76b6888fef0c6ed64105b6	inclusion-policy-phase1	sunbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.x86_64	x86_64	Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz	4096	4	4	2	0	0	4,28	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	39321600	614400	sequential-dependent-single-cycle	1	7815	7815	4	2	0	true	6	3	0	true	false	1000064	7813	128	1	2	3766617846658164448	1000064	77.050024798412309	3.8646031502994727	72	72	76	76	80	80	656	70	86	602	1000064	150.05972817739567	116.05570864440864	72	72	80	88	252	280	16708	-178	510	10280	1000064	57.076383111481071	5.5587282431740075	56	56	56	56	60	60	784	50	66	180	0.001	84	509847	0.50981437188019962	0.00060196147446563424	true	86	0.50981437188019962	12	76	88	12	1.1578947368421053
