ece592_transition_analysis_format_version=1
source_processed_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/thunderbird/capacity/phase1_capacity_coarse_randomized_v1.tsv
source_processed_sha256=fa20ff0568f723aac422631b19ecec8a2397f2e6e613ea16e8ff658309e8650b
source_hostname=thunderbird.ece.ncsu.edu
source_isa=aarch64
source_timer_unit=generic-timer ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_trial_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/thunderbird/capacity/phase1_capacity_coarse_randomized_v1.tsv --output data_processed/thunderbird/capacity/phase1_capacity_coarse_transition_candidates.tsv
analysis_working_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
38	0	512	688	0	1	0.0859375	0.0859375	1.34375	0	0	0
39	1	688	856	1	2	0.0859375	0.0859375	1.2441860465116279	0	0	0
40	2	856	1024	2	3	0.0859375	0.0859375	1.1962616822429906	0	0	0
41	3	1024	1368	3	4	0.0859375	0.0859375	1.3359375	0	0	0
42	4	1368	1712	4	5	0.0859375	0.0859375	1.2514619883040936	0	0	0
43	5	1712	2048	5	6	0.0859375	0.0859375	1.1962616822429906	0	0	0
44	6	2048	2736	6	7	0.0859375	0.0859375	1.3359375	0	0	0
45	7	2736	3416	7	8	0.0859375	0.0859375	1.2485380116959064	0	0	0
30	8	3416	4096	8	9	0.0859375	0.087890625	1.1990632318501171	0.022727272727272707	0.12378968886294864	0.022222222222222223
57	9	4096	5464	9	10	0.087890625	0.0859375	1.333984375	-0.022222222222222254	-0.07798465337202995	0.022222222222222223
46	10	5464	6832	10	11	0.0859375	0.0859375	1.2503660322108345	0	0	0
47	11	6832	8192	11	12	0.0859375	0.0859375	1.1990632318501171	0	0	0
48	12	8192	10928	12	13	0.0859375	0.0859375	1.333984375	0	0	0
49	13	10928	13656	13	14	0.0859375	0.0859375	1.2496339677891655	0	0	0
50	14	13656	16384	14	15	0.0859375	0.0859375	1.1997656707674282	0	0	0
51	15	16384	21848	15	16	0.0859375	0.0859375	1.33349609375	0	0	0
52	16	21848	27312	16	17	0.0859375	0.0859375	1.2500915415598681	0	0	0
53	17	27312	32768	17	18	0.0859375	0.0859375	1.1997656707674282	0	0	0
54	18	32768	43696	18	19	0.0859375	0.0859375	1.33349609375	0	0	0
55	19	43696	54616	19	20	0.0859375	0.0859375	1.2499084584401319	0	0	0
56	20	54616	65536	20	21	0.0859375	0.0859375	1.1999414091108833	0	0	0
6	21	65536	87384	21	22	0.0859375	0.10546875	1.3333740234375	0.22727272727272729	0.71180205550329956	0
14	22	87384	109232	22	23	0.10546875	0.115234375	1.2500228874851231	0.09259259259259256	0.39681241629366659	0.016949152542372881
19	23	109232	131072	23	24	0.115234375	0.12109375	1.1999414091108833	0.050847457627118731	0.2721029151052497	0.016949152542372881
26	24	131072	174768	24	25	0.12109375	0.126953125	1.3333740234375	0.048387096774193505	0.16423641705116507	0.015384615384615385
13	25	174768	218456	25	26	0.126953125	0.140625	1.2499771125148769	0.10769230769230775	0.45839210565949207	0.015384615384615385
16	26	218456	262144	26	27	0.140625	0.1484375	1.1999853517413117	0.05555555555555558	0.29656855953111699	0
20	27	262144	349528	27	28	0.1484375	0.16015625	1.333343505859375	0.078947368421052655	0.26412452895586014	0
15	28	349528	436912	28	29	0.16015625	0.173828125	1.2500057220022429	0.085365853658536661	0.36709750993506041	0.056179775280898875
11	29	436912	524288	29	30	0.173828125	0.189453125	1.1999853517413117	0.0898876404494382	0.47213491161096199	0.092783505154639179
7	30	524288	699056	30	31	0.189453125	0.232421875	1.333343505859375	0.22680412371134029	0.71053121928579055	0.19327731092436976
3	31	699056	873816	31	32	0.232421875	0.29296875	1.2499942779977571	0.26050420168067223	1.0375229263802761	0.19327731092436976
10	32	873816	1048576	32	33	0.29296875	0.322265625	1.1999963379018008	0.10000000000000009	0.52276744910230966	0.33333333333333331
2	33	1048576	1398104	33	34	0.322265625	0.44140625	1.3333358764648438	0.36969696969696964	1.0935246571322701	0.33333333333333331
8	34	1398104	1747632	34	35	0.44140625	0.513671875	1.2500014305087461	0.16371681415929196	0.67946509961121326	0.088495575221238937
9	35	1747632	2097152	35	36	0.513671875	0.56640625	1.1999963379018008	0.10266159695817501	0.53602288358434158	0.020689655172413793
21	36	2097152	2796208	36	37	0.56640625	0.609375	1.3333358764648438	0.075862068965517171	0.25417565788736268	0.020689655172413793
12	37	2796208	3495256	37	38	0.609375	0.67578125	1.2499985694912539	0.10897435897435903	0.46354069888452937	0.017341040462427744
23	38	3495256	4194304	38	39	0.67578125	0.701171875	1.1999990844733548	0.037572254335260125	0.2023006408140707	0.017341040462427744
29	39	4194304	5592408	39	40	0.701171875	0.728515625	1.3333339691162109	0.038997214484679743	0.13298001999116299	0.0027855153203342618
24	40	5592408	6990512	40	41	0.728515625	0.759765625	1.2500003576276981	0.042895442359249358	0.18822354433328212	0.0026809651474530832
33	41	6990512	8388608	41	42	0.759765625	0.76953125	1.1999990844733548	0.012853470437018011	0.070049967474688127	0.0025706940874035988
36	42	8388608	11184816	42	43	0.76953125	0.783203125	1.3333339691162109	0.017766497461928932	0.061215106902278202	0.007481296758104738
37	43	11184816	13981016	43	44	0.783203125	0.79296875	1.2499996423723019	0.012468827930174564	0.055532629601838829	0.007481296758104738
34	44	13981016	16777216	44	45	0.79296875	0.802734375	1.1999997711182078	0.012315270935960632	0.067134506279059536	0.0024330900243309003
27	45	16777216	22369624	45	46	0.802734375	0.83984375	1.3333334922790527	0.046228710462287159	0.15708999549272451	0.0093023255813953487
4	46	22369624	27962032	46	47	0.83984375	1.029296875	1.2500000894069565	0.22558139534883725	0.91158930407711447	0.0093023255813953487
1	47	27962032	33554432	47	48	1.029296875	1.341796875	1.1999997711182078	0.30360531309297922	1.4542110418097092	0.0018975332068311196
5	48	33554432	44739248	48	49	1.341796875	1.669921875	1.3333334922790527	0.24454148471615711	0.76044740708925862	0.001455604075691412
17	49	44739248	55924056	49	50	1.669921875	1.78125	1.2499999105930435	0.066666666666666652	0.28922431970094326	0.0011695906432748538
18	50	55924056	67108864	50	51	1.78125	1.876953125	1.1999999427795438	0.053728070175438569	0.28704467811484202	0.0010405827263267431
22	51	67108864	89478488	51	52	1.876953125	2.00390625	1.3333333730697632	0.067637877211238262	0.22750326227320561	0.0010405827263267431
25	52	89478488	111848112	52	53	2.00390625	2.087890625	1.2500000223517411	0.041910331384015675	0.18398865556525101	0.00093545369504209543
28	53	111848112	134217728	53	54	2.087890625	2.14453125	1.1999999427795438	0.027128157156220745	0.14681049523480144	0.00093545369504209543
31	54	134217728	178956976	54	55	2.14453125	2.2109375	1.3333333730697632	0.030965391621129434	0.10600463655787778	0
32	55	178956976	223696216	55	56	2.2109375	2.25390625	1.2499999776482589	0.019434628975264934	0.08625922521170315	0
35	56	223696216	268435456	56	57	2.25390625	2.28125	1.1999999856948855	0.0121317157712304	0.066139831847768976	0
data_end
