ece592_inclusion_policy_processed_version=1
summary_purpose=8.2.7_inclusion_exclusion_behavior
source_run_directory=/home/rrsood/ECE592_HW1/data_raw/thunderbird/inclusion_policy/raw/thunderbird_inclusion_policy_20260914T143529Z
processing_script=process_inclusion_policy_run.py
processing_command=/home/rrsood/ECE592_HW1/scripts/process_inclusion_policy_run.py --run-directory /home/rrsood/ECE592_HW1/data_raw/thunderbird/inclusion_policy/raw/thunderbird_inclusion_policy_20260914T143529Z --output /home/rrsood/ECE592_HW1/data_processed/thunderbird/inclusion_policy/thunderbird_inclusion_policy_20260914T143529Z.tsv
processing_working_directory=/home/rrsood/ECE592_HW1
python_version=3.9.25
standard_deviation_definition=population
quantile_method=linear interpolation at (n-1)*p
outlier_definition=outside q1-1.5*iqr and q3+1.5*iqr
timer_overhead_subtracted=false
eviction_threshold_rule=quantile of the same point's baseline distribution at 1-false_positive_rate
eviction_probability=fraction of after-pressure samples above that threshold
cache_policy_labels_assigned=false
processed_point_count=84
row_order=trial then series_index then pressure_bytes
data_begin
global_execution_index	trial	trial_execution_index	series_index	plot_index	target_bytes	target_line_spacing_bytes	pressure_source	pressure_bytes	pressure_line_spacing_bytes	pressure_order	pressure_passes	helper_cpu	accesses_per_sample	point_seed	raw_filename	raw_sha256	raw_experiment_name	raw_hostname	raw_kernel_release	raw_isa	raw_cpu_model	raw_page_size_bytes	raw_logical_cpu	raw_affinity_cpu_list	raw_physical_core_id	raw_physical_package_id	raw_numa_node	raw_thread_siblings_list	raw_compiler_version	raw_compiler_flags	raw_git_commit	raw_smt_siblings_idle	raw_timer_name	raw_timer_unit	raw_timer_frequency_hz_valid	raw_target_bytes	raw_target_line_spacing_bytes	raw_target_node_count	raw_pressure_source	raw_pressure_bytes	raw_pressure_node_count	raw_pressure_order	raw_pressure_passes_per_round	raw_pressure_pass_count	raw_helper_pass_count	raw_measuring_logical_cpu	raw_measuring_physical_core_id	raw_measuring_physical_package_id	raw_helper_used	raw_helper_logical_cpu	raw_helper_physical_core_id	raw_helper_physical_package_id	raw_helper_same_package	raw_helper_is_smt_sibling	raw_timed_sample_count	raw_round_count	raw_samples_per_round	raw_accesses_per_sample	raw_warmup_round_count	raw_random_seed	baseline_ticks_count	baseline_ticks_mean	baseline_ticks_population_stddev	baseline_ticks_minimum	baseline_ticks_p05	baseline_ticks_q1	baseline_ticks_median	baseline_ticks_q3	baseline_ticks_p95	baseline_ticks_maximum	baseline_ticks_lower_outlier_fence	baseline_ticks_upper_outlier_fence	baseline_ticks_outlier_count	after_pressure_ticks_count	after_pressure_ticks_mean	after_pressure_ticks_population_stddev	after_pressure_ticks_minimum	after_pressure_ticks_p05	after_pressure_ticks_q1	after_pressure_ticks_median	after_pressure_ticks_q3	after_pressure_ticks_p95	after_pressure_ticks_maximum	after_pressure_ticks_lower_outlier_fence	after_pressure_ticks_upper_outlier_fence	after_pressure_ticks_outlier_count	overhead_ticks_count	overhead_ticks_mean	overhead_ticks_population_stddev	overhead_ticks_minimum	overhead_ticks_p05	overhead_ticks_q1	overhead_ticks_median	overhead_ticks_q3	overhead_ticks_p95	overhead_ticks_maximum	overhead_ticks_lower_outlier_fence	overhead_ticks_upper_outlier_fence	overhead_ticks_outlier_count	requested_false_positive_rate	eviction_threshold_ticks	after_pressure_above_threshold_count	eviction_probability	baseline_above_threshold_fraction	threshold_is_confident	tukey_fence_threshold_ticks	eviction_probability_tukey_fence	delta_median_ticks	baseline_median_ticks_per_access	after_pressure_median_ticks_per_access	delta_median_ticks_per_access	separation_ratio_median
29	0	29	0	0	8192	64	none	0	64	sequential	0	-1	1	13434040110859652870	thunderbird_inclusionpolicy_trial000_exec0029_series00_plot0000_target0000008192_none_pressure000000000000_helper999_seed13434040110859652870.tsv.gz	a29b3f88a47b255fcce3ad97273e5e58ea19b7000f4ae8684d32c76807b04842	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	none	0	0	sequential-dependent-single-cycle	1	0	0	4	6656	56	false	-1	-1	-1	false	false	1000064	7813	128	1	2	13434040110859652870	1000064	1.0778480177268404	0.37519500118394877	0	1	1	1	1	2	67	1	1	76501	1000064	1.0789169493153117	0.72816192049573603	0	1	1	1	1	2	511	1	1	76490	1000064	0.8299538829515426	0.51455468360094081	0	0	1	1	1	1	180	1	1	203499	0.001	2	35	3.4997760143350829e-05	2.9998080122872136e-05	true	1	0.076467106105209265	0	1	1	0	1
38	0	38	1	1	8192	64	self	65536	64	sequential	1	-1	1	4486159773690201395	thunderbird_inclusionpolicy_trial000_exec0038_series01_plot0001_target0000008192_self_pressure000000065536_helper999_seed04486159773690201395.tsv.gz	b34f94607ff365bce3c1856c6e383b36619fa5882dc7447fb61a419d57ac4f8d	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	self	65536	1024	sequential-dependent-single-cycle	1	7815	0	4	6656	56	false	-1	-1	-1	false	false	1000064	7813	128	1	2	4486159773690201395	1000064	1.0662007631511468	0.48904076740058339	0	1	1	1	1	2	332	1	1	64713	1000064	1.1281697971329077	2.8328007108004511	0	1	1	1	1	2	2803	1	1	124119	1000064	0.848381703570949	0.63629121437627889	0	0	1	1	1	1	451	1	1	178069	0.001	2	27	2.6998272110584924e-05	2.3998464098297708e-05	true	1	0.1241090570203507	0	1	1	0	1
30	0	30	1	2	8192	64	self	524288	64	sequential	1	-1	1	5454329148859750283	thunderbird_inclusionpolicy_trial000_exec0030_series01_plot0002_target0000008192_self_pressure000000524288_helper999_seed05454329148859750283.tsv.gz	e6dd4210a7d65528c9276e16d9154796cad73fca545a198bf9bb0dc8cd73b170	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	self	524288	8192	sequential-dependent-single-cycle	1	7815	0	4	6656	56	false	-1	-1	-1	false	false	1000064	7813	128	1	2	5454329148859750283	1000064	1.0556804364521026	0.40893127563217979	0	1	1	1	1	2	299	1	1	54950	1000064	1.098656685972133	0.40506633327509828	0	1	1	1	1	2	226	1	1	97881	1000064	0.82472821739406865	0.79481721491646451	0	0	1	1	1	1	640	1	1	191636	0.001	2	122	0.00012199219249968002	9.9993600409573787e-06	true	1	0.09784473793677205	0	1	1	0	1
21	0	21	1	3	8192	64	self	15728640	64	sequential	1	-1	1	2553261902913031682	thunderbird_inclusionpolicy_trial000_exec0021_series01_plot0003_target0000008192_self_pressure000015728640_helper999_seed02553261902913031682.tsv.gz	f582f037a5e7b9ee33ca2286a040f04de877ded80c5c042d65f450d990b53045	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	self	15728640	245760	sequential-dependent-single-cycle	1	7815	0	4	6656	56	false	-1	-1	-1	false	false	1000064	7813	128	1	2	2553261902913031682	1000064	1.032849897606579	0.24073036013977975	0	1	1	1	1	1	87	1	1	32478	1000064	1.0872304172533076	0.29862461387877726	0	1	1	1	1	2	58	1	1	87054	1000064	0.7808230273262422	0.42482446931592993	0	0	1	1	1	1	70	1	1	219827	0.001	2	17	1.6998912069627545e-05	6.9995520286701648e-06	true	1	0.087036429668501211	0	1	1	0	1
22	0	22	1	4	8192	64	self	62914560	64	sequential	1	-1	1	15822016635197211724	thunderbird_inclusionpolicy_trial000_exec0022_series01_plot0004_target0000008192_self_pressure000062914560_helper999_seed15822016635197211724.tsv.gz	ea9055421229667582ddb594c4098973db6a0347a5b7a23b342b011f4158858d	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	self	62914560	983040	sequential-dependent-single-cycle	1	7815	0	4	6656	56	false	-1	-1	-1	false	false	1000064	7813	128	1	2	15822016635197211724	1000064	1.0330008879432471	0.25925580037239893	0	1	1	1	1	1	102	1	1	32648	1000064	1.1152816219761659	0.53061499954129832	0	1	1	1	1	2	380	1	1	108254	1000064	0.77462542397285661	0.43734632533965334	0	0	1	1	1	1	80	1	1	225614	0.001	2	4622	0.0046217042109305004	6.9995520286701648e-06	true	1	0.10823407301932676	0	1	1	0	1
5	0	5	2	5	8192	64	helper	3932160	64	sequential	1	5	1	9659343732093274974	thunderbird_inclusionpolicy_trial000_exec0005_series02_plot0005_target0000008192_helper_pressure000003932160_helper005_seed09659343732093274974.tsv.gz	2bd503f74dd07acef25df039b004296fb3e1848c978a15c3ed440ea83a5b1281	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	helper	3932160	61440	sequential-dependent-single-cycle	1	7815	7815	4	6656	56	true	5	6657	56	true	false	1000064	7813	128	1	2	9659343732093274974	1000064	1.0348877671829249	0.18808642084658642	0	1	1	1	1	1	32	1	1	34908	1000064	1.0342508079482962	0.1963551362547401	0	1	1	1	1	1	39	1	1	34135	1000064	0.81597777742224409	0.39407577363285834	0	0	1	1	1	1	42	1	1	184177	0.001	2	7	6.9995520286701648e-06	1.9998720081914758e-06	true	1	0.034102817419685141	0	1	1	0	1
13	0	13	2	6	8192	64	helper	15728640	64	sequential	1	5	1	4048844278262796615	thunderbird_inclusionpolicy_trial000_exec0013_series02_plot0006_target0000008192_helper_pressure000015728640_helper005_seed04048844278262796615.tsv.gz	bdfff4b3d8e22a697e4bd9899b02b7a7c7024bc9fa228e4ac0b80ab0a7ffdb7a	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	helper	15728640	245760	sequential-dependent-single-cycle	1	7815	7815	4	6656	56	true	5	6657	56	true	false	1000064	7813	128	1	2	4048844278262796615	1000064	1.0343618008447013	0.90836907833506897	0	1	1	1	1	1	887	1	1	33421	1000064	1.0338868312428373	0.18537100631375333	0	1	1	1	1	1	30	1	1	33890	1000064	0.77484440995776116	0.42005050110087233	0	0	1	1	1	1	37	1	1	225233	0.001	2	2	1.9998720081914758e-06	2.9998080122872135e-06	true	1	0.033859832970689875	0	1	1	0	1
41	0	41	2	7	8192	64	helper	23592960	64	sequential	1	5	1	4716487249944504408	thunderbird_inclusionpolicy_trial000_exec0041_series02_plot0007_target0000008192_helper_pressure000023592960_helper005_seed04716487249944504408.tsv.gz	42fe694f2a7487d3f5e6707cd4609ed3176a192876b75970541d8f32ec96fe90	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	helper	23592960	368640	sequential-dependent-single-cycle	1	7815	7815	4	6656	56	true	5	6657	56	true	false	1000064	7813	128	1	2	4716487249944504408	1000064	1.0342978049404314	0.26811748268908075	0	1	1	1	1	1	181	1	1	33982	1000064	1.0351487504799592	0.1863632567622098	0	1	1	1	1	1	29	1	1	35175	1000064	0.81483085082556705	0.39245297113069877	0	0	1	1	1	1	36	1	1	185279	0.001	2	3	2.9998080122872135e-06	6.9995520286701648e-06	true	1	0.035145750671956993	0	1	1	0	1
34	0	34	2	8	8192	64	helper	31457280	64	sequential	1	5	1	6408941002793262312	thunderbird_inclusionpolicy_trial000_exec0034_series02_plot0008_target0000008192_helper_pressure000031457280_helper005_seed06408941002793262312.tsv.gz	881109579555e76860897c89b4504a0cd96f163456c43320ac34ad8d91dcd448	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	helper	31457280	491520	sequential-dependent-single-cycle	1	7815	7815	4	6656	56	true	5	6657	56	true	false	1000064	7813	128	1	2	6408941002793262312	1000064	1.0337278414181168	0.28393168264240026	0	1	1	1	1	1	160	1	1	33414	1000064	1.0361666853321516	0.2013809615717278	0	1	1	1	1	1	39	1	1	36005	1000064	0.81652574235247621	0.6452444471484382	0	0	1	1	1	1	378	1	1	184250	0.001	2	16	1.5998976065531807e-05	3.9997440163829517e-06	true	1	0.035979697299372837	0	1	1	0	1
32	0	32	2	9	8192	64	helper	39321600	64	sequential	1	5	1	3766617846658164448	thunderbird_inclusionpolicy_trial000_exec0032_series02_plot0009_target0000008192_helper_pressure000039321600_helper005_seed03766617846658164448.tsv.gz	e18d53214e83630c8bc0a2065085e8f22e4ed7db237e87e40508b33aac8f8458	inclusion-policy-phase1	thunderbird.ece.ncsu.edu	5.14.0-611.54.1.el9_7.aarch64	aarch64	AArch64 implementer=0x41 architecture=8 variant=0x3 part=0xd0c revision=1	4096	4	4	6656	56	0	4	11.5.0 20240719 (Red Hat 11.5.0-14)	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	DSB+ISB+CNTVCT_EL0+ISB	generic-timer ticks	false	8192	64	128	helper	39321600	614400	sequential-dependent-single-cycle	1	7815	7815	4	6656	56	true	5	6657	56	true	false	1000064	7813	128	1	2	3766617846658164448	1000064	1.0354137335210316	0.29177789261002834	0	1	1	1	1	1	196	1	1	35070	1000064	1.0369906325994862	0.19915337595920457	0	1	1	1	1	1	40	1	1	36782	1000064	0.80980517246893147	0.39706992068200081	0	0	1	1	1	1	47	1	1	190293	0.001	2	120	0.00011999232049148854	5.9996160245744271e-06	true	1	0.036748648086522465	0	1	1	0	1
