ece592_capacity_processed_format_version=1
source_run_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_raw/upgrade/capacity/phase1_capacity_coarse_randomized_v2
source_capacity_plan_sha256=9575dda67bb2ff61e232063c3f520dead0b0aecf89f8f68844e3aff8a38a5784
source_execution_manifest_sha256=742eae285a7842aac25273dbead755f6574b1c00f5c2f54cbfd1d3256d4851aa
source_build_command_sha256=f44d5ec1bcd003ce74d2e52283c5eceb76ef2bdb76210e9da9960d3b3257939b
source_plan_ece592_capacity_plan_version=1
source_plan_generator=SplitMix64+Fisher-Yates
source_plan_size_generation=integer subdivisions within factor-of-two ranges
source_plan_min_bytes=512
source_plan_max_bytes=268435456
source_plan_points_per_octave=3
source_plan_trial_count=2
source_plan_plan_seed=6592
source_plan_node_spacing_bytes=8
source_plan_node_bytes=8
source_plan_unique_size_count=58
source_plan_plan_row_count=116
source_raw_experiment_name=phase1-capacity-coarse-randomized
source_raw_hostname=upgrade.ece.ncsu.edu
source_raw_kernel_release=6.8.0-117-generic
source_raw_isa=x86_64
source_raw_cpu_model=Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz
source_raw_cpu_model_source=/proc/cpuinfo human-readable field
source_raw_page_size_bytes=4096
source_raw_logical_cpu=4
source_raw_affinity_cpu_list=4
source_raw_affinity_allowed_cpu_count=1
source_raw_physical_core_id=4
source_raw_physical_package_id=0
source_raw_topology_id_source=Linux sysfs physical topology IDs
source_raw_numa_node=0
source_raw_thread_siblings_list=4,10
source_raw_compiler_version=12.3.0
source_raw_compiler_flags=-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer
source_raw_git_commit=5acad5e8bc9777f17b459826b3f7988c871e25e3
source_raw_build_command=cd -- /mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering && gcc -O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -DECE592_BUILD_FLAGS=\"-O0\ -g\ -std=c11\ -Wall\ -Wextra\ -Wpedantic\ -Werror\ -fno-omit-frame-pointer\" -DECE592_GIT_COMMIT=\"5acad5e8bc9777f17b459826b3f7988c871e25e3\" -I main_code/common main_code/common/cache_bench.c main_code/common/raw_output.c main_code/common/measurement.c main_code/common/pointer_chase.c main_code/common/metadata_linux.c main_code/common/affinity_linux.c main_code/x86_64/timer_x86_64.c -o /tmp/ece592_phase1_upgrade_coarse_v1
source_raw_environment_variables=SMT sibling 10 not reserved; recorded as possible interference
source_raw_locality_method=pin-before-allocation plus first-touch memset
source_raw_smt_siblings_idle=no
source_raw_timer_name=LFENCE+RDTSC / RDTSCP+LFENCE
source_raw_timer_unit=TSC ticks
source_raw_timer_frequency_hz=0
source_raw_timer_frequency_hz_valid=false
source_raw_traversal=randomized-dependent-single-cycle
source_raw_random_seed_applicable=true
source_raw_node_spacing_bytes=8
source_raw_allocation_alignment_bytes=4096
source_raw_timed_sample_count=1000000
source_raw_dependent_accesses_per_sample=256
processing_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/process_capacity_run.py
processing_command=scripts/process_capacity_run.py --run-directory data_raw/upgrade/capacity/phase1_capacity_coarse_randomized_v2 --output data_processed/upgrade/capacity/phase1_capacity_coarse_randomized_v2.tsv
processing_working_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.10.12
standard_deviation_definition=population
quantile_method=linear interpolation at (n-1)*p
outlier_rule=values outside Q1-1.5*IQR or Q3+1.5*IQR
timer_overhead_subtracted=false
processed_point_count=116
row_order=trial then plot_index
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	actual_span_bytes	node_count	point_seed	raw_filename	raw_sha256	traversal	timer_unit	timed_sample_count	warmup_batch_count	dependent_accesses_per_sample	elapsed_batch_raw_ticks_count	elapsed_batch_raw_ticks_mean	elapsed_batch_raw_ticks_population_stddev	elapsed_batch_raw_ticks_minimum	elapsed_batch_raw_ticks_p05	elapsed_batch_raw_ticks_q1	elapsed_batch_raw_ticks_median	elapsed_batch_raw_ticks_q3	elapsed_batch_raw_ticks_p95	elapsed_batch_raw_ticks_maximum	elapsed_batch_raw_ticks_lower_outlier_fence	elapsed_batch_raw_ticks_upper_outlier_fence	elapsed_batch_raw_ticks_outlier_count	elapsed_raw_ticks_per_access_unadjusted_count	elapsed_raw_ticks_per_access_unadjusted_mean	elapsed_raw_ticks_per_access_unadjusted_population_stddev	elapsed_raw_ticks_per_access_unadjusted_minimum	elapsed_raw_ticks_per_access_unadjusted_p05	elapsed_raw_ticks_per_access_unadjusted_q1	elapsed_raw_ticks_per_access_unadjusted_median	elapsed_raw_ticks_per_access_unadjusted_q3	elapsed_raw_ticks_per_access_unadjusted_p95	elapsed_raw_ticks_per_access_unadjusted_maximum	elapsed_raw_ticks_per_access_unadjusted_lower_outlier_fence	elapsed_raw_ticks_per_access_unadjusted_upper_outlier_fence	elapsed_raw_ticks_per_access_unadjusted_outlier_count	timer_overhead_raw_ticks_count	timer_overhead_raw_ticks_mean	timer_overhead_raw_ticks_population_stddev	timer_overhead_raw_ticks_minimum	timer_overhead_raw_ticks_p05	timer_overhead_raw_ticks_q1	timer_overhead_raw_ticks_median	timer_overhead_raw_ticks_q3	timer_overhead_raw_ticks_p95	timer_overhead_raw_ticks_maximum	timer_overhead_raw_ticks_lower_outlier_fence	timer_overhead_raw_ticks_upper_outlier_fence	timer_overhead_raw_ticks_outlier_count
36	0	36	0	512	512	64	10908922482821686535	upgrade_capacity_trial000_exec0036_plot0000_span00000000000000000512_seed10908922482821686535.tsv	8d358c245397f19b28e41c2d8f87d402894a2a066d88f70c5688f0db4aa3996f	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1642.9301199999902	913.03231905161908	1555	1584	1594	1624	1631	1669	130733	1538.5	1686.5	18779	1000000	6.4176957812499618	3.566532496295387	6.07421875	6.1875	6.2265625	6.34375	6.37109375	6.51953125	510.67578125	6.009765625	6.587890625	18779	1000000	44.378186999998832	123.06644540894534	39	42	43	44	45	46	48592	40	48	1598
54	0	54	1	682	688	86	7643980929253978134	upgrade_capacity_trial000_exec0054_plot0001_span00000000000000000688_seed07643980929253978134.tsv	daaf062fccdb451ca7b74f727bfaf0e3656ccb85b9dd8eb4421650426228fa8e	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1656.4451679999725	1048.82505138343	1540	1585	1596	1628	1661	1671	81358	1498.5	1758.5	13271	1000000	6.4704889374998924	4.0969728569665236	6.015625	6.19140625	6.234375	6.359375	6.48828125	6.52734375	317.8046875	5.853515625	6.869140625	13271	1000000	44.968899000001421	190.79857685456355	39	42	43	44	45	47	68731	40	48	3098
15	0	15	2	853	856	107	8751461535468069669	upgrade_capacity_trial000_exec0015_plot0002_span00000000000000000856_seed08751461535468069669.tsv	ca5dcdbbe76e3c14ac00b1a3d5388e4476f2f2aada31706af8297fb51d6f0931	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1662.6176860000312	994.90809961524235	1576	1605	1612	1618	1681	1699	80491	1508.5	1784.5	8367	1000000	6.4946003359376219	3.8863597641220404	6.15625	6.26953125	6.296875	6.3203125	6.56640625	6.63671875	314.41796875	5.892578125	6.970703125	8367	1000000	44.044111000000186	111.11234057124094	39	41	42	44	44	46	47695	39	47	11039
6	0	6	3	1024	1024	128	13321886013927021551	upgrade_capacity_trial000_exec0006_plot0003_span00000000000000001024_seed13321886013927021551.tsv	afe309b493d94aa2cb7c2e94785d41daff846c38efd607e22d51fa6bf5033b21	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1644.8197930000674	1074.7914389370769	1558	1582	1588	1594	1659	1671	64662	1481.5	1765.5	9511	1000000	6.4250773164065134	4.1984040583479567	6.0859375	6.1796875	6.203125	6.2265625	6.48046875	6.52734375	252.5859375	5.787109375	6.896484375	9511	1000000	44.623145000000925	188.6045125316673	39	41	42	44	45	46	48412	37.5	49.5	482
10	0	10	4	1365	1368	171	8317457435240047934	upgrade_capacity_trial000_exec0010_plot0004_span00000000000000001368_seed08317457435240047934.tsv	b33754ee7624156187e4f064dd101c0404a22014377a93669e6583cb15294aa1	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1650.231133999996	905.88750441490868	1562	1596	1604	1610	1646	1687	88306	1541	1709	22101	1000000	6.4462153671874844	3.538623064120737	6.1015625	6.234375	6.265625	6.2890625	6.4296875	6.58984375	344.9453125	6.01953125	6.67578125	22101	1000000	44.215384999998925	140.34784254950992	39	41	42	44	44	46	48132	39	47	7832
0	0	0	5	1706	1712	214	8308332844001058714	upgrade_capacity_trial000_exec0000_plot0005_span00000000000000001712_seed08308332844001058714.tsv	3a29194b705fa49473d8cf65cc6dabb5ea456d187880931a29819c2b357242c3	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1633.7963879999684	1176.4068683224189	1557	1582	1588	1592	1598	1632	116447	1573	1613	215442	1000000	6.3820171406248765	4.5953393293844487	6.08203125	6.1796875	6.203125	6.21875	6.2421875	6.375	454.87109375	6.14453125	6.30078125	215442	1000000	44.108537999998859	167.47953217483624	39	41	42	44	44	46	48680	39	47	600
22	0	22	6	2048	2048	256	10897745909731994629	upgrade_capacity_trial000_exec0022_plot0006_span00000000000000002048_seed10897745909731994629.tsv	93baf0fd29ee4f1eed72803f3b10ccc6257f0f29fb237d2cf7a6d8078b4b7ca4	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1650.612768999981	1069.1993860160701	1559	1594	1598	1604	1638	1679	116613	1538	1698	21427	1000000	6.4477061289061757	4.1765601016252738	6.08984375	6.2265625	6.2421875	6.265625	6.3984375	6.55859375	455.51953125	6.0078125	6.6328125	21427	1000000	44.496432000000716	178.89795129981366	40	41	42	44	44	46	47604	39	47	7250
47	0	47	7	2730	2736	342	4836070558092223540	upgrade_capacity_trial000_exec0047_plot0007_span00000000000000002736_seed04836070558092223540.tsv	0f039dc44aa5ba479951286041a242ae564b1d9adccb59d6d855c5ba4832ce02	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1653.7654269999828	1239.1354976363507	1562	1582	1588	1594	1660	1671	81537	1480	1768	12081	1000000	6.4600211992186827	4.8403730376419949	6.1015625	6.1796875	6.203125	6.2265625	6.484375	6.52734375	318.50390625	5.78125	6.90625	12081	1000000	44.81639900000166	211.91198739966129	39	41	42	44	45	46	68378	37.5	49.5	513
4	0	4	8	3413	3416	427	9160096102162736772	upgrade_capacity_trial000_exec0004_plot0008_span00000000000000003416_seed09160096102162736772.tsv	c2e5de0349238ef453241580c8f5250c75dea791a81ba70c9212fcfa2a04a486	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1652.7704790000007	883.57525787513703	1560	1588	1600	1630	1662	1681	80296	1507	1755	17987	1000000	6.4561346835937528	3.451465851074754	6.09375	6.203125	6.25	6.3671875	6.4921875	6.56640625	313.65625	5.88671875	6.85546875	17987	1000000	44.779104999999255	182.88682314043245	40	42	43	44	45	46	73462	40	48	2478
1	0	1	9	4096	4096	512	7029306210665007471	upgrade_capacity_trial000_exec0001_plot0009_span00000000000000004096_seed07029306210665007471.tsv	9e48d6b92aa60d54bf41c99de7be4a2453c7a30011fc7da7454b21e2ce9fbd9f	randomized-dependent-single-cycle	TSC ticks	1000000	1000	256	1000000	1655.0552090000094	1019.2329875651518	1556	1588	1596	1624	1665	1677	76981	1492.5	1768.5	16361	1000000	6.4650594101562868	3.9813788576763742	6.078125	6.203125	6.234375	6.34375	6.50390625	6.55078125	300.70703125	5.830078125	6.908203125	16361	1000000	44.378722000000806	121.49451106797615	39	41	43	44	45	47	48630	40	48	3168
