ece592_transition_analysis_format_version=1
source_processed_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/upgrade/capacity/phase1_capacity_coarse_randomized_v2.tsv
source_processed_sha256=738d35b8ee2ebf060e9d1ab525b8b17b3dbc34d923db782494cbe08cd8bf4ca5
source_hostname=upgrade.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/upgrade/capacity/phase1_capacity_coarse_randomized_v2.tsv --output data_processed/upgrade/capacity/phase1_capacity_coarse_transition_candidates_v2.tsv
analysis_working_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
45	0	512	688	0	1	6.3359375	6.3359375	1.34375	0	0	0.0036991368680641184
42	1	688	856	1	2	6.3359375	6.33984375	1.2441860465116279	0.00061652281134394471	0.0028209836139336353	0.0036991368680641184
52	2	856	1024	2	3	6.33984375	6.23828125	1.1962616822429906	-0.01601971657424528	-0.090118808474069001	0.0030807147258163892
39	3	1024	1368	3	4	6.23828125	6.2890625	1.3359375	0.0081402629931119908	0.02799163622107307	0.001878522229179712
46	4	1368	1712	4	5	6.2890625	6.2890625	1.2514619883040936	0	0	0.011180124223602485
47	5	1712	2048	5	6	6.2890625	6.28515625	1.1962616822429906	-0.00062111801242237252	-0.0034671095426284182	0.011180124223602485
41	6	2048	2736	6	7	6.28515625	6.30859375	1.3359375	0.0037290242386576189	0.01285103874343654	0.013003095975232198
43	7	2736	3416	7	8	6.30859375	6.3125	1.2485380116959064	0.00061919504643959122	0.0027886394027935523	0.013003095975232198
32	8	3416	4096	8	9	6.3125	6.3671875	1.1990632318501171	0.00866336633663356	0.04751584030549192	0.0086633663366336641
49	9	4096	5464	9	10	6.3671875	6.32421875	1.333984375	-0.0067484662576686727	-0.023497708339609194	0.0067943174799258805
50	10	5464	6832	10	11	6.32421875	6.2890625	1.2503660322108345	-0.0055589870290302379	-0.024948922110819501	0.0086956521739130436
51	11	6832	8192	11	12	6.2890625	6.2578125	1.1990632318501171	-0.0049689440993788692	-0.027439206580362037	0.0086956521739130436
36	12	8192	10928	12	13	6.2578125	6.32421875	1.333984375	0.010611735330836369	0.036630521769536295	0.0092649783817171094
48	13	10928	13656	13	14	6.32421875	6.314453125	1.2496339677891655	-0.0015441630636194859	-0.0069344930591007338	0.0092649783817171094
34	14	13656	16384	14	15	6.314453125	6.3671875	1.1997656707674282	0.0083513764305598315	0.045664455425929569	0.017177914110429449
35	15	16384	21848	15	16	6.3671875	6.44140625	1.33349609375	0.011656441717791344	0.040267068248114685	0.022437841115827774
22	16	21848	27312	16	17	6.44140625	6.666015625	1.2500915415598681	0.034869617950272991	0.15355227997814538	0.03779665983006153
53	17	27312	32768	17	18	6.666015625	6.529296875	1.1997656707674282	-0.020509815411661303	-0.11378404247542304	0.03779665983006153
6	18	32768	43696	18	19	6.529296875	7.927734375	1.33349609375	0.21417888124439122	0.67430591366194337	0.0061591525006159152
11	19	43696	54616	19	20	7.927734375	8.89453125	1.2499084584401319	0.12195121951219523	0.51584330970428971	0.020641194554238032
