ece592_transition_analysis_format_version=1
source_processed_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/upgrade/capacity/phase1_capacity_dense_transition_randomized_v2.tsv
source_processed_sha256=229310519d7ae113f1477b26eef592d6d80f350bf445910960324c0a63a1fc66
source_hostname=upgrade.ece.ncsu.edu
source_isa=x86_64
source_timer_unit=TSC ticks
source_traversal=randomized-dependent-single-cycle
trial_count=2
maximum_repeat_count_per_working_set=2
comparison=adjacent_sorted_actual_span_points
central_value=median_of_repeat_medians
slope=log2(upper_median/lower_median)/log2(upper_span/lower_span)
rank=descending_upward_log2_latency_slope
cache_boundary_labels_assigned=false
timer_overhead_subtracted=false
analysis_script=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/scripts/analyze_capacity_transitions.py
analysis_command=scripts/analyze_capacity_transitions.py --input data_processed/upgrade/capacity/phase1_capacity_dense_transition_randomized_v2.tsv --output data_processed/upgrade/capacity/phase1_capacity_dense_transition_candidates_v2.tsv
analysis_working_directory=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering
python_version=3.9.25
data_begin
rank	interval_index	lower_span	upper_span	lower_plot_index	upper_plot_index	lower_median	upper_median	span_ratio	relative_increase	log2_latency_slope	trial_disagreement_fraction
44	0	26216	29496	0	1	6.396484375	6.3984375	1.1251144339334758	0.00030534351145039551	0.0025897913412138702	0.0085470085470085479
43	1	29496	32768	1	2	6.3984375	6.486328125	1.1109302956333063	0.013736263736263687	0.12968693728238109	0.0085470085470085479
23	2	32768	36048	2	3	6.486328125	7.021484375	1.10009765625	0.082505269497139322	0.83101590979352891	0.0063977746870653683
26	3	36048	39328	3	4	7.021484375	7.462890625	1.0909897913892588	0.062865090403337875	0.70009683036432035	0.0063977746870653683
30	4	39328	42600	4	5	7.462890625	7.80859375	1.0831977217249797	0.046322952106778281	0.56661002086662537	0.0080040020010004997
29	5	42600	45880	5	6	7.80859375	8.14453125	1.0769953051643193	0.043021510755377745	0.567870274264903	0.0080040020010004997
35	6	45880	49152	6	7	8.14453125	8.3671875	1.0713164777680906	0.027338129496402797	0.39151986919417764	0.0019184652278177458
15	7	49152	52432	7	8	8.3671875	9.0859375	1.0667317708333333	0.085901027077497583	1.2757066638689929	0.060619088564058468
49	8	52432	54624	8	9	9.0859375	8.66796875	1.041806530363137	-0.046001719690455745	-1.1498465995500817	0.060619088564058468
32	9	54624	58984	9	10	8.66796875	8.984375	1.0798183948447568	0.036502929247408833	0.46687247243126645	0.003605227579990987
37	10	58984	65536	10	11	8.984375	9.26171875	1.1110809711108096	0.03086956521739137	0.28863292402530899	0.005482918599746942
42	11	65536	72088	11	12	9.26171875	9.4140625	1.0999755859375	0.016448755799240766	0.17121718364463043	0.0082987551867219917
38	12	72088	78648	12	13	9.4140625	9.626953125	1.0909998890245256	0.022614107883817347	0.25675757559114848	0.0082987551867219917
12	13	78648	85200	13	14	9.626953125	10.705078125	1.0833079035703388	0.11199026171637239	1.326574041498477	0.086663017697500455
19	14	85200	91752	14	15	10.705078125	11.45703125	1.0769014084507043	0.070242656449553076	0.9162825398097787	0.13706102966246164
47	15	91752	98304	15	16	11.45703125	10.787109375	1.0714098875228877	-0.058472553699284058	-0.87352521029013619	0.13706102966246164
48	16	98304	104856	16	17	10.787109375	10.1328125	1.066650390625	-0.060655440883577771	-0.96977310663209038	0.079123664674995473
21	17	104856	109232	17	18	10.1328125	10.498046875	1.0417334248874648	0.036044718581341506	0.86607244443306952	0.030325581395348838
36	18	109232	139816	18	19	10.498046875	11.521484375	1.2799912113666325	0.097488372093023301	0.37684043214738833	0.030325581395348838
22	19	139816	157296	19	20	11.521484375	12.75	1.1250214567717571	0.10662824207492805	0.86006756774521942	0.11550245098039216
4	20	157296	174768	20	21	12.75	17.490234375	1.1110772047604516	0.37178308823529416	3.0011527525075112	0.33355667225013957
50	21	174768	192248	21	22	17.490234375	15.05078125	1.1000183099880985	-0.13947515354550533	-1.5757662036487243	0.33355667225013957
20	22	192248	209720	22	23	15.05078125	16.24609375	1.0908826099621323	0.079418634830002555	0.87855087623308681	0.16422216879057466
55	23	209720	209728	23	24	16.24609375	13.919921875	1.0000381460995613	-0.14318345756191397	-4051.1193004129868	0.16422216879057466
46	24	209728	227200	24	25	13.919921875	13.62890625	1.0833079035703388	-0.020906412235162097	-0.26403709157862026	0.061877367756419249
10	25	227200	235936	25	26	13.62890625	14.3828125	1.0384507042253521	0.055316709658927987	1.4270095547040733	0.096414991852254203
2	26	235936	244680	26	27	14.3828125	17.0546875	1.0370608978706091	0.18576860401955453	4.6822786429172192	0.096414991852254203
6	27	244680	262144	27	28	17.0546875	19.529296875	1.0713748569560242	0.14509848831882732	1.9652635759347241	0.11051105110511052
54	28	262144	262152	28	29	19.529296875	18.21875	1.000030517578125	-0.067106710671067105	-2276.2461044310849	0.17602915951972556
13	29	262152	273072	29	30	18.21875	19.2265625	1.0416552229241052	0.055317324185248706	1.3192887150569657	0.17602915951972556
52	30	273072	288360	30	31	19.2265625	16.90234375	1.0559852346633856	-0.12088581877285653	-2.3651652334829878	0.15623730190979276
11	31	288360	314576	31	32	16.90234375	19.0078125	1.0909141351088916	0.12456667437023339	1.3491516732608269	0.038224414303329221
40	32	314576	340792	32	33	19.0078125	19.369140625	1.0833375718427343	0.019009453349773997	0.23525079823101228	0.06564485227387315
8	33	340792	367008	33	34	19.369140625	22.005859375	1.076926688419916	0.13612987798729459	1.7221071382207251	0.06564485227387315
