ece592_inclusion_policy_processed_version=1
summary_purpose=8.2.7_inclusion_exclusion_behavior
source_run_directory=/home/rrsood/ECE592_HW1/data_raw/upgrade/inclusion_policy/raw/upgrade_inclusion_policy_20260914T144337Z
processing_script=process_inclusion_policy_run.py
processing_command=/home/rrsood/ECE592_HW1/scripts/process_inclusion_policy_run.py --run-directory /home/rrsood/ECE592_HW1/data_raw/upgrade/inclusion_policy/raw/upgrade_inclusion_policy_20260914T144337Z --output /home/rrsood/ECE592_HW1/data_processed/upgrade/inclusion_policy/upgrade_inclusion_policy_20260914T144337Z.tsv
processing_working_directory=/home/rrsood/ECE592_HW1
python_version=3.10.12
standard_deviation_definition=population
quantile_method=linear interpolation at (n-1)*p
outlier_definition=outside q1-1.5*iqr and q3+1.5*iqr
timer_overhead_subtracted=false
eviction_threshold_rule=quantile of the same point's baseline distribution at 1-false_positive_rate
eviction_probability=fraction of after-pressure samples above that threshold
cache_policy_labels_assigned=false
processed_point_count=84
row_order=trial then series_index then pressure_bytes
data_begin
global_execution_index	trial	trial_execution_index	series_index	plot_index	target_bytes	target_line_spacing_bytes	pressure_source	pressure_bytes	pressure_line_spacing_bytes	pressure_order	pressure_passes	helper_cpu	accesses_per_sample	point_seed	raw_filename	raw_sha256	raw_experiment_name	raw_hostname	raw_kernel_release	raw_isa	raw_cpu_model	raw_page_size_bytes	raw_logical_cpu	raw_affinity_cpu_list	raw_physical_core_id	raw_physical_package_id	raw_numa_node	raw_thread_siblings_list	raw_compiler_version	raw_compiler_flags	raw_git_commit	raw_smt_siblings_idle	raw_timer_name	raw_timer_unit	raw_timer_frequency_hz_valid	raw_target_bytes	raw_target_line_spacing_bytes	raw_target_node_count	raw_pressure_source	raw_pressure_bytes	raw_pressure_node_count	raw_pressure_order	raw_pressure_passes_per_round	raw_pressure_pass_count	raw_helper_pass_count	raw_measuring_logical_cpu	raw_measuring_physical_core_id	raw_measuring_physical_package_id	raw_helper_used	raw_helper_logical_cpu	raw_helper_physical_core_id	raw_helper_physical_package_id	raw_helper_same_package	raw_helper_is_smt_sibling	raw_timed_sample_count	raw_round_count	raw_samples_per_round	raw_accesses_per_sample	raw_warmup_round_count	raw_random_seed	baseline_ticks_count	baseline_ticks_mean	baseline_ticks_population_stddev	baseline_ticks_minimum	baseline_ticks_p05	baseline_ticks_q1	baseline_ticks_median	baseline_ticks_q3	baseline_ticks_p95	baseline_ticks_maximum	baseline_ticks_lower_outlier_fence	baseline_ticks_upper_outlier_fence	baseline_ticks_outlier_count	after_pressure_ticks_count	after_pressure_ticks_mean	after_pressure_ticks_population_stddev	after_pressure_ticks_minimum	after_pressure_ticks_p05	after_pressure_ticks_q1	after_pressure_ticks_median	after_pressure_ticks_q3	after_pressure_ticks_p95	after_pressure_ticks_maximum	after_pressure_ticks_lower_outlier_fence	after_pressure_ticks_upper_outlier_fence	after_pressure_ticks_outlier_count	overhead_ticks_count	overhead_ticks_mean	overhead_ticks_population_stddev	overhead_ticks_minimum	overhead_ticks_p05	overhead_ticks_q1	overhead_ticks_median	overhead_ticks_q3	overhead_ticks_p95	overhead_ticks_maximum	overhead_ticks_lower_outlier_fence	overhead_ticks_upper_outlier_fence	overhead_ticks_outlier_count	requested_false_positive_rate	eviction_threshold_ticks	after_pressure_above_threshold_count	eviction_probability	baseline_above_threshold_fraction	threshold_is_confident	tukey_fence_threshold_ticks	eviction_probability_tukey_fence	delta_median_ticks	baseline_median_ticks_per_access	after_pressure_median_ticks_per_access	delta_median_ticks_per_access	separation_ratio_median
29	0	29	0	0	8192	64	none	0	64	sequential	0	-1	1	13434040110859652870	upgrade_inclusionpolicy_trial000_exec0029_series00_plot0000_target0000008192_none_pressure000000000000_helper999_seed13434040110859652870.tsv.gz	aece840aa3ec1293951cb15437b508bdb2f67def95879cd9b5017bd33975247b	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	none	0	0	sequential-dependent-single-cycle	1	0	0	4	4	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	13434040110859652870	1000064	58.275279382119024	228.05301985700655	49	55	56	57	58	59	69746	53	61	10172	1000064	58.559806172404123	233.86463993542424	51	55	56	57	58	60	74663	53	61	32553	1000064	43.696272438563895	203.92679805207726	37	41	42	42	44	45	66315	39	47	1803	0.001	66	3360	0.0033597849737616791	0.00081694771534621786	true	61	0.032033949827211056	0	57	57	0	1
38	0	38	1	1	8192	64	self	65536	64	sequential	1	-1	1	4486159773690201395	upgrade_inclusionpolicy_trial000_exec0038_series01_plot0001_target0000008192_self_pressure000000065536_helper999_seed04486159773690201395.tsv.gz	c4137c1cd904200a9266a5f23fcf6454def259b8bf469fc8622c172e07bc611f	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	65536	1024	sequential-dependent-single-cycle	1	7815	0	4	4	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	4486159773690201395	1000064	58.36681452386965	155.31624714674857	51	55	57	58	59	61	50768	54	62	16847	1000064	63.472682748302482	182.01024720876413	52	59	61	62	64	66	65553	56.5	68.5	23543	1000064	43.436545061116931	95.11200677310579	37	41	42	43	44	45	48255	39	47	865	0.001	67	25670	0.025668357225137592	0.00050396774606425185	true	62	0.46496524222449764	4	58	62	4	1.0689655172413792
30	0	30	1	2	8192	64	self	524288	64	sequential	1	-1	1	5454329148859750283	upgrade_inclusionpolicy_trial000_exec0030_series01_plot0002_target0000008192_self_pressure000000524288_helper999_seed05454329148859750283.tsv.gz	aa2f4afd624ac2f17dbf04ae1a212cd5f855fb86dae341a7b98a25b829265b2b	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	524288	8192	sequential-dependent-single-cycle	1	7815	0	4	4	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	5454329148859750283	1000064	58.276670293100963	192.51103709836343	49	55	56	58	58	60	84602	53	61	4008	1000064	69.056012415205473	232.95222897191377	53	59	62	63	76	84	76161	41	97	509	1000064	43.399910405734211	132.73293189497068	37	41	42	43	44	45	50909	39	47	1205	0.001	65	354791	0.35476829482913091	0.00088594329962882374	true	61	0.76019134775374375	5	58	63	5	1.0862068965517242
21	0	21	1	3	8192	64	self	15728640	64	sequential	1	-1	1	2553261902913031682	upgrade_inclusionpolicy_trial000_exec0021_series01_plot0003_target0000008192_self_pressure000015728640_helper999_seed02553261902913031682.tsv.gz	25f02392045d5eef538a4e06bdfca26aa45b6e0b0e79447564c411ee1894daa5	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	15728640	245760	sequential-dependent-single-cycle	1	7815	0	4	4	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	2553261902913031682	1000064	58.633153478178365	192.83429946128831	50	55	56	58	59	61	66466	51.5	63.5	3865	1000064	71.224673620891878	197.53027440151536	54	60	62	64	78	86	57626	38	102	9322	1000064	44.177419645144063	221.77054982558269	37	41	42	43	44	46	69079	39	47	4487	0.001	68	377874	0.37784981761167286	0.00095293901190323814	true	63.5	0.55031178004607706	6	58	64	6	1.103448275862069
22	0	22	1	4	8192	64	self	62914560	64	sequential	1	-1	1	15822016635197211724	upgrade_inclusionpolicy_trial000_exec0022_series01_plot0004_target0000008192_self_pressure000062914560_helper999_seed15822016635197211724.tsv.gz	ea3b8097fddacc720a5cc8359610aace2927ab1d3fc0508db8294382f7db0fc7	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	self	62914560	983040	sequential-dependent-single-cycle	1	7815	0	4	4	0	false	-1	-1	-1	false	false	1000064	7813	128	1	2	15822016635197211724	1000064	58.301951675093996	200.69931722487695	49	55	56	57	58	60	75325	53	61	17526	1000064	80.220493888386116	213.02287792994545	54	60	62	63	76	234	75732	41	97	55860	1000064	43.625968937989299	189.26936719827592	37	41	42	43	44	45	57181	39	47	1836	0.001	68	340821	0.34079918885191346	0.00094493952387047228	true	61	0.75954538909509794	6	57	63	6	1.1052631578947369
5	0	5	2	5	8192	64	helper	3932160	64	sequential	1	5	1	9659343732093274974	upgrade_inclusionpolicy_trial000_exec0005_series02_plot0005_target0000008192_helper_pressure000003932160_helper005_seed09659343732093274974.tsv.gz	5b2ae1844feb39e277beab78ab303768f13167c143deabfa623852b0562458db	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	3932160	61440	sequential-dependent-single-cycle	1	7815	7815	4	4	0	true	5	5	0	true	false	1000064	7813	128	1	2	9659343732093274974	1000064	60.175597761744285	153.8430164074301	51	57	58	60	60	62	57256	55	63	10412	1000064	60.746751207922344	147.03306844944467	51	57	58	60	61	65	74006	53.5	65.5	43990	1000064	45.02447943331719	165.75201602075893	39	42	44	44	46	47	57102	41	49	816	0.001	67	27989	0.027987208818635607	0.00088394342762063225	true	63	0.059336202483041084	0	60	60	0	1
13	0	13	2	6	8192	64	helper	15728640	64	sequential	1	5	1	4048844278262796615	upgrade_inclusionpolicy_trial000_exec0013_series02_plot0006_target0000008192_helper_pressure000015728640_helper005_seed04048844278262796615.tsv.gz	66b33cc9a44c26293ed2af6cc2e777e368bff2c4d750aebcf2307cb49f4962ce	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	15728640	245760	sequential-dependent-single-cycle	1	7815	7815	4	4	0	true	5	5	0	true	false	1000064	7813	128	1	2	4048844278262796615	1000064	65.757153542176397	551.91536762908197	51	57	58	60	60	62	58091	55	63	6709	1000064	106.96286937635732	261.27875786698331	51	58	60	64	79	262	59306	31.5	107.5	201386	1000064	45.375742952452484	215.7090098421333	39	42	44	44	45	47	57595	42.5	46.5	166889	0.001	75	270018	0.27000071995392294	0.00096893798796876996	true	63	0.52852417445283506	4	60	64	4	1.0666666666666667
41	0	41	2	7	8192	64	helper	23592960	64	sequential	1	5	1	4716487249944504408	upgrade_inclusionpolicy_trial000_exec0041_series02_plot0007_target0000008192_helper_pressure000023592960_helper005_seed04716487249944504408.tsv.gz	e197382f7307011b8bd9c9d41e63ca8b6da9bace9e0bce600752ec144978f244	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	23592960	368640	sequential-dependent-single-cycle	1	7815	7815	4	4	0	true	5	5	0	true	false	1000064	7813	128	1	2	4716487249944504408	1000064	60.430709434597105	204.36018864975395	51	57	58	60	60	62	67077	55	63	5350	1000064	88.784379799694548	254.78997996229302	51	57	59	60	64	262	74262	51.5	71.5	145387	1000064	44.914130495649395	157.76605550860981	39	42	44	44	45	47	68632	42.5	46.5	183919	0.001	67	162863	0.16285257743504417	0.00097893734800972741	true	63	0.27901314315883785	0	60	60	0	1
34	0	34	2	8	8192	64	helper	31457280	64	sequential	1	5	1	6408941002793262312	upgrade_inclusionpolicy_trial000_exec0034_series02_plot0008_target0000008192_helper_pressure000031457280_helper005_seed06408941002793262312.tsv.gz	4a87055754913dbb9faa3a9f39936a7650f023725c8e21940150b449a60f7dc5	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	31457280	491520	sequential-dependent-single-cycle	1	7815	7815	4	4	0	true	5	5	0	true	false	1000064	7813	128	1	2	6408941002793262312	1000064	60.647561556061326	202.84107288253676	51	57	58	60	60	62	51939	55	63	17387	1000064	111.27705126872026	263.0786991281513	51	57	60	62	75	264	75290	37.5	97.5	225987	1000064	44.956079810892241	150.26045774841415	39	42	44	44	45	47	67451	42.5	46.5	168680	0.001	71	252712	0.25269582746704211	0.00092594073979265323	true	63	0.44340562204018941	2	60	62	2	1.0333333333333334
32	0	32	2	9	8192	64	helper	39321600	64	sequential	1	5	1	3766617846658164448	upgrade_inclusionpolicy_trial000_exec0032_series02_plot0009_target0000008192_helper_pressure000039321600_helper005_seed03766617846658164448.tsv.gz	e56164daec2e634e7f8384bb3d548f1ee655138c2bbed1c9c2fee7f822439eb4	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	39321600	614400	sequential-dependent-single-cycle	1	7815	7815	4	4	0	true	5	5	0	true	false	1000064	7813	128	1	2	3766617846658164448	1000064	59.836287477602532	108.54735735913803	51	57	58	59	60	62	54105	55	63	17511	1000064	115.32525918341629	271.68814875677248	51	57	60	63	85	264	57196	22.5	122.5	244197	1000064	44.810338138357594	129.66357850563384	39	42	44	44	45	47	51473	42.5	46.5	178921	0.001	70	279274	0.27925612760783308	0.00093294029182132345	true	63	0.48717582074747218	4	59	63	4	1.0677966101694916
8	0	8	2	10	8192	64	helper	47185920	64	sequential	1	5	1	13070927980617103594	upgrade_inclusionpolicy_trial000_exec0008_series02_plot0010_target0000008192_helper_pressure000047185920_helper005_seed13070927980617103594.tsv.gz	5cf46172bb629815b139b26ce5fb4d07487a023e0f8d256fa6882f65aaa9ea50	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	47185920	737280	sequential-dependent-single-cycle	1	7815	7815	4	4	0	true	5	5	0	true	false	1000064	7813	128	1	2	13070927980617103594	1000064	60.421094049980724	163.57004202267362	51	57	59	60	60	62	50176	57.5	61.5	172746	1000064	102.36486164885441	209.24329953410245	51	57	60	62	67	264	67066	49.5	77.5	213302	1000064	45.020333698644215	137.30140208429822	39	42	44	44	46	47	57265	41	49	1467	0.001	69	229092	0.22907733905030078	0.00093694003583770643	true	61.5	0.50204186932036354	2	60	62	2	1.0333333333333334
14	0	14	2	11	8192	64	helper	62914560	64	sequential	1	5	1	8061349055135680146	upgrade_inclusionpolicy_trial000_exec0014_series02_plot0011_target0000008192_helper_pressure000062914560_helper005_seed08061349055135680146.tsv.gz	5d81ccbf1d81e314ce758b2b24218849bdb8b1278112742979840e21904fc4ce	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	62914560	983040	sequential-dependent-single-cycle	1	7815	7815	4	4	0	true	5	5	0	true	false	1000064	7813	128	1	2	8061349055135680146	1000064	67.984749976005844	689.02553166242524	51	57	59	60	61	62	133845	56	64	18879	1000064	75.156667973252723	241.66447451293021	53	62	64	66	80	89	74059	40	104	18480	1000064	47.109928964547549	351.58157904819211	39	42	44	44	46	47	74768	41	49	3128	0.001	81	206254	0.20624080058876232	0.00099793613208754646	true	64	0.6595367896454627	6	60	66	6	1.1000000000000001
12	0	12	2	12	8192	64	helper	125829120	64	sequential	1	5	1	8008439490583124828	upgrade_inclusionpolicy_trial000_exec0012_series02_plot0012_target0000008192_helper_pressure000125829120_helper005_seed08008439490583124828.tsv.gz	0337715303fdc003f0983487489ab1f71b6108c5f9d2ceef7760a1e527d3ae48	inclusion-policy-phase1	upgrade.ece.ncsu.edu	6.8.0-138-generic	x86_64	Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz	4096	4	4	4	0	0	4,10	12.3.0	-O0 -g -std=c11 -Wall -Wextra -Wpedantic -Werror -fno-omit-frame-pointer -pthread	3320572577caedfaa7496664ce933560735067ac-dirty	yes	LFENCE+RDTSC / RDTSCP+LFENCE	TSC ticks	false	8192	64	128	helper	125829120	1966080	sequential-dependent-single-cycle	1	7815	7815	4	4	0	true	5	5	0	true	false	1000064	7813	128	1	2	8008439490583124828	1000064	65.519668741199467	555.71703596522082	51	57	59	60	61	62	117478	56	64	13176	1000064	107.9289995440265	9604.7098975561057	51	60	63	66	81	258	9601457	36	108	145116	1000064	47.115242624472351	354.85483578950448	39	42	44	44	46	47	74605	41	49	2373	0.001	81	235630	0.23561492064507872	0.00098493696403430188	true	64	0.6025294381159606	6	60	66	6	1.1000000000000001
