ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=integer subdivisions within factor-of-two ranges
min_bytes=512
max_bytes=268435456
points_per_octave=3
trial_count=2
plan_seed=1592
node_spacing_bytes=8
node_bytes=8
unique_size_count=58
plan_row_count=116
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	6	2048	256	2048	18241755196393419383
1	0	1	18	32768	4096	32768	4323896189643354360
2	0	2	33	1048576	131072	1048576	12391261869065405985
3	0	3	57	268435456	33554432	268435456	1343387033494033729
4	0	4	34	1398101	174763	1398104	17375269674984280752
5	0	5	5	1706	214	1712	5130729333387627924
6	0	6	43	11184810	1398102	11184816	3177235532563484436
7	0	7	54	134217728	16777216	134217728	322500745255897693
8	0	8	27	262144	32768	262144	6997326712774236628
9	0	9	8	3413	427	3416	17407506385941130086
10	0	10	7	2730	342	2736	4781930565872665964
11	0	11	15	16384	2048	16384	12600185627201849712
12	0	12	17	27306	3414	27312	15386459337959062621
13	0	13	49	44739242	5592406	44739248	3915930952413831188
14	0	14	52	89478485	11184811	89478488	11845497628172551890
15	0	15	32	873813	109227	873816	10048760234374615951
16	0	16	44	13981013	1747627	13981016	5951000047669001393
17	0	17	46	22369621	2796203	22369624	16849696920876491970
18	0	18	56	223696213	27962027	223696216	6291540892996455890
19	0	19	9	4096	512	4096	14370156735554007712
20	0	20	36	2097152	262144	2097152	10582612543167446197
21	0	21	13	10922	1366	10928	1301716323526735838
22	0	22	16	21845	2731	21848	14374643300117216781
23	0	23	40	5592405	699051	5592408	6148307034271298192
24	0	24	26	218453	27307	218456	10859060479833647155
25	0	25	12	8192	1024	8192	16474620949680915008
26	0	26	19	43690	5462	43696	16075679794890445477
27	0	27	31	699050	87382	699056	9666627768836112390
28	0	28	39	4194304	524288	4194304	4639203670645167338
29	0	29	20	54613	6827	54616	4655346382025757128
30	0	30	23	109226	13654	109232	13314427635990160936
31	0	31	3	1024	128	1024	5277196578708125327
32	0	32	2	853	107	856	992952318489933469
33	0	33	29	436906	54614	436912	6105926309762865589
34	0	34	38	3495253	436907	3495256	564281181016772106
35	0	35	47	27962026	3495254	27962032	14452590975459497785
36	0	36	1	682	86	688	10179328880301180161
37	0	37	4	1365	171	1368	16773244394471792033
38	0	38	24	131072	16384	131072	17581954193048418348
39	0	39	45	16777216	2097152	16777216	16243497543431138937
40	0	40	21	65536	8192	65536	3900845042459552926
41	0	41	0	512	64	512	521412546490941762
42	0	42	14	13653	1707	13656	11068108387804352454
43	0	43	50	55924053	6990507	55924056	17548672320760222593
44	0	44	42	8388608	1048576	8388608	8206196137581533189
45	0	45	48	33554432	4194304	33554432	16938003583024339219
46	0	46	11	6826	854	6832	12063932542333687116
47	0	47	35	1747626	218454	1747632	17338219176086152457
48	0	48	55	178956970	22369622	178956976	15229725628578338911
49	0	49	25	174762	21846	174768	11238792292947175668
50	0	50	53	111848106	13981014	111848112	15330513058283571708
51	0	51	41	6990506	873814	6990512	2170715298337237503
52	0	52	28	349525	43691	349528	12489298355736952906
53	0	53	22	87381	10923	87384	1511309602794286119
54	0	54	30	524288	65536	524288	11470584142395114224
55	0	55	37	2796202	349526	2796208	16651228414940618847
56	0	56	10	5461	683	5464	2485219395495964833
57	0	57	51	67108864	8388608	67108864	3198871058817480281
58	1	0	26	218453	27307	218456	5818764325092162429
59	1	1	52	89478485	11184811	89478488	9567050507981382275
60	1	2	33	1048576	131072	1048576	16567205392106610823
61	1	3	56	223696213	27962027	223696216	5302648203049684635
62	1	4	37	2796202	349526	2796208	10023676725448448466
63	1	5	22	87381	10923	87384	14650140239093731067
64	1	6	2	853	107	856	17870165169189724379
65	1	7	55	178956970	22369622	178956976	15284360738873479673
66	1	8	28	349525	43691	349528	8621762555539508531
67	1	9	7	2730	342	2736	9520375308676632586
68	1	10	1	682	86	688	12084464106960024708
69	1	11	18	32768	4096	32768	1093413615441259625
70	1	12	50	55924053	6990507	55924056	14624638279514114082
71	1	13	54	134217728	16777216	134217728	16463415331001980162
72	1	14	5	1706	214	1712	16598252882377772470
73	1	15	41	6990506	873814	6990512	6194274646131639049
74	1	16	29	436906	54614	436912	6371455068928289281
75	1	17	9	4096	512	4096	13199683420555818710
76	1	18	8	3413	427	3416	576937333239873994
77	1	19	6	2048	256	2048	14568219887491800101
78	1	20	24	131072	16384	131072	7579655891893050936
79	1	21	20	54613	6827	54616	14126649765067226065
80	1	22	46	22369621	2796203	22369624	8994452531415973302
81	1	23	39	4194304	524288	4194304	4342551258565837709
82	1	24	16	21845	2731	21848	8469410435758536234
83	1	25	53	111848106	13981014	111848112	16257702912602079218
84	1	26	15	16384	2048	16384	16479516482356517489
85	1	27	30	524288	65536	524288	6759315445714764637
86	1	28	4	1365	171	1368	4401881644362122624
87	1	29	3	1024	128	1024	1343695401055306769
88	1	30	44	13981013	1747627	13981016	17548783214306919456
89	1	31	57	268435456	33554432	268435456	15109020862315287920
90	1	32	17	27306	3414	27312	1752942335159105636
91	1	33	0	512	64	512	17114030515700705003
92	1	34	48	33554432	4194304	33554432	16604128740393859333
93	1	35	38	3495253	436907	3495256	12657930506878569274
94	1	36	13	10922	1366	10928	2587713770503078675
95	1	37	14	13653	1707	13656	9347114241941800302
96	1	38	49	44739242	5592406	44739248	14526276808444407853
97	1	39	31	699050	87382	699056	15355078154094607409
98	1	40	19	43690	5462	43696	5200657581203982268
99	1	41	51	67108864	8388608	67108864	6540328983069435029
100	1	42	36	2097152	262144	2097152	8429402727980285661
101	1	43	27	262144	32768	262144	10845734955314594289
102	1	44	34	1398101	174763	1398104	7297945570125117054
103	1	45	12	8192	1024	8192	3677073309932057554
104	1	46	47	27962026	3495254	27962032	13403207592380881828
105	1	47	42	8388608	1048576	8388608	12138832286380717928
106	1	48	10	5461	683	5464	1557963549810673836
107	1	49	43	11184810	1398102	11184816	8042526313346957421
108	1	50	25	174762	21846	174768	16460759541421655828
109	1	51	45	16777216	2097152	16777216	4252765213579711150
110	1	52	35	1747626	218454	1747632	14228141450541910891
111	1	53	21	65536	8192	65536	11003996360602772701
