ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=union of padded coarse transition windows
source_transition_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/artemisia/capacity/phase1_capacity_coarse_transition_candidates_v3.tsv
source_transition_sha256=b91227596e84e3ba0c7290421fd78a0c29cb75039fac67de67aca16a8652cd96
selected_top_k=6
selected_transition_ranks=1,2,3,4,5,6
padding_factor=5/4
min_bytes=34956
max_bytes=55924060
points_per_octave=8
trial_count=2
plan_seed=3592
node_spacing_bytes=8
node_bytes=8
unique_size_count=55
plan_row_count=110
candidate_rank_1_window=1677721..3495260_slope=2.5697652584961124_trial_disagreement=0.086274073249471228
candidate_rank_2_window=26843545..55924060_slope=1.3403392505442229_trial_disagreement=0.08825746593215425
candidate_rank_3_window=43692..81920_slope=1.2150519943141682_trial_disagreement=0.0072423398328690805
candidate_rank_4_window=34956..68270_slope=1.1430571053763128_trial_disagreement=0.0072423398328690805
candidate_rank_5_window=2236966..4369070_slope=1.1275814612825943_trial_disagreement=0.086274073249471228
candidate_rank_6_window=17895699..34952540_slope=0.98544133124917577_trial_disagreement=0.024386258731260976
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	12	65542	8193	65544	16576043525113252027
1	0	1	16	81920	10240	81920	9230891651785104647
2	0	2	33	3914690	489337	3914696	4205934513480909263
3	0	3	25	2796207	349526	2796208	8087765981179554486
4	0	4	3	43695	5462	43696	17478174836027744635
5	0	5	9	60076	7510	60080	1844196420495292075
6	0	6	38	22369623	2796203	22369624	4364600364386829390
7	0	7	19	2097151	262144	2097152	4285584590943075144
8	0	8	22	2516581	314573	2516584	8812463082850996530
9	0	9	23	2516586	314574	2516592	13011569054490122723
10	0	10	43	30198988	3774874	30198992	7664754426549695022
11	0	11	5	49153	6145	49160	11829703461821387248
12	0	12	30	3355449	419432	3355456	9572505096490228335
13	0	13	36	17895699	2236963	17895704	2951546511345262518
14	0	14	39	24606586	3075824	24606592	16188199510642844760
15	0	15	8	56803	7101	56808	13785091065182461241
16	0	16	27	3075828	384479	3075832	761960234689383950
17	0	17	52	50331646	6291456	50331648	15924485539449032067
18	0	18	37	20132661	2516583	20132664	47907575984655433
19	0	19	51	46976203	5872026	46976208	3839722109808622401
20	0	20	29	3355442	419431	3355448	3090566251564566750
21	0	21	31	3495260	436908	3495264	12172398962108090888
22	0	22	15	76461	9558	76464	5581642038826420389
23	0	23	1	39325	4916	39328	15027087103982551604
24	0	24	48	36909874	4613735	36909880	17880859795127676829
25	0	25	13	68270	8534	68272	12278224142265347217
26	0	26	4	48064	6008	48064	997154105982350354
27	0	27	40	26843545	3355444	26843552	9507336906218648125
28	0	28	28	3145726	393216	3145728	16853969455170307364
29	0	29	35	4369070	546134	4369072	13602594550325103356
30	0	30	32	3635069	454384	3635072	12833768200371162003
31	0	31	20	2236966	279621	2236968	7286364900619857895
32	0	32	34	4194311	524289	4194312	13148556675115860901
33	0	33	42	29080510	3635064	29080512	10505966174208577290
34	0	34	24	2726296	340787	2726296	5205074329851498260
35	0	35	41	26843548	3355444	26843552	17539822436062618529
36	0	36	50	43620760	5452595	43620760	13913986197962208179
37	0	37	10	61173	7647	61176	2343580737670384361
38	0	38	26	2936011	367002	2936016	7562070366073507192
39	0	39	11	65538	8193	65544	4497444265803691637
40	0	40	0	34956	4370	34960	16038935736074093487
41	0	41	14	70999	8875	71000	14929428434640877633
42	0	42	2	43692	5462	43696	4086496464615355111
43	0	43	46	33554435	4194305	33554440	11776519991211573634
44	0	44	17	1677721	209716	1677728	12904220266631940808
45	0	45	44	31317473	3914685	31317480	11185048784403168413
46	0	46	47	34952540	4369068	34952544	13849004062503886874
47	0	47	18	1887436	235930	1887440	16232538469496053910
48	0	48	6	52434	6555	52440	15979999507515246546
49	0	49	54	55924060	6990508	55924064	3861516180452216795
50	0	50	53	53687090	6710887	53687096	3412222920379924979
51	0	51	21	2306866	288359	2306872	8314200734806002150
52	0	52	7	54615	6827	54616	1703645676218860908
53	0	53	49	40265317	5033165	40265320	12970241706690243634
54	0	54	45	33554431	4194304	33554432	10008295750639690952
55	1	0	52	50331646	6291456	50331648	15233305087657705303
56	1	1	6	52434	6555	52440	13802386351327231669
57	1	2	24	2726296	340787	2726296	9177820816851369818
58	1	3	49	40265317	5033165	40265320	17539446789078670697
59	1	4	10	61173	7647	61176	631969382027341402
60	1	5	26	2936011	367002	2936016	6297841493910136974
61	1	6	54	55924060	6990508	55924064	8752676263637876816
62	1	7	43	30198988	3774874	30198992	2050513861978132160
63	1	8	37	20132661	2516583	20132664	12492896331811627198
64	1	9	13	68270	8534	68272	11387975842171819992
65	1	10	19	2097151	262144	2097152	16265677442281898313
66	1	11	45	33554431	4194304	33554432	9281666535631984689
67	1	12	46	33554435	4194305	33554440	4130798107873628948
68	1	13	23	2516586	314574	2516592	9045213027759572164
69	1	14	39	24606586	3075824	24606592	15164665653727325694
70	1	15	25	2796207	349526	2796208	5047105640194517063
71	1	16	47	34952540	4369068	34952544	10783967620022620021
72	1	17	22	2516581	314573	2516584	2085019270077940670
73	1	18	44	31317473	3914685	31317480	3132572600878414124
74	1	19	3	43695	5462	43696	681741202895972874
75	1	20	29	3355442	419431	3355448	8154179332110328533
76	1	21	41	26843548	3355444	26843552	2270353016416648364
77	1	22	18	1887436	235930	1887440	13482855088051859328
78	1	23	12	65542	8193	65544	932918043973223930
79	1	24	28	3145726	393216	3145728	4391450398345304986
80	1	25	0	34956	4370	34960	4104078040509144279
81	1	26	48	36909874	4613735	36909880	2600646183559912246
82	1	27	20	2236966	279621	2236968	11573739170109356058
83	1	28	5	49153	6145	49160	2316776570504595983
84	1	29	42	29080510	3635064	29080512	10092863187355606693
85	1	30	32	3635069	454384	3635072	4275617426238695966
86	1	31	4	48064	6008	48064	17961719287260915519
87	1	32	27	3075828	384479	3075832	17551375191840152543
88	1	33	1	39325	4916	39328	1597979334784745658
89	1	34	53	53687090	6710887	53687096	13093796004285968913
90	1	35	35	4369070	546134	4369072	7933221297890300535
91	1	36	15	76461	9558	76464	777850818395877022
92	1	37	38	22369623	2796203	22369624	9749191893254586887
93	1	38	7	54615	6827	54616	11867333032517539087
94	1	39	40	26843545	3355444	26843552	4800738113117872498
95	1	40	51	46976203	5872026	46976208	15210229598565710981
96	1	41	33	3914690	489337	3914696	482361683923011081
97	1	42	11	65538	8193	65544	14606367604386654764
98	1	43	34	4194311	524289	4194312	10628668773979676178
99	1	44	8	56803	7101	56808	6324724115844782195
100	1	45	14	70999	8875	71000	13448113556861776609
101	1	46	2	43692	5462	43696	8586168063249901989
102	1	47	30	3355449	419432	3355456	7195947492411668963
103	1	48	21	2306866	288359	2306872	10761060236031864219
104	1	49	17	1677721	209716	1677728	2573196548727365128
105	1	50	31	3495260	436908	3495264	136480434367421577
106	1	51	36	17895699	2236963	17895704	2427312182567684089
107	1	52	9	60076	7510	60080	12695053580258286732
108	1	53	50	43620760	5452595	43620760	12994870799994992572
109	1	54	16	81920	10240	81920	10681995299238184056
data_end
