ece592_inclusion_plan_version=1
generator=SplitMix64+Fisher-Yates
sweep=probe working set by pressure working set
probe_node_counts=257,4099,32771
pressure_node_counts=4099,32771,262147,2097153
node_spacing_bytes=8
probe_accesses_per_sample=64
pressure_accesses_per_sample=512
unique_probe_node_count_count=3
unique_pressure_node_count_count=4
trial_count=2
plan_seed=8592
plan_row_count=24
data_begin
global_execution_index	trial	trial_execution_index	plot_index	probe_node_count	pressure_node_count	node_spacing_bytes	probe_accesses_per_sample	pressure_accesses_per_sample	point_seed
0	0	0	0	257	4099	8	64	512	6209036937734733196
1	0	1	10	32771	262147	8	64	512	11729016460398725562
2	0	2	4	4099	4099	8	64	512	1245348093314155979
3	0	3	3	257	2097153	8	64	512	9785617048668618220
4	0	4	2	257	262147	8	64	512	1845194476154667146
5	0	5	11	32771	2097153	8	64	512	18183550585889591159
6	0	6	8	32771	4099	8	64	512	2947002965957343260
7	0	7	7	4099	2097153	8	64	512	18253417876618353016
8	0	8	1	257	32771	8	64	512	10708898349977284113
9	0	9	9	32771	32771	8	64	512	2813203331091206831
10	0	10	5	4099	32771	8	64	512	11102942889605269957
11	0	11	6	4099	262147	8	64	512	10938520891692901759
12	1	0	9	32771	32771	8	64	512	6055784133803501779
13	1	1	8	32771	4099	8	64	512	203076091024133032
14	1	2	1	257	32771	8	64	512	12955006490894438607
15	1	3	11	32771	2097153	8	64	512	16965910724877187890
16	1	4	0	257	4099	8	64	512	12193342830009967000
17	1	5	10	32771	262147	8	64	512	16805557672376865197
18	1	6	6	4099	262147	8	64	512	15672352701602301625
19	1	7	5	4099	32771	8	64	512	3478745730338475142
20	1	8	7	4099	2097153	8	64	512	17273043612261890414
21	1	9	4	4099	4099	8	64	512	14591796644900211756
22	1	10	2	257	262147	8	64	512	9121178242298845252
23	1	11	3	257	2097153	8	64	512	7411896660761140455
data_end
