ece592_spatial_plan_version=1
generator=SplitMix64+Fisher-Yates
offset_generation=explicit user-provided offsets
region_count=257
region_spacing_bytes=4096
probe_offsets_bytes=8,16,24,32,40,48,56,64,72,80,96,112,120,128,136,144,160,192,224,248,256,264,288,320,384,512
unique_offset_count=26
trial_count=2
plan_seed=9592
plan_row_count=52
data_begin
global_execution_index	trial	trial_execution_index	plot_index	region_count	region_spacing_bytes	probe_offset_bytes	point_seed
0	0	0	21	257	4096	264	993508148880023021
1	0	1	25	257	4096	512	11909645308312972426
2	0	2	3	257	4096	32	16656253640081317476
3	0	3	20	257	4096	256	10939210814912317030
4	0	4	23	257	4096	320	11568601250220996497
5	0	5	0	257	4096	8	1113103581863551406
6	0	6	2	257	4096	24	6541955832032981640
7	0	7	13	257	4096	128	17569154113443242585
8	0	8	14	257	4096	136	15261395881927841118
9	0	9	10	257	4096	96	10360865277774760922
10	0	10	22	257	4096	288	12281976364567914423
11	0	11	15	257	4096	144	13753569424369674087
12	0	12	19	257	4096	248	17663390331089204854
13	0	13	16	257	4096	160	13364514171442609607
14	0	14	24	257	4096	384	17170034150254754370
15	0	15	18	257	4096	224	10827777838260806528
16	0	16	4	257	4096	40	12692540725888733637
17	0	17	5	257	4096	48	11658131024727638964
18	0	18	17	257	4096	192	14270858244002369570
19	0	19	9	257	4096	80	6510602006941417833
20	0	20	12	257	4096	120	15689855014209019568
21	0	21	8	257	4096	72	2016194866052890383
22	0	22	6	257	4096	56	7152307774352233392
23	0	23	1	257	4096	16	16502330450163943119
24	0	24	11	257	4096	112	6881061173339999766
25	0	25	7	257	4096	64	5620961553905904054
26	1	0	2	257	4096	24	7473363471878302040
27	1	1	4	257	4096	40	6313798740194776097
28	1	2	13	257	4096	128	508552188874772893
29	1	3	5	257	4096	48	12950708861194873356
30	1	4	21	257	4096	264	13297450169982473960
31	1	5	22	257	4096	288	14832368330622432341
32	1	6	10	257	4096	96	1092315280442950835
33	1	7	18	257	4096	224	10310839721736541194
34	1	8	1	257	4096	16	8053835757165351835
35	1	9	11	257	4096	112	15507158122408328258
36	1	10	17	257	4096	192	17674631230246255932
37	1	11	9	257	4096	80	9348662220117651876
38	1	12	3	257	4096	32	5924455626941779908
39	1	13	6	257	4096	56	17694970194330754642
40	1	14	19	257	4096	248	13359423732217302275
41	1	15	0	257	4096	8	2584756427294997399
42	1	16	24	257	4096	384	15052615088280153130
43	1	17	8	257	4096	72	301882994404119133
44	1	18	20	257	4096	256	17856445547060192226
45	1	19	16	257	4096	160	1614287628978135656
46	1	20	25	257	4096	512	9043565763167847838
47	1	21	23	257	4096	320	5682901373526139957
48	1	22	12	257	4096	120	2888668685062103335
49	1	23	14	257	4096	136	4367237613322457442
50	1	24	7	257	4096	64	13406938182702747101
51	1	25	15	257	4096	144	7918416937079764631
data_end
