ece592_conflict_plan_version=1
generator=SplitMix64+Fisher-Yates
sweep=conflict line count by conflict stride
line_counts=2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
conflict_stride_bytes_values=4096,8192,16384,32768,65536
unique_line_count_count=23
unique_conflict_stride_count=5
trial_count=2
plan_seed=40595
plan_row_count=230
data_begin
global_execution_index	trial	trial_execution_index	plot_index	conflict_line_count	conflict_stride_bytes	point_seed
0	0	0	95	5	65536	3704639228538263257
1	0	1	109	19	65536	10753820525941062229
2	0	2	11	13	4096	14297701331675680133
3	0	3	94	4	65536	3152725386177549314
4	0	4	2	4	4096	17048650849521519960
5	0	5	36	15	8192	14148283613758367255
6	0	6	27	6	8192	16781095366971951546
7	0	7	106	16	65536	9156782264823802207
8	0	8	23	2	8192	9801915044693383785
9	0	9	16	18	4096	9653907347298387789
10	0	10	51	7	16384	17288270854047705459
11	0	11	65	21	16384	15276346347380584338
12	0	12	50	6	16384	1706572399015069922
13	0	13	61	17	16384	13959886605027815849
14	0	14	45	24	8192	7745322566411143919
15	0	15	40	19	8192	13813642911210104921
16	0	16	75	8	32768	4467758158996921765
17	0	17	59	15	16384	17815761758533989404
18	0	18	52	8	16384	7558761315007989806
19	0	19	110	20	65536	15250158340625509982
20	0	20	114	24	65536	5826851186420600313
21	0	21	35	14	8192	359784464301716703
22	0	22	67	23	16384	2675416482577214492
23	0	23	6	8	4096	12895979059930264597
24	0	24	9	11	4096	10508826419062437290
25	0	25	34	13	8192	11813979804749738069
26	0	26	22	24	4096	2840215454130221782
27	0	27	37	16	8192	13076896902564606444
28	0	28	62	18	16384	15500914509038615488
29	0	29	26	5	8192	11203135045301324847
30	0	30	80	13	32768	1583517070148882624
31	0	31	88	21	32768	11947822604169090432
32	0	32	72	5	32768	803142371991121788
33	0	33	1	3	4096	2234899713619864176
34	0	34	68	24	16384	15187541178375034209
35	0	35	64	20	16384	7654024033049622574
36	0	36	41	20	8192	15519695390867158322
37	0	37	107	17	65536	11792198387873301400
38	0	38	55	11	16384	10946786197775410390
39	0	39	98	8	65536	14049699428536319478
40	0	40	90	23	32768	15562541941053064743
41	0	41	76	9	32768	10051896368339594651
42	0	42	20	22	4096	3362568147411204433
43	0	43	77	10	32768	11277182790157626682
44	0	44	93	3	65536	407917167377496448
45	0	45	8	10	4096	10653337033355383829
46	0	46	32	11	8192	11719867677280069687
