ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=integer subdivisions within factor-of-two ranges
min_bytes=512
max_bytes=268435456
points_per_octave=3
trial_count=2
plan_seed=40592
node_spacing_bytes=8
node_bytes=8
unique_size_count=58
plan_row_count=116
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	24	131072	16384	131072	1454145794528067380
1	0	1	22	87381	10923	87384	14924547263467996691
2	0	2	6	2048	256	2048	10863395857383684277
3	0	3	53	111848106	13981014	111848112	17972688335942979578
4	0	4	26	218453	27307	218456	16818778654539637283
5	0	5	54	134217728	16777216	134217728	13736142746589205012
6	0	6	48	33554432	4194304	33554432	12962141720285642374
7	0	7	21	65536	8192	65536	10672445340604723545
8	0	8	4	1365	171	1368	12931253402435284913
9	0	9	7	2730	342	2736	2291066666192625236
10	0	10	15	16384	2048	16384	16850820250394607905
11	0	11	44	13981013	1747627	13981016	1267259345699259605
12	0	12	29	436906	54614	436912	18224480705272530994
13	0	13	9	4096	512	4096	12280875927868537966
14	0	14	17	27306	3414	27312	11003657206785559754
15	0	15	28	349525	43691	349528	10828087034690924640
16	0	16	42	8388608	1048576	8388608	16486547574321927979
17	0	17	45	16777216	2097152	16777216	12066163969605324345
18	0	18	51	67108864	8388608	67108864	6620784031045818220
19	0	19	11	6826	854	6832	3135582239117072698
20	0	20	25	174762	21846	174768	131513555762070950
21	0	21	37	2796202	349526	2796208	17728235950092259913
22	0	22	43	11184810	1398102	11184816	3038510382353054628
23	0	23	10	5461	683	5464	3220393585864685414
24	0	24	16	21845	2731	21848	13490012299628483035
25	0	25	14	13653	1707	13656	15024337384607070436
26	0	26	40	5592405	699051	5592408	2599060741406872246
27	0	27	32	873813	109227	873816	16235240040629651264
28	0	28	31	699050	87382	699056	3299744193727103908
29	0	29	19	43690	5462	43696	2332202249493148403
30	0	30	13	10922	1366	10928	16156344387961724454
31	0	31	12	8192	1024	8192	5360089017386172631
32	0	32	57	268435456	33554432	268435456	5414219944338356603
33	0	33	46	22369621	2796203	22369624	11623119927992840948
34	0	34	3	1024	128	1024	14759544876596338037
35	0	35	23	109226	13654	109232	13374911791032915670
36	0	36	1	682	86	688	5916274684182286670
37	0	37	5	1706	214	1712	12726292935830782179
38	0	38	0	512	64	512	4722336415531587173
39	0	39	41	6990506	873814	6990512	1178876918319324183
40	0	40	52	89478485	11184811	89478488	12563558261622227518
41	0	41	34	1398101	174763	1398104	4246798241464033646
42	0	42	33	1048576	131072	1048576	1014550315325975899
43	0	43	36	2097152	262144	2097152	3419677093006447457
44	0	44	38	3495253	436907	3495256	5860672460224186838
45	0	45	18	32768	4096	32768	17271706225777123059
46	0	46	20	54613	6827	54616	3814425906795665497
47	0	47	27	262144	32768	262144	5771527279930129997
48	0	48	56	223696213	27962027	223696216	5378180085227107276
49	0	49	35	1747626	218454	1747632	18040552844393845079
50	0	50	50	55924053	6990507	55924056	11899998354879624502
51	0	51	8	3413	427	3416	246771828413638871
52	0	52	49	44739242	5592406	44739248	8022654630658915820
53	0	53	55	178956970	22369622	178956976	2009473431721069142
54	0	54	47	27962026	3495254	27962032	2783226127564003743
55	0	55	30	524288	65536	524288	17704134114716172134
56	0	56	39	4194304	524288	4194304	11208497405489990323
57	0	57	2	853	107	856	11607705715722347991
58	1	0	26	218453	27307	218456	13173328275477211940
59	1	1	12	8192	1024	8192	10683270871863408028
60	1	2	45	16777216	2097152	16777216	13130506596993372457
61	1	3	38	3495253	436907	3495256	1275224872736987177
62	1	4	40	5592405	699051	5592408	3221585229258085793
63	1	5	5	1706	214	1712	3093357297864748357
64	1	6	9	4096	512	4096	13093860111676951437
65	1	7	35	1747626	218454	1747632	12849308102547482302
66	1	8	15	16384	2048	16384	14634818977048345772
67	1	9	42	8388608	1048576	8388608	16791354008906531383
68	1	10	47	27962026	3495254	27962032	12695461732026206663
69	1	11	6	2048	256	2048	14078171960765370551
70	1	12	36	2097152	262144	2097152	3876286752155725070
71	1	13	54	134217728	16777216	134217728	17424366977268049643
72	1	14	20	54613	6827	54616	15029815170303292087
73	1	15	8	3413	427	3416	9499955177636658249
74	1	16	3	1024	128	1024	7413892394260497682
75	1	17	51	67108864	8388608	67108864	2178621883702518901
76	1	18	31	699050	87382	699056	7142985935632574775
77	1	19	1	682	86	688	8205891503116949215
78	1	20	48	33554432	4194304	33554432	16636807171634470585
79	1	21	19	43690	5462	43696	12025862003087450215
80	1	22	24	131072	16384	131072	18197560943776909663
81	1	23	50	55924053	6990507	55924056	2165981870723966935
82	1	24	28	349525	43691	349528	8621183569974211409
83	1	25	30	524288	65536	524288	5534982654577798921
84	1	26	39	4194304	524288	4194304	18362307443673379946
85	1	27	55	178956970	22369622	178956976	12673284562733840397
86	1	28	34	1398101	174763	1398104	7221342289952237055
87	1	29	32	873813	109227	873816	5590852989199146096
88	1	30	53	111848106	13981014	111848112	14281266732861551027
89	1	31	44	13981013	1747627	13981016	7071842914930400168
90	1	32	11	6826	854	6832	10132000828671728101
91	1	33	43	11184810	1398102	11184816	12456734216708852639
92	1	34	7	2730	342	2736	17724648014227865114
93	1	35	4	1365	171	1368	3687284412047657559
94	1	36	56	223696213	27962027	223696216	16730904896067202011
95	1	37	22	87381	10923	87384	15424705684762068803
96	1	38	25	174762	21846	174768	7247075713003089665
97	1	39	17	27306	3414	27312	12756374563781545922
98	1	40	2	853	107	856	8618215567569102779
99	1	41	18	32768	4096	32768	16961353264603564836
100	1	42	0	512	64	512	5624061237996771190
101	1	43	29	436906	54614	436912	12016606976620349268
102	1	44	57	268435456	33554432	268435456	12502770965497395794
103	1	45	49	44739242	5592406	44739248	14794575412657717132
104	1	46	14	13653	1707	13656	994799183021830982
105	1	47	27	262144	32768	262144	4937791855740294152
106	1	48	13	10922	1366	10928	13532734167855568855
107	1	49	37	2796202	349526	2796208	2862439164107414604
108	1	50	16	21845	2731	21848	2672709004222920671
109	1	51	21	65536	8192	65536	14143849526698039513
110	1	52	46	22369621	2796203	22369624	9467613802790768237
111	1	53	52	89478485	11184811	89478488	4918348092899397240
112	1	54	10	5461	683	5464	3722505132166219458
113	1	55	33	1048576	131072	1048576	2625842143839810601
114	1	56	41	6990506	873814	6990512	18228469655785928089
115	1	57	23	109226	13654	109232	266067169641132883
data_end
