ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=union of padded coarse transition windows
source_transition_file=/home/rrsood/ECE592_HW1/data_processed/charnwood/capacity/phase1_capacity_coarse_transition_candidates_v1.tsv
source_transition_sha256=94020d7df894021bb51fd7ca691a87e8079cccfd2aa34eab064d5b5d7b49a4aa
selected_top_k=6
selected_transition_ranks=1,2,3,4,5,6
padding_factor=5/4
min_bytes=279622
max_bytes=20971520
points_per_octave=8
trial_count=2
plan_seed=40593
node_spacing_bytes=8
node_bytes=8
unique_size_count=53
plan_row_count=106
candidate_rank_1_window=4473926..8738140_slope=1.9346127340595123_trial_disagreement=0.10762734230667723
candidate_rank_2_window=5592409..10485760_slope=1.4500381904673707_trial_disagreement=0.10762734230667723
candidate_rank_3_window=6710886..13981020_slope=1.3417158077953537_trial_disagreement=0.021962881919118243
candidate_rank_4_window=8947852..17476270_slope=1.1648420533494916_trial_disagreement=0.010990827204363276
candidate_rank_5_window=11184812..20971520_slope=1.0139829254995014_trial_disagreement=0.0078803712908090649
candidate_rank_6_window=279622..546140_slope=0.93233037228950177_trial_disagreement=0.042399865929277691
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	9	4473926	559241	4473928	14939546412839977359
1	0	1	18	7270129	908767	7270136	4455410452814735802
2	0	2	46	15658741	1957343	15658744	7480589110563937372
3	0	3	6	489338	61168	489344	12622431089541863240
4	0	4	29	9786715	1223340	9786720	2289421067306622235
5	0	5	25	8738140	1092268	8738144	8223519946394527012
6	0	6	31	10066333	1258292	10066336	18185419847964405205
7	0	7	28	9227468	1153434	9227472	16831181392696884838
8	0	8	49	17476270	2184534	17476272	4081299092263124285
9	0	9	34	11184812	1398102	11184816	16544883725650361051
10	0	10	36	11744050	1468007	11744056	7698584196496991974
11	0	11	10	5033166	629146	5033168	11930620587979712359
12	0	12	42	13981015	1747627	13981016	15936904446305305889
13	0	13	15	6710886	838861	6710888	4757807696896628637
14	0	14	39	12582913	1572865	12582920	15173093946942981492
15	0	15	0	279622	34953	279624	6572216475435930303
16	0	16	52	20971520	2621440	20971520	12282905355902417822
17	0	17	11	5592407	699051	5592408	6960163771766708716
18	0	18	8	546140	68268	546144	604611476668521973
19	0	19	32	10485760	1310720	10485760	10588973473577768249
20	0	20	48	16777222	2097153	16777224	1554913145076030245
21	0	21	23	8388611	1048577	8388616	14011610580425048779
22	0	22	51	19573421	2446678	19573424	11951547052159316972
23	0	23	12	5592409	699052	5592416	7582539285354873082
24	0	24	21	7829370	978672	7829376	15468329812108337511
25	0	25	30	10066329	1258292	10066336	17889080807964073315
26	0	26	26	8947852	1118482	8947856	11830715054691489205
27	0	27	50	18175319	2271915	18175320	6276044582375579463
28	0	28	47	16777218	2097153	16777224	3306336366912823545
29	0	29	37	12303296	1537912	12303296	13475562486427251306
30	0	30	43	13981020	1747628	13981024	17274792700153993350
31	0	31	13	6151648	768956	6151648	12897096232170867858
32	0	32	20	7689562	961196	7689568	3156606570370710374
33	0	33	4	419433	52430	419440	17296275236757224701
34	0	34	38	12582911	1572864	12582912	1738060722845417599
35	0	35	33	10905189	1363149	10905192	13107988065790028614
36	0	36	14	6291460	786433	6291464	14485242219527750289
37	0	37	7	524291	65537	524296	16315259271811101466
38	0	38	3	384480	48060	384480	9428538972623344391
39	0	39	17	6990511	873814	6990512	14006850894476499794
40	0	40	16	6710889	838862	6710896	15569300018746982253
41	0	41	45	15379116	1922390	15379120	15694500884983065679
42	0	42	24	8388613	1048577	8388616	1457471455958164184
43	0	43	22	8388607	1048576	8388608	11905480156812238900
44	0	44	40	13421772	1677722	13421776	4502305646519372631
45	0	45	5	454385	56799	454392	1540796354550653952
46	0	46	2	349527	43691	349528	11455900424920588736
47	0	47	27	9087664	1135958	9087664	16955472728464359035
48	0	48	19	7549746	943719	7549752	14532914074677646114
49	0	49	1	314574	39322	314576	8189389554424156943
50	0	50	35	11184815	1398102	11184816	3338448523668321327
51	0	51	41	13421778	1677723	13421784	15315330641845698714
