machine,working_set_bytes,footprint_bytes,node_spacing_bytes,traversal_order,N_per_batch,unit,n_samples,median,mean,sd,q1,q3,iqr,p5,p95,min,max,n_outliers,outlier_fraction,num_nodes,warmup_steps,warmup_laps,seed,migrated_excluded,logical_cpu,source_raw_file
charnwood,4096,4096,64,randomized,1000,TSC_ticks_per_access,1000000,15.966,31.962778819999997,407.9559908724633,15.91,15.994,0.08399999999999963,15.11,16.114,12.452,20576.172,296264,0.296264,64,10000,156.250,20260904,0,6,capacity_ws4096_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,5760,5760,64,randomized,1000,TSC_ticks_per_access,1000000,11.066,22.637810534000003,345.2385460940619,11.05,11.086,0.03599999999999959,11.028,11.71,10.602,30728.144,147478,0.147478,90,10000,111.111,20260904,0,6,capacity_ws5760_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,8192,8192,64,randomized,1000,TSC_ticks_per_access,1000000,11.064,22.353846864,341.60991561712535,11.048,11.082,0.034000000000000696,11.028,11.286,10.61,20512.828,112112,0.112112,128,10000,78.125,20260904,0,6,capacity_ws8192_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,11584,11584,64,randomized,1000,TSC_ticks_per_access,1000000,11.064,22.41536715400001,342.5324598432908,11.048,11.084,0.03599999999999959,11.028,11.316,10.33,20520.51,138085,0.138085,181,10000,55.249,20260904,0,6,capacity_ws11584_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,16384,16384,64,randomized,1000,TSC_ticks_per_access,1000000,11.064,22.41950996,342.96918325193064,11.05,11.086,0.03599999999999959,11.028,11.314,10.488,20519.344,152124,0.152124,256,10000,39.062,20260904,0,6,capacity_ws16384_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,23168,23168,64,randomized,1000,TSC_ticks_per_access,1000000,11.16,22.760667534000007,344.97446967690536,11.062,11.296,0.23399999999999999,11.034,11.568,10.602,20541.45,44305,0.044305,362,10000,27.624,20260904,0,6,capacity_ws23168_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,32768,32768,64,randomized,1000,TSC_ticks_per_access,1000000,11.622,23.685021709999994,352.67440436256175,11.536,11.666,0.13000000000000078,11.358,11.932,10.872,30828.674,120671,0.120671,512,10000,19.531,20260904,0,6,capacity_ws32768_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,46336,46336,64,randomized,1000,TSC_ticks_per_access,1000000,20.888,43.301694541999986,475.73429527708873,20.526,22.244,1.718,20.366,22.786,19.664,20602.208,14728,0.014728,724,10000,13.812,20260904,0,6,capacity_ws46336_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,65536,65536,64,randomized,1000,TSC_ticks_per_access,1000000,20.616,42.84166560999998,473.47495017590717,20.532,20.94,0.40800000000000125,19.834,23.976,18.692,20592.332,260725,0.260725,1024,10000,9.766,20260904,0,6,capacity_ws65536_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,92672,92672,64,randomized,1000,TSC_ticks_per_access,1000000,29.744,60.56956942800001,562.7064270079302,29.646,29.934,0.28800000000000026,28.17,30.51,19.766,20628.042,179157,0.179157,1448,10000,6.906,20260904,0,6,capacity_ws92672_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,131072,131072,64,randomized,1000,TSC_ticks_per_access,1000000,20.626,42.302012200000036,469.7992636527616,20.556,20.798,0.24199999999999733,20.498,21.28,19.654,20602.218,65139,0.065139,2048,10000,4.883,20260904,0,6,capacity_ws131072_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,185344,185344,64,randomized,1000,TSC_ticks_per_access,1000000,43.042,86.660073172,671.1820857169245,42.466,43.562,1.0959999999999965,37.746,45.576,26.602,20598.938,162716,0.162716,2896,10000,3.453,20260904,0,6,capacity_ws185344_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,262144,262144,64,randomized,1000,TSC_ticks_per_access,1000000,26.796,56.901643922000005,544.3556152978263,26.346,28.262,1.9160000000000004,25.902,35.15,23.938,20647.93,82995,0.082995,4096,10000,2.441,20260904,0,6,capacity_ws262144_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,370688,370688,64,randomized,1000,TSC_ticks_per_access,1000000,59.644,121.61358539000007,793.009357847284,58.7,60.676,1.975999999999999,56.32,66.378,39.488,20679.416,98925,0.098925,5792,10000,1.727,20260904,0,6,capacity_ws370688_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,524288,524288,64,randomized,1000,TSC_ticks_per_access,1000000,49.968,102.94093771799999,730.1316082852327,49.52,50.532,1.0119999999999933,48.92,59.438,46.036,20651.218,111547,0.111547,8192,10000,1.221,20260904,0,6,capacity_ws524288_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,741440,741440,64,randomized,1000,TSC_ticks_per_access,1000000,83.286,153.26712642400003,889.9623680432795,56.028,84.324,28.296,54.166,91.448,53.03,27488.91,8814,0.008814,11585,11585,1.000,20260904,0,6,capacity_ws741440_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,1048576,1048576,64,randomized,1000,TSC_ticks_per_access,1000000,83.642,168.39614159400003,931.2648057699024,82.746,84.436,1.690000000000012,78.758,88.948,56.352,20701.552,200255,0.200255,16384,16384,1.000,20260904,0,6,capacity_ws1048576_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,1482880,1482880,64,randomized,1000,TSC_ticks_per_access,1000000,86.692,175.3131152599999,949.8315498177224,85.97,87.49,1.519999999999996,81.97,94.242,58.458,20752.596,182560,0.18256,23170,23170,1.000,20260904,0,6,capacity_ws1482880_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,2097152,2097152,64,randomized,1000,TSC_ticks_per_access,1000000,93.922,230.659920904,1092.6294412525685,88.818,102.812,13.994,87.282,259.83009999999985,59.812,20663.48,183218,0.183218,32768,32768,1.000,20260904,0,6,capacity_ws2097152_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,2965760,2965760,64,randomized,1000,TSC_ticks_per_access,1000000,119.014,256.431477436,1148.6529002795203,101.49,141.574,40.08400000000002,95.5879,213.33219999999972,61.152,20780.666,62144,0.062144,46340,46340,1.000,20260904,0,6,capacity_ws2965760_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,4194304,4194304,64,randomized,1000,TSC_ticks_per_access,1000000,280.518,557.0446514679999,1677.525419603342,258.22,297.05,38.829999999999984,236.54,320.26,144.076,20839.624,28414,0.028414,65536,65536,1.000,20260904,0,6,capacity_ws4194304_sp64_rand_charnwood_20260910-161412.csv.gz
charnwood,5931584,5931584,64,randomized,1000,TSC_ticks_per_access,1000000,302.018,604.8895425339999,1744.2544835585675,290.704,310.054,19.349999999999966,279.196,331.91,216.804,20847.69,35907,0.035907,92681,92681,1.000,20260904,0,6,capacity_ws5931584_sp64_rand_charnwood_20260910-161412.csv.gz
