ece592_spatial_plan_version=1
generator=SplitMix64+Fisher-Yates
offset_generation=explicit user-provided offsets
region_count=257
region_spacing_bytes=4096
probe_offsets_bytes=8,16,24,32,40,48,56,64,72,80,96,112,120,128,136,144,160,192,224,248,256,264,288,320,384,512
unique_offset_count=26
trial_count=2
plan_seed=40594
plan_row_count=52
data_begin
global_execution_index	trial	trial_execution_index	plot_index	region_count	region_spacing_bytes	probe_offset_bytes	point_seed
0	0	0	20	257	4096	256	6679486604779584657
1	0	1	4	257	4096	40	5651394404907489220
2	0	2	15	257	4096	144	7462726616691561980
3	0	3	5	257	4096	48	16239652665361108859
4	0	4	25	257	4096	512	5724315132436234785
5	0	5	6	257	4096	56	6416675101878010654
6	0	6	13	257	4096	128	8632735485246347286
7	0	7	19	257	4096	248	11948382243570272834
8	0	8	8	257	4096	72	7947409035115723476
9	0	9	9	257	4096	80	11827717031267772144
10	0	10	21	257	4096	264	15831523715238420520
11	0	11	12	257	4096	120	507215269580892051
12	0	12	3	257	4096	32	3728562839720824895
13	0	13	10	257	4096	96	14390336857232627645
14	0	14	18	257	4096	224	9416458151915398740
15	0	15	14	257	4096	136	8543180597428832908
16	0	16	11	257	4096	112	16650074365349191103
17	0	17	17	257	4096	192	9917113619716723272
18	0	18	22	257	4096	288	5543584726900199068
19	0	19	24	257	4096	384	8138942621545177762
20	0	20	0	257	4096	8	9560577725564282692
21	0	21	23	257	4096	320	6408767227299019253
22	0	22	7	257	4096	64	6935287977232574214
23	0	23	16	257	4096	160	466692993857270855
24	0	24	1	257	4096	16	13660714735252037485
25	0	25	2	257	4096	24	11743600658341999120
26	1	0	9	257	4096	80	7517865162691429359
27	1	1	4	257	4096	40	4739545469645406999
28	1	2	21	257	4096	264	17854873335604577810
29	1	3	1	257	4096	16	15385526121074837268
30	1	4	12	257	4096	120	8511105414524948981
31	1	5	10	257	4096	96	8389353106671394495
32	1	6	19	257	4096	248	2610689808494896053
33	1	7	25	257	4096	512	10029167360158580745
34	1	8	15	257	4096	144	950080576549150175
35	1	9	18	257	4096	224	12125965663364957712
36	1	10	13	257	4096	128	7743291479840223845
37	1	11	17	257	4096	192	7190608987108173209
38	1	12	6	257	4096	56	6178950709941521883
39	1	13	24	257	4096	384	3916916386582191070
40	1	14	22	257	4096	288	10520770855613511146
41	1	15	20	257	4096	256	3547807928345481857
42	1	16	11	257	4096	112	14244575534053118166
43	1	17	14	257	4096	136	9757593217512728106
44	1	18	5	257	4096	48	17496508963896388482
45	1	19	8	257	4096	72	15506038360321223354
46	1	20	3	257	4096	32	11658315362144922743
47	1	21	23	257	4096	320	6172904057712099373
48	1	22	2	257	4096	24	2912581458704371728
49	1	23	16	257	4096	160	12013852734832675579
50	1	24	7	257	4096	64	100542811376947936
51	1	25	0	257	4096	8	17180555818927801374
data_end
