ece592_conflict_plan_version=1
generator=SplitMix64+Fisher-Yates
sweep=conflict line count by conflict stride
line_counts=2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
conflict_stride_bytes_values=4096,8192,16384,32768,65536
unique_line_count_count=23
unique_conflict_stride_count=5
trial_count=2
plan_seed=16592
plan_row_count=230
data_begin
global_execution_index	trial	trial_execution_index	plot_index	conflict_line_count	conflict_stride_bytes	point_seed
0	0	0	96	6	65536	11012537846419337166
1	0	1	29	8	8192	8154780305397383860
2	0	2	38	17	8192	9636782342598703090
3	0	3	83	16	32768	12873159844455211645
4	0	4	43	22	8192	10622134467859989590
5	0	5	89	22	32768	579791183964663807
6	0	6	28	7	8192	3564761909487767523
7	0	7	79	12	32768	895717098279326855
8	0	8	58	14	16384	17196678417404932433
9	0	9	71	4	32768	4050466502039267195
10	0	10	17	19	4096	4249755775121649030
11	0	11	73	6	32768	13799408518536728244
12	0	12	114	24	65536	9541096752737363339
13	0	13	23	2	8192	4490356670098335935
14	0	14	65	21	16384	16545325502589145511
15	0	15	112	22	65536	1955047157664138286
16	0	16	59	15	16384	3256304409063301579
17	0	17	40	19	8192	3556474962173320221
18	0	18	77	10	32768	17061149636715632196
19	0	19	19	21	4096	2674100013053438182
20	0	20	64	20	16384	2183404229300926082
21	0	21	0	2	4096	16284249521614502128
22	0	22	101	11	65536	11353925060119566495
23	0	23	66	22	16384	7284491068298822618
24	0	24	60	16	16384	12193195832851525423
25	0	25	109	19	65536	13902087021841300775
26	0	26	42	21	8192	11708400614839313732
27	0	27	46	2	16384	15715108447445019700
28	0	28	67	23	16384	15092414186289672675
29	0	29	1	3	4096	12635890108329363937
30	0	30	2	4	4096	13050648873777737042
31	0	31	32	11	8192	657657403647841778
32	0	32	99	9	65536	8409651505592107852
33	0	33	70	3	32768	8761786282764037948
34	0	34	61	17	16384	18305810121940549102
35	0	35	81	14	32768	12485188102734772541
36	0	36	48	4	16384	3965405315697646116
37	0	37	31	10	8192	16834530264198587476
38	0	38	8	10	4096	12451693338901623182
39	0	39	72	5	32768	13083146565025750678
40	0	40	95	5	65536	12477372641793824569
41	0	41	91	24	32768	7575081092369906055
42	0	42	104	14	65536	16718782136519543261
43	0	43	51	7	16384	7828809499760221456
44	0	44	16	18	4096	3223999473608983693
45	0	45	18	20	4096	12144618302618776229
46	0	46	106	16	65536	7662327404981151387
47	0	47	97	7	65536	7761002365637388727
48	0	48	94	4	65536	1714772450587567521
49	0	49	39	18	8192	5612824648013583744
50	0	50	88	21	32768	12843470320302157657
51	0	51	20	22	4096	12774153303399456275
52	0	52	100	10	65536	5404721480750633162
53	0	53	41	20	8192	8330728213572386750
54	0	54	25	4	8192	12480419813086546283
55	0	55	87	20	32768	9860552382139365256
56	0	56	74	7	32768	14442694568437343203
57	0	57	55	11	16384	11095784463565842004
58	0	58	53	9	16384	1346722915408041568
59	0	59	52	8	16384	18321608394389472595
60	0	60	11	13	4096	11917415352005196847
61	0	61	56	12	16384	6546840326314682145
62	0	62	10	12	4096	16476465002260392725
63	0	63	103	13	65536	5000494947719009976
64	0	64	47	3	16384	6026169169725539444
65	0	65	44	23	8192	6498390609753679798
66	0	66	3	5	4096	13352730850278292341
67	0	67	86	19	32768	18353279208081410963
68	0	68	102	12	65536	14654622623025168314
69	0	69	113	23	65536	8549664173872492710
70	0	70	90	23	32768	7138485579528948770
71	0	71	50	6	16384	4601785296807912141
72	0	72	35	14	8192	12814094789773346992
73	0	73	76	9	32768	12573973141570099328
74	0	74	111	21	65536	12808152501363538569
75	0	75	107	17	65536	8827989229047926112
76	0	76	54	10	16384	5280939517715071183
77	0	77	27	6	8192	17530716029312779380
78	0	78	22	24	4096	10674934715355014708
79	0	79	33	12	8192	2153232596619967843
80	0	80	57	13	16384	5881989609598966739
81	0	81	82	15	32768	8204212638796367882
82	0	82	13	15	4096	18305334334891446456
83	0	83	45	24	8192	7737989930084513271
84	0	84	80	13	32768	1898343299540844568
85	0	85	93	3	65536	13281852848546919805
86	0	86	78	11	32768	16233077178182310741
87	0	87	92	2	65536	14806912710743336299
88	0	88	75	8	32768	14117404929186756169
89	0	89	98	8	65536	3612623132178368381
90	0	90	15	17	4096	12497742356435112232
91	0	91	84	17	32768	11211639221645006669
92	0	92	14	16	4096	9104109999073765548
93	0	93	62	18	16384	9987007026698508401
94	0	94	49	5	16384	10086630139587500019
95	0	95	36	15	8192	11608145338587501066
96	0	96	26	5	8192	8141564916432761454
97	0	97	34	13	8192	9397929675338846453
98	0	98	30	9	8192	17039783269919326477
99	0	99	68	24	16384	10137182804825096551
100	0	100	6	8	4096	2486929257735624077
101	0	101	12	14	4096	11404414450513744432
102	0	102	110	20	65536	17721741763898082792
103	0	103	9	11	4096	8146009815435775549
104	0	104	4	6	4096	4742283144461356683
105	0	105	24	3	8192	6107620060494630608
106	0	106	85	18	32768	7292614301227499888
107	0	107	69	2	32768	14790499640976276793
108	0	108	108	18	65536	6742697796170397257
109	0	109	105	15	65536	15953770651864406377
110	0	110	63	19	16384	17225157751055912625
111	0	111	21	23	4096	9957809253959766077
112	0	112	37	16	8192	11052515088249575610
113	0	113	5	7	4096	9595706731236647199
114	0	114	7	9	4096	12287672256016482651
115	1	0	10	12	4096	5952565143435245045
116	1	1	50	6	16384	9311794626643677339
117	1	2	38	17	8192	12105083403070886017
118	1	3	70	3	32768	17146607317229795724
119	1	4	54	10	16384	18385740541172699944
120	1	5	114	24	65536	17068829863528206039
121	1	6	81	14	32768	16177168726290024586
122	1	7	99	9	65536	9089859127882488598
123	1	8	84	17	32768	16792006061009435511
124	1	9	75	8	32768	1852031530708392664
125	1	10	29	8	8192	17932687292210939355
126	1	11	34	13	8192	6278438976766489045
127	1	12	47	3	16384	11297226278572178132
128	1	13	91	24	32768	13013296738057223289
129	1	14	53	9	16384	1811999009267649023
130	1	15	18	20	4096	17951987220346239607
131	1	16	109	19	65536	18393627244145414971
132	1	17	112	22	65536	7520769436516799996
133	1	18	83	16	32768	9070765944117501429
134	1	19	22	24	4096	3202934472476994820
135	1	20	57	13	16384	13045727622440842298
136	1	21	102	12	65536	1235435678674276081
137	1	22	52	8	16384	17203631483877390401
138	1	23	96	6	65536	11705058876220966677
139	1	24	1	3	4096	628962918813265487
140	1	25	16	18	4096	14650690976975351191
141	1	26	108	18	65536	11427180101775054187
142	1	27	28	7	8192	16009792554477228954
143	1	28	67	23	16384	7402018550111167954
144	1	29	78	11	32768	504488188821792206
145	1	30	2	4	4096	5860544084019141040
146	1	31	37	16	8192	4468847807541877354
147	1	32	69	2	32768	16205237779985915410
148	1	33	60	16	16384	18129409737965720652
149	1	34	4	6	4096	6909917641902516083
150	1	35	87	20	32768	3417611123029830507
151	1	36	86	19	32768	15153231854581362870
152	1	37	105	15	65536	8618046478178580692
153	1	38	82	15	32768	18345621022986491137
154	1	39	23	2	8192	10050645689671940037
155	1	40	35	14	8192	3639965540122275445
156	1	41	3	5	4096	699938202013054724
157	1	42	21	23	4096	14069329412350163669
158	1	43	100	10	65536	7478268530993319467
159	1	44	17	19	4096	16074114139632276088
160	1	45	19	21	4096	11104724755522809647
161	1	46	41	20	8192	18412689030172842581
162	1	47	20	22	4096	2352258930013619320
163	1	48	9	11	4096	13487640414891080197
164	1	49	15	17	4096	4830291237004953793
165	1	50	39	18	8192	7404942586993409790
166	1	51	45	24	8192	6838511302883007826
167	1	52	89	22	32768	1766650426262320659
168	1	53	25	4	8192	14840339028278776731
169	1	54	33	12	8192	3132824476247190814
170	1	55	49	5	16384	11388197582721814368
171	1	56	85	18	32768	15648201230181985977
172	1	57	14	16	4096	15177414847989579890
173	1	58	110	20	65536	12838768962358183068
174	1	59	68	24	16384	16026697233170635900
175	1	60	26	5	8192	2577720918158740886
176	1	61	72	5	32768	17931276759278047865
177	1	62	106	16	65536	1229223759793954573
178	1	63	63	19	16384	13289288480045613174
179	1	64	98	8	65536	10304449218717393456
180	1	65	46	2	16384	13773652229442433493
181	1	66	92	2	65536	11296878814516234803
182	1	67	36	15	8192	17420032561781873477
183	1	68	6	8	4096	17241111948940954851
184	1	69	90	23	32768	9579071211239773584
