ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=integer subdivisions within factor-of-two ranges
min_bytes=512
max_bytes=268435456
points_per_octave=3
trial_count=2
plan_seed=4592
node_spacing_bytes=8
node_bytes=8
unique_size_count=58
plan_row_count=116
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	56	223696213	27962027	223696216	12010996084138381409
1	0	1	4	1365	171	1368	17612322381763789830
2	0	2	29	436906	54614	436912	5675386243639000545
3	0	3	27	262144	32768	262144	7275823071340133949
4	0	4	50	55924053	6990507	55924056	4398283534474112705
5	0	5	28	349525	43691	349528	2778606606430244630
6	0	6	57	268435456	33554432	268435456	2157518988136700542
7	0	7	55	178956970	22369622	178956976	3600981749025374836
8	0	8	43	11184810	1398102	11184816	14741981715167380832
9	0	9	15	16384	2048	16384	5639329696804928330
10	0	10	7	2730	342	2736	13356308997488390375
11	0	11	38	3495253	436907	3495256	12156085848079530251
12	0	12	34	1398101	174763	1398104	7726145563378484136
13	0	13	49	44739242	5592406	44739248	18240578292689942236
14	0	14	54	134217728	16777216	134217728	8455195753872669316
15	0	15	20	54613	6827	54616	15249740167405901843
16	0	16	12	8192	1024	8192	12127700300347989074
17	0	17	30	524288	65536	524288	15867712903735309509
18	0	18	32	873813	109227	873816	6714509896619644563
19	0	19	45	16777216	2097152	16777216	4297804663828302125
20	0	20	44	13981013	1747627	13981016	10846146857945532388
21	0	21	19	43690	5462	43696	6363876632841290410
22	0	22	22	87381	10923	87384	411918456219058586
23	0	23	1	682	86	688	14831990175802824778
24	0	24	37	2796202	349526	2796208	6474857334350322248
25	0	25	33	1048576	131072	1048576	8314309474820575946
26	0	26	36	2097152	262144	2097152	11858310945522590049
27	0	27	31	699050	87382	699056	12557896269937827088
28	0	28	41	6990506	873814	6990512	14443183239388168354
29	0	29	16	21845	2731	21848	3800247339294705477
30	0	30	17	27306	3414	27312	11471062771752845202
31	0	31	18	32768	4096	32768	15305898183615310398
32	0	32	11	6826	854	6832	4369897060679633813
33	0	33	2	853	107	856	8697707532786706124
34	0	34	13	10922	1366	10928	268045954198512248
35	0	35	39	4194304	524288	4194304	8216313208630868017
36	0	36	14	13653	1707	13656	10982952826180540909
37	0	37	51	67108864	8388608	67108864	3591762775306057052
38	0	38	21	65536	8192	65536	2711252541788010565
39	0	39	40	5592405	699051	5592408	14230056602445052991
40	0	40	25	174762	21846	174768	12402697943233673223
41	0	41	9	4096	512	4096	2926140807111753385
42	0	42	8	3413	427	3416	2133805346769811
43	0	43	23	109226	13654	109232	10015478662477833122
44	0	44	42	8388608	1048576	8388608	2057755785582198298
45	0	45	53	111848106	13981014	111848112	7515739584423694697
46	0	46	35	1747626	218454	1747632	3988147279126113625
47	0	47	6	2048	256	2048	10151107998875887299
48	0	48	10	5461	683	5464	3055362078847547877
49	0	49	48	33554432	4194304	33554432	8355899086313586530
50	0	50	24	131072	16384	131072	3180726157260230495
51	0	51	5	1706	214	1712	8041185926367902220
52	0	52	3	1024	128	1024	2910593564730725627
53	0	53	26	218453	27307	218456	11546873347869729047
54	0	54	47	27962026	3495254	27962032	6848989721029048447
55	0	55	52	89478485	11184811	89478488	72565979555544621
56	0	56	0	512	64	512	682867072205481737
57	0	57	46	22369621	2796203	22369624	8344260614815399075
58	1	0	27	262144	32768	262144	785681943851634407
59	1	1	4	1365	171	1368	5291305564639306433
60	1	2	55	178956970	22369622	178956976	17428952758666837124
61	1	3	53	111848106	13981014	111848112	8297208053193434734
62	1	4	16	21845	2731	21848	6426204865907562658
63	1	5	33	1048576	131072	1048576	1040583171960387126
64	1	6	28	349525	43691	349528	16780156490544768917
65	1	7	13	10922	1366	10928	1530880130021238380
66	1	8	39	4194304	524288	4194304	13310712804172103171
67	1	9	15	16384	2048	16384	15973507623588707764
68	1	10	29	436906	54614	436912	7471508760193843528
69	1	11	17	27306	3414	27312	7354683906348262267
70	1	12	51	67108864	8388608	67108864	14142476134995234640
71	1	13	2	853	107	856	4106739265547601709
72	1	14	32	873813	109227	873816	18320975116438302085
73	1	15	9	4096	512	4096	9657487449176130365
74	1	16	40	5592405	699051	5592408	9942199416576589313
75	1	17	0	512	64	512	13681745775121123414
76	1	18	18	32768	4096	32768	16966352275230124059
77	1	19	25	174762	21846	174768	9895966430182872486
78	1	20	26	218453	27307	218456	5156614717587871689
79	1	21	57	268435456	33554432	268435456	15303711824695440703
80	1	22	54	134217728	16777216	134217728	12114630851292465010
81	1	23	14	13653	1707	13656	15996712824143157315
82	1	24	30	524288	65536	524288	12417145810203873091
83	1	25	8	3413	427	3416	5884157349778955356
84	1	26	46	22369621	2796203	22369624	12544446551484738788
85	1	27	1	682	86	688	15284261901678712724
86	1	28	48	33554432	4194304	33554432	7280125188343710509
87	1	29	49	44739242	5592406	44739248	16800421795840160024
88	1	30	22	87381	10923	87384	17371792906126193887
89	1	31	44	13981013	1747627	13981016	12484211105710739399
90	1	32	41	6990506	873814	6990512	9477281469643658644
91	1	33	19	43690	5462	43696	11707104826818746692
92	1	34	3	1024	128	1024	9694518631001803717
93	1	35	11	6826	854	6832	4651261135313213031
94	1	36	21	65536	8192	65536	3903927384623530743
95	1	37	43	11184810	1398102	11184816	151210554145508791
96	1	38	24	131072	16384	131072	16517690145460675686
97	1	39	12	8192	1024	8192	3515655555399018982
98	1	40	52	89478485	11184811	89478488	14162902993637280528
99	1	41	47	27962026	3495254	27962032	7858410391844332518
100	1	42	20	54613	6827	54616	5817228700116102037
101	1	43	10	5461	683	5464	11071476475684302639
102	1	44	42	8388608	1048576	8388608	8645781356473854145
103	1	45	56	223696213	27962027	223696216	412372938340388243
104	1	46	45	16777216	2097152	16777216	10228770297479931363
105	1	47	37	2796202	349526	2796208	926368651806402791
106	1	48	31	699050	87382	699056	13642334849484958877
107	1	49	34	1398101	174763	1398104	9355857614178246318
108	1	50	36	2097152	262144	2097152	3341648917363799133
109	1	51	7	2730	342	2736	2808600256659131718
110	1	52	5	1706	214	1712	10055416314662754274
111	1	53	38	3495253	436907	3495256	13371157929680005228
112	1	54	6	2048	256	2048	12297439869761780781
113	1	55	50	55924053	6990507	55924056	15198269301445092427
114	1	56	23	109226	13654	109232	7642328265376067317
115	1	57	35	1747626	218454	1747632	12691729370066393974
data_end
