ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=union of padded coarse transition windows
source_transition_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/crux/capacity/phase1_capacity_coarse_transition_candidates_v1.tsv
source_transition_sha256=8d6ad628c11d32aaefba1043c173f75cd7b4953c4195ad602dd150136bae2011
selected_top_k=6
selected_transition_ranks=1,2,3,4,5,6
padding_factor=5/4
min_bytes=87385
max_bytes=6990510
points_per_octave=8
trial_count=2
plan_seed=5592
node_spacing_bytes=8
node_bytes=8
unique_size_count=53
plan_row_count=106
candidate_rank_1_window=3355443..6990510_slope=2.2834676437369543_trial_disagreement=0.17975376196990425
candidate_rank_2_window=87385..163840_slope=1.5465978968041518_trial_disagreement=0.22699968384445146
candidate_rank_3_window=279622..546140_slope=1.457077599394877_trial_disagreement=0.12785774767146485
candidate_rank_4_window=2796204..5242880_slope=1.2255477775161885_trial_disagreement=0.17975376196990425
candidate_rank_5_window=2236966..4369070_slope=0.95543226109268709_trial_disagreement=0.1693820825315373
candidate_rank_6_window=139814..273070_slope=0.83634831363577911_trial_disagreement=0.055199672890827313
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	5	139814	17477	139816	16604741317163603813
1	0	1	14	244674	30585	244680	8431661233048373120
2	0	2	0	87385	10924	87392	2136098166295821180
3	0	3	17	279622	34953	279624	12449453052104565181
4	0	4	10	174767	21846	174768	10951145015058878101
5	0	5	29	2796207	349526	2796208	17696218327543908116
6	0	6	44	4613734	576717	4613736	1858501641538882676
7	0	7	7	152923	19116	152928	7196775510330043180
8	0	8	3	120154	15020	120160	12096964456091445339
9	0	9	1	98308	12289	98312	6154503290440784329
10	0	10	12	209721	26216	209728	15671886347395673687
11	0	11	6	142000	17750	142000	15047285289977168538
12	0	12	15	262151	32769	262152	264079266386243311
13	0	13	48	5452594	681575	5452600	4805707047920955281
14	0	14	9	163840	20480	163840	17720251836259841656
15	0	15	24	524291	65537	524296	14253008581999882466
16	0	16	8	157290	19662	157296	7660842493056432230
17	0	17	2	109231	13654	109232	17977917913919234810
18	0	18	33	3355449	419432	3355456	12120158348165743625
19	0	19	52	6990510	873814	6990512	14021373694153254526
20	0	20	41	4194311	524289	4194312	15534596973486529009
21	0	21	27	2516586	314574	2516592	15702270911598352956
22	0	22	36	3774873	471860	3774880	3409398526257298740
23	0	23	34	3495255	436907	3495256	2647662114796137146
24	0	24	38	3914690	489337	3914696	10181019961237851827
25	0	25	39	4194303	524288	4194304	11864331008733983263
26	0	26	23	489338	61168	489344	10586824151393952075
27	0	27	50	6291455	786432	6291456	7021395963447884773
28	0	28	51	6710886	838861	6710888	2883799945435980059
29	0	29	19	349527	43691	349528	2010947740387263424
30	0	30	26	2236966	279621	2236968	17228073003203853988
31	0	31	43	4543831	567979	4543832	6152532537423243648
32	0	32	30	3075828	384479	3075832	7623421355462753609
33	0	33	32	3355443	419431	3355448	9532815760528948617
34	0	34	31	3145729	393217	3145736	10329423514535144971
35	0	35	25	546140	68268	546144	8258926394604978574
36	0	36	16	273070	34134	273072	8927134864345685259
37	0	37	22	454385	56799	454392	6682939148557868165
38	0	38	47	5242880	655360	5242880	10094222450258398330
39	0	39	42	4369070	546134	4369072	5606964578939358665
40	0	40	11	192244	24031	192248	12138497138321444730
41	0	41	28	2796204	349526	2796208	11438308865621083441
42	0	42	46	5033164	629146	5033168	2322069471902831276
43	0	43	20	384480	48060	384480	669704758826659758
44	0	44	35	3635069	454384	3635072	16499251544125670038
45	0	45	37	3844780	480598	3844784	18404313526822268435
46	0	46	21	419433	52430	419440	11756274313486803583
47	0	47	13	227197	28400	227200	7818509046025636257
48	0	48	40	4194306	524289	4194312	16919710734312700507
49	0	49	45	4893357	611670	4893360	13466018529141170089
50	0	50	4	131077	16385	131080	3628067555577993844
51	0	51	18	314574	39322	314576	7456913490755465281
52	0	52	49	5872025	734004	5872032	16592007415413301291
53	1	0	26	2236966	279621	2236968	5117057853786510837
54	1	1	31	3145729	393217	3145736	12635839164978648660
55	1	2	28	2796204	349526	2796208	17413115963417887283
56	1	3	14	244674	30585	244680	8906938961628902379
57	1	4	37	3844780	480598	3844784	7001877455480392239
58	1	5	0	87385	10924	87392	4988577732745482881
59	1	6	30	3075828	384479	3075832	605420907447016615
60	1	7	47	5242880	655360	5242880	6740480786347335313
61	1	8	13	227197	28400	227200	12810560156668778274
62	1	9	3	120154	15020	120160	9405419823122099600
63	1	10	22	454385	56799	454392	6890690431569570177
64	1	11	15	262151	32769	262152	10718095651871406617
65	1	12	34	3495255	436907	3495256	15496847129487876816
66	1	13	6	142000	17750	142000	4524074853042435577
67	1	14	23	489338	61168	489344	18199023297738625156
68	1	15	25	546140	68268	546144	1157626902219523238
69	1	16	29	2796207	349526	2796208	6419213880780163601
70	1	17	48	5452594	681575	5452600	12649860126669884055
