ece592_spatial_plan_version=1
generator=SplitMix64+Fisher-Yates
offset_generation=explicit user-provided offsets
region_count=257
region_spacing_bytes=4096
probe_offsets_bytes=8,16,24,32,40,48,56,64,72,80,96,112,120,128,136,144,160,192,224,248,256,264,288,320,384,512
unique_offset_count=26
trial_count=2
plan_seed=10592
plan_row_count=52
data_begin
global_execution_index	trial	trial_execution_index	plot_index	region_count	region_spacing_bytes	probe_offset_bytes	point_seed
0	0	0	3	257	4096	32	1490699907442330430
1	0	1	5	257	4096	48	7820112303731040309
2	0	2	9	257	4096	80	9232372822561565708
3	0	3	7	257	4096	64	1404368002526632967
4	0	4	6	257	4096	56	10018213224076616765
5	0	5	13	257	4096	128	14077062749546932632
6	0	6	16	257	4096	160	16944407106316581564
7	0	7	2	257	4096	24	7234642269197300028
8	0	8	11	257	4096	112	1876085194439576273
9	0	9	21	257	4096	264	2959407916261900358
10	0	10	25	257	4096	512	16576859500590608523
11	0	11	14	257	4096	136	15526556570282675985
12	0	12	18	257	4096	224	16506001149820537079
13	0	13	19	257	4096	248	8340789102462023540
14	0	14	12	257	4096	120	4024388748255868700
15	0	15	0	257	4096	8	13353903712298148505
16	0	16	10	257	4096	96	1218490162868772819
17	0	17	23	257	4096	320	7319633647939029306
18	0	18	15	257	4096	144	4995790231170548066
19	0	19	1	257	4096	16	11421302217232639333
20	0	20	20	257	4096	256	16686151390846672515
21	0	21	8	257	4096	72	17545151399452015909
22	0	22	17	257	4096	192	16520138622731409163
23	0	23	24	257	4096	384	14665114344637293076
24	0	24	22	257	4096	288	11719052193468794608
25	0	25	4	257	4096	40	4474226026565271510
26	1	0	2	257	4096	24	6184653589895225551
27	1	1	12	257	4096	120	5318543296169813363
28	1	2	18	257	4096	224	203544325695618441
29	1	3	20	257	4096	256	10248678325888181222
30	1	4	24	257	4096	384	1801184998198022501
31	1	5	4	257	4096	40	8276829535324326302
32	1	6	16	257	4096	160	12016667230802120521
33	1	7	6	257	4096	56	6329292680080719575
34	1	8	10	257	4096	96	11494899405263497721
35	1	9	19	257	4096	248	6545043479018639937
36	1	10	7	257	4096	64	18099574342174728
37	1	11	25	257	4096	512	13614657570414267782
38	1	12	9	257	4096	80	2714797569160898082
39	1	13	0	257	4096	8	12369874812930367494
40	1	14	15	257	4096	144	16505811808780169253
41	1	15	17	257	4096	192	1731563535116832036
42	1	16	5	257	4096	48	18213334380018492898
43	1	17	14	257	4096	136	8390654367828665388
44	1	18	22	257	4096	288	16654525244773424855
45	1	19	23	257	4096	320	5010569793204796403
46	1	20	1	257	4096	16	8945572356761241940
47	1	21	11	257	4096	112	14270265991046701078
48	1	22	8	257	4096	72	3060071335376786805
49	1	23	13	257	4096	128	3268072544352302132
50	1	24	21	257	4096	264	13744461036908767912
51	1	25	3	257	4096	32	11242445294141870974
data_end
