ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=integer subdivisions within factor-of-two ranges
min_bytes=512
max_bytes=268435456
points_per_octave=3
trial_count=2
plan_seed=50592
node_spacing_bytes=8
node_bytes=8
unique_size_count=58
plan_row_count=116
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	35	1747626	218454	1747632	5198264745434784778
1	0	1	55	178956970	22369622	178956976	14063980016887269161
2	0	2	41	6990506	873814	6990512	4156595697988952177
3	0	3	50	55924053	6990507	55924056	6514280949165237636
4	0	4	38	3495253	436907	3495256	5577636292110143454
5	0	5	9	4096	512	4096	12535962963367581422
6	0	6	26	218453	27307	218456	14766244387103923306
7	0	7	27	262144	32768	262144	3068920656006585447
8	0	8	14	13653	1707	13656	14235453019978457441
9	0	9	40	5592405	699051	5592408	9287714500948239151
10	0	10	22	87381	10923	87384	4141061395032148505
11	0	11	13	10922	1366	10928	9303918767627868264
12	0	12	45	16777216	2097152	16777216	15521084710382325597
13	0	13	32	873813	109227	873816	9123502408031555135
14	0	14	5	1706	214	1712	11493167005356128068
15	0	15	16	21845	2731	21848	10602376968925171234
16	0	16	10	5461	683	5464	8003094352399242619
17	0	17	4	1365	171	1368	13189643778666768760
18	0	18	53	111848106	13981014	111848112	3095805743080341341
19	0	19	37	2796202	349526	2796208	5413897230466330326
20	0	20	17	27306	3414	27312	9418530191161379954
21	0	21	15	16384	2048	16384	1665207946044624150
22	0	22	46	22369621	2796203	22369624	3543548538595570300
23	0	23	47	27962026	3495254	27962032	10658626776317286884
24	0	24	7	2730	342	2736	14036951303882597062
25	0	25	6	2048	256	2048	15593399093021286390
26	0	26	11	6826	854	6832	7507740301070518367
27	0	27	30	524288	65536	524288	15734269519451903580
28	0	28	12	8192	1024	8192	3820935484063960124
29	0	29	49	44739242	5592406	44739248	17031937502323047833
30	0	30	18	32768	4096	32768	16514644100010103509
31	0	31	36	2097152	262144	2097152	13435800765629110976
32	0	32	1	682	86	688	15970395450402287677
33	0	33	28	349525	43691	349528	3171570772150554270
34	0	34	25	174762	21846	174768	7903782175359162661
35	0	35	20	54613	6827	54616	9829933070906355713
36	0	36	52	89478485	11184811	89478488	14683727302776819923
37	0	37	51	67108864	8388608	67108864	2509524512635537651
38	0	38	42	8388608	1048576	8388608	12735574378643133826
39	0	39	48	33554432	4194304	33554432	13318951586635615051
40	0	40	31	699050	87382	699056	2432126087746974753
41	0	41	39	4194304	524288	4194304	9950479066910525010
42	0	42	21	65536	8192	65536	17718905171321876988
43	0	43	23	109226	13654	109232	11958693720559903505
44	0	44	8	3413	427	3416	15746905030515626770
45	0	45	57	268435456	33554432	268435456	1358757403280311743
46	0	46	0	512	64	512	9553384265390741197
47	0	47	54	134217728	16777216	134217728	5269739339132220535
48	0	48	56	223696213	27962027	223696216	6984512042815549486
49	0	49	33	1048576	131072	1048576	8439154200455917215
50	0	50	44	13981013	1747627	13981016	4345099644411396986
51	0	51	24	131072	16384	131072	4001093219060506626
52	0	52	29	436906	54614	436912	11368437561909818771
53	0	53	3	1024	128	1024	8032432307202459542
54	0	54	2	853	107	856	2249999330655594536
55	0	55	43	11184810	1398102	11184816	13264206875102790006
56	0	56	19	43690	5462	43696	13547655539562179127
57	0	57	34	1398101	174763	1398104	8005991903047832101
58	1	0	4	1365	171	1368	11859290433816746292
59	1	1	18	32768	4096	32768	12523261295575702226
60	1	2	30	524288	65536	524288	1239348360930660048
61	1	3	37	2796202	349526	2796208	3515312607904164546
62	1	4	51	67108864	8388608	67108864	18261312225067642267
63	1	5	52	89478485	11184811	89478488	13032899763271051787
64	1	6	46	22369621	2796203	22369624	11328734000728812799
65	1	7	0	512	64	512	3589862735070369383
66	1	8	31	699050	87382	699056	14697055634608673283
67	1	9	29	436906	54614	436912	13964929709512992641
68	1	10	16	21845	2731	21848	14647706663454772718
69	1	11	7	2730	342	2736	6203250308954268
70	1	12	54	134217728	16777216	134217728	15737506233202421258
71	1	13	55	178956970	22369622	178956976	8596283148093994925
72	1	14	12	8192	1024	8192	9679900834314877533
73	1	15	34	1398101	174763	1398104	8792393471906776281
74	1	16	48	33554432	4194304	33554432	6922705758492412370
75	1	17	10	5461	683	5464	8142833898985105823
76	1	18	50	55924053	6990507	55924056	17990493832740481984
77	1	19	28	349525	43691	349528	14498844955954683756
78	1	20	2	853	107	856	14143392969849919452
79	1	21	56	223696213	27962027	223696216	10791512297827445128
80	1	22	39	4194304	524288	4194304	14288623747548199990
81	1	23	53	111848106	13981014	111848112	4054778384513665550
82	1	24	23	109226	13654	109232	6718781547902718866
83	1	25	42	8388608	1048576	8388608	6783430130981671838
84	1	26	20	54613	6827	54616	11790178707100263693
85	1	27	27	262144	32768	262144	12733714552799909583
86	1	28	41	6990506	873814	6990512	7579574191136412218
87	1	29	3	1024	128	1024	14046319454709980939
88	1	30	22	87381	10923	87384	16283313334100495126
89	1	31	43	11184810	1398102	11184816	3629927704904729373
90	1	32	6	2048	256	2048	6687274133647557090
91	1	33	49	44739242	5592406	44739248	18096773113931717123
92	1	34	45	16777216	2097152	16777216	1952363748461773448
93	1	35	26	218453	27307	218456	14002451555806797393
94	1	36	14	13653	1707	13656	7845782681482917539
95	1	37	13	10922	1366	10928	11101682892813676994
96	1	38	19	43690	5462	43696	13198772841946288577
97	1	39	17	27306	3414	27312	15310986794514579286
98	1	40	32	873813	109227	873816	6889565177654730475
99	1	41	44	13981013	1747627	13981016	396172877555371021
100	1	42	1	682	86	688	392991850236685000
101	1	43	11	6826	854	6832	2803566552912101408
102	1	44	40	5592405	699051	5592408	14067234898358534514
103	1	45	57	268435456	33554432	268435456	34717558996865348
104	1	46	33	1048576	131072	1048576	15540770844582512180
105	1	47	35	1747626	218454	1747632	4180197602458629086
106	1	48	8	3413	427	3416	12838726677850069813
107	1	49	21	65536	8192	65536	5634239869700622144
108	1	50	38	3495253	436907	3495256	9616803604251643682
109	1	51	9	4096	512	4096	1121916657012165579
110	1	52	47	27962026	3495254	27962032	17417728591101922492
111	1	53	5	1706	214	1712	467157455233066107
112	1	54	15	16384	2048	16384	7333712938664547897
113	1	55	36	2097152	262144	2097152	9435367484271648302
114	1	56	24	131072	16384	131072	17153147992309736619
115	1	57	25	174762	21846	174768	15681743246142271272
data_end
