ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=union of padded coarse transition windows
source_transition_file=/home/rrsood/ECE592_HW1/data_processed/ookay/capacity/phase1_capacity_coarse_transition_candidates_v1.tsv
source_transition_sha256=c92bdd0bc4287bf9f53ee02f1bedb4ce71bc49e14dcaf15639422e064270654e
selected_top_k=6
selected_transition_ranks=1,2,3,4,5,6
padding_factor=5/4
min_bytes=139814
max_bytes=20971520
points_per_octave=8
trial_count=2
plan_seed=50593
node_spacing_bytes=8
node_bytes=8
unique_size_count=53
plan_row_count=106
candidate_rank_1_window=5592409..10485760_slope=2.2800313238500665_trial_disagreement=0.33514308336161069
candidate_rank_2_window=4473926..8738140_slope=1.5087421768113816_trial_disagreement=0.19997714546908923
candidate_rank_3_window=139814..273070_slope=1.1262056200896275_trial_disagreement=0.050020669698222407
candidate_rank_4_window=8947852..17476270_slope=1.0170548226935248_trial_disagreement=0.0067710684398763843
candidate_rank_5_window=209715..436910_slope=0.83501200077283488_trial_disagreement=0.044274300932090546
candidate_rank_6_window=11184812..20971520_slope=0.7661204253125391_trial_disagreement=0.0084951748369552146
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	14	340786	42599	340792	2357234470753423830
1	0	1	12	288358	36045	288360	8597397569331189910
2	0	2	47	16777218	2097153	16777224	17867591178371137694
3	0	3	2	174767	21846	174768	5905514852208865981
4	0	4	27	7270129	908767	7270136	3563343254412760336
5	0	5	37	10485760	1310720	10485760	1036309465348322842
6	0	6	32	8738140	1092268	8738144	9944137548828576064
7	0	7	17	419430	52429	419432	7291158086875836708
8	0	8	9	262143	32768	262144	12415671698416833163
9	0	9	44	14540259	1817533	14540264	10130287186744132615
10	0	10	38	11184812	1398102	11184816	2991917027343850094
11	0	11	6	227197	28400	227200	13702860189994806447
12	0	12	45	15379116	1922390	15379120	6985696065456078112
13	0	13	21	5592407	699051	5592408	8544678988726201735
14	0	14	34	9087664	1135958	9087664	5194029608111481646
15	0	15	33	8947852	1118482	8947856	15046564834783309976
16	0	16	4	209715	26215	209720	4784292772406417763
17	0	17	35	9786715	1223340	9786720	8511818743586503877
18	0	18	51	19573421	2446678	19573424	17315073707295682481
19	0	19	1	157290	19662	157296	18275190571979303620
20	0	20	29	7829370	978672	7829376	5796762506026625373
21	0	21	19	4473926	559241	4473928	17578094556882246628
22	0	22	8	244674	30585	244680	6796459381454918887
23	0	23	49	17476270	2184534	17476272	14982702261465514107
24	0	24	31	8388613	1048577	8388616	12161961158148252050
25	0	25	50	18175319	2271915	18175320	8187462130797370629
26	0	26	11	273070	34134	273072	13240639366603454402
27	0	27	15	367001	45876	367008	9996401529896764871
28	0	28	42	13421778	1677723	13421784	4408518223521695803
29	0	29	48	16777222	2097153	16777224	8396948079007595110
30	0	30	41	12582913	1572865	12582920	10703830796552619345
31	0	31	16	393215	49152	393216	1224224413839047617
32	0	32	22	5592409	699052	5592416	7529807191940251640
33	0	33	5	209721	26216	209728	9362454045597343718
34	0	34	25	6710889	838862	6710896	9587189059592773204
35	0	35	28	7689562	961196	7689568	4861367269021599615
36	0	36	23	6151648	768956	6151648	17233555295348434448
37	0	37	24	6291460	786433	6291464	7584507160078505660
38	0	38	43	13981015	1747627	13981016	10319965959908162432
39	0	39	30	8388611	1048577	8388616	3806220068053629744
40	0	40	36	10066333	1258292	10066336	16443287308863229461
41	0	41	0	139814	17477	139816	9578710751420152425
42	0	42	7	235929	29492	235936	16791200151789225329
43	0	43	46	15658741	1957343	15658744	6284606293757398679
44	0	44	3	192244	24031	192248	10170745027794976324
45	0	45	52	20971520	2621440	20971520	7361817993223105400
46	0	46	13	314572	39322	314576	14808992002930635103
47	0	47	18	436910	54614	436912	534704424175515378
48	0	48	39	11184815	1398102	11184816	9607814110671873112
49	0	49	26	6990511	873814	6990512	7895671465934951363
50	0	50	10	262151	32769	262152	5179977017596764167
