global_execution_index	trial	trial_execution_index	series_index	plot_index	target_bytes	target_line_spacing_bytes	pressure_source	pressure_bytes	pressure_line_spacing_bytes	pressure_order	pressure_passes	helper_cpu	accesses_per_sample	point_seed	output_filename	status	return_code
0	0	0	6	27	65536	64	helper	15728640	64	sequential	1	5	1	15785011210859342678	ookay_inclusionpolicy_trial000_exec0000_series06_plot0027_target0000065536_helper_pressure000015728640_helper005_seed15785011210859342678.tsv.gz	complete	0
1	0	1	6	33	65536	64	helper	125829120	64	sequential	1	5	1	11951315924972400881	ookay_inclusionpolicy_trial000_exec0001_series06_plot0033_target0000065536_helper_pressure000125829120_helper005_seed11951315924972400881.tsv.gz	complete	0
2	0	2	7	38	65536	64	helper	39321600	64	sequential	1	6	1	12211512109102862178	ookay_inclusionpolicy_trial000_exec0002_series07_plot0038_target0000065536_helper_pressure000039321600_helper006_seed12211512109102862178.tsv.gz	complete	0
3	0	3	4	21	65536	64	none	0	64	sequential	0	-1	1	8115149844715529162	ookay_inclusionpolicy_trial000_exec0003_series04_plot0021_target0000065536_none_pressure000000000000_helper999_seed08115149844715529162.tsv.gz	complete	0
4	0	4	7	34	65536	64	helper	3932160	64	sequential	1	6	1	4398009111481780254	ookay_inclusionpolicy_trial000_exec0004_series07_plot0034_target0000065536_helper_pressure000003932160_helper006_seed04398009111481780254.tsv.gz	complete	0
5	0	5	2	5	8192	64	helper	3932160	64	sequential	1	5	1	9659343732093274974	ookay_inclusionpolicy_trial000_exec0005_series02_plot0005_target0000008192_helper_pressure000003932160_helper005_seed09659343732093274974.tsv.gz	complete	0
6	0	6	3	19	8192	64	helper	62914560	64	sequential	1	6	1	16916548400228412381	ookay_inclusionpolicy_trial000_exec0006_series03_plot0019_target0000008192_helper_pressure000062914560_helper006_seed16916548400228412381.tsv.gz	complete	0
7	0	7	7	40	65536	64	helper	62914560	64	sequential	1	6	1	12768900637479444719	ookay_inclusionpolicy_trial000_exec0007_series07_plot0040_target0000065536_helper_pressure000062914560_helper006_seed12768900637479444719.tsv.gz	complete	0
8	0	8	2	10	8192	64	helper	47185920	64	sequential	1	5	1	13070927980617103594	ookay_inclusionpolicy_trial000_exec0008_series02_plot0010_target0000008192_helper_pressure000047185920_helper005_seed13070927980617103594.tsv.gz	complete	0
9	0	9	7	41	65536	64	helper	125829120	64	sequential	1	6	1	11548316102972958183	ookay_inclusionpolicy_trial000_exec0009_series07_plot0041_target0000065536_helper_pressure000125829120_helper006_seed11548316102972958183.tsv.gz	complete	0
10	0	10	5	25	65536	64	self	62914560	64	sequential	1	-1	1	3579555710924495313	ookay_inclusionpolicy_trial000_exec0010_series05_plot0025_target0000065536_self_pressure000062914560_helper999_seed03579555710924495313.tsv.gz	complete	0
11	0	11	7	37	65536	64	helper	31457280	64	sequential	1	6	1	18199474086371370198	ookay_inclusionpolicy_trial000_exec0011_series07_plot0037_target0000065536_helper_pressure000031457280_helper006_seed18199474086371370198.tsv.gz	complete	0
12	0	12	2	12	8192	64	helper	125829120	64	sequential	1	5	1	8008439490583124828	ookay_inclusionpolicy_trial000_exec0012_series02_plot0012_target0000008192_helper_pressure000125829120_helper005_seed08008439490583124828.tsv.gz	complete	0
13	0	13	2	6	8192	64	helper	15728640	64	sequential	1	5	1	4048844278262796615	ookay_inclusionpolicy_trial000_exec0013_series02_plot0006_target0000008192_helper_pressure000015728640_helper005_seed04048844278262796615.tsv.gz	complete	0
14	0	14	2	11	8192	64	helper	62914560	64	sequential	1	5	1	8061349055135680146	ookay_inclusionpolicy_trial000_exec0014_series02_plot0011_target0000008192_helper_pressure000062914560_helper005_seed08061349055135680146.tsv.gz	complete	0
15	0	15	7	39	65536	64	helper	47185920	64	sequential	1	6	1	2386960525790874227	ookay_inclusionpolicy_trial000_exec0015_series07_plot0039_target0000065536_helper_pressure000047185920_helper006_seed02386960525790874227.tsv.gz	complete	0
16	0	16	3	18	8192	64	helper	47185920	64	sequential	1	6	1	17411652116599629896	ookay_inclusionpolicy_trial000_exec0016_series03_plot0018_target0000008192_helper_pressure000047185920_helper006_seed17411652116599629896.tsv.gz	complete	0
17	0	17	6	26	65536	64	helper	3932160	64	sequential	1	5	1	6393766706609474863	ookay_inclusionpolicy_trial000_exec0017_series06_plot0026_target0000065536_helper_pressure000003932160_helper005_seed06393766706609474863.tsv.gz	complete	0
18	0	18	3	15	8192	64	helper	23592960	64	sequential	1	6	1	10496410495304032845	ookay_inclusionpolicy_trial000_exec0018_series03_plot0015_target0000008192_helper_pressure000023592960_helper006_seed10496410495304032845.tsv.gz	complete	0
19	0	19	6	32	65536	64	helper	62914560	64	sequential	1	5	1	9156657464700606523	ookay_inclusionpolicy_trial000_exec0019_series06_plot0032_target0000065536_helper_pressure000062914560_helper005_seed09156657464700606523.tsv.gz	complete	0
20	0	20	5	22	65536	64	self	65536	64	sequential	1	-1	1	10967852233165145922	ookay_inclusionpolicy_trial000_exec0020_series05_plot0022_target0000065536_self_pressure000000065536_helper999_seed10967852233165145922.tsv.gz	complete	0
21	0	21	1	3	8192	64	self	15728640	64	sequential	1	-1	1	2553261902913031682	ookay_inclusionpolicy_trial000_exec0021_series01_plot0003_target0000008192_self_pressure000015728640_helper999_seed02553261902913031682.tsv.gz	complete	0
22	0	22	1	4	8192	64	self	62914560	64	sequential	1	-1	1	15822016635197211724	ookay_inclusionpolicy_trial000_exec0022_series01_plot0004_target0000008192_self_pressure000062914560_helper999_seed15822016635197211724.tsv.gz	complete	0
23	0	23	6	31	65536	64	helper	47185920	64	sequential	1	5	1	20332897215584561	ookay_inclusionpolicy_trial000_exec0023_series06_plot0031_target0000065536_helper_pressure000047185920_helper005_seed00020332897215584561.tsv.gz	complete	0
24	0	24	3	14	8192	64	helper	15728640	64	sequential	1	6	1	14407615525623653843	ookay_inclusionpolicy_trial000_exec0024_series03_plot0014_target0000008192_helper_pressure000015728640_helper006_seed14407615525623653843.tsv.gz	complete	0
