ece592_spatial_plan_version=1
generator=SplitMix64+Fisher-Yates
offset_generation=explicit user-provided offsets
region_count=257
region_spacing_bytes=4096
probe_offsets_bytes=8,16,24,32,40,48,56,64,72,80,96,112,120,128,136,144,160,192,224,248,256,264,288,320,384,512
unique_offset_count=26
trial_count=2
plan_seed=50594
plan_row_count=52
data_begin
global_execution_index	trial	trial_execution_index	plot_index	region_count	region_spacing_bytes	probe_offset_bytes	point_seed
0	0	0	3	257	4096	32	12792040313362967472
1	0	1	15	257	4096	144	1944163836099703342
2	0	2	23	257	4096	320	4897980043139554516
3	0	3	5	257	4096	48	6884020071969066385
4	0	4	17	257	4096	192	2729042142582839636
5	0	5	19	257	4096	248	10760964892205236087
6	0	6	0	257	4096	8	4159978528495158731
7	0	7	4	257	4096	40	9502229814553263047
8	0	8	20	257	4096	256	6047745182592834405
9	0	9	24	257	4096	384	8389810633399094274
10	0	10	8	257	4096	72	17352993751335913718
11	0	11	11	257	4096	112	4884443389434400420
12	0	12	10	257	4096	96	15774778783102391567
13	0	13	12	257	4096	120	13524189127367275607
14	0	14	25	257	4096	512	16260166036534823490
15	0	15	21	257	4096	264	4983426442143861966
16	0	16	9	257	4096	80	12179667623858929040
17	0	17	13	257	4096	128	17738224813095734862
18	0	18	1	257	4096	16	3862169821121162432
19	0	19	2	257	4096	24	17818327089535453402
20	0	20	14	257	4096	136	1865564906783288067
21	0	21	6	257	4096	56	2302961258963755525
22	0	22	18	257	4096	224	5271890627716789618
23	0	23	7	257	4096	64	7354888011310693075
24	0	24	22	257	4096	288	8341176299533948780
25	0	25	16	257	4096	160	6940219853414748103
26	1	0	21	257	4096	264	13988718259593919970
27	1	1	22	257	4096	288	1793430068112562367
28	1	2	12	257	4096	120	14172138104561604738
29	1	3	19	257	4096	248	17709224031785519473
30	1	4	16	257	4096	160	11366912562318009511
31	1	5	24	257	4096	384	9612695443521049089
32	1	6	2	257	4096	24	15483510444208861088
33	1	7	3	257	4096	32	14544696666615402603
34	1	8	17	257	4096	192	6672473837996665823
35	1	9	13	257	4096	128	1012982746613212665
36	1	10	1	257	4096	16	10294819575159917172
37	1	11	15	257	4096	144	4792530536428328018
38	1	12	7	257	4096	64	13944057897773565766
39	1	13	8	257	4096	72	17437297855881957037
40	1	14	23	257	4096	320	8957959869781840748
41	1	15	14	257	4096	136	17526006359261673887
42	1	16	18	257	4096	224	4812135131066192036
43	1	17	4	257	4096	40	10587321029062009565
44	1	18	6	257	4096	56	716655183270163314
45	1	19	11	257	4096	112	6671514570410051644
46	1	20	20	257	4096	256	4246710325143604995
47	1	21	25	257	4096	512	12546894506762158342
48	1	22	0	257	4096	8	14812965326844098798
49	1	23	10	257	4096	96	10780877545725729313
50	1	24	9	257	4096	80	7735021864868335954
51	1	25	5	257	4096	48	884893181768911167
data_end
