ece592_conflict_plan_version=1
generator=SplitMix64+Fisher-Yates
sweep=conflict line count by conflict stride
line_counts=2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
conflict_stride_bytes_values=4096,8192,16384,32768,65536
unique_line_count_count=23
unique_conflict_stride_count=5
trial_count=2
plan_seed=30595
plan_row_count=230
data_begin
global_execution_index	trial	trial_execution_index	plot_index	conflict_line_count	conflict_stride_bytes	point_seed
0	0	0	48	4	16384	15553580738332935757
1	0	1	110	20	65536	10483476666383623896
2	0	2	8	10	4096	10293976222210646910
3	0	3	61	17	16384	9171917927005614802
4	0	4	73	6	32768	11611383972515928074
5	0	5	75	8	32768	9074524457715805562
6	0	6	14	16	4096	3140358609620518354
7	0	7	65	21	16384	3816821238181964773
8	0	8	3	5	4096	4271494474106388232
9	0	9	4	6	4096	12305135683367460793
10	0	10	25	4	8192	16897429533150220049
11	0	11	15	17	4096	5462146267735637483
12	0	12	81	14	32768	6321667900566738420
13	0	13	19	21	4096	3327420577639303486
14	0	14	38	17	8192	4355175473338601196
15	0	15	2	4	4096	9199919116522398099
16	0	16	58	14	16384	554605069006423066
17	0	17	55	11	16384	1103514373058288747
18	0	18	46	2	16384	7772905285912357855
19	0	19	28	7	8192	18010739014759857122
20	0	20	42	21	8192	14755231101483778930
21	0	21	26	5	8192	2091497682274238870
22	0	22	27	6	8192	2413898017630272963
23	0	23	99	9	65536	3010163467894135277
24	0	24	64	20	16384	6717995069593486443
25	0	25	21	23	4096	2779976844058807930
26	0	26	52	8	16384	8953534638042984597
27	0	27	66	22	16384	12755481001461107741
28	0	28	43	22	8192	645974060183119969
29	0	29	72	5	32768	12739686012781325349
30	0	30	80	13	32768	15331154448619932688
31	0	31	88	21	32768	3398819884803066580
32	0	32	63	19	16384	9479465635503637665
33	0	33	89	22	32768	10813949823610112176
34	0	34	57	13	16384	9107585621358483771
35	0	35	13	15	4096	4480736102072023103
36	0	36	10	12	4096	857436595135063172
37	0	37	111	21	65536	15203197034424444661
38	0	38	113	23	65536	16003351744543605672
39	0	39	31	10	8192	7986972404813049998
40	0	40	70	3	32768	7676762360559722829
41	0	41	32	11	8192	6518656551794934096
42	0	42	35	14	8192	11634261458112487587
43	0	43	6	8	4096	13108544424175121717
44	0	44	1	3	4096	11920058454653908533
45	0	45	94	4	65536	15467466792906040720
46	0	46	9	11	4096	2924508595412161654
47	0	47	71	4	32768	13849863805073681167
48	0	48	98	8	65536	9432596437939287620
49	0	49	22	24	4096	7322197926345607414
50	0	50	79	12	32768	13396561479126352053
51	0	51	103	13	65536	18019324269882136918
52	0	52	69	2	32768	768178886572046631
53	0	53	86	19	32768	11801134377749045696
54	0	54	97	7	65536	2212406596033795438
55	0	55	59	15	16384	15659014373353988364
56	0	56	68	24	16384	15020867809147476248
57	0	57	0	2	4096	15829123048782126365
58	0	58	50	6	16384	16535549914971544759
59	0	59	54	10	16384	12346744756619579752
60	0	60	100	10	65536	753760970741113612
61	0	61	95	5	65536	13039456382633794884
62	0	62	84	17	32768	14789365598543843964
63	0	63	41	20	8192	9731654808178247298
64	0	64	11	13	4096	7794985989879882945
65	0	65	104	14	65536	7703577792739260797
66	0	66	112	22	65536	2390612120713642181
67	0	67	82	15	32768	17825900540896824879
68	0	68	51	7	16384	2124468368958486567
69	0	69	30	9	8192	15051690598153054131
70	0	70	74	7	32768	16302093851947996048
71	0	71	101	11	65536	8796538690337459181
72	0	72	23	2	8192	16155361005696614757
73	0	73	76	9	32768	449915008799273484
74	0	74	47	3	16384	4458342973595204500
75	0	75	108	18	65536	721949235362042865
76	0	76	106	16	65536	2577058277124817696
77	0	77	39	18	8192	2527097456434362112
78	0	78	7	9	4096	11419435959821229526
79	0	79	90	23	32768	14675551017738039654
80	0	80	20	22	4096	15888085585497619304
81	0	81	37	16	8192	9862684643320463564
82	0	82	18	20	4096	9427681482391452261
83	0	83	114	24	65536	14033948617822534797
84	0	84	107	17	65536	14333184483034093379
85	0	85	96	6	65536	10793946576347086763
86	0	86	5	7	4096	7279966729521831704
87	0	87	67	23	16384	6560202731020535212
88	0	88	105	15	65536	1878597056187588452
89	0	89	77	10	32768	16262995691997248329
90	0	90	29	8	8192	13411369274302571278
91	0	91	16	18	4096	1509518320509354498
92	0	92	34	13	8192	16236194606022011305
93	0	93	60	16	16384	11351519106321914510
94	0	94	85	18	32768	1982024186068638448
95	0	95	78	11	32768	111551482403226049
96	0	96	40	19	8192	16716099602876703299
97	0	97	92	2	65536	16609473493326837696
98	0	98	36	15	8192	12064728920602503310
99	0	99	53	9	16384	16623929747343938372
100	0	100	102	12	65536	11344512935427051482
101	0	101	24	3	8192	2326672178504689969
102	0	102	93	3	65536	14628107610977711106
103	0	103	109	19	65536	17902332706701975547
104	0	104	56	12	16384	6935554857898937447
105	0	105	87	20	32768	18023744296209783273
106	0	106	83	16	32768	3299365027426764557
107	0	107	33	12	8192	12027345857698929007
108	0	108	49	5	16384	11156102550318509181
109	0	109	62	18	16384	16000172721765272021
110	0	110	91	24	32768	9031781661953302226
111	0	111	45	24	8192	17337652716761372761
112	0	112	12	14	4096	2108873402772202956
113	0	113	17	19	4096	17145612558991934277
114	0	114	44	23	8192	8607359715932333639
115	1	0	83	16	32768	7873107701091612307
116	1	1	57	13	16384	5367883860216477260
117	1	2	108	18	65536	9373924346876674881
118	1	3	72	5	32768	7004360817394289263
119	1	4	51	7	16384	10190524206554734707
120	1	5	12	14	4096	3245833009091613476
121	1	6	14	16	4096	15668618197287146335
122	1	7	77	10	32768	18133379726152090189
123	1	8	84	17	32768	18144658500108867737
124	1	9	97	7	65536	7270174815815532282
125	1	10	105	15	65536	13212411137186123492
126	1	11	19	21	4096	10031464622102440809
127	1	12	46	2	16384	5787486888383987296
128	1	13	87	20	32768	13823079542794701545
129	1	14	114	24	65536	6447583601384243531
130	1	15	49	5	16384	6542262938026698121
131	1	16	96	6	65536	2024856312162862830
132	1	17	9	11	4096	530389192263203681
133	1	18	78	11	32768	10636429103817953784
134	1	19	10	12	4096	15771980930518993198
135	1	20	24	3	8192	660572015189344961
136	1	21	103	13	65536	9719455037074392488
137	1	22	109	19	65536	18330962776037686161
138	1	23	4	6	4096	10154827939925762257
139	1	24	66	22	16384	17818295578872605188
140	1	25	45	24	8192	10241215910625809941
141	1	26	30	9	8192	10585179740361693467
142	1	27	70	3	32768	6391371804671671980
143	1	28	43	22	8192	2956093351693290787
144	1	29	81	14	32768	13066251535074886565
145	1	30	67	23	16384	5538722984135079399
146	1	31	33	12	8192	6932086049077998122
147	1	32	75	8	32768	336847371208704788
148	1	33	25	4	8192	10793378738712799688
149	1	34	36	15	8192	13754389461272841396
150	1	35	91	24	32768	7197891648300252693
151	1	36	64	20	16384	14767542366177723435
152	1	37	113	23	65536	14837552563074700577
153	1	38	38	17	8192	14386769184698082590
154	1	39	94	4	65536	545523589337793191
155	1	40	13	15	4096	7519731006346895451
156	1	41	8	10	4096	15862382670069377633
157	1	42	88	21	32768	1833555799448021847
158	1	43	99	9	65536	11478499026243029285
159	1	44	60	16	16384	11227689369463065158
160	1	45	23	2	8192	6780728229906657936
161	1	46	58	14	16384	3399100916221952787
162	1	47	86	19	32768	6104747421817476429
163	1	48	74	7	32768	4814177583990578812
164	1	49	93	3	65536	3999013649777113479
165	1	50	47	3	16384	6466699065559838439
166	1	51	76	9	32768	16050754120446445644
167	1	52	35	14	8192	14747602512144884933
168	1	53	39	18	8192	168785927581150866
169	1	54	54	10	16384	12737822915170959084
170	1	55	18	20	4096	7620406164655990423
171	1	56	102	12	65536	14469681934039511385
172	1	57	104	14	65536	13123945098817532223
173	1	58	17	19	4096	16984371863781706863
174	1	59	110	20	65536	5515870888542079733
175	1	60	21	23	4096	12165953744567934921
176	1	61	53	9	16384	11194449871908485636
177	1	62	28	7	8192	9648337922259956608
178	1	63	3	5	4096	18258326293627494379
179	1	64	26	5	8192	7162230545194339351
180	1	65	6	8	4096	2207722061879528218
181	1	66	95	5	65536	18219083415309933376
182	1	67	29	8	8192	5504776021095230377
183	1	68	80	13	32768	14728572854041552531
184	1	69	1	3	4096	5209529679031476036
185	1	70	50	6	16384	10466613640861329225
186	1	71	15	17	4096	14229754795340982425
187	1	72	2	4	4096	2351814774850214421
188	1	73	62	18	16384	15931074045244151319
189	1	74	69	2	32768	16202124901626161306
190	1	75	65	21	16384	4512822816348728959
191	1	76	5	7	4096	9744064954281411322
192	1	77	112	22	65536	8510369540901080495
193	1	78	41	20	8192	15625953332715098361
194	1	79	44	23	8192	3413516861811663303
195	1	80	68	24	16384	6042982165149488466
196	1	81	85	18	32768	1944816187140931745
197	1	82	101	11	65536	15330877379259507350
198	1	83	37	16	8192	11895638249830785650
199	1	84	90	23	32768	10067043978868796464
