ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=integer subdivisions within factor-of-two ranges
min_bytes=512
max_bytes=268435456
points_per_octave=3
trial_count=2
plan_seed=30592
node_spacing_bytes=8
node_bytes=8
unique_size_count=58
plan_row_count=116
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	9	4096	512	4096	1542135668197070604
1	0	1	39	4194304	524288	4194304	16116248977941782748
2	0	2	6	2048	256	2048	4486187984284571714
3	0	3	41	6990506	873814	6990512	16368957015510914830
4	0	4	29	436906	54614	436912	3124224298477408103
5	0	5	4	1365	171	1368	11030682325145241562
6	0	6	16	21845	2731	21848	16999577328936719862
7	0	7	37	2796202	349526	2796208	16703856345188441198
8	0	8	34	1398101	174763	1398104	17343002520371882123
9	0	9	36	2097152	262144	2097152	157268937691512979
10	0	10	18	32768	4096	32768	6849123989456394770
11	0	11	2	853	107	856	12532749355707235364
12	0	12	24	131072	16384	131072	12336290426059239609
13	0	13	35	1747626	218454	1747632	10464172529634749573
14	0	14	21	65536	8192	65536	11175450162306358384
15	0	15	19	43690	5462	43696	2096897885762506869
16	0	16	55	178956970	22369622	178956976	12319778569604130118
17	0	17	57	268435456	33554432	268435456	11588986080076565931
18	0	18	25	174762	21846	174768	13808983181469569903
19	0	19	45	16777216	2097152	16777216	4586417988344024087
20	0	20	14	13653	1707	13656	17369706687851407892
21	0	21	8	3413	427	3416	13844948008289152609
22	0	22	31	699050	87382	699056	1660859654471085544
23	0	23	28	349525	43691	349528	83845120251158848
24	0	24	5	1706	214	1712	2467581718762872060
25	0	25	27	262144	32768	262144	1546793520708143305
26	0	26	32	873813	109227	873816	6805142708953763401
27	0	27	38	3495253	436907	3495256	663806003597946210
28	0	28	1	682	86	688	14651090581622414731
29	0	29	13	10922	1366	10928	12661859145599921634
30	0	30	33	1048576	131072	1048576	10137821640713007001
31	0	31	54	134217728	16777216	134217728	10093228995147243134
32	0	32	10	5461	683	5464	10466671194180643281
33	0	33	26	218453	27307	218456	8010826893592027963
34	0	34	46	22369621	2796203	22369624	13271320620693707016
35	0	35	44	13981013	1747627	13981016	6952700944578709227
36	0	36	42	8388608	1048576	8388608	12055971798279882440
37	0	37	51	67108864	8388608	67108864	2288288417190439110
38	0	38	50	55924053	6990507	55924056	12002626066935361432
39	0	39	40	5592405	699051	5592408	17718882098730136527
40	0	40	43	11184810	1398102	11184816	12861219440125038877
41	0	41	52	89478485	11184811	89478488	13225122164894226737
42	0	42	15	16384	2048	16384	8129548827884151961
43	0	43	56	223696213	27962027	223696216	6922841857632263735
44	0	44	30	524288	65536	524288	13466982645543173593
45	0	45	22	87381	10923	87384	6508555216080067383
46	0	46	11	6826	854	6832	17313553505340711832
47	0	47	23	109226	13654	109232	18248903085114199433
48	0	48	0	512	64	512	7209864594120825416
49	0	49	12	8192	1024	8192	805692718460605694
50	0	50	7	2730	342	2736	7678066571294794041
51	0	51	49	44739242	5592406	44739248	17390437574449064458
52	0	52	3	1024	128	1024	13791482079082224217
53	0	53	17	27306	3414	27312	10214484878194267541
54	0	54	20	54613	6827	54616	9513504327217781630
55	0	55	48	33554432	4194304	33554432	626554462918950385
56	0	56	47	27962026	3495254	27962032	11231399125391986744
57	0	57	53	111848106	13981014	111848112	17632697083899744755
58	1	0	11	6826	854	6832	10839658060598252738
59	1	1	41	6990506	873814	6990512	14863564973492985029
60	1	2	0	512	64	512	4758752828297609708
61	1	3	45	16777216	2097152	16777216	6769668642420551866
62	1	4	14	13653	1707	13656	1914940040540482314
63	1	5	4	1365	171	1368	11677301560947235817
64	1	6	8	3413	427	3416	16179759763710355677
65	1	7	22	87381	10923	87384	9134406598803859564
66	1	8	28	349525	43691	349528	3720428979008757057
67	1	9	10	5461	683	5464	7016523165821977477
68	1	10	40	5592405	699051	5592408	13063940859034494396
69	1	11	33	1048576	131072	1048576	7918504624228100757
70	1	12	17	27306	3414	27312	14556723301458420509
71	1	13	52	89478485	11184811	89478488	13737949059378728167
72	1	14	2	853	107	856	11150883682619846110
73	1	15	42	8388608	1048576	8388608	296850494530689283
74	1	16	53	111848106	13981014	111848112	11887455523151299490
75	1	17	47	27962026	3495254	27962032	13623909380590295628
76	1	18	1	682	86	688	8480511465388605
77	1	19	57	268435456	33554432	268435456	3898336225500558813
78	1	20	7	2730	342	2736	5307553088472803221
79	1	21	31	699050	87382	699056	5645759691714153969
80	1	22	32	873813	109227	873816	5201315060432814501
81	1	23	38	3495253	436907	3495256	2713009399593950613
82	1	24	20	54613	6827	54616	729729621905256518
83	1	25	12	8192	1024	8192	17363287406432898335
84	1	26	26	218453	27307	218456	14769459351637869417
85	1	27	44	13981013	1747627	13981016	658369952957380044
86	1	28	9	4096	512	4096	10597896208181136734
87	1	29	13	10922	1366	10928	17628919173747923407
88	1	30	6	2048	256	2048	10431274769591514820
89	1	31	23	109226	13654	109232	11764474480231423297
90	1	32	18	32768	4096	32768	5493644789482768954
91	1	33	24	131072	16384	131072	8933053980730140922
92	1	34	35	1747626	218454	1747632	9596614053640007194
93	1	35	39	4194304	524288	4194304	13272554275592730913
94	1	36	48	33554432	4194304	33554432	2877942573028633415
95	1	37	51	67108864	8388608	67108864	7323367119103810890
96	1	38	21	65536	8192	65536	17590864426319644405
97	1	39	29	436906	54614	436912	6754277062242127792
98	1	40	46	22369621	2796203	22369624	15449838999133187605
99	1	41	19	43690	5462	43696	6511734014087336687
100	1	42	56	223696213	27962027	223696216	13347404749412392697
101	1	43	37	2796202	349526	2796208	11775391153631024246
102	1	44	5	1706	214	1712	9536027813773590643
103	1	45	43	11184810	1398102	11184816	64103685055087723
104	1	46	34	1398101	174763	1398104	11356603670418818447
105	1	47	30	524288	65536	524288	403229892974892019
106	1	48	16	21845	2731	21848	14759608110164180249
107	1	49	55	178956970	22369622	178956976	12619906294141997344
108	1	50	27	262144	32768	262144	11231614407522924009
109	1	51	15	16384	2048	16384	14558242333111789395
110	1	52	50	55924053	6990507	55924056	10303823053071940883
111	1	53	54	134217728	16777216	134217728	4237677379611430193
112	1	54	3	1024	128	1024	17222346073061875701
113	1	55	49	44739242	5592406	44739248	608705044574502354
114	1	56	25	174762	21846	174768	4690303243564388171
115	1	57	36	2097152	262144	2097152	7625555208106081086
data_end
