ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=union of padded coarse transition windows
source_transition_file=/home/rrsood/ECE592_HW1/data_processed/skylark/capacity/phase1_capacity_coarse_transition_candidates_v1.tsv
source_transition_sha256=4aadde646c62062e36c909cb9f87731792e75b4a6a27236bbe9b3283ed65211f
selected_top_k=6
selected_transition_ranks=1,2,3,4,5,6
padding_factor=5/4
min_bytes=26214
max_bytes=55924060
points_per_octave=8
trial_count=2
plan_seed=30593
node_spacing_bytes=8
node_bytes=8
unique_size_count=55
plan_row_count=110
candidate_rank_1_window=13421772..27962030_slope=4.23353643826258_trial_disagreement=0.0060662622491833877
candidate_rank_2_window=17895699..34952540_slope=1.3910492519902906_trial_disagreement=0.0060662622491833877
candidate_rank_3_window=26214..54620_slope=0.8934734322384722_trial_disagreement=0.0075187969924812026
candidate_rank_4_window=22369625..41943040_slope=0.82749920015384759_trial_disagreement=0.0030790283954840918
candidate_rank_5_window=349529..655360_slope=0.61009287351165231_trial_disagreement=0.019607843137254902
candidate_rank_6_window=26843545..55924060_slope=0.60225607732986486_trial_disagreement=0.0014844136566056407
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	30	25165822	3145728	25165824	461312084492438080
1	0	1	5	42597	5325	42600	6148952968204334407
2	0	2	35	27962030	3495254	27962032	14398416212706611366
3	0	3	21	17895699	2236963	17895704	7725250629398107289
4	0	4	49	41943040	5242880	41943040	12975775422994358516
5	0	5	53	53687090	6710887	53687096	8774690361911297517
6	0	6	16	611675	76460	611680	4235057757792110935
7	0	7	19	15099493	1887437	15099496	12491370499507513311
8	0	8	20	16777215	2097152	16777216	5762642679425764404
9	0	9	7	49151	6144	49152	8842372121666500428
10	0	10	32	26843544	3355443	26843544	7035861777219222635
11	0	11	17	655360	81920	655360	13011983889469488943
12	0	12	52	50331646	6291456	50331648	15447582822080652708
13	0	13	14	524293	65537	524296	17502856465713910975
14	0	14	24	20132661	2516583	20132664	11752716015081863691
15	0	15	39	30758234	3844780	30758240	4536548280087223120
16	0	16	6	45874	5735	45880	596965011887966704
17	0	17	4	39321	4916	39328	9197576988274822672
18	0	18	45	36350640	4543830	36350640	5220189172654652755
19	0	19	43	33554437	4194305	33554440	8388067267851025288
20	0	20	38	30198988	3774874	30198992	15797704580443442436
21	0	21	3	36044	4506	36048	1875148913806468187
22	0	22	10	349529	43692	349536	12592402152940717737
23	0	23	31	25165828	3145729	25165832	7171622062045370715
24	0	24	29	24606586	3075824	24606592	4953288663473141386
25	0	25	11	393220	49153	393224	6959984878500504178
26	0	26	0	26214	3277	26216	11408955984928450291
27	0	27	28	23488101	2936013	23488104	1340224781595165915
28	0	28	33	26843545	3355444	26843552	7176566542446246277
29	0	29	48	40265317	5033165	40265320	10770897258218326692
30	0	30	23	20132658	2516583	20132664	6413613849429018315
31	0	31	22	18454936	2306867	18454936	17228987674382529738
32	0	32	25	21810379	2726298	21810384	8002276048860561042
33	0	33	34	26843548	3355444	26843552	13226375335729688409
34	0	34	41	33554431	4194304	33554432	17693123279545691740
35	0	35	42	33554435	4194305	33554440	13109128941291687043
36	0	36	46	36909874	4613735	36909880	7215152264593302488
37	0	37	54	55924060	6990508	55924064	12866200731471967015
38	0	38	36	27962031	3495254	27962032	17287691102164866954
39	0	39	40	31317473	3914685	31317480	7436111542431924885
40	0	40	1	29490	3687	29496	8053655110941186780
41	0	41	26	22369623	2796203	22369624	7038785278806760252
