ece592_spatial_plan_version=1
generator=SplitMix64+Fisher-Yates
offset_generation=explicit user-provided offsets
region_count=257
region_spacing_bytes=4096
probe_offsets_bytes=8,16,24,32,40,48,56,64,72,80,96,112,120,128,136,144,160,192,224,248,256,264,288,320,384,512
unique_offset_count=26
trial_count=2
plan_seed=30594
plan_row_count=52
data_begin
global_execution_index	trial	trial_execution_index	plot_index	region_count	region_spacing_bytes	probe_offset_bytes	point_seed
0	0	0	5	257	4096	48	13744180820928941799
1	0	1	19	257	4096	248	16240837850539122968
2	0	2	24	257	4096	384	15285269733078328086
3	0	3	13	257	4096	128	2616103968546681460
4	0	4	21	257	4096	264	14525434676431604731
5	0	5	16	257	4096	160	10927760929069361361
6	0	6	15	257	4096	144	2082165801947681036
7	0	7	20	257	4096	256	1508524543238544814
8	0	8	0	257	4096	8	1073632986667123530
9	0	9	3	257	4096	32	12344042272912366133
10	0	10	18	257	4096	224	16735497570218887789
11	0	11	1	257	4096	16	9682549089627356044
12	0	12	14	257	4096	136	10466910185057424402
13	0	13	4	257	4096	40	5467156703656395507
14	0	14	12	257	4096	120	5502771141251901400
15	0	15	23	257	4096	320	8495587608306776308
16	0	16	22	257	4096	288	18267082411837807741
17	0	17	17	257	4096	192	17510561925224708929
18	0	18	8	257	4096	72	2895761330091592209
19	0	19	7	257	4096	64	8586548664675562623
20	0	20	25	257	4096	512	8729063007454450849
21	0	21	10	257	4096	96	5811044367670011153
22	0	22	6	257	4096	56	17180039320251224522
23	0	23	9	257	4096	80	11275619614181099461
24	0	24	2	257	4096	24	14642779302156180432
25	0	25	11	257	4096	112	15126604367330113732
26	1	0	5	257	4096	48	6351965830001500812
27	1	1	20	257	4096	256	4347179191262213233
28	1	2	15	257	4096	144	322715494534021720
29	1	3	22	257	4096	288	11390469308573283932
30	1	4	25	257	4096	512	920024954188865925
31	1	5	18	257	4096	224	13674609954390248157
32	1	6	13	257	4096	128	15328010990441049377
33	1	7	0	257	4096	8	507781218282927188
34	1	8	6	257	4096	56	16103833926205456426
35	1	9	21	257	4096	264	11037423406814290742
36	1	10	11	257	4096	112	16494078222682197925
37	1	11	23	257	4096	320	1530021512082888943
38	1	12	10	257	4096	96	9254638134158321729
39	1	13	17	257	4096	192	17256506563423254099
40	1	14	9	257	4096	80	11693249175013955841
41	1	15	16	257	4096	160	16274853025533094967
42	1	16	7	257	4096	64	12805774529102519281
43	1	17	12	257	4096	120	13400453638514166947
44	1	18	3	257	4096	32	14970633550611827561
45	1	19	8	257	4096	72	14682007574096023398
46	1	20	1	257	4096	16	16173999087899715693
47	1	21	19	257	4096	248	7489421027752997180
48	1	22	24	257	4096	384	15327393494256096953
49	1	23	4	257	4096	40	10575108506375376637
50	1	24	2	257	4096	24	14909236462383712290
51	1	25	14	257	4096	136	1937371389097996991
data_end
