ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=integer subdivisions within factor-of-two ranges
min_bytes=512
max_bytes=268435456
points_per_octave=3
trial_count=2
plan_seed=20592
node_spacing_bytes=8
node_bytes=8
unique_size_count=58
plan_row_count=116
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	26	218453	27307	218456	3741095839535280053
1	0	1	51	67108864	8388608	67108864	12879980842072485300
2	0	2	53	111848106	13981014	111848112	8007192288420947084
3	0	3	15	16384	2048	16384	12552894284201288210
4	0	4	5	1706	214	1712	4575535459849590629
5	0	5	10	5461	683	5464	910833145045201122
6	0	6	39	4194304	524288	4194304	8709092462404744121
7	0	7	1	682	86	688	8690288835285019659
8	0	8	40	5592405	699051	5592408	8582533097287855651
9	0	9	54	134217728	16777216	134217728	1779674943095063835
10	0	10	48	33554432	4194304	33554432	1349037997340501738
11	0	11	14	13653	1707	13656	2970733893844783915
12	0	12	31	699050	87382	699056	5236067652532382158
13	0	13	43	11184810	1398102	11184816	14522098028586883611
14	0	14	50	55924053	6990507	55924056	13749189533212021699
15	0	15	35	1747626	218454	1747632	8558477746079362941
16	0	16	24	131072	16384	131072	15624006336191295670
17	0	17	18	32768	4096	32768	17901092674438933005
18	0	18	45	16777216	2097152	16777216	15301591699784312886
19	0	19	33	1048576	131072	1048576	11251364955167778674
20	0	20	28	349525	43691	349528	16199948686258187713
21	0	21	44	13981013	1747627	13981016	2247459546619307353
22	0	22	23	109226	13654	109232	1737056907365334035
23	0	23	27	262144	32768	262144	14534074704693064216
24	0	24	34	1398101	174763	1398104	12673323808011467198
25	0	25	52	89478485	11184811	89478488	12710358972723745688
26	0	26	32	873813	109227	873816	1920200546204157199
27	0	27	9	4096	512	4096	11638180612943787253
28	0	28	4	1365	171	1368	3674988401323125006
29	0	29	38	3495253	436907	3495256	9178918003760255460
30	0	30	20	54613	6827	54616	4047113601125939831
31	0	31	11	6826	854	6832	9455767593956390879
32	0	32	19	43690	5462	43696	4436977120274915135
33	0	33	37	2796202	349526	2796208	12886619570873627482
34	0	34	56	223696213	27962027	223696216	3759997460105162297
35	0	35	22	87381	10923	87384	9916410012663679534
36	0	36	0	512	64	512	16769906028352623156
37	0	37	47	27962026	3495254	27962032	12897184094090334962
38	0	38	17	27306	3414	27312	7395925982957628810
39	0	39	36	2097152	262144	2097152	17596299214194256592
40	0	40	49	44739242	5592406	44739248	960611660252174896
41	0	41	25	174762	21846	174768	2178841452445655225
42	0	42	13	10922	1366	10928	4695483212548263952
43	0	43	30	524288	65536	524288	11940426531713935765
44	0	44	3	1024	128	1024	16207696525071715492
45	0	45	46	22369621	2796203	22369624	16218957131601666331
46	0	46	42	8388608	1048576	8388608	4129497811966253309
47	0	47	57	268435456	33554432	268435456	7489143201846395116
48	0	48	55	178956970	22369622	178956976	2143793923642431653
49	0	49	41	6990506	873814	6990512	10400029512934202291
50	0	50	29	436906	54614	436912	11939109679401407914
51	0	51	7	2730	342	2736	5906647882691921713
52	0	52	2	853	107	856	14455787279654741298
53	0	53	12	8192	1024	8192	11092512928894487573
54	0	54	21	65536	8192	65536	2187346027898317275
55	0	55	16	21845	2731	21848	10266096413998178330
56	0	56	6	2048	256	2048	9018210948006304554
57	0	57	8	3413	427	3416	10782419132581615680
58	1	0	20	54613	6827	54616	8706444934874613512
59	1	1	54	134217728	16777216	134217728	15496536664814818978
60	1	2	51	67108864	8388608	67108864	18432518797440696865
61	1	3	16	21845	2731	21848	1106216754019538955
62	1	4	25	174762	21846	174768	10368414222691442828
63	1	5	14	13653	1707	13656	14103759358934736509
64	1	6	15	16384	2048	16384	11010466888296211422
65	1	7	23	109226	13654	109232	795011446202712238
66	1	8	32	873813	109227	873816	5359243423585416910
67	1	9	34	1398101	174763	1398104	285714304974013870
68	1	10	48	33554432	4194304	33554432	1904693769096800982
69	1	11	30	524288	65536	524288	7650054368154906574
70	1	12	55	178956970	22369622	178956976	6518836060128612715
71	1	13	53	111848106	13981014	111848112	6806958879406934166
72	1	14	3	1024	128	1024	7316049841778239314
73	1	15	36	2097152	262144	2097152	17214285975884286465
74	1	16	39	4194304	524288	4194304	1612541958837178047
75	1	17	18	32768	4096	32768	5870403894614114044
76	1	18	29	436906	54614	436912	15952686947064886532
77	1	19	0	512	64	512	6754005908036666446
78	1	20	49	44739242	5592406	44739248	18403423594567149249
79	1	21	41	6990506	873814	6990512	15263458606271410388
80	1	22	10	5461	683	5464	5775049922305969936
81	1	23	24	131072	16384	131072	10201922375999896339
82	1	24	19	43690	5462	43696	9895855028839737541
83	1	25	50	55924053	6990507	55924056	17881064244880386016
84	1	26	47	27962026	3495254	27962032	2553750165437461221
85	1	27	13	10922	1366	10928	5414070193078233169
86	1	28	22	87381	10923	87384	1332301578343613890
87	1	29	43	11184810	1398102	11184816	17962760787943865487
88	1	30	26	218453	27307	218456	15285054010733671569
89	1	31	27	262144	32768	262144	8937510313250119976
90	1	32	2	853	107	856	9016420517623448161
91	1	33	12	8192	1024	8192	17334836358991482159
92	1	34	17	27306	3414	27312	3936241563789929420
93	1	35	21	65536	8192	65536	16039446677190066708
94	1	36	6	2048	256	2048	9344599731279725091
95	1	37	11	6826	854	6832	1475277227718124
96	1	38	8	3413	427	3416	8741854374509200155
97	1	39	38	3495253	436907	3495256	17390770741289625769
98	1	40	57	268435456	33554432	268435456	262225557153189056
99	1	41	44	13981013	1747627	13981016	13031454993366507662
100	1	42	4	1365	171	1368	223216000692599904
101	1	43	28	349525	43691	349528	9504544576780110988
102	1	44	52	89478485	11184811	89478488	2628916467839364837
103	1	45	5	1706	214	1712	5419971113712281458
104	1	46	1	682	86	688	3649253526943455442
105	1	47	9	4096	512	4096	16947398660797655698
106	1	48	40	5592405	699051	5592408	8610530994676952902
107	1	49	46	22369621	2796203	22369624	14584656935302162588
108	1	50	45	16777216	2097152	16777216	10874560195014288014
109	1	51	31	699050	87382	699056	1658470704147146523
110	1	52	35	1747626	218454	1747632	13553651282935137345
111	1	53	37	2796202	349526	2796208	3621704218052482269
112	1	54	56	223696213	27962027	223696216	15523191459760744196
113	1	55	7	2730	342	2736	13683479194324478715
114	1	56	33	1048576	131072	1048576	15228717374629728158
115	1	57	42	8388608	1048576	8388608	3789668798847313135
data_end
