ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=union of padded coarse transition windows
source_transition_file=/home/rrsood/ECE592_HW1/data_processed/sunbird/capacity/phase1_capacity_coarse_transition_candidates_v1.tsv
source_transition_sha256=fd889b53a38bdd0d166deff1d3ef3fe5c45a4a02e9e3685eee34ab6a457906bc
selected_top_k=6
selected_transition_ranks=1,2,3,4,5,6
padding_factor=5/4
min_bytes=139814
max_bytes=69905070
points_per_octave=8
trial_count=2
plan_seed=20593
node_spacing_bytes=8
node_bytes=8
unique_size_count=55
plan_row_count=110
candidate_rank_1_window=26843545..55924060_slope=1.6807439120488099_trial_disagreement=0.0012964563526361278
candidate_rank_2_window=22369625..41943040_slope=1.2486239927076441_trial_disagreement=0.036960985626283367
candidate_rank_3_window=209715..436910_slope=1.0329885530221159_trial_disagreement=0.044791942751126426
candidate_rank_4_window=139814..273070_slope=1.0126890687832675_trial_disagreement=0.038057267125770206
candidate_rank_5_window=35791398..69905070_slope=0.87351127338140155_trial_disagreement=0.0061640587956377432
candidate_rank_6_window=279622..546140_slope=0.71736014390686764_trial_disagreement=0.044791942751126426
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	1	157290	19662	157296	4680033769920816498
1	0	1	20	393215	49152	393216	16088794344219541860
2	0	2	50	55924060	6990508	55924064	4683664920785180202
3	0	3	53	67108871	8388609	67108872	12210072355733500579
4	0	4	0	139814	17477	139816	12428379576120407380
5	0	5	38	36909874	4613735	36909880	11909344947254429073
6	0	6	46	49213172	6151647	49213176	12648089176845684546
7	0	7	6	227197	28400	227200	11706880068181913196
8	0	8	3	192244	24031	192248	10996996478041023422
9	0	9	22	419433	52430	419440	608653489192822523
10	0	10	28	22369625	2796204	22369632	3111662759261791949
11	0	11	30	26843545	3355444	26843552	11731159470063598224
12	0	12	21	419430	52429	419432	13694622039296052492
13	0	13	48	53687090	6710887	53687096	9871021106005235713
14	0	14	12	279622	34953	279624	14096865909751293239
15	0	15	32	30198988	3774874	30198992	15273703036362207929
16	0	16	13	288358	36045	288360	2956499534110100849
17	0	17	7	235929	29492	235936	12206284505442545897
18	0	18	8	244674	30585	244680	1552389712679501305
19	0	19	47	50331646	6291456	50331648	4659587629422011635
20	0	20	17	349527	43691	349528	10284351195106651660
21	0	21	54	69905070	8738134	69905072	16765411484676117120
22	0	22	42	41943040	5242880	41943040	995900381242075616
23	0	23	4	209715	26215	209720	16100228614102617592
24	0	24	35	33554437	4194305	33554440	13728869196396002211
25	0	25	44	44739247	5592406	44739248	14564426755033271532
26	0	26	9	262143	32768	262144	4681931367880295223
27	0	27	39	39146843	4893356	39146848	15589321722297453230
28	0	28	11	273070	34134	273072	8891632367353725307
29	0	29	15	314574	39322	314576	12953833025512330312
30	0	30	40	40265317	5033165	40265320	8710545911933463191
31	0	31	26	524291	65537	524296	17109284006046452827
