ece592_spatial_plan_version=1
generator=SplitMix64+Fisher-Yates
offset_generation=explicit user-provided offsets
region_count=257
region_spacing_bytes=4096
probe_offsets_bytes=8,16,24,32,40,48,56,64,72,80,96,112,120,128,136,144,160,192,224,248,256,264,288,320,384,512
unique_offset_count=26
trial_count=2
plan_seed=20594
plan_row_count=52
data_begin
global_execution_index	trial	trial_execution_index	plot_index	region_count	region_spacing_bytes	probe_offset_bytes	point_seed
0	0	0	23	257	4096	320	8707491845279964235
1	0	1	18	257	4096	224	3724199002782508001
2	0	2	7	257	4096	64	754611169745754823
3	0	3	17	257	4096	192	10777313350761941211
4	0	4	20	257	4096	256	3746368422725237279
5	0	5	22	257	4096	288	3324058574158789020
6	0	6	1	257	4096	16	15395453920978361444
7	0	7	6	257	4096	56	12762360795570809612
8	0	8	2	257	4096	24	6378184447423273611
9	0	9	13	257	4096	128	4651855650940957343
10	0	10	12	257	4096	120	12281991070465820687
11	0	11	19	257	4096	248	9297083893911788608
12	0	12	9	257	4096	80	2350331750365289929
13	0	13	4	257	4096	40	1679549222244222757
14	0	14	0	257	4096	8	12264551462410405017
15	0	15	5	257	4096	48	17084729423658316614
16	0	16	3	257	4096	32	7792660728610143538
17	0	17	11	257	4096	112	11569726144481062465
18	0	18	10	257	4096	96	7009023739004325046
19	0	19	16	257	4096	160	12528382603032499698
20	0	20	21	257	4096	264	10077299642356707016
21	0	21	15	257	4096	144	11227651820295727952
22	0	22	14	257	4096	136	6485409474356801304
23	0	23	8	257	4096	72	18158047236907360213
24	0	24	24	257	4096	384	13020465384420379895
25	0	25	25	257	4096	512	7703227943172468167
26	1	0	6	257	4096	56	11412847939277297804
27	1	1	1	257	4096	16	1735121650514629955
28	1	2	9	257	4096	80	4952507694838040744
29	1	3	19	257	4096	248	17741306779774108461
30	1	4	14	257	4096	136	4217072772280675938
31	1	5	5	257	4096	48	14998815770334942791
32	1	6	7	257	4096	64	18149671578800499978
33	1	7	23	257	4096	320	10910402653278932387
34	1	8	22	257	4096	288	3931629199903684359
35	1	9	8	257	4096	72	2956927988864967857
36	1	10	2	257	4096	24	6908106621727732703
37	1	11	4	257	4096	40	5493609128675487797
38	1	12	16	257	4096	160	5197489753519293009
39	1	13	24	257	4096	384	7901514630809247404
40	1	14	20	257	4096	256	14318348343467839962
41	1	15	13	257	4096	128	13851638056966235310
42	1	16	0	257	4096	8	12060828223383416337
43	1	17	12	257	4096	120	15600553038535865221
44	1	18	25	257	4096	512	10621107944859657188
45	1	19	15	257	4096	144	11507367950562969240
46	1	20	3	257	4096	32	284730526218032273
47	1	21	21	257	4096	264	6520637648056197377
48	1	22	18	257	4096	224	10092876162575763840
49	1	23	17	257	4096	192	1167897744513691661
50	1	24	10	257	4096	96	15090930967544761219
51	1	25	11	257	4096	112	11024548089927218698
data_end
