ece592_conflict_plan_version=1
generator=SplitMix64+Fisher-Yates
sweep=conflict line count by conflict stride
line_counts=2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
conflict_stride_bytes_values=4096,8192,16384,32768,65536
unique_line_count_count=23
unique_conflict_stride_count=5
trial_count=2
plan_seed=12592
plan_row_count=230
data_begin
global_execution_index	trial	trial_execution_index	plot_index	conflict_line_count	conflict_stride_bytes	point_seed
0	0	0	94	4	65536	662942792957071440
1	0	1	99	9	65536	5831494678358599578
2	0	2	112	22	65536	11448845715550925504
3	0	3	0	2	4096	1246142882412937141
4	0	4	64	20	16384	13526027719234218480
5	0	5	31	10	8192	10058605820563476623
6	0	6	58	14	16384	15003329398631313805
7	0	7	57	13	16384	15480129591906280497
8	0	8	93	3	65536	10069622677181338145
9	0	9	111	21	65536	2185562712270078987
10	0	10	51	7	16384	9136323591765190818
11	0	11	2	4	4096	350871891596361288
12	0	12	23	2	8192	9955870969070367985
13	0	13	114	24	65536	4181899197415819589
14	0	14	14	16	4096	14354146055733354738
15	0	15	104	14	65536	4085166317044665608
16	0	16	4	6	4096	15176826759800261371
17	0	17	97	7	65536	3844439401375130822
18	0	18	27	6	8192	12961971222455528967
19	0	19	79	12	32768	16817704550454517257
20	0	20	102	12	65536	16534610323649036341
21	0	21	45	24	8192	4305020211956034498
22	0	22	22	24	4096	3644401504074141105
23	0	23	33	12	8192	5714272421363158704
24	0	24	73	6	32768	10473787500138150228
25	0	25	43	22	8192	14116411483574129675
26	0	26	61	17	16384	13562248903655857811
27	0	27	7	9	4096	10439507700310493173
28	0	28	109	19	65536	18311438696701793093
29	0	29	105	15	65536	4612019825952564891
30	0	30	18	20	4096	12990828150675481899
31	0	31	70	3	32768	17631229538838965398
32	0	32	100	10	65536	16898287066514652205
33	0	33	98	8	65536	17788695546747444483
34	0	34	66	22	16384	11889629749712180694
35	0	35	74	7	32768	12977843391617569471
36	0	36	86	19	32768	11280329244151226005
37	0	37	96	6	65536	17610017154861095580
38	0	38	30	9	8192	6594596910915742023
39	0	39	34	13	8192	6466424262841887819
40	0	40	82	15	32768	16049801081099896447
41	0	41	56	12	16384	8435921713888538582
42	0	42	71	4	32768	465295848529248433
43	0	43	28	7	8192	161007202478438235
44	0	44	36	15	8192	8337082285091573277
45	0	45	88	21	32768	2752821965533922550
46	0	46	41	20	8192	1360629447411485324
47	0	47	91	24	32768	6347330265369541765
48	0	48	87	20	32768	13160869819663669278
49	0	49	63	19	16384	13383558128895373623
50	0	50	92	2	65536	6146255006071019094
51	0	51	72	5	32768	5513950415750475631
52	0	52	113	23	65536	5412844563344656121
53	0	53	75	8	32768	14231211765477759001
54	0	54	60	16	16384	4113013175637018456
55	0	55	3	5	4096	4158705218491151066
56	0	56	54	10	16384	12993524121165099270
57	0	57	108	18	65536	11023772341166340579
58	0	58	37	16	8192	18336225460656218166
59	0	59	24	3	8192	16263780946739221349
60	0	60	12	14	4096	11335513058745832500
61	0	61	110	20	65536	16136652471793955669
62	0	62	55	11	16384	5895527764688510374
63	0	63	8	10	4096	12867568836543744323
64	0	64	47	3	16384	17400783990353666120
65	0	65	95	5	65536	10858491059620739991
66	0	66	101	11	65536	5105811737577845684
67	0	67	59	15	16384	3091188690926991070
68	0	68	17	19	4096	7537634387752747741
69	0	69	53	9	16384	17629707408506784571
70	0	70	11	13	4096	11595844862271391123
71	0	71	6	8	4096	4048923077141236277
72	0	72	103	13	65536	8807174671085657684
73	0	73	81	14	32768	10316817277536845456
74	0	74	10	12	4096	13410123753695338709
75	0	75	89	22	32768	5508485630533177906
76	0	76	107	17	65536	3220492109736055850
77	0	77	44	23	8192	11895886898525648848
78	0	78	20	22	4096	6855466676770617340
79	0	79	90	23	32768	10907893213236384271
80	0	80	67	23	16384	1282526081184392626
81	0	81	84	17	32768	9008479683834759506
82	0	82	69	2	32768	1926188002151946634
83	0	83	46	2	16384	16586165026413375248
84	0	84	9	11	4096	9510075329741638404
85	0	85	76	9	32768	10643125255838715099
86	0	86	19	21	4096	6125924082274958304
87	0	87	35	14	8192	2929515604475513399
88	0	88	48	4	16384	10396207753751506076
89	0	89	83	16	32768	3819844153319572810
90	0	90	15	17	4096	12243894275697082902
91	0	91	42	21	8192	4313136262643160366
92	0	92	32	11	8192	16042393543963752071
