ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=integer subdivisions within factor-of-two ranges
min_bytes=512
max_bytes=268435456
points_per_octave=3
trial_count=2
plan_seed=592
node_spacing_bytes=8
node_bytes=8
unique_size_count=58
plan_row_count=116
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	26	218453	27307	218456	6393766706609474863
1	0	1	48	33554432	4194304	33554432	14239120932462271480
2	0	2	15	16384	2048	16384	10496410495304032845
3	0	3	35	1747626	218454	1747632	14369905473468274504
4	0	4	8	3413	427	3416	6408941002793262312
5	0	5	56	223696213	27962027	223696216	9355899047368841487
6	0	6	17	27306	3414	27312	12281029656598767335
7	0	7	29	436906	54614	436912	7866650835682345380
8	0	8	38	3495253	436907	3495256	12211512109102862178
9	0	9	43	11184810	1398102	11184816	11437042403338410911
10	0	10	51	67108864	8388608	67108864	14094461411776113036
11	0	11	50	55924053	6990507	55924056	7803342539148833206
12	0	12	13	10922	1366	10928	15447344493715368280
13	0	13	11	6826	854	6832	8061349055135680146
14	0	14	16	21845	2731	21848	5738319116736676372
15	0	15	55	178956970	22369622	178956976	2916468416204097898
16	0	16	10	5461	683	5464	13070927980617103594
17	0	17	6	2048	256	2048	4048844278262796615
18	0	18	52	89478485	11184811	89478488	11774495692811080508
19	0	19	28	349525	43691	349528	13199797434642311244
20	0	20	18	32768	4096	32768	17411652116599629896
21	0	21	39	4194304	524288	4194304	2386960525790874227
22	0	22	49	44739242	5592406	44739248	10728331122832541093
23	0	23	4	1365	171	1368	15822016635197211724
24	0	24	3	1024	128	1024	2553261902913031682
25	0	25	42	8388608	1048576	8388608	4360204716737330419
26	0	26	57	268435456	33554432	268435456	15085757947514114119
27	0	27	14	13653	1707	13656	14407615525623653843
28	0	28	40	5592405	699051	5592408	12768900637479444719
29	0	29	32	873813	109227	873816	9156657464700606523
30	0	30	2	853	107	856	5454329148859750283
31	0	31	27	262144	32768	262144	15785011210859342678
32	0	32	12	8192	1024	8192	8008439490583124828
33	0	33	25	174762	21846	174768	3579555710924495313
