ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=union of padded coarse transition windows
source_transition_file=/mnt/ncsudrive/d/djariwa/ECE-592---Cache-Reverse-Engineering/data_processed/thunderbird/capacity/phase1_capacity_coarse_transition_candidates.tsv
source_transition_sha256=cb99e8d55bcdae308a6b4423be8398545f8b66124ffb81ee0f08f928385a4559
selected_top_k=6
selected_transition_ranks=1,2,3,4,5,6
padding_factor=5/4
min_bytes=52428
max_bytes=55924060
points_per_octave=8
trial_count=2
plan_seed=1592
node_spacing_bytes=8
node_bytes=8
unique_size_count=56
plan_row_count=112
candidate_rank_1_window=22369625..41943040_slope=1.4542110418097092_trial_disagreement=0.0018975332068311196
candidate_rank_2_window=838860..1747630_slope=1.0935246571322701_trial_disagreement=0.33333333333333331
candidate_rank_3_window=559244..1092270_slope=1.0375229263802761_trial_disagreement=0.19327731092436976
candidate_rank_4_window=17895699..34952540_slope=0.91158930407711447_trial_disagreement=0.0093023255813953487
candidate_rank_5_window=26843545..55924060_slope=0.76044740708925862_trial_disagreement=0.001455604075691412
candidate_rank_6_window=52428..109230_slope=0.71180205550329956_trial_disagreement=0
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	18	978677	122335	978680	4323896189643354360
1	0	1	43	33554435	4194305	33554440	3177235532563484436
2	0	2	24	1363147	170394	1363152	17581954193048418348
3	0	3	2	65535	8192	65536	992952318489933469
4	0	4	21	1092270	136534	1092272	3900845042459552926
5	0	5	12	699055	87382	699056	16474620949680915008
6	0	6	16	908771	113597	908776	14374643300117216781
7	0	7	23	1258290	157287	1258296	13314427635990160936
8	0	8	26	1572862	196608	1572864	10859060479833647155
9	0	9	51	43620760	5452595	43620760	3198871058817480281
10	0	10	33	24606586	3075824	24606592	12391261869065405985
11	0	11	37	27962031	3495254	27962032	16651228414940618847
12	0	12	20	1048582	131073	1048584	4655346382025757128
13	0	13	13	768960	96120	768960	1301716323526735838
14	0	14	47	36909874	4613735	36909880	14452590975459497785
15	0	15	29	17895699	2236963	17895704	6105926309762865589
16	0	16	0	52428	6554	52432	521412546490941762
17	0	17	48	39146843	4893356	39146848	16938003583024339219
18	0	18	8	104856	13107	104856	17407506385941130086
19	0	19	9	109230	13654	109232	14370156735554007712
20	0	20	32	22369625	2796204	22369632	10048760234374615951
21	0	21	44	33554437	4194305	33554440	5951000047669001393
22	0	22	25	1468005	183501	1468008	11238792292947175668
23	0	23	34	25165828	3145729	25165832	17375269674984280752
24	0	24	4	78642	9831	78648	16773244394471792033
25	0	25	6	91749	11469	91752	18241755196393419383
26	0	26	38	29080510	3635064	29080512	564281181016772106
27	0	27	31	22369623	2796203	22369624	9666627768836112390
28	0	28	42	33554431	4194304	33554432	8206196137581533189
29	0	29	45	34952540	4369068	34952544	16243497543431138937
30	0	30	54	53687090	6710887	53687096	322500745255897693
31	0	31	50	41943040	5242880	41943040	17548672320760222593
32	0	32	7	98302	12288	98304	4781930565872665964
33	0	33	52	46976203	5872026	46976208	11845497628172551890
34	0	34	36	26843548	3355444	26843552	10582612543167446197
35	0	35	17	943717	117965	943720	15386459337959062621
36	0	36	19	1048575	131072	1048576	16075679794890445477
37	0	37	22	1153432	144179	1153432	1511309602794286119
38	0	38	3	72088	9011	72088	5277196578708125327
39	0	39	55	55924060	6990508	55924064	15229725628578338911
40	0	40	40	30758234	3844780	30758240	6148307034271298192
41	0	41	11	629149	78644	629152	12063932542333687116
42	0	42	28	1747630	218454	1747632	12489298355736952906
43	0	43	27	1677720	209715	1677720	6997326712774236628
