ece592_inclusion_policy_plan_version=1
generator=SplitMix64+Fisher-Yates
measurement_goal=8.2.7_inclusion_exclusion_behavior
sweep=pressure footprint by pressure source by target footprint
inferred_line_bytes=64
inferred_l1d_bytes=32768
inferred_l2_bytes=262144
inferred_llc_bytes=31457280
inferred_values_are_phase1_timing_only=true
target_bytes_list=8192,65536
helper_cpu_list=5,6
helper_pressure_multipliers=0.125,0.5,0.75,1.0,1.25,1.5,2.0,4.0
accesses_per_sample=1
pressure_passes=1
pressure_order=sequential
requested_samples_per_point=1000000
unique_point_count=42
series_count=8
trial_count=2
plan_seed=592
plan_row_count=84
estimated_wall_clock_seconds=545
data_begin
global_execution_index	trial	trial_execution_index	series_index	plot_index	target_bytes	target_line_spacing_bytes	pressure_source	pressure_bytes	pressure_line_spacing_bytes	pressure_order	pressure_passes	helper_cpu	accesses_per_sample	point_seed
0	0	0	6	27	65536	64	helper	15728640	64	sequential	1	5	1	15785011210859342678
1	0	1	6	33	65536	64	helper	125829120	64	sequential	1	5	1	11951315924972400881
2	0	2	7	38	65536	64	helper	39321600	64	sequential	1	6	1	12211512109102862178
3	0	3	4	21	65536	64	none	0	64	sequential	0	-1	1	8115149844715529162
4	0	4	7	34	65536	64	helper	3932160	64	sequential	1	6	1	4398009111481780254
5	0	5	2	5	8192	64	helper	3932160	64	sequential	1	5	1	9659343732093274974
6	0	6	3	19	8192	64	helper	62914560	64	sequential	1	6	1	16916548400228412381
7	0	7	7	40	65536	64	helper	62914560	64	sequential	1	6	1	12768900637479444719
8	0	8	2	10	8192	64	helper	47185920	64	sequential	1	5	1	13070927980617103594
9	0	9	7	41	65536	64	helper	125829120	64	sequential	1	6	1	11548316102972958183
10	0	10	5	25	65536	64	self	62914560	64	sequential	1	-1	1	3579555710924495313
11	0	11	7	37	65536	64	helper	31457280	64	sequential	1	6	1	18199474086371370198
12	0	12	2	12	8192	64	helper	125829120	64	sequential	1	5	1	8008439490583124828
13	0	13	2	6	8192	64	helper	15728640	64	sequential	1	5	1	4048844278262796615
14	0	14	2	11	8192	64	helper	62914560	64	sequential	1	5	1	8061349055135680146
15	0	15	7	39	65536	64	helper	47185920	64	sequential	1	6	1	2386960525790874227
16	0	16	3	18	8192	64	helper	47185920	64	sequential	1	6	1	17411652116599629896
17	0	17	6	26	65536	64	helper	3932160	64	sequential	1	5	1	6393766706609474863
18	0	18	3	15	8192	64	helper	23592960	64	sequential	1	6	1	10496410495304032845
19	0	19	6	32	65536	64	helper	62914560	64	sequential	1	5	1	9156657464700606523
20	0	20	5	22	65536	64	self	65536	64	sequential	1	-1	1	10967852233165145922
21	0	21	1	3	8192	64	self	15728640	64	sequential	1	-1	1	2553261902913031682
22	0	22	1	4	8192	64	self	62914560	64	sequential	1	-1	1	15822016635197211724
23	0	23	6	31	65536	64	helper	47185920	64	sequential	1	5	1	20332897215584561
24	0	24	3	14	8192	64	helper	15728640	64	sequential	1	6	1	14407615525623653843
25	0	25	5	24	65536	64	self	15728640	64	sequential	1	-1	1	8663107171040240532
26	0	26	3	13	8192	64	helper	3932160	64	sequential	1	6	1	15447344493715368280
27	0	27	5	23	65536	64	self	524288	64	sequential	1	-1	1	1218944777096668954
28	0	28	6	29	65536	64	helper	31457280	64	sequential	1	5	1	7866650835682345380
29	0	29	0	0	8192	64	none	0	64	sequential	0	-1	1	13434040110859652870
30	0	30	1	2	8192	64	self	524288	64	sequential	1	-1	1	5454329148859750283
31	0	31	6	28	65536	64	helper	23592960	64	sequential	1	5	1	13199797434642311244
32	0	32	2	9	8192	64	helper	39321600	64	sequential	1	5	1	3766617846658164448
33	0	33	7	35	65536	64	helper	15728640	64	sequential	1	6	1	14369905473468274504
34	0	34	2	8	8192	64	helper	31457280	64	sequential	1	5	1	6408941002793262312
35	0	35	3	16	8192	64	helper	31457280	64	sequential	1	6	1	5738319116736676372
36	0	36	3	17	8192	64	helper	39321600	64	sequential	1	6	1	12281029656598767335
37	0	37	3	20	8192	64	helper	125829120	64	sequential	1	6	1	429222421991553862
