ece592_spatial_plan_version=1
generator=SplitMix64+Fisher-Yates
offset_generation=explicit user-provided offsets
region_count=257
region_spacing_bytes=4096
probe_offsets_bytes=8,16,24,32,40,48,56,64,72,80,96,112,120,128,136,144,160,192,224,248,256,264,288,320,384,512
unique_offset_count=26
trial_count=2
plan_seed=8592
plan_row_count=52
data_begin
global_execution_index	trial	trial_execution_index	plot_index	region_count	region_spacing_bytes	probe_offset_bytes	point_seed
0	0	0	21	257	4096	264	16401129273701294966
1	0	1	7	257	4096	64	18253417876618353016
2	0	2	25	257	4096	512	9121178242298845252
3	0	3	10	257	4096	96	11729016460398725562
4	0	4	23	257	4096	320	12193342830009967000
5	0	5	12	257	4096	120	14990487875927052402
6	0	6	1	257	4096	16	10708898349977284113
7	0	7	3	257	4096	32	9785617048668618220
8	0	8	17	257	4096	192	5115926803783021955
9	0	9	18	257	4096	224	5383402073109153253
10	0	10	4	257	4096	40	1245348093314155979
11	0	11	2	257	4096	24	1845194476154667146
12	0	12	14	257	4096	136	15443872997896844029
13	0	13	20	257	4096	256	2585979065530467215
14	0	14	9	257	4096	80	2813203331091206831
15	0	15	8	257	4096	72	2947002965957343260
16	0	16	5	257	4096	48	11102942889605269957
17	0	17	24	257	4096	384	12955006490894438607
18	0	18	0	257	4096	8	6209036937734733196
19	0	19	19	257	4096	248	13297100221848590807
20	0	20	13	257	4096	128	8222333661054164371
21	0	21	16	257	4096	160	4966760267087268919
22	0	22	15	257	4096	144	8327822402605982464
23	0	23	22	257	4096	288	5818989207216664545
24	0	24	6	257	4096	56	10938520891692901759
25	0	25	11	257	4096	112	18183550585889591159
26	1	0	23	257	4096	320	13632326931148234245
27	1	1	20	257	4096	256	4410426528742299065
28	1	2	18	257	4096	224	15758869582261752092
29	1	3	25	257	4096	512	9048298376702303902
30	1	4	14	257	4096	136	10902342557108713520
31	1	5	7	257	4096	64	4259929391291717521
32	1	6	24	257	4096	384	13252653174751175179
33	1	7	11	257	4096	112	12938446164859230408
34	1	8	4	257	4096	40	3466646371511779523
35	1	9	9	257	4096	80	2299206356818341729
36	1	10	0	257	4096	8	14664573514905990002
37	1	11	22	257	4096	288	2075061451781506177
38	1	12	16	257	4096	160	15961299615134825705
39	1	13	15	257	4096	144	18113675054145306730
40	1	14	13	257	4096	128	3658639503465589938
41	1	15	2	257	4096	24	13699955579067641911
42	1	16	10	257	4096	96	9597199057959994334
43	1	17	12	257	4096	120	367455542368964998
44	1	18	8	257	4096	72	3001807208239113375
45	1	19	1	257	4096	16	9162473693744018443
46	1	20	5	257	4096	48	3848969288196647165
47	1	21	19	257	4096	248	16197042421113437456
48	1	22	6	257	4096	56	14523428874997628830
49	1	23	3	257	4096	32	7162671941031419356
50	1	24	17	257	4096	192	5093046277268276293
51	1	25	21	257	4096	264	7239296873276641050
data_end
