ece592_capacity_plan_version=1
generator=SplitMix64+Fisher-Yates
size_generation=integer subdivisions within factor-of-two ranges
min_bytes=512
max_bytes=268435456
points_per_octave=3
trial_count=2
plan_seed=6592
node_spacing_bytes=8
node_bytes=8
unique_size_count=58
plan_row_count=116
data_begin
global_execution_index	trial	trial_execution_index	plot_index	requested_span_bytes	node_count	actual_span_bytes	point_seed
0	0	0	5	1706	214	1712	8308332844001058714
1	0	1	9	4096	512	4096	7029306210665007471
2	0	2	11	6826	854	6832	12503893477585975418
3	0	3	28	349525	43691	349528	125467804850223082
4	0	4	8	3413	427	3416	9160096102162736772
5	0	5	32	873813	109227	873816	7386220724415877359
6	0	6	3	1024	128	1024	13321886013927021551
7	0	7	35	1747626	218454	1747632	15802313786837050544
8	0	8	36	2097152	262144	2097152	11540086299049273433
9	0	9	25	174762	21846	174768	3672178466168263767
10	0	10	4	1365	171	1368	8317457435240047934
11	0	11	43	11184810	1398102	11184816	1370289550887368987
12	0	12	33	1048576	131072	1048576	15994929528497486014
13	0	13	15	16384	2048	16384	8534595109333938837
14	0	14	44	13981013	1747627	13981016	13254761684256069083
15	0	15	2	853	107	856	8751461535468069669
16	0	16	41	6990506	873814	6990512	6006715328196077768
17	0	17	22	87381	10923	87384	5580068310764971267
18	0	18	12	8192	1024	8192	1402604771218174641
19	0	19	30	524288	65536	524288	8225320356115048879
20	0	20	45	16777216	2097152	16777216	3433370716219916356
21	0	21	37	2796202	349526	2796208	16181040103332088589
22	0	22	6	2048	256	2048	10897745909731994629
23	0	23	46	22369621	2796203	22369624	13067522316200486777
24	0	24	47	27962026	3495254	27962032	5377210414685699684
25	0	25	20	54613	6827	54616	12274966995207769628
26	0	26	24	131072	16384	131072	8491941986791093243
27	0	27	54	134217728	16777216	134217728	14272356185928495099
28	0	28	53	111848106	13981014	111848112	15415771223714800204
29	0	29	57	268435456	33554432	268435456	2574264275819471803
30	0	30	29	436906	54614	436912	8697436760095456064
31	0	31	14	13653	1707	13656	5892990669725642786
32	0	32	38	3495253	436907	3495256	5329227848795224182
33	0	33	23	109226	13654	109232	1401129779522379545
34	0	34	56	223696213	27962027	223696216	11275214507193119811
35	0	35	50	55924053	6990507	55924056	11932602733057080149
36	0	36	0	512	64	512	10908922482821686535
37	0	37	17	27306	3414	27312	5618250388315528615
38	0	38	51	67108864	8388608	67108864	10912015559126428533
39	0	39	16	21845	2731	21848	6895969558600512027
40	0	40	19	43690	5462	43696	15590939837384109911
41	0	41	21	65536	8192	65536	10320761861876114537
42	0	42	27	262144	32768	262144	4623129935956436492
43	0	43	40	5592405	699051	5592408	10204694926895214653
44	0	44	39	4194304	524288	4194304	16988403888120766224
45	0	45	48	33554432	4194304	33554432	552424901698936980
46	0	46	13	10922	1366	10928	15522878774464175384
47	0	47	7	2730	342	2736	4836070558092223540
48	0	48	55	178956970	22369622	178956976	5807310263551143366
49	0	49	52	89478485	11184811	89478488	8718626151746163996
50	0	50	10	5461	683	5464	8522793478959252153
51	0	51	31	699050	87382	699056	10120508773824159866
52	0	52	18	32768	4096	32768	13397343756282487013
53	0	53	49	44739242	5592406	44739248	12568881924404056015
54	0	54	1	682	86	688	7643980929253978134
55	0	55	26	218453	27307	218456	681664816152316407
56	0	56	42	8388608	1048576	8388608	12370896899022507624
57	0	57	34	1398101	174763	1398104	9082503957448433555
58	1	0	1	682	86	688	18068029011301040785
59	1	1	9	4096	512	4096	2433856861045102723
60	1	2	35	1747626	218454	1747632	6395735671036724288
61	1	3	51	67108864	8388608	67108864	2549234097096654107
62	1	4	40	5592405	699051	5592408	14552450569038493191
63	1	5	43	11184810	1398102	11184816	1563429678943484915
64	1	6	5	1706	214	1712	514096691927866490
65	1	7	16	21845	2731	21848	8829133553857663722
66	1	8	2	853	107	856	12285829131817280249
67	1	9	28	349525	43691	349528	7626652843959409679
68	1	10	3	1024	128	1024	4601483204121191898
69	1	11	19	43690	5462	43696	15775139637600959129
70	1	12	13	10922	1366	10928	10317007033231174285
71	1	13	38	3495253	436907	3495256	11167069335106415007
72	1	14	46	22369621	2796203	22369624	4223621110828488245
73	1	15	32	873813	109227	873816	15516776940479228323
74	1	16	57	268435456	33554432	268435456	12025186296981264375
75	1	17	49	44739242	5592406	44739248	6617665582101971386
76	1	18	48	33554432	4194304	33554432	6539025960776623117
77	1	19	4	1365	171	1368	7565525073272273459
78	1	20	0	512	64	512	7437249143332377775
79	1	21	53	111848106	13981014	111848112	5486793324191966257
80	1	22	10	5461	683	5464	17872726075204621385
81	1	23	21	65536	8192	65536	2847280411254990381
82	1	24	14	13653	1707	13656	6766194141892312355
83	1	25	23	109226	13654	109232	8769748243956604030
84	1	26	20	54613	6827	54616	4591334841034358681
85	1	27	6	2048	256	2048	1072649385554657592
86	1	28	15	16384	2048	16384	16620316043501485914
87	1	29	52	89478485	11184811	89478488	11800256469111166862
88	1	30	34	1398101	174763	1398104	1012304824147487949
89	1	31	17	27306	3414	27312	7627244997453342537
90	1	32	36	2097152	262144	2097152	17416795960746915440
91	1	33	55	178956970	22369622	178956976	15567784971348404444
92	1	34	12	8192	1024	8192	18158551694804018629
93	1	35	24	131072	16384	131072	9758317163348406133
94	1	36	41	6990506	873814	6990512	11176491869135573341
95	1	37	8	3413	427	3416	7708458301641244774
96	1	38	42	8388608	1048576	8388608	18184721876511375175
97	1	39	11	6826	854	6832	13821370219101064817
98	1	40	22	87381	10923	87384	16391965456906001271
99	1	41	7	2730	342	2736	745882149469151965
100	1	42	50	55924053	6990507	55924056	15805869772138017515
101	1	43	45	16777216	2097152	16777216	4976836236978745888
102	1	44	27	262144	32768	262144	13043858090517592461
103	1	45	26	218453	27307	218456	12141513508047037188
104	1	46	33	1048576	131072	1048576	611276160355582632
105	1	47	54	134217728	16777216	134217728	11131259925796790265
106	1	48	25	174762	21846	174768	9576862067756941669
107	1	49	29	436906	54614	436912	12273594612949370339
108	1	50	18	32768	4096	32768	6945945862297992223
109	1	51	56	223696213	27962027	223696216	8623216030793690110
110	1	52	39	4194304	524288	4194304	1909711549412110632
111	1	53	30	524288	65536	524288	11084530745066504356
112	1	54	47	27962026	3495254	27962032	14120387641715229307
113	1	55	44	13981013	1747627	13981016	8544581890180159103
114	1	56	31	699050	87382	699056	17004060548954642840
115	1	57	37	2796202	349526	2796208	6293388596140216936
data_end
